ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
196,1032,165270,6212,165270
196,1032,166080,6212,166080
197,1040,167080,6212,167080
197,1040,168080,6212,168080
198,1042,168310,6212,168310
199,1044,169310,6212,169310
200,1046,170310,6212,170310
201,1054,171310,6212,171310
202,1058,171310,6212,171310
202,1058,172310,6212,172310
202,1058,172860,6212,172860
203,1066,173860,6212,173860
204,1067,174020,6212,174020
205,1075,174340,6212,174340
206,1077,175150,6212,175150
207,1085,176150,6212,176150
208,1087,176960,6212,176960
209,1095,180960,6212,180960
210,1103,181960,6212,181960
211,1107,182960,6212,182960
212,1109,182960,6212,182960
213,1111,182960,6212,182960
214,1119,183960,6212,183960
214,1119,184430,6212,184430
215,1121,185240,6212,185240
216,1129,185240,6212,185240
217,1137,186240,6212,186240
218,1145,187240,6212,187240
219,1147,187710,6212,187710
220,1155,188710,6212,188710
221,1157,189520,6212,189520
222,1159,190520,6212,190520
223,1167,190520,6212,190520
224,1175,190840,6212,190840
225,1183,191650,6212,191650
226,1191,191650,6212,191650
227,1193,192650,6212,192650
228,1195,193650,6212,193650
229,1197,194650,6212,194650
230,1205,195460,6212,195460
231,1213,196110,6212,196110
231,1213,197110,6212,197110
232,1221,198110,6212,198110
233,1229,206110,6212,206110
234,1231,206430,6212,206430
234,1231,207430,6212,207430
235,1239,207750,6212,207750
236,1241,208750,6212,208750
237,1243,209070,6212,209070
237,1243,209880,6212,209880
238,1251,209880,6212,209880
239,1259,210880,6212,210880
239,1259,211350,6212,211350
240,1261,212160,6212,212160
241,1263,213160,6212,213160
242,1265,214160,6212,214160
242,1265,214160,6212,214160
243,1267,215160,6212,215160
243,1267,216160,6212,216160
244,1275,217160,6212,217160
245,1279,217630,6212,217630
246,1281,218630,6212,218630
246,1281,219630,6212,219630
247,1289,219850,6212,219850
248,1297,220850,6212,220850
249,1305,221500,6212,221500
250,1313,222500,6212,222500
251,1315,222970,6212,222970
252,1317,223780,6212,223780
253,1321,224780,6212,224780
254,1329,225100,6212,225100
255,1331,226100,6212,226100
256,1339,227100,6212,227100
257,1341,228100,6212,228100
258,1349,228570,6212,228570
259,1357,229570,6212,229570
260,1365,230570,6212,230570
261,1367,230570,6212,230570
262,1375,231380,6212,231380
262,1375,231380,6212,231380
262,1375,232380,6212,232380
263,1383,232380,6212,232380
264,1385,232380,6212,232380
264,1385,233190,6212,233190
265,1389,234190,6212,234190
266,1391,235190,6212,235190
267,1393,236190,6212,236190
267,1393,236190,6212,236190
268,1401,237190,6212,237190
269,1409,237190,6212,237190
270,1417,237650,6212,237650
270,1417,237700,6212,237700
271,1425,238700,6212,238700
272,1433,238700,6212,238700
273,1435,238700,6212,238700
274,1443,239700,6212,239700
275,1445,240700,6212,240700
276,1447,241700,6212,241700
277,1449,242700,6212,242700
278,1451,243510,6212,243510
279,1453,243670,6212,243670
280,1461,244480,6212,244480
281,1463,244950,6212,244950
281,1463,245950,6212,245950
282,1465,246320,6212,246320
283,1473,246790,6212,246790
284,1481,247160,6212,247160
285,1483,247630,6212,247630
286,1491,248630,6212,248630
287,1493,249630,6212,249630
287,1493,250630,6212,250630
288,1495,250630,6212,250630
289,1503,251280,6212,251280
290,1511,252280,6212,252280
291,1519,253090,6212,253090
292,1521,254090,6212,254090
293,1529,254460,6212,254460
293,1529,255460,6212,255460
294,1531,256270,6212,256270
295,1533,257080,6212,257080
295,1533,258080,6212,258080
296,1535,258400,6212,258400
297,1537,259400,6212,259400
298,1545,260400,6212,260400
299,1553,261400,6212,261400
300,1561,262400,6212,262400
300,1561,263400,6212,263400
300,1561,264400,6212,264400
300,1561,265400,6212,265400
301,1565,265630,6212,265630
302,1567,266630,6212,266630
303,1569,267630,6212,267630
304,1571,268100,6212,268100
305,1573,268750,6212,268750
306,1581,269750,6212,269750
306,1581,270560,6212,270560
307,1583,271560,6212,271560
308,1591,272560,6212,272560
309,1599,273560,6212,273560
310,1607,274560,6212,274560
311,1615,275030,6212,275030
311,1615,275490,6212,275490
312,1617,276490,6212,276490
312,1617,277490,6212,277490
313,1625,278490,6212,278490
314,1633,278960,6212,278960
315,1641,279190,6212,279190
316,1649,280190,6212,280190
316,1649,281000,6212,281000
317,1657,282000,6212,282000
318,1665,283000,6212,283000
319,1667,284000,6212,284000
320,1675,285000,6212,285000
321,1677,286000,6212,286000
322,1685,287000,6212,287000
323,1693,287590,6212,287590
324,1701,288400,6212,288400
324,1701,289210,6212,289210
325,1703,290210,6212,290210
326,1705,291210,6212,291210
326,1705,292210,6212,292210
327,1707,293020,6212,293020
328,1709,294020,6212,294020
329,1717,295020,6212,295020
330,1725,296020,6212,296020
331,1733,296020,6212,296020
332,1735,297020,6212,297020
333,1743,299020,6212,299020
334,1747,299020,6212,299020
335,1749,299830,6212,299830
336,1757,300830,6212,300830
337,1765,301830,6212,301830
338,1773,301830,6212,301830
339,1775,302300,6212,302300
340,1783,302890,6212,302890
341,1791,302890,6212,302890
342,1793,303210,6212,303210
343,1797,304210,6212,304210
344,1805,305210,6212,305210
345,1807,306210,6212,306210
346,1811,307210,6212,307210
347,1819,308210,6212,308210
347,1819,308680,6212,308680
348,1827,309680,6212,309680
348,1827,310680,6212,310680
348,1827,311490,6212,311490
349,1829,312300,6212,312300
350,1837,320300,6212,320300
351,1841,321300,6212,321300
352,1842,322300,6212,322300
353,1850,322530,6212,322530
354,1858,323000,6212,323000
355,1866,323810,6212,323810
356,1874,324810,6212,324810
357,1876,325810,6212,325810
358,1878,325810,6212,325810
359,1880,325810,6212,325810
360,1882,326810,6212,326810
361,1884,327810,6212,327810
362,1886,328280,6212,328280
362,1886,328280,6212,328280
363,1894,328600,6212,328600
364,1896,328600,6212,328600
365,1904,329250,6212,329250
366,1912,329720,6212,329720
366,1912,330530,6212,330530
366,1912,331530,6212,331530
366,1912,332000,6212,332000
367,1914,333000,6212,333000
368,1922,334000,6212,334000
369,1930,335000,6212,335000
369,1930,336000,6212,336000
369,1930,336000,6212,336000
370,1938,336470,6212,336470
371,1942,337470,6212,337470
372,1944,338470,6212,338470
372,1944,339470,6212,339470
372,1944,340470,6212,340470
372,1944,341470,6212,341470
372,1944,341930,6212,341930
373,1952,342400,6212,342400
374,1960,342630,6212,342630
374,1960,343630,6212,343630
375,1968,344630,6212,344630
375,1968,344950,6212,344950
376,1976,344950,6212,344950
377,1978,345950,6212,345950
378,1986,346950,6212,346950
379,1988,346950,6212,346950
380,1990,346950,6212,346950
380,1990,346950,6212,346950
381,1992,347950,6212,347950
381,1992,348950,6212,348950
382,1996,348950,6212,348950
383,2004,348950,6212,348950
384,2012,349410,6212,349410
385,2014,350410,6212,350410
386,2016,351410,6212,351410
387,2024,352410,6212,352410
388,2032,353410,6212,353410
389,2036,354410,6212,354410
390,2038,355410,6212,355410
391,2042,356410,6212,356410
392,2044,357220,6212,357220
392,2044,358220,6212,358220
393,2052,359220,6212,359220
394,2054,359690,6212,359690
395,2056,360340,6212,360340
396,2058,360660,6212,360660
396,2058,360660,6212,360660
397,2060,361660,6212,361660
398,2068,362130,6212,362130
399,2076,363130,6212,363130
399,2076,363130,6212,363130
399,2076,364130,6212,364130
400,2084,365130,6212,365130
401,2092,366130,6212,366130
402,2100,366130,6212,366130
403,2104,367130,6212,367130
404,2106,368130,6212,368130
404,2106,368130,6212,368130
404,2106,369130,6212,369130
405,2108,369940,6212,369940
406,2110,370940,6212,370940
407,2118,371050,6212,371050
408,2126,372050,6212,372050
409,2134,372860,6212,372860
410,2136,373860,6212,373860
411,2144,374860,6212,374860
412,2148,374860,6212,374860
413,2156,375860,6212,375860
413,2156,375860,6212,375860
413,2156,376090,6212,376090
413,2156,377090,6212,377090
414,2158,377900,6212,377900
415,2166,378900,6212,378900
416,2168,379370,6212,379370
417,2176,379370,6212,379370
418,2178,380370,6212,380370
419,2186,381370,6212,381370
420,2188,382180,6212,382180
420,2188,382990,6212,382990
421,2196,383990,6212,383990
422,2198,384990,6212,384990
423,2206,385800,6212,385800
424,2208,386800,6212,386800
