ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
1182098.15,19.3,0.71,220032.08,3.59
1182371.32,19.31,0.71,220037.41,3.59
1182736.41,19.32,0.72,220041.14,3.59
1182576.87,19.32,0.72,220036.72,3.59
1182417.32,19.32,0.72,220032.89,3.59
1182445.74,19.32,0.73,220043.53,3.6
1182286.19,19.32,0.73,220049.7,3.6
1182302.72,19.32,0.73,220043.1,3.6
1182132.72,19.32,0.73,219834.97,3.59
1181594.05,19.31,0.72,219310.76,3.58
1181434.5,19.32,0.72,219309.86,3.59
1181467.55,19.32,0.72,219321.89,3.59
1181484.07,19.32,0.72,219306.13,3.59
1181864.4,19.32,0.73,219330.75,3.59
1181699.18,19.32,0.73,219334.01,3.59
1181715.7,19.32,0.73,219327.41,3.59
1181736.63,19.33,0.73,219424.73,3.59
1181533.97,19.33,0.73,219384.51,3.59
1181366.94,19.33,0.73,219382.51,3.59
1181628.93,19.33,0.74,219684.05,3.59
1181459.31,19.33,0.74,219693.23,3.59
1181803.56,19.34,0.75,219683.92,3.59
1181803.56,19.34,0.75,219614.98,3.59
1181644.01,19.34,0.75,219611.15,3.59
1181988.25,19.35,0.75,219601.83,3.59
1182016.67,19.35,0.76,219612.47,3.6
1181857.13,19.35,0.76,219602.55,3.6
1181690.09,19.35,0.76,219525.06,3.59
1181523.06,19.35,0.76,219523.05,3.6
1181551.48,19.35,0.76,219533.69,3.6
1181950.61,19.36,0.77,219553.74,3.6
1181785.39,19.36,0.77,219550.8,3.6
1181625.84,19.36,0.77,219551.88,3.6
1181646.77,19.37,0.77,219649.21,3.6
1181651.96,19.37,0.77,219210.07,3.59
1181492.41,19.37,0.77,219200.15,3.59
1181843.78,19.38,0.78,219277.62,3.59
1181872.2,19.38,0.78,219288.26,3.6
1181101.84,19.38,0.78,219381.41,3.6
1180934.81,19.38,0.78,219304.27,3.6
1180775.26,19.38,0.78,219310.44,3.6
1180608.23,19.38,0.78,219233.14,3.6
1179100.55,19.38,0.79,219174.32,3.6
1178941.0,19.38,0.79,219180.49,3.6
1178936.38,19.38,0.79,219272.5,3.61
1179146.58,19.39,0.79,219196.71,3.6
1179175.0,19.39,0.8,219207.35,3.6
1179430.26,19.4,0.8,219199.93,3.61
1179263.22,19.4,0.8,219197.92,3.61
1179697.75,19.41,0.81,219198.38,3.61
1179967.84,19.41,0.82,219189.07,3.61
1179988.77,19.42,0.82,219333.02,3.61
1179829.22,19.42,0.82,219329.46,3.61
1179857.64,19.42,0.82,219340.1,3.61
1179690.61,19.42,0.82,219262.8,3.61
1179711.54,19.42,0.83,219360.12,3.61
1179732.47,19.43,0.83,219457.45,3.61
1179565.44,19.43,0.83,219448.5,3.61
1179718.14,19.43,0.83,219091.63,3.61
1179980.13,19.44,0.84,219186.98,3.61
1180002.87,19.44,0.84,219197.62,3.61
1179843.33,19.44,0.84,219194.67,3.61
1180182.46,19.45,0.85,218971.23,3.61
1180533.83,19.45,0.86,219048.71,3.61
1180366.8,19.45,0.86,219039.77,3.61
1180199.77,19.45,0.86,218962.62,3.61
1180040.22,19.46,0.86,218952.7,3.61
1180274.67,19.46,0.86,218925.83,3.61
1181046.84,19.47,0.88,219466.85,3.62
1181063.36,19.47,0.88,219460.25,3.62
1181291.71,19.48,0.88,219205.87,3.61
1181320.13,19.48,0.89,219216.51,3.62
1181153.09,19.48,0.89,219199.01,3.62
1180986.06,19.48,0.89,219121.52,3.62
1180793.47,19.48,0.89,219091.78,3.62
1180793.47,19.48,0.89,219019.48,3.61
1180633.93,19.49,0.89,219011.22,3.61
1180880.94,19.49,0.89,218935.58,3.61
1181142.93,19.5,0.9,218921.82,3.61
1180950.34,19.5,0.9,218837.36,3.61
1180790.79,19.5,0.9,218838.45,3.61
1180631.24,19.5,0.9,218841.71,3.61
1180659.66,19.5,0.9,218852.35,3.61
1180492.63,19.5,0.9,218843.41,3.62
1180333.09,19.5,0.9,218849.58,3.62
1180498.01,19.51,0.91,218849.38,3.62
1180330.98,19.51,0.91,219094.34,3.62
1180576.11,19.52,0.92,218913.67,3.62
1180838.1,19.52,0.92,219009.01,3.62
1180678.55,19.52,0.92,219015.19,3.62
1181022.79,19.53,0.93,219005.87,3.62
1181055.84,19.53,0.93,219017.91,3.62
1180896.29,19.53,0.93,219018.99,3.62
1180908.19,19.53,0.93,219009.66,3.62
1180748.64,19.53,0.93,219000.16,3.62
1180581.61,19.53,0.93,219195.42,3.63
1181001.6,19.54,0.94,219254.28,3.63
1180818.82,19.54,0.94,218624.42,3.62
1181063.94,19.55,0.95,218432.61,3.62
1180904.4,19.55,0.95,218438.79,3.62
1181067.56,19.55,0.95,220197.59,3.65
1180874.97,19.55,0.95,220163.54,3.65
1181097.18,19.56,0.96,220189.14,3.65
1180931.95,19.56,0.96,220192.4,3.65
1180984.51,19.56,0.96,220141.44,3.65
1181349.6,19.57,0.97,220145.18,3.65
1181370.54,19.57,0.97,220242.5,3.65
1181210.99,19.57,0.97,220238.67,3.65
1181231.92,19.57,0.97,220335.99,3.65
1180494.6,19.57,0.97,220338.4,3.65
1180335.06,19.57,0.97,220333.73,3.65
1180259.16,19.58,0.98,220436.44,3.66
1180259.16,19.58,0.98,220367.06,3.66
1180259.16,19.58,0.98,220298.12,3.65
1180099.61,19.58,0.98,220295.0,3.65
1180361.6,19.58,0.98,220569.08,3.66
1180382.53,19.59,0.99,220666.4,3.66
1180415.58,19.59,0.99,220678.43,3.66
1180256.03,19.59,0.99,220681.69,3.66
1180096.49,19.59,0.99,220678.57,3.66
1180358.48,19.59,0.99,220773.92,3.66
1180198.93,19.59,0.99,220777.18,3.67
1180219.86,19.6,1.0,220874.5,3.67
1180052.83,19.6,1.0,220797.36,3.67
1180069.35,19.6,1.0,220781.59,3.67
1180434.44,19.6,1.0,220778.46,3.67
1180462.86,19.61,1.01,220789.1,3.67
1180462.86,19.61,1.01,220761.9,3.67
1180295.83,19.61,1.01,220752.95,3.67
1180113.05,19.61,1.01,220049.77,3.66
1179946.02,19.61,1.01,220028.27,3.66
1179974.44,19.61,1.01,220038.91,3.66
1180139.36,19.62,1.02,220038.7,3.66
1179946.77,19.62,1.02,220011.73,3.66
1179787.23,19.62,1.02,220002.23,3.66
1178279.55,19.62,1.02,219943.41,3.66
1178630.92,19.63,1.02,219868.72,3.66
1178463.89,19.63,1.02,220236.06,3.67
1178828.98,19.63,1.03,220239.79,3.67
1178661.95,19.63,1.03,220237.79,3.67
1179013.32,19.64,1.04,220163.1,3.67
1179008.69,19.64,1.04,220139.6,3.67
1179041.74,19.64,1.04,220151.63,3.67
1178843.47,19.64,1.04,220042.99,3.67
1179105.46,19.65,1.05,221023.67,3.68
1179126.39,19.65,1.05,221120.99,3.69
1178959.36,19.65,1.05,221043.55,3.68
1178792.32,19.65,1.05,220966.26,3.68
1178792.32,19.65,1.05,220949.54,3.68
1178625.29,19.65,1.05,220872.05,3.68
1178432.7,19.65,1.05,220849.92,3.68
1178273.15,19.65,1.05,220842.59,3.68
1178535.87,19.66,1.06,220564.47,3.68
1178368.84,19.66,1.06,220487.14,3.68
1178176.25,19.66,1.06,220464.24,3.68
1178618.49,19.67,1.07,220456.0,3.68
1178458.94,19.67,1.07,220457.09,3.68
1178623.87,19.67,1.07,220456.88,3.68
1178464.33,19.68,1.07,220453.05,3.68
1178726.32,19.68,1.08,220548.39,3.68
1178747.25,19.68,1.08,220645.72,3.68
1178577.25,19.68,1.08,220710.71,3.69
1178942.34,19.69,1.09,220714.44,3.69
1178775.31,19.69,1.09,220637.14,3.69
1178615.76,19.69,1.09,220633.31,3.69
1178768.46,19.7,1.09,220276.44,3.68
1179041.63,19.71,1.1,220281.77,3.68
