ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
751,2516,2241040,6212,2241040
751,2516,2241690,6212,2241690
751,2516,2242690,6212,2242690
752,2524,2243690,6212,2243690
752,2524,2244690,6212,2244690
752,2524,2245500,6212,2245500
752,2524,2246500,6212,2246500
752,2524,2247500,6212,2247500
752,2524,2248310,6212,2248310
752,2524,2249310,6212,2249310
752,2524,2249630,6212,2249630
752,2524,2250280,6212,2250280
752,2524,2251090,6212,2251090
753,2532,2252090,6212,2252090
753,2532,2252410,6212,2252410
753,2532,2253410,6212,2253410
753,2532,2254410,6212,2254410
753,2532,2255220,6212,2255220
753,2532,2256220,6212,2256220
753,2532,2257030,6212,2257030
753,2532,2258030,6212,2258030
753,2532,2259030,6212,2259030
754,2540,2260030,6212,2260030
754,2540,2260190,6212,2260190
754,2540,2261190,6212,2261190
754,2540,2262000,6212,2262000
754,2540,2262470,6212,2262470
754,2540,2262930,6212,2262930
754,2540,2263160,6212,2263160
754,2540,2264160,6212,2264160
754,2540,2264630,6212,2264630
754,2540,2265630,6212,2265630
754,2540,2266630,6212,2266630
754,2540,2267280,6212,2267280
755,2548,2268280,6212,2268280
755,2548,2272280,6212,2272280
755,2548,2273090,6212,2273090
755,2548,2274090,6212,2274090
755,2548,2275090,6212,2275090
756,2556,2275740,6212,2275740
756,2556,2276550,6212,2276550
756,2556,2277550,6212,2277550
756,2556,2278020,6212,2278020
756,2556,2279020,6212,2279020
756,2556,2280020,6212,2280020
756,2556,2280610,6212,2280610
756,2556,2281420,6212,2281420
757,2564,2282420,6212,2282420
757,2564,2283420,6212,2283420
757,2564,2284420,6212,2284420
757,2564,2285420,6212,2285420
757,2564,2286420,6212,2286420
757,2564,2287420,6212,2287420
757,2564,2288420,6212,2288420
758,2572,2289420,6212,2289420
758,2572,2290420,6212,2290420
758,2572,2291420,6212,2291420
758,2572,2292420,6212,2292420
758,2572,2293420,6212,2293420
758,2572,2294420,6212,2294420
758,2572,2295420,6212,2295420
758,2572,2296230,6212,2296230
758,2572,2297040,6212,2297040
759,2580,2297630,6212,2297630
759,2580,2297950,6212,2297950
760,2588,2298950,6212,2298950
760,2588,2299950,6212,2299950
760,2588,2300420,6212,2300420
760,2588,2301420,6212,2301420
760,2588,2302230,6212,2302230
760,2588,2303040,6212,2303040
760,2588,2304040,6212,2304040
760,2588,2304690,6212,2304690
760,2588,2305690,6212,2305690
760,2588,2306160,6212,2306160
760,2588,2306630,6212,2306630
760,2588,2307630,6212,2307630
760,2588,2308630,6212,2308630
760,2588,2309630,6212,2309630
760,2588,2310630,6212,2310630
760,2588,2311100,6212,2311100
760,2588,2312100,6212,2312100
760,2588,2312570,6212,2312570
761,2596,2313570,6212,2313570
761,2596,2314570,6212,2314570
761,2596,2315570,6212,2315570
761,2596,2316570,6212,2316570
761,2596,2317220,6212,2317220
761,2596,2318220,6212,2318220
761,2596,2319220,6212,2319220
762,2604,2320220,6212,2320220
762,2604,2321030,6212,2321030
762,2604,2321840,6212,2321840
762,2604,2321840,6212,2321840
762,2604,2322160,6212,2322160
762,2604,2322810,6212,2322810
762,2604,2323810,6212,2323810
762,2604,2323810,6212,2323810
762,2604,2324280,6212,2324280
762,2604,2325280,6212,2325280
762,2604,2325740,6212,2325740
762,2604,2326740,6212,2326740
762,2604,2326970,6212,2326970
762,2604,2327970,6212,2327970
762,2604,2328200,6212,2328200
763,2612,2329200,6212,2329200
763,2612,2330010,6212,2330010
763,2612,2330010,6212,2330010
763,2612,2330480,6212,2330480
763,2612,2331480,6212,2331480
763,2612,2332480,6212,2332480
763,2612,2333290,6212,2333290
763,2612,2334290,6212,2334290
763,2612,2335100,6212,2335100
763,2612,2335470,6212,2335470
763,2612,2335930,6212,2335930
764,2620,2336930,6212,2336930
764,2620,2337930,6212,2337930
764,2620,2338250,6212,2338250
764,2620,2339250,6212,2339250
764,2620,2339720,6212,2339720
764,2620,2340530,6212,2340530
764,2620,2341000,6212,2341000
764,2620,2341470,6212,2341470
764,2620,2341470,6212,2341470
764,2620,2341940,6212,2341940
764,2620,2342940,6212,2342940
764,2620,2342940,6212,2342940
764,2620,2343750,6212,2343750
765,2628,2344400,6212,2344400
765,2628,2345050,6212,2345050
765,2628,2345860,6212,2345860
765,2628,2345860,6212,2345860
765,2628,2346860,6212,2346860
765,2628,2347860,6212,2347860
765,2628,2348860,6212,2348860
765,2628,2349860,6212,2349860
765,2628,2350180,6212,2350180
765,2628,2350650,6212,2350650
766,2636,2351460,6212,2351460
766,2636,2352460,6212,2352460
766,2636,2352460,6212,2352460
766,2636,2353270,6212,2353270
766,2636,2354270,6212,2354270
766,2636,2354740,6212,2354740
766,2636,2355550,6212,2355550
766,2636,2356550,6212,2356550
766,2636,2357550,6212,2357550
766,2636,2358550,6212,2358550
767,2644,2359550,6212,2359550
767,2644,2360020,6212,2360020
767,2644,2361020,6212,2361020
767,2644,2362020,6212,2362020
767,2644,2363020,6212,2363020
767,2644,2364020,6212,2364020
767,2644,2364020,6212,2364020
767,2644,2364490,6212,2364490
767,2644,2364490,6212,2364490
767,2644,2365300,6212,2365300
767,2644,2366300,6212,2366300
767,2644,2366620,6212,2366620
768,2652,2367620,6212,2367620
768,2652,2368620,6212,2368620
768,2652,2369620,6212,2369620
768,2652,2370620,6212,2370620
768,2652,2371210,6212,2371210
768,2652,2372210,6212,2372210
768,2652,2372670,6212,2372670
768,2652,2373480,6212,2373480
769,2660,2374480,6212,2374480
769,2660,2375480,6212,2375480
769,2660,2376480,6212,2376480
769,2660,2377480,6212,2377480
769,2660,2377800,6212,2377800
769,2660,2378800,6212,2378800
769,2660,2379800,6212,2379800
769,2660,2380610,6212,2380610
769,2660,2381610,6212,2381610
770,2668,2382610,6212,2382610
770,2668,2383080,6212,2383080
770,2668,2383400,6212,2383400
770,2668,2384400,6212,2384400
770,2668,2385210,6212,2385210
770,2668,2385680,6212,2385680
770,2668,2386270,6212,2386270
770,2668,2386500,6212,2386500
770,2668,2387310,6212,2387310
770,2668,2388310,6212,2388310
770,2668,2389310,6212,2389310
770,2668,2389310,6212,2389310
771,2676,2389960,6212,2389960
771,2676,2390430,6212,2390430
771,2676,2391430,6212,2391430
771,2676,2391900,6212,2391900
771,2676,2392360,6212,2392360
771,2676,2393360,6212,2393360
771,2676,2394170,6212,2394170
771,2676,2394330,6212,2394330
771,2676,2394800,6212,2394800
771,2676,2395800,6212,2395800
771,2676,2396800,6212,2396800
771,2676,2396800,6212,2396800
772,2684,2397800,6212,2397800
772,2684,2398800,6212,2398800
772,2684,2399800,6212,2399800
772,2684,2400390,6212,2400390
772,2684,2400860,6212,2400860
772,2684,2400860,6212,2400860
772,2684,2400860,6212,2400860
772,2684,2401330,6212,2401330
772,2684,2401490,6212,2401490
772,2684,2402490,6212,2402490
772,2684,2403490,6212,2403490
772,2684,2404490,6212,2404490
773,2692,2405490,6212,2405490
773,2692,2406490,6212,2406490
773,2692,2406950,6212,2406950
773,2692,2407270,6212,2407270
773,2692,2408270,6212,2408270
773,2692,2409080,6212,2409080
773,2692,2409300,6212,2409300
773,2692,2410300,6212,2410300
773,2692,2411110,6212,2411110
773,2692,2412110,6212,2412110
773,2692,2413110,6212,2413110
774,2700,2414110,6212,2414110
774,2700,2415110,6212,2415110
774,2700,2416110,6212,2416110
774,2700,2416110,6212,2416110
774,2700,2417110,6212,2417110
774,2700,2417430,6212,2417430
774,2700,2417660,6212,2417660
774,2700,2418470,6212,2418470
774,2700,2418790,6212,2418790
774,2700,2419600,6212,2419600
774,2700,2419830,6212,2419830
775,2708,2420640,6212,2420640
775,2708,2421450,6212,2421450
775,2708,2421770,6212,2421770
775,2708,2422770,6212,2422770
775,2708,2423770,6212,2423770
775,2708,2424770,6212,2424770
775,2708,2425770,6212,2425770
775,2708,2426240,6212,2426240
775,2708,2427240,6212,2427240
775,2708,2428240,6212,2428240
776,2716,2429050,6212,2429050
776,2716,2430050,6212,2430050
776,2716,2430400,6212,2430400
776,2716,2431400,6212,2431400
776,2716,2432210,6212,2432210
776,2716,2433020,6212,2433020
776,2716,2433830,6212,2433830
776,2716,2434300,6212,2434300
776,2716,2435300,6212,2435300
776,2716,2435300,6212,2435300
777,2724,2436300,6212,2436300
777,2724,2437300,6212,2437300
777,2724,2438300,6212,2438300
777,2724,2439300,6212,2439300
777,2724,2440300,6212,2440300
777,2724,2441110,6212,2441110
777,2724,2442110,6212,2442110
777,2724,2442920,6212,2442920
778,2732,2443920,6212,2443920
778,2732,2444920,6212,2444920
778,2732,2446920,6212,2446920
778,2732,2447920,6212,2447920
778,2732,2448080,6212,2448080
778,2732,2449080,6212,2449080
779,2740,2450080,6212,2450080
779,2740,2451080,6212,2451080
779,2740,2452080,6212,2452080
779,2740,2453080,6212,2453080
779,2740,2454080,6212,2454080
779,2740,2455080,6212,2455080
779,2740,2456080,6212,2456080
779,2740,2457080,6212,2457080
779,2740,2458080,6212,2458080
780,2748,2458550,6212,2458550
780,2748,2459550,6212,2459550
780,2748,2460360,6212,2460360
780,2748,2460680,6212,2460680
780,2748,2461150,6212,2461150
780,2748,2461620,6212,2461620
780,2748,2462620,6212,2462620
780,2748,2463620,6212,2463620
780,2748,2464430,6212,2464430
780,2748,2465430,6212,2465430
781,2756,2466430,6212,2466430
781,2756,2467430,6212,2467430
781,2756,2467800,6212,2467800
781,2756,2468800,6212,2468800
781,2756,2469800,6212,2469800
781,2756,2470800,6212,2470800
781,2756,2470800,6212,2470800
781,2756,2471800,6212,2471800
781,2756,2472800,6212,2472800
781,2756,2473020,6212,2473020
782,2764,2474020,6212,2474020
782,2764,2475020,6212,2475020
782,2764,2476020,6212,2476020
782,2764,2477020,6212,2477020
782,2764,2478020,6212,2478020
782,2764,2478490,6212,2478490
782,2764,2479490,6212,2479490
782,2764,2480490,6212,2480490
782,2764,2481490,6212,2481490
783,2772,2482490,6212,2482490
783,2772,2482490,6212,2482490
783,2772,2483300,6212,2483300
783,2772,2484300,6212,2484300
783,2772,2485300,6212,2485300
783,2772,2485770,6212,2485770
783,2772,2486770,6212,2486770
783,2772,2487240,6212,2487240
783,2772,2488240,6212,2488240
783,2772,2488240,6212,2488240
783,2772,2488240,6212,2488240
783,2772,2488700,6212,2488700
784,2780,2489700,6212,2489700
784,2780,2490700,6212,2490700
784,2780,2491510,6212,2491510
784,2780,2492510,6212,2492510
784,2780,2492980,6212,2492980
784,2780,2493440,6212,2493440
784,2780,2494250,6212,2494250
784,2780,2495250,6212,2495250
784,2780,2495570,6212,2495570
784,2780,2496570,6212,2496570
785,2788,2497570,6212,2497570
785,2788,2498570,6212,2498570
785,2788,2499030,6212,2499030
785,2788,2499190,6212,2499190
785,2788,2500190,6212,2500190
785,2788,2500420,6212,2500420
785,2788,2501420,6212,2501420
785,2788,2501890,6212,2501890
786,2796,2502890,6212,2502890
786,2796,2503700,6212,2503700
786,2796,2504350,6212,2504350
786,2796,2504900,6212,2504900
786,2796,2505490,6212,2505490
786,2796,2505950,6212,2505950
786,2796,2506420,6212,2506420
786,2796,2507230,6212,2507230
786,2796,2508230,6212,2508230
786,2796,2509230,6212,2509230
786,2796,2509700,6212,2509700
787,2804,2510700,6212,2510700
787,2804,2511700,6212,2511700
787,2804,2512700,6212,2512700
787,2804,2512930,6212,2512930
787,2804,2513160,6212,2513160
787,2804,2513970,6212,2513970
787,2804,2514440,6212,2514440
787,2804,2514910,6212,2514910
787,2804,2515910,6212,2515910
787,2804,2516460,6212,2516460
787,2804,2517460,6212,2517460
787,2804,2517620,6212,2517620
787,2804,2518620,6212,2518620
788,2812,2519620,6212,2519620
788,2812,2520620,6212,2520620
788,2812,2521620,6212,2521620
788,2812,2521780,6212,2521780
788,2812,2522250,6212,2522250
788,2812,2522250,6212,2522250
788,2812,2523250,6212,2523250
788,2812,2524250,6212,2524250
788,2812,2525060,6212,2525060
788,2812,2526060,6212,2526060
788,2812,2527060,6212,2527060
789,2820,2527530,6212,2527530
789,2820,2528340,6212,2528340
789,2820,2529340,6212,2529340
789,2820,2529340,6212,2529340
789,2820,2530340,6212,2530340
789,2820,2531340,6212,2531340
789,2820,2532150,6212,2532150
789,2820,2532960,6212,2532960
789,2820,2533770,6212,2533770
790,2828,2534770,6212,2534770
790,2828,2535770,6212,2535770
790,2828,2536770,6212,2536770
790,2828,2537770,6212,2537770
790,2828,2538770,6212,2538770
790,2828,2539770,6212,2539770
790,2828,2540770,6212,2540770
790,2828,2541770,6212,2541770
791,2836,2542770,6212,2542770
791,2836,2543770,6212,2543770
791,2836,2544580,6212,2544580
791,2836,2545390,6212,2545390
791,2836,2546200,6212,2546200
791,2836,2547010,6212,2547010
791,2836,2547010,6212,2547010
791,2836,2547820,6212,2547820
791,2836,2548290,6212,2548290
791,2836,2549100,6212,2549100
792,2844,2550100,6212,2550100
792,2844,2550910,6212,2550910
792,2844,2551910,6212,2551910
792,2844,2552910,6212,2552910
792,2844,2553910,6212,2553910
792,2844,2554720,6212,2554720
792,2844,2555720,6212,2555720
792,2844,2556720,6212,2556720
793,2852,2557530,6212,2557530
793,2852,2558180,6212,2558180
793,2852,2558990,6212,2558990
793,2852,2559580,6212,2559580
793,2852,2559800,6212,2559800
793,2852,2560800,6212,2560800
793,2852,2560800,6212,2560800
793,2852,2561800,6212,2561800
793,2852,2562800,6212,2562800
793,2852,2563610,6212,2563610
793,2852,2563610,6212,2563610
793,2852,2563610,6212,2563610
794,2860,2564610,6212,2564610
794,2860,2565610,6212,2565610
794,2860,2565840,6212,2565840
794,2860,2566070,6212,2566070
794,2860,2566540,6212,2566540
794,2860,2567540,6212,2567540
794,2860,2567540,6212,2567540
794,2860,2567540,6212,2567540
794,2860,2568540,6212,2568540
794,2860,2569540,6212,2569540
794,2860,2570540,6212,2570540
794,2860,2570540,6212,2570540
794,2860,2571350,6212,2571350
795,2868,2572350,6212,2572350
795,2868,2573350,6212,2573350
795,2868,2573820,6212,2573820
795,2868,2574290,6212,2574290
795,2868,2575100,6212,2575100
795,2868,2575100,6212,2575100
795,2868,2575690,6212,2575690
795,2868,2576690,6212,2576690
795,2868,2576690,6212,2576690
795,2868,2577690,6212,2577690
795,2868,2578690,6212,2578690
796,2876,2579690,6212,2579690
796,2876,2580160,6212,2580160
796,2876,2580480,6212,2580480
796,2876,2581480,6212,2581480
796,2876,2582290,6212,2582290
796,2876,2583290,6212,2583290
796,2876,2584290,6212,2584290
796,2876,2585290,6212,2585290
796,2876,2586290,6212,2586290
796,2876,2587290,6212,2587290
797,2884,2588290,6212,2588290
797,2884,2588940,6212,2588940
797,2884,2589940,6212,2589940
797,2884,2590590,6212,2590590
797,2884,2590820,6212,2590820
797,2884,2591290,6212,2591290
797,2884,2592290,6212,2592290
797,2884,2593100,6212,2593100
797,2884,2593570,6212,2593570
797,2884,2594570,6212,2594570
798,2892,2595570,6212,2595570
798,2892,2595790,6212,2595790
798,2892,2596790,6212,2596790
798,2892,2597260,6212,2597260
798,2892,2597730,6212,2597730
798,2892,2598730,6212,2598730
798,2892,2599730,6212,2599730
798,2892,2599960,6212,2599960
798,2892,2600770,6212,2600770
798,2892,2601770,6212,2601770
798,2892,2602770,6212,2602770
799,2900,2603580,6212,2603580
799,2900,2604580,6212,2604580
799,2900,2605390,6212,2605390
799,2900,2605620,6212,2605620
799,2900,2606270,6212,2606270
799,2900,2607270,6212,2607270
799,2900,2607820,6212,2607820
799,2900,2608630,6212,2608630
799,2900,2609630,6212,2609630
800,2908,2610440,6212,2610440
800,2908,2611440,6212,2611440
800,2908,2612440,6212,2612440
800,2908,2613250,6212,2613250
800,2908,2614250,6212,2614250
800,2908,2615250,6212,2615250
800,2908,2616060,6212,2616060
800,2908,2617060,6212,2617060
801,2916,2618060,6212,2618060
801,2916,2618870,6212,2618870
801,2916,2619190,6212,2619190
801,2916,2620190,6212,2620190
801,2916,2621000,6212,2621000
801,2916,2622000,6212,2622000
801,2916,2622220,6212,2622220
801,2916,2623220,6212,2623220
801,2916,2624030,6212,2624030
801,2916,2625030,6212,2625030
802,2924,2625840,6212,2625840
802,2924,2626490,6212,2626490
802,2924,2627490,6212,2627490
802,2924,2627810,6212,2627810
802,2924,2628810,6212,2628810
802,2924,2629810,6212,2629810
802,2924,2630810,6212,2630810
802,2924,2631460,6212,2631460
802,2924,2631930,6212,2631930
803,2932,2632400,6212,2632400
803,2932,2632870,6212,2632870
803,2932,2633870,6212,2633870
803,2932,2634870,6212,2634870
803,2932,2635340,6212,2635340
803,2932,2636340,6212,2636340
803,2932,2637150,6212,2637150
803,2932,2638150,6212,2638150
803,2932,2638960,6212,2638960
803,2932,2639770,6212,2639770
804,2940,2640770,6212,2640770
804,2940,2641000,6212,2641000
804,2940,2642000,6212,2642000
804,2940,2642810,6212,2642810
804,2940,2643280,6212,2643280
804,2940,2643600,6212,2643600
804,2940,2644410,6212,2644410
804,2940,2645410,6212,2645410
804,2940,2646410,6212,2646410
804,2940,2646410,6212,2646410
804,2940,2646640,6212,2646640
805,2948,2647640,6212,2647640
805,2948,2648640,6212,2648640
805,2948,2649640,6212,2649640
805,2948,2650640,6212,2650640
805,2948,2651290,6212,2651290
805,2948,2651510,6212,2651510
805,2948,2651980,6212,2651980
805,2948,2652980,6212,2652980
805,2948,2653980,6212,2653980
805,2948,2654980,6212,2654980
806,2956,2655790,6212,2655790
806,2956,2656260,6212,2656260
806,2956,2657070,6212,2657070
806,2956,2657880,6212,2657880
806,2956,2658690,6212,2658690
806,2956,2659690,6212,2659690
806,2956,2660690,6212,2660690
806,2956,2661690,6212,2661690
806,2956,2662690,6212,2662690
807,2964,2663690,6212,2663690
807,2964,2664690,6212,2664690
807,2964,2665690,6212,2665690
807,2964,2666160,6212,2666160
807,2964,2667160,6212,2667160
807,2964,2668160,6212,2668160
807,2964,2669160,6212,2669160
807,2964,2670160,6212,2670160
808,2972,2670970,6212,2670970
809,2980,2678970,6212,2678970
809,2980,2679970,6212,2679970
809,2980,2680970,6212,2680970
809,2980,2681780,6212,2681780
809,2980,2682330,6212,2682330
809,2980,2683330,6212,2683330
809,2980,2684330,6212,2684330
809,2980,2685330,6212,2685330
810,2988,2686330,6212,2686330
810,2988,2686800,6212,2686800
810,2988,2687610,6212,2687610
810,2988,2688610,6212,2688610
810,2988,2689610,6212,2689610
810,2988,2690610,6212,2690610
810,2988,2691610,6212,2691610
810,2988,2692070,6212,2692070
810,2988,2693070,6212,2693070
811,2996,2693540,6212,2693540
811,2996,2694540,6212,2694540
811,2996,2695540,6212,2695540
811,2996,2696540,6212,2696540
811,2996,2697540,6212,2697540
811,2996,2698130,6212,2698130
811,2996,2698600,6212,2698600
811,2996,2699600,6212,2699600
811,2996,2700070,6212,2700070
812,3004,2701070,6212,2701070
812,3004,2702070,6212,2702070
812,3004,2703070,6212,2703070
812,3004,2704070,6212,2704070
812,3004,2705070,6212,2705070
812,3004,2705720,6212,2705720
812,3004,2706720,6212,2706720
813,3012,2707720,6212,2707720
813,3012,2708720,6212,2708720
813,3012,2709720,6212,2709720
813,3012,2710720,6212,2710720
813,3012,2711720,6212,2711720
813,3012,2712720,6212,2712720
813,3012,2713530,6212,2713530
813,3012,2714180,6212,2714180
814,3020,2715180,6212,2715180
814,3020,2716180,6212,2716180
814,3020,2716990,6212,2716990
814,3020,2717800,6212,2717800
814,3020,2718800,6212,2718800
814,3020,2719800,6212,2719800
814,3020,2720450,6212,2720450
814,3020,2721450,6212,2721450
815,3028,2722450,6212,2722450
815,3028,2723450,6212,2723450
815,3028,2723560,6212,2723560
815,3028,2724560,6212,2724560
815,3028,2725560,6212,2725560
815,3028,2726560,6212,2726560
815,3028,2727560,6212,2727560
815,3028,2728560,6212,2728560
815,3028,2729560,6212,2729560
816,3036,2730030,6212,2730030
816,3036,2730500,6212,2730500
816,3036,2731150,6212,2731150
816,3036,2732150,6212,2732150
816,3036,2733150,6212,2733150
816,3036,2733150,6212,2733150
816,3036,2734150,6212,2734150
816,3036,2734960,6212,2734960
816,3036,2735960,6212,2735960
816,3036,2736960,6212,2736960
817,3044,2737960,6212,2737960
817,3044,2738770,6212,2738770
817,3044,2739770,6212,2739770
817,3044,2740770,6212,2740770
817,3044,2741770,6212,2741770
817,3044,2742770,6212,2742770
817,3044,2743580,6212,2743580
817,3044,2744060,6212,2744060
817,3044,2744870,6212,2744870
818,3052,2745870,6212,2745870
818,3052,2746680,6212,2746680
818,3052,2746840,6212,2746840
818,3052,2747840,6212,2747840
818,3052,2748840,6212,2748840
818,3052,2749650,6212,2749650
818,3052,2749880,6212,2749880
818,3052,2750690,6212,2750690
818,3052,2751500,6212,2751500
818,3052,2752500,6212,2752500
818,3052,2752730,6212,2752730
819,3060,2753730,6212,2753730
819,3060,2754730,6212,2754730
819,3060,2755540,6212,2755540
819,3060,2756540,6212,2756540
819,3060,2757540,6212,2757540
819,3060,2758540,6212,2758540
819,3060,2759540,6212,2759540
819,3060,2760540,6212,2760540
820,3068,2761540,6212,2761540
820,3068,2762000,6212,2762000
820,3068,2763000,6212,2763000
820,3068,2764000,6212,2764000
820,3068,2765000,6212,2765000
820,3068,2766000,6212,2766000
820,3068,2766320,6212,2766320
820,3068,2767320,6212,2767320
820,3068,2767690,6212,2767690
820,3068,2768690,6212,2768690
821,3076,2769690,6212,2769690
821,3076,2770690,6212,2770690
821,3076,2771500,6212,2771500
821,3076,2772500,6212,2772500
821,3076,2773500,6212,2773500
821,3076,2774500,6212,2774500
821,3076,2775310,6212,2775310
821,3076,2775770,6212,2775770
821,3076,2776040,6212,2776040
822,3084,2777040,6212,2777040
822,3084,2778040,6212,2778040
822,3084,2779040,6212,2779040
822,3084,2780040,6212,2780040
822,3084,2781040,6212,2781040
822,3084,2782040,6212,2782040
823,3092,2782690,6212,2782690
823,3092,2783690,6212,2783690
823,3092,2784160,6212,2784160
823,3092,2784530,6212,2784530
823,3092,2785530,6212,2785530
823,3092,2786530,6212,2786530
823,3092,2786530,6212,2786530
823,3092,2786760,6212,2786760
823,3092,2787410,6212,2787410
823,3092,2787870,6212,2787870
823,3092,2788340,6212,2788340
823,3092,2789340,6212,2789340
823,3092,2789930,6212,2789930
824,3100,2790400,6212,2790400
824,3100,2791210,6212,2791210
824,3100,2792210,6212,2792210
824,3100,2793210,6212,2793210
824,3100,2794210,6212,2794210
824,3100,2795210,6212,2795210
824,3100,2796210,6212,2796210
824,3100,2797020,6212,2797020
825,3108,2798020,6212,2798020
825,3108,2798830,6212,2798830
825,3108,2799300,6212,2799300
825,3108,2800300,6212,2800300
825,3108,2801300,6212,2801300
825,3108,2802300,6212,2802300
825,3108,2803300,6212,2803300
825,3108,2803770,6212,2803770
825,3108,2804230,6212,2804230
825,3108,2804550,6212,2804550
826,3116,2805550,6212,2805550
826,3116,2806550,6212,2806550
826,3116,2807550,6212,2807550
826,3116,2808550,6212,2808550
826,3116,2808870,6212,2808870
826,3116,2809870,6212,2809870
826,3116,2810870,6212,2810870
826,3116,2810870,6212,2810870
826,3116,2811680,6212,2811680
826,3116,2811900,6212,2811900
827,3124,2812900,6212,2812900
827,3124,2813900,6212,2813900
827,3124,2814710,6212,2814710
827,3124,2815710,6212,2815710
827,3124,2815710,6212,2815710
827,3124,2816180,6212,2816180
827,3124,2816340,6212,2816340
827,3124,2817340,6212,2817340
827,3124,2818150,6212,2818150
827,3124,2819150,6212,2819150
827,3124,2819800,6212,2819800
828,3132,2820800,6212,2820800
828,3132,2821800,6212,2821800
828,3132,2822800,6212,2822800
828,3132,2823610,6212,2823610
828,3132,2824610,6212,2824610
828,3132,2825610,6212,2825610
828,3132,2826610,6212,2826610
828,3132,2827610,6212,2827610
829,3140,2828420,6212,2828420
829,3140,2828740,6212,2828740
829,3140,2829550,6212,2829550
829,3140,2830550,6212,2830550
829,3140,2831550,6212,2831550
829,3140,2832360,6212,2832360
829,3140,2833360,6212,2833360
829,3140,2833830,6212,2833830
829,3140,2834830,6212,2834830
830,3148,2835830,6212,2835830
830,3148,2836480,6212,2836480
830,3148,2836800,6212,2836800
830,3148,2837800,6212,2837800
830,3148,2838450,6212,2838450
830,3148,2838680,6212,2838680
830,3148,2838730,6212,2838730
830,3148,2839730,6212,2839730
830,3148,2840730,6212,2840730
830,3148,2841200,6212,2841200
831,3156,2842200,6212,2842200
831,3156,2843200,6212,2843200
831,3156,2844200,6212,2844200
831,3156,2845200,6212,2845200
831,3156,2845790,6212,2845790
831,3156,2846790,6212,2846790
831,3156,2847790,6212,2847790
831,3156,2848790,6212,2848790
831,3156,2849790,6212,2849790
832,3164,2850790,6212,2850790
832,3164,2851600,6212,2851600
832,3164,2852600,6212,2852600
832,3164,2853600,6212,2853600
832,3164,2854600,6212,2854600
832,3164,2855190,6212,2855190
832,3164,2855420,6212,2855420
832,3164,2856420,6212,2856420
832,3164,2857420,6212,2857420
833,3172,2858230,6212,2858230
833,3172,2859230,6212,2859230
833,3172,2860230,6212,2860230
833,3172,2861230,6212,2861230
833,3172,2861230,6212,2861230
833,3172,2861880,6212,2861880
833,3172,2862880,6212,2862880
833,3172,2863690,6212,2863690
833,3172,2863690,6212,2863690
833,3172,2864160,6212,2864160
834,3180,2865160,6212,2865160
834,3180,2866160,6212,2866160
834,3180,2866970,6212,2866970
834,3180,2867780,6212,2867780
834,3180,2868590,6212,2868590
834,3180,2869590,6212,2869590
834,3180,2870590,6212,2870590
834,3180,2871590,6212,2871590
835,3188,2872590,6212,2872590
835,3188,2873590,6212,2873590
835,3188,2874590,6212,2874590
835,3188,2875400,6212,2875400
835,3188,2876210,6212,2876210
835,3188,2877020,6212,2877020
835,3188,2878020,6212,2878020
835,3188,2878830,6212,2878830
836,3196,2879830,6212,2879830
836,3196,2880200,6212,2880200
836,3196,2880680,6212,2880680
836,3196,2881680,6212,2881680
836,3196,2882680,6212,2882680
836,3196,2882680,6212,2882680
836,3196,2883680,6212,2883680
836,3196,2884680,6212,2884680
836,3196,2885680,6212,2885680
836,3196,2886680,6212,2886680
836,3196,2887680,6212,2887680
837,3204,2888150,6212,2888150
837,3204,2888620,6212,2888620
837,3204,2889270,6212,2889270
837,3204,2890270,6212,2890270
837,3204,2891080,6212,2891080
837,3204,2892080,6212,2892080
837,3204,2892400,6212,2892400
837,3204,2892870,6212,2892870
837,3204,2893870,6212,2893870
837,3204,2894870,6212,2894870
838,3212,2895870,6212,2895870
838,3212,2896520,6212,2896520
838,3212,2897520,6212,2897520
838,3212,2898520,6212,2898520
838,3212,2898990,6212,2898990
838,3212,2899990,6212,2899990
838,3212,2900990,6212,2900990
839,3220,2901990,6212,2901990
839,3220,2902990,6212,2902990
839,3220,2903990,6212,2903990
839,3220,2904990,6212,2904990
839,3220,2905990,6212,2905990
839,3220,2906460,6212,2906460
839,3220,2907460,6212,2907460
839,3220,2907830,6212,2907830
839,3220,2908830,6212,2908830
839,3220,2909050,6212,2909050
839,3220,2909270,6212,2909270
839,3220,2910270,6212,2910270
839,3220,2911270,6212,2911270
840,3228,2912080,6212,2912080
840,3228,2912550,6212,2912550
841,3236,2920550,6212,2920550
841,3236,2921550,6212,2921550
