ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
196,1036,167080,6212,167080
197,1038,168080,6212,168080
198,1046,168310,6212,168310
199,1047,169310,6212,169310
200,1049,170310,6212,170310
200,1049,171310,6212,171310
201,1057,171310,6212,171310
202,1059,172310,6212,172310
203,1067,172860,6212,172860
204,1069,173860,6212,173860
205,1077,174020,6212,174020
206,1085,174340,6212,174340
207,1087,175150,6212,175150
208,1095,176150,6212,176150
209,1097,176960,6212,176960
210,1105,180960,6212,180960
211,1113,181960,6212,181960
212,1115,182960,6212,182960
213,1123,182960,6212,182960
214,1125,182960,6212,182960
215,1133,183960,6212,183960
215,1133,184430,6212,184430
216,1135,185240,6212,185240
217,1137,185240,6212,185240
217,1137,186240,6212,186240
218,1145,187240,6212,187240
219,1147,187710,6212,187710
220,1149,188710,6212,188710
220,1149,189520,6212,189520
221,1157,190520,6212,190520
221,1157,190520,6212,190520
222,1165,190840,6212,190840
223,1173,191650,6212,191650
224,1181,191650,6212,191650
225,1183,192650,6212,192650
226,1185,193650,6212,193650
227,1193,194650,6212,194650
228,1195,195460,6212,195460
229,1197,196110,6212,196110
229,1197,197110,6212,197110
230,1205,198110,6212,198110
231,1213,206110,6212,206110
232,1215,206430,6212,206430
233,1217,207430,6212,207430
234,1219,207750,6212,207750
235,1227,208750,6212,208750
236,1235,209070,6212,209070
237,1237,209880,6212,209880
237,1237,209880,6212,209880
238,1245,210880,6212,210880
239,1253,211350,6212,211350
240,1255,212160,6212,212160
241,1257,213160,6212,213160
241,1257,214160,6212,214160
242,1261,214160,6212,214160
243,1269,215160,6212,215160
244,1271,216160,6212,216160
245,1279,217160,6212,217160
246,1287,217630,6212,217630
247,1295,218630,6212,218630
248,1297,219630,6212,219630
249,1305,219850,6212,219850
249,1305,220850,6212,220850
250,1307,221500,6212,221500
251,1309,222500,6212,222500
252,1317,222970,6212,222970
252,1317,223780,6212,223780
253,1325,224780,6212,224780
253,1325,225100,6212,225100
254,1327,226100,6212,226100
255,1335,227100,6212,227100
255,1335,228100,6212,228100
256,1343,228570,6212,228570
256,1343,229570,6212,229570
256,1343,230570,6212,230570
256,1343,230570,6212,230570
257,1345,231380,6212,231380
258,1347,231380,6212,231380
259,1355,232380,6212,232380
260,1357,232380,6212,232380
261,1365,232380,6212,232380
262,1367,233190,6212,233190
263,1369,234190,6212,234190
264,1377,235190,6212,235190
265,1385,236190,6212,236190
265,1385,236190,6212,236190
266,1393,237190,6212,237190
267,1395,237190,6212,237190
268,1396,237650,6212,237650
269,1404,237700,6212,237700
270,1406,238700,6212,238700
270,1406,238700,6212,238700
270,1406,238700,6212,238700
271,1408,239700,6212,239700
272,1410,240700,6212,240700
273,1418,241700,6212,241700
273,1418,242700,6212,242700
274,1420,243510,6212,243510
275,1428,243670,6212,243670
275,1428,244480,6212,244480
276,1436,244950,6212,244950
277,1444,245950,6212,245950
