ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
874937.61,14.3,0.7,181338.13,2.96
874801.64,14.3,0.7,181251.78,2.96
874854.34,14.3,0.7,181251.85,2.96
874718.36,14.3,0.7,181251.85,2.96
874718.36,14.3,0.7,181172.54,2.96
874718.36,14.3,0.7,181087.0,2.96
875172.72,14.31,0.71,181915.46,2.97
875036.74,14.31,0.71,181905.56,2.97
875036.74,14.31,0.71,181826.25,2.97
875089.44,14.31,0.71,181826.25,2.97
875730.18,14.32,0.73,181890.68,2.98
875594.2,14.32,0.73,181890.84,2.98
876450.62,14.34,0.74,182237.17,2.98
876314.65,14.34,0.74,182237.33,2.98
876680.25,14.35,0.75,182238.1,2.98
876680.25,14.35,0.75,182237.79,2.98
876544.27,14.35,0.75,182237.48,2.98
876909.88,14.35,0.76,182237.48,2.98
876962.58,14.36,0.76,182237.54,2.98
876826.6,14.36,0.76,182237.23,2.98
876690.63,14.36,0.76,182236.92,2.98
876554.65,14.36,0.76,182236.92,2.98
876607.35,14.36,0.76,182348.0,2.99
877068.58,14.37,0.77,182268.69,2.99
876932.6,14.37,0.77,182268.38,2.99
876796.62,14.37,0.77,182268.07,2.99
876861.94,14.37,0.77,181844.81,2.98
876914.64,14.37,0.78,181844.81,2.98
876778.67,14.37,0.78,181788.18,2.98
877163.33,14.38,0.78,181787.87,2.98
877216.03,14.38,0.79,181898.95,2.98
876672.12,14.38,0.79,181898.95,2.98
876536.14,14.38,0.79,181876.26,2.98
876400.16,14.38,0.79,181882.49,2.99
876264.19,14.38,0.79,181803.18,2.98
875176.37,14.39,0.79,181802.87,2.99
875105.24,14.39,0.79,181524.78,2.98
875157.94,14.39,0.79,181524.84,2.98
875401.98,14.39,0.8,181445.53,2.98
875454.68,14.4,0.8,181445.59,2.98
875299.47,14.4,0.8,181175.31,2.98
875163.5,14.4,0.8,181175.47,2.98
875617.07,14.4,0.81,181232.22,2.98
875921.24,14.41,0.81,181603.1,2.99
875973.94,14.41,0.82,181603.16,2.99
875837.96,14.41,0.82,181602.85,2.99
875890.66,14.42,0.82,181602.92,2.99
875754.69,14.42,0.82,181602.6,2.99
875807.39,14.42,0.82,181602.67,2.99
875860.09,14.42,0.82,181713.75,2.99
875724.11,14.42,0.82,181713.44,2.99
875588.14,14.42,0.82,181713.13,2.99
875884.16,14.43,0.83,181712.82,2.99
875936.86,14.43,0.83,181712.88,2.99
875800.88,14.43,0.83,181634.92,2.99
876185.54,14.44,0.84,181736.59,2.99
876570.2,14.44,0.85,181838.26,3.0
876908.34,14.45,0.86,181646.03,2.99
877072.13,14.46,0.86,182561.48,3.01
876936.16,14.46,0.86,182561.17,3.01
877232.18,14.46,0.87,182671.35,3.01
878083.32,14.48,0.88,183222.88,3.02
878083.32,14.48,0.88,183222.57,3.02
878406.01,14.49,0.89,182968.95,3.02
878458.71,14.49,0.89,182968.95,3.02
878322.74,14.49,0.89,182959.06,3.02
878963.48,14.5,0.9,183023.49,3.02
878827.5,14.5,0.9,183023.49,3.02
878827.5,14.5,0.9,182944.18,3.02
878691.52,14.5,0.9,182943.87,3.02
878972.63,14.51,0.91,182864.56,3.02
879268.66,14.51,0.92,182864.56,3.02
879132.68,14.51,0.92,182785.25,3.02
878996.7,14.51,0.92,182784.94,3.02
878860.72,14.51,0.92,182784.94,3.02
878913.43,14.52,0.92,182784.56,3.02
878777.45,14.52,0.92,182784.26,3.02
878641.47,14.52,0.92,182784.42,3.02
878831.92,14.52,0.92,182784.11,3.02
878695.95,14.52,0.92,182783.41,3.02
878559.97,14.52,0.92,182789.64,3.02
878247.87,14.52,0.92,182843.44,3.02
878111.89,14.52,0.92,182849.67,3.02
878477.5,14.53,0.93,182849.36,3.02
878477.5,14.53,0.93,182854.59,3.02
878341.52,14.53,0.93,182854.28,3.02
878394.22,14.53,0.93,182854.34,3.02
878258.24,14.53,0.93,182775.03,3.02
878596.38,14.54,0.94,182582.79,3.02
879049.95,14.54,0.95,182582.48,3.02
878444.75,14.54,0.94,182001.1,3.01
878308.77,14.54,0.94,181991.2,3.01
878172.8,14.54,0.94,181991.2,3.01
878172.8,14.54,0.94,181996.43,3.01
878036.82,14.54,0.94,181969.14,3.01
878317.93,14.54,0.95,181968.83,3.01
878181.95,14.54,0.95,181958.93,3.01
878572.52,14.55,0.95,181958.62,3.01
878957.18,14.56,0.96,181958.31,3.01
879009.88,14.56,0.96,182069.39,3.02
878873.9,14.56,0.96,182069.39,3.02
878926.6,14.56,0.97,182180.47,3.02
878382.69,14.56,0.97,182189.8,3.02
878246.72,14.56,0.97,182189.49,3.02
