ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-bellman_ratio
908879.98,14.85,1.25,185827.92,3.04
912002.83,14.9,1.31,187972.44,3.07
912325.51,14.91,1.31,187718.82,3.07
911799.06,14.9,1.31,187192.37,3.06
912156.26,14.91,1.31,186998.87,3.06
915612.35,14.97,1.37,190023.7,3.11
915945.59,14.97,1.38,190904.0,3.12
917793.3,15.01,1.41,192636.8,3.15
918131.44,15.01,1.42,192444.57,3.15
919362.19,15.03,1.44,193319.96,3.16
918854.79,15.03,1.43,192754.54,3.15
919495.53,15.04,1.44,192818.97,3.15
919833.67,15.05,1.45,192638.83,3.15
920690.09,15.06,1.47,192985.16,3.16
921028.23,15.07,1.47,192805.02,3.15
921196.31,15.07,1.48,192923.44,3.16
922427.06,15.09,1.5,193798.83,3.17
922749.75,15.1,1.5,193545.22,3.17
922917.83,15.11,1.51,193663.63,3.17
922410.43,15.1,1.5,193098.21,3.16
923051.17,15.11,1.52,193162.64,3.16
923691.92,15.13,1.53,193227.08,3.16
924030.06,15.13,1.54,193046.94,3.16
923523.93,15.13,1.53,192546.92,3.15
923618.25,15.13,1.53,192575.03,3.15
922920.85,15.12,1.52,191831.7,3.14
922223.45,15.11,1.51,191076.27,3.13
921717.32,15.11,1.51,190576.26,3.12
921190.86,15.1,1.5,190024.18,3.11
921831.61,15.11,1.51,190088.62,3.12
922049.21,15.12,1.52,190257.04,3.12
921557.26,15.11,1.51,189765.09,3.11
921013.35,15.11,1.51,188789.92,3.1
921370.55,15.12,1.52,188596.42,3.09
921708.69,15.13,1.53,188416.28,3.09
922349.43,15.14,1.54,188480.72,3.09
921261.61,15.14,1.54,188480.41,3.1
921599.75,15.15,1.55,188300.27,3.1
921092.35,15.14,1.55,187734.84,3.09
920912.34,15.14,1.55,187333.88,3.08
920420.4,15.14,1.54,186841.93,3.07
920173.0,15.13,1.54,186548.6,3.07
920511.14,15.14,1.54,186368.46,3.07
920595.46,15.14,1.55,186386.57,3.07
920453.52,15.14,1.55,186244.62,3.06
919927.06,15.14,1.54,185692.55,3.06
919321.86,15.13,1.53,185111.17,3.05
918814.46,15.12,1.52,184545.75,3.04
919137.15,15.13,1.53,184292.13,3.03
918629.75,15.12,1.53,183726.71,3.02
918122.35,15.12,1.52,183161.28,3.02
918460.49,15.13,1.53,182969.04,3.01
917855.29,15.12,1.52,182248.76,3.0
918711.71,15.13,1.54,182595.09,3.01
918185.25,15.13,1.53,182043.02,3.0
917487.85,15.12,1.52,181287.59,2.99
917482.17,15.12,1.52,181215.7,2.99
917476.5,15.12,1.52,181143.81,2.99
917814.64,15.13,1.53,180951.57,2.98
917978.43,15.13,1.53,181867.34,3.0
918619.17,15.15,1.55,181931.77,3.0
920441.47,15.18,1.58,182570.83,3.01
920441.47,15.18,1.58,182570.83,3.01
921672.22,15.2,1.6,183446.23,3.02
921994.91,15.2,1.61,183192.61,3.02
921487.51,15.2,1.6,182627.19,3.01
920790.11,15.19,1.59,181871.76,3.0
921430.85,15.2,1.6,181936.2,3.0
921768.99,15.21,1.61,181743.96,3.0
922999.74,15.23,1.63,182619.36,3.01
924501.67,15.26,1.66,183980.35,3.04
924269.73,15.26,1.66,183748.4,3.03
924194.52,15.26,1.66,183558.12,3.03
923589.32,15.25,1.65,182976.74,3.02
922891.92,15.24,1.64,182233.41,3.01
923230.06,15.25,1.65,182041.17,3.01
922722.66,15.24,1.64,181487.85,3.0
923060.8,15.25,1.65,181295.61,3.0
923398.95,15.26,1.66,181115.47,2.99
924085.82,15.27,1.67,181219.92,2.99
923403.87,15.26,1.66,180537.98,2.98
923742.01,15.27,1.67,180357.84,2.98
924598.43,15.28,1.69,180704.16,2.99
924936.57,15.29,1.7,180524.02,2.98
925104.65,15.3,1.7,180642.44,2.99
928560.74,15.35,1.76,183667.27,3.04
927863.35,15.34,1.75,182923.94,3.03
927355.95,15.34,1.74,182370.61,3.02
927713.14,15.35,1.75,182151.5,3.01
928051.29,15.36,1.76,181959.27,3.01
928365.06,15.36,1.76,181825.92,3.01
927667.67,15.35,1.75,181082.59,3.0
928005.81,15.36,1.76,180890.36,2.99
928343.95,15.37,1.77,180710.22,2.99
931800.04,15.43,1.83,183735.05,3.04
932157.24,15.43,1.84,183541.55,3.04
931909.84,15.43,1.83,183236.13,3.03
932247.98,15.44,1.84,183043.89,3.03
932089.3,15.44,1.84,182885.21,3.03
932083.62,15.44,1.84,182813.32,3.03
931577.49,15.43,1.83,182313.3,3.02
931900.18,15.44,1.84,182059.68,3.02
931392.78,15.43,1.84,181494.26,3.01
930848.87,15.43,1.84,180519.09,2.99
931206.07,15.44,1.85,180299.98,2.99
931846.81,15.46,1.86,180364.41,2.99
935302.9,15.51,1.92,183389.24,3.04
936533.65,15.53,1.94,184264.64,3.06
936697.44,15.54,1.94,185180.4,3.07
938519.74,15.57,1.97,185819.46,3.08
938103.22,15.57,1.97,185287.86,3.07
941559.31,15.62,2.03,188312.69,3.12
941897.45,15.63,2.03,188120.45,3.12
942061.24,15.64,2.04,189036.22,3.14
941986.04,15.64,2.04,188845.94,3.13
943278.34,15.66,2.06,188955.0,3.14
942770.94,15.65,2.06,188389.57,3.13
942934.73,15.66,2.06,189305.34,3.14
943267.98,15.67,2.07,190185.64,3.16
943342.77,15.67,2.07,190145.36,3.16
942816.32,15.66,2.06,189618.9,3.15
944200.82,15.68,2.09,189861.11,3.15
944538.96,15.69,2.09,189668.87,3.15
943841.56,15.68,2.08,188925.54,3.14
943236.35,15.68,2.08,188205.26,3.13
942728.96,15.67,2.07,187651.93,3.12
944586.81,15.7,2.1,188459.72,3.13
944450.83,15.7,2.1,188444.92,3.13
944314.86,15.7,2.1,188373.37,3.13
943227.04,15.71,2.11,188366.01,3.14
943644.15,15.71,2.12,187820.96,3.13
943508.17,15.71,2.12,187793.67,3.13
943892.83,15.72,2.12,188270.94,3.14
943756.85,15.72,2.12,188271.93,3.14
943571.97,15.72,2.12,188022.41,3.13
943064.57,15.71,2.11,187456.98,3.12
943064.57,15.71,2.11,187456.98,3.12
942928.6,15.71,2.11,187369.65,3.12
942883.82,15.71,2.12,187620.3,3.13
942357.36,15.71,2.11,187068.23,3.12
943082.57,15.72,2.12,188386.06,3.14
942946.59,15.72,2.12,188280.64,3.14
942946.59,15.72,2.12,188280.64,3.14
944448.53,15.75,2.15,189641.63,3.16
944312.55,15.75,2.15,189642.62,3.16
944176.57,15.75,2.15,189555.29,3.16
944472.59,15.76,2.16,189486.16,3.16
943775.19,15.75,2.15,188742.83,3.15
943639.22,15.75,2.15,188743.82,3.15
943443.46,15.74,2.15,188597.02,3.15
942761.51,15.74,2.14,187915.07,3.14
942951.96,15.74,2.14,188106.57,3.14
942815.99,15.74,2.14,188064.38,3.14
942465.62,15.74,2.14,188700.94,3.15
941939.17,15.73,2.13,188174.48,3.14
942220.39,15.74,2.14,188153.94,3.14
942258.77,15.74,2.14,188110.75,3.14
942122.79,15.74,2.14,188024.4,3.14
941986.81,15.74,2.14,188024.4,3.14
941850.84,15.74,2.14,187909.44,3.14
942146.86,15.75,2.15,187840.31,3.14
942010.88,15.75,2.15,187841.3,3.14
941874.9,15.75,2.15,187753.96,3.14
941874.9,15.75,2.15,187753.96,3.14
941367.5,15.74,2.14,187200.64,3.13
941367.5,15.74,2.14,187195.79,3.13
941756.33,15.75,2.15,188948.66,3.16
941756.33,15.75,2.15,188948.66,3.16
941756.33,15.75,2.15,188948.66,3.16
941248.93,15.74,2.15,188395.33,3.15
941550.18,15.75,2.15,188040.65,3.15
940960.17,15.74,2.15,187229.68,3.13
940824.19,15.74,2.15,187214.89,3.13
940824.19,15.74,2.15,187214.89,3.13
940688.21,15.74,2.15,187143.34,3.13
940688.21,15.74,2.15,187143.34,3.13
940295.02,15.74,2.14,186756.04,3.13
940245.02,15.74,2.14,186706.04,3.13
940109.04,15.74,2.14,186619.7,3.12
940109.04,15.74,2.14,186619.7,3.12
940109.04,15.74,2.14,186665.3,3.12
939973.07,15.74,2.14,186665.3,3.13
939287.39,15.73,2.13,185913.4,3.11
939151.41,15.73,2.13,185827.06,3.11
939015.44,15.73,2.13,185827.06,3.11
938621.51,15.73,2.13,185192.48,3.1
938483.76,15.72,2.13,185056.06,3.1
938089.84,15.72,2.12,184421.48,3.09
938385.86,15.73,2.13,184403.44,3.09
938249.88,15.73,2.13,184388.64,3.09
938615.49,15.73,2.14,184830.05,3.1
938272.79,15.73,2.13,184454.22,3.09
938810.59,15.74,2.14,184951.08,3.1
938471.05,15.73,2.14,184910.69,3.1
939394.56,15.75,2.16,186516.55,3.13
939258.58,15.75,2.16,186591.25,3.13
939209.91,15.75,2.16,186472.75,3.13
939209.91,15.75,2.16,186472.75,3.13
939862.27,15.77,2.17,187431.78,3.14
939726.29,15.77,2.17,187345.43,3.14
939254.67,15.76,2.16,186764.42,3.13
939118.69,15.76,2.16,186764.42,3.13
939173.72,15.76,2.17,186354.75,3.13
