ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-arrived_gpu_milli
135,294,166080,6212,166080
136,296,167080,6212,167080
137,298,168080,6212,168080
137,298,168310,6212,168310
137,298,169310,6212,169310
138,300,170310,6212,170310
139,302,171310,6212,171310
140,306,171310,6212,171310
141,308,172310,6212,172310
141,308,172860,6212,172860
142,310,173860,6212,173860
142,310,174020,6212,174020
142,310,174340,6212,174340
142,310,175150,6212,175150
143,312,176150,6212,176150
143,312,176960,6212,176960
144,316,180960,6212,180960
145,318,181960,6212,181960
146,320,182960,6212,182960
147,324,182960,6212,182960
148,326,182960,6212,182960
149,330,183960,6212,183960
149,330,184430,6212,184430
150,331,185240,6212,185240
151,335,185240,6212,185240
152,337,186240,6212,186240
153,341,187240,6212,187240
154,342,187710,6212,187710
154,342,188710,6212,188710
154,342,189520,6212,189520
155,346,190520,6212,190520
156,350,190520,6212,190520
157,351,190840,6212,190840
157,351,191650,6212,191650
157,351,191650,6212,191650
158,353,192650,6212,192650
158,353,193650,6212,193650
159,354,194650,6212,194650
159,354,195460,6212,195460
159,354,196110,6212,196110
160,356,197110,6212,197110
160,356,198110,6212,198110
161,364,206110,6212,206110
162,368,206430,6212,206430
163,370,207430,6212,207430
163,370,207750,6212,207750
164,372,208750,6212,208750
164,372,209070,6212,209070
164,372,209880,6212,209880
164,372,209880,6212,209880
164,372,210880,6212,210880
164,372,211350,6212,211350
164,372,212160,6212,212160
164,372,213160,6212,213160
164,372,214160,6212,214160
164,372,214160,6212,214160
165,376,215160,6212,215160
166,378,216160,6212,216160
166,378,217160,6212,217160
167,382,217630,6212,217630
167,382,218630,6212,218630
168,384,219630,6212,219630
168,384,219850,6212,219850
168,384,220850,6212,220850
168,384,221500,6212,221500
168,384,222500,6212,222500
168,384,222970,6212,222970
168,384,223780,6212,223780
168,384,224780,6212,224780
168,384,225100,6212,225100
169,386,226100,6212,226100
169,386,227100,6212,227100
170,387,228100,6212,228100
171,391,228570,6212,228570
172,393,229570,6212,229570
172,393,230570,6212,230570
172,393,230570,6212,230570
172,393,231380,6212,231380
172,393,231380,6212,231380
172,393,232380,6212,232380
172,393,232380,6212,232380
172,393,232380,6212,232380
172,393,233190,6212,233190
172,393,234190,6212,234190
172,393,235190,6212,235190
173,395,236190,6212,236190
173,395,236190,6212,236190
173,395,237190,6212,237190
173,395,237190,6212,237190
173,395,237650,6212,237650
173,395,237700,6212,237700
174,397,238700,6212,238700
174,397,238700,6212,238700
174,397,238700,6212,238700
174,397,239700,6212,239700
174,397,240700,6212,240700
175,399,241700,6212,241700
175,399,242700,6212,242700
175,399,243510,6212,243510
175,399,243670,6212,243670
175,399,244480,6212,244480
176,403,244950,6212,244950
177,405,245950,6212,245950
177,405,246320,6212,246320
177,405,246790,6212,246790
177,405,247160,6212,247160
177,405,247630,6212,247630
177,405,248630,6212,248630
178,409,249630,6212,249630
178,409,250630,6212,250630
178,409,250630,6212,250630
178,409,251280,6212,251280
179,411,252280,6212,252280
179,411,253090,6212,253090
179,411,254090,6212,254090
179,411,254460,6212,254460
180,413,255460,6212,255460
180,413,256270,6212,256270
180,413,257080,6212,257080
180,413,258080,6212,258080
180,413,258400,6212,258400
181,417,259400,6212,259400
182,418,260400,6212,260400
182,418,261400,6212,261400
182,418,262400,6212,262400
182,418,263400,6212,263400
183,420,264400,6212,264400
183,420,265400,6212,265400
183,420,265630,6212,265630
184,422,266630,6212,266630
184,422,267630,6212,267630
185,426,268100,6212,268100
185,426,268750,6212,268750
185,426,269750,6212,269750
185,426,270560,6212,270560
186,428,271560,6212,271560
186,428,272560,6212,272560
186,428,273560,6212,273560
187,430,274560,6212,274560
187,430,275030,6212,275030
187,430,275490,6212,275490
188,432,276490,6212,276490
188,432,277490,6212,277490
189,434,278490,6212,278490
189,434,278960,6212,278960
189,434,279190,6212,279190
190,436,280190,6212,280190
190,436,281000,6212,281000
190,436,282000,6212,282000
191,438,283000,6212,283000
191,438,284000,6212,284000
191,438,285000,6212,285000
192,442,286000,6212,286000
192,442,287000,6212,287000
192,442,287590,6212,287590
192,442,288400,6212,288400
192,442,289210,6212,289210
193,444,290210,6212,290210
193,444,291210,6212,291210
194,448,292210,6212,292210
194,448,293020,6212,293020
194,448,294020,6212,294020
194,448,295020,6212,295020
195,450,296020,6212,296020
195,450,296020,6212,296020
195,450,297020,6212,297020
196,452,299020,6212,299020
196,452,299020,6212,299020
196,452,299830,6212,299830
197,454,300830,6212,300830
197,454,301830,6212,301830
197,454,301830,6212,301830
198,458,302300,6212,302300
198,458,302890,6212,302890
198,458,302890,6212,302890
198,458,303210,6212,303210
198,458,304210,6212,304210
198,458,305210,6212,305210
198,458,306210,6212,306210
199,460,307210,6212,307210
199,460,308210,6212,308210
200,462,308680,6212,308680
200,462,309680,6212,309680
201,464,310680,6212,310680
201,464,311490,6212,311490
201,464,312300,6212,312300
202,472,320300,6212,320300
203,474,321300,6212,321300
203,474,322300,6212,322300
203,474,322530,6212,322530
203,474,323000,6212,323000
204,476,323810,6212,323810
204,476,324810,6212,324810
205,478,325810,6212,325810
205,478,325810,6212,325810
205,478,325810,6212,325810
205,478,326810,6212,326810
206,480,327810,6212,327810
206,480,328280,6212,328280
206,480,328280,6212,328280
206,480,328600,6212,328600
206,480,328600,6212,328600
206,480,329250,6212,329250
207,482,329720,6212,329720
207,482,330530,6212,330530
208,484,331530,6212,331530
208,484,332000,6212,332000
208,484,333000,6212,333000
209,486,334000,6212,334000
209,486,335000,6212,335000
210,488,336000,6212,336000
210,488,336000,6212,336000
210,488,336470,6212,336470
211,490,337470,6212,337470
211,490,338470,6212,338470
212,492,339470,6212,339470
212,492,340470,6212,340470
213,494,341470,6212,341470
213,494,341930,6212,341930
213,494,342400,6212,342400
213,494,342630,6212,342630
214,496,343630,6212,343630
214,496,344630,6212,344630
215,498,344950,6212,344950
215,498,344950,6212,344950
215,498,345950,6212,345950
216,500,346950,6212,346950
216,500,346950,6212,346950
216,500,346950,6212,346950
216,500,346950,6212,346950
216,500,347950,6212,347950
217,502,348950,6212,348950
217,502,348950,6212,348950
217,502,348950,6212,348950
217,502,349410,6212,349410
217,502,350410,6212,350410
218,504,351410,6212,351410
218,504,352410,6212,352410
219,506,353410,6212,353410
219,506,354410,6212,354410
220,508,355410,6212,355410
220,508,356410,6212,356410
221,510,357220,6212,357220
221,510,358220,6212,358220
222,512,359220,6212,359220
222,512,359690,6212,359690
223,514,360340,6212,360340
223,514,360660,6212,360660
223,514,360660,6212,360660
223,514,361660,6212,361660
224,518,362130,6212,362130
225,520,363130,6212,363130
225,520,363130,6212,363130
225,520,364130,6212,364130
225,520,365130,6212,365130
225,520,366130,6212,366130
225,520,366130,6212,366130
225,520,367130,6212,367130
226,522,368130,6212,368130
226,522,368130,6212,368130
226,522,369130,6212,369130
227,524,369940,6212,369940
227,524,370940,6212,370940
227,524,371050,6212,371050
228,526,372050,6212,372050
228,526,372860,6212,372860
229,528,373860,6212,373860
229,528,374860,6212,374860
229,528,374860,6212,374860
230,530,375860,6212,375860
230,530,375860,6212,375860
230,530,376090,6212,376090
230,530,377090,6212,377090
231,532,377900,6212,377900
231,532,378900,6212,378900
232,536,379370,6212,379370
232,536,379370,6212,379370
232,536,380370,6212,380370
232,536,381370,6212,381370
232,536,382180,6212,382180
233,538,382990,6212,382990
233,538,383990,6212,383990
234,540,384990,6212,384990
234,540,385800,6212,385800
235,542,386800,6212,386800
235,542,387800,6212,387800
236,544,388800,6212,388800
236,544,389800,6212,389800
237,546,390800,6212,390800
237,546,391800,6212,391800
238,548,392800,6212,392800
238,548,392800,6212,392800
238,548,393800,6212,393800
239,550,394450,6212,394450
239,550,394770,6212,394770
239,550,395580,6212,395580
240,552,396390,6212,396390
240,552,396710,6212,396710
240,552,397710,6212,397710
240,552,398030,6212,398030
241,554,398840,6212,398840
241,554,399840,6212,399840
242,556,400310,6212,400310
242,556,401310,6212,401310
242,556,401310,6212,401310
243,558,402310,6212,402310
243,558,402310,6212,402310
243,558,403310,6212,403310
244,560,404310,6212,404310
244,560,405310,6212,405310
245,562,406310,6212,406310
245,562,407310,6212,407310
246,564,408310,6212,408310
246,564,409310,6212,409310
247,566,410310,6212,410310
247,566,411310,6212,411310
247,566,411310,6212,411310
247,566,411780,6212,411780
248,568,412780,6212,412780
248,568,413780,6212,413780
249,570,414780,6212,414780
249,570,415010,6212,415010
249,570,415010,6212,415010
249,570,416010,6212,416010
250,572,417010,6212,417010
250,572,418010,6212,418010
251,574,418470,6212,418470
251,574,419470,6212,419470
252,576,420280,6212,420280
252,576,421280,6212,421280
252,576,421510,6212,421510
252,576,421830,6212,421830
253,578,422830,6212,422830
253,578,423830,6212,423830
254,582,424300,6212,424300
254,582,425300,6212,425300
254,582,426300,6212,426300
254,582,427300,6212,427300
255,584,428300,6212,428300
255,584,429300,6212,429300
256,586,430110,6212,430110
256,586,430110,6212,430110
256,586,430580,6212,430580
256,586,430900,6212,430900
256,586,431360,6212,431360
256,586,431360,6212,431360
257,588,432170,6212,432170
257,588,433170,6212,433170
258,590,434170,6212,434170
258,590,434640,6212,434640
258,590,434960,6212,434960
259,592,435960,6212,435960
259,592,435960,6212,435960
259,592,436430,6212,436430
259,592,437430,6212,437430
260,594,437900,6212,437900
260,594,438900,6212,438900
261,596,439900,6212,439900
261,596,439900,6212,439900
261,596,440550,6212,440550
261,596,440550,6212,440550
262,598,441550,6212,441550
262,598,442550,6212,442550
263,600,443550,6212,443550
263,600,444020,6212,444020
263,600,444830,6212,444830
264,602,445830,6212,445830
264,602,446830,6212,446830
265,604,447640,6212,447640
266,608,448110,6212,448110
266,608,449110,6212,449110
266,608,450110,6212,450110
266,608,451110,6212,451110
266,608,451580,6212,451580
266,608,452580,6212,452580
267,610,453050,6212,453050
267,610,454050,6212,454050
267,610,454210,6212,454210
268,612,455210,6212,455210
268,612,456210,6212,456210
269,614,457020,6212,457020
270,618,461020,6212,461020
270,618,461570,6212,461570
270,618,462010,6212,462010
270,618,462010,6212,462010
271,620,462820,6212,462820
271,620,463140,6212,463140
271,620,464140,6212,464140
272,622,465140,6212,465140
272,622,465610,6212,465610
273,624,466610,6212,466610
273,624,467420,6212,467420
274,626,468420,6212,468420
274,626,468530,6212,468530
274,626,469530,6212,469530
275,628,470530,6212,470530
275,628,471530,6212,471530
276,630,472340,6212,472340
276,630,473340,6212,473340
276,630,473340,6212,473340
277,632,473990,6212,473990
277,632,474990,6212,474990
277,632,475220,6212,475220
278,634,476220,6212,476220
278,634,477220,6212,477220
279,636,478220,6212,478220
279,636,478690,6212,478690
279,636,479690,6212,479690
280,638,480500,6212,480500
280,638,481500,6212,481500
281,642,481970,6212,481970
281,642,482970,6212,482970
281,642,483020,6212,483020
281,642,484020,6212,484020
281,642,484830,6212,484830
281,642,485290,6212,485290
282,644,486290,6212,486290
282,644,487100,6212,487100
282,644,487100,6212,487100
283,646,488100,6212,488100
283,646,489100,6212,489100
284,648,490100,6212,490100
284,648,491100,6212,491100
285,650,491910,6212,491910
285,650,491910,6212,491910
285,650,492910,6212,492910
286,652,493910,6212,493910
286,652,494560,6212,494560
287,654,494930,6212,494930
287,654,495740,6212,495740
288,656,496740,6212,496740
288,656,497110,6212,497110
288,656,497430,6212,497430
288,656,497590,6212,497590
288,656,497820,6212,497820
288,656,498820,6212,498820
289,658,499630,6212,499630
289,658,499630,6212,499630
289,658,499860,6212,499860
289,658,500860,6212,500860
290,660,501860,6212,501860
290,660,502860,6212,502860
291,662,503860,6212,503860
291,662,504860,6212,504860
291,662,504860,6212,504860
291,662,504860,6212,504860
292,664,505860,6212,505860
292,664,506510,6212,506510
293,666,506980,6212,506980
293,666,507790,6212,507790
294,668,508790,6212,508790
294,668,509790,6212,509790
295,670,510600,6212,510600
295,670,511410,6212,511410
296,672,512410,6212,512410
296,672,512410,6212,512410
296,672,513220,6212,513220
297,674,514220,6212,514220
297,674,514690,6212,514690
297,674,515690,6212,515690
297,674,515920,6212,515920
298,676,516390,6212,516390
298,676,517390,6212,517390
299,678,518390,6212,518390
299,678,518710,6212,518710
299,678,519710,6212,519710
300,680,520710,6212,520710
300,680,521520,6212,521520
301,682,521990,6212,521990
301,682,522990,6212,522990
302,684,523800,6212,523800
302,684,524800,6212,524800
303,686,525800,6212,525800
303,686,526800,6212,526800
303,686,526800,6212,526800
304,688,527610,6212,527610
304,688,528080,6212,528080
305,692,528550,6212,528550
305,692,529550,6212,529550
306,694,530360,6212,530360
306,694,531170,6212,531170
306,694,532170,6212,532170
306,694,533170,6212,533170
306,694,533980,6212,533980
306,694,534300,6212,534300
306,694,534300,6212,534300
307,696,535110,6212,535110
307,696,536110,6212,536110
308,698,536760,6212,536760
308,698,537760,6212,537760
308,698,537760,6212,537760
308,698,537760,6212,537760
309,700,538760,6212,538760
309,700,539570,6212,539570
310,702,540570,6212,540570
310,702,541040,6212,541040
311,704,542040,6212,542040
311,704,543040,6212,543040
312,706,543630,6212,543630
312,706,544630,6212,544630
312,706,545100,6212,545100
313,708,546100,6212,546100
313,708,547100,6212,547100
314,710,547750,6212,547750
314,710,548750,6212,548750
315,712,549560,6212,549560
315,712,550370,6212,550370
316,714,551370,6212,551370
316,714,552370,6212,552370
317,716,553370,6212,553370
317,716,554370,6212,554370
317,716,554370,6212,554370
318,718,555370,6212,555370
318,718,556370,6212,556370
319,720,557180,6212,557180
319,720,557830,6212,557830
320,722,558640,6212,558640
320,722,559450,6212,559450
321,724,560450,6212,560450
321,724,561450,6212,561450
322,726,562450,6212,562450
322,726,563260,6212,563260
322,726,563260,6212,563260
323,728,564260,6212,564260
323,728,565260,6212,565260
323,728,565260,6212,565260
324,730,566260,6212,566260
324,730,566260,6212,566260
324,730,566730,6212,566730
325,732,567730,6212,567730
325,732,567730,6212,567730
325,732,567730,6212,567730
325,732,567730,6212,567730
325,732,568730,6212,568730
326,734,569730,6212,569730
326,734,570380,6212,570380
326,734,570380,6212,570380
327,736,571190,6212,571190
327,736,572000,6212,572000
328,738,573000,6212,573000
328,738,574000,6212,574000
328,738,574320,6212,574320
329,740,575320,6212,575320
329,740,575320,6212,575320
329,740,575550,6212,575550
329,740,576550,6212,576550
330,742,577550,6212,577550
330,742,578550,6212,578550
330,742,579020,6212,579020
331,744,580020,6212,580020
331,744,581020,6212,581020
331,744,581250,6212,581250
332,746,582250,6212,582250
332,746,582900,6212,582900
333,748,583900,6212,583900
333,748,583900,6212,583900
333,748,584710,6212,584710
334,750,585710,6212,585710
334,750,586710,6212,586710
335,752,587710,6212,587710
335,752,588710,6212,588710
336,754,589520,6212,589520
336,754,590520,6212,590520
337,762,598520,6212,598520
338,764,599520,6212,599520
338,764,600520,6212,600520
339,766,601520,6212,601520
339,766,601520,6212,601520
339,766,602520,6212,602520
340,768,603520,6212,603520
340,768,604520,6212,604520
341,770,605520,6212,605520
341,770,606330,6212,606330
342,772,607330,6212,607330
342,772,608330,6212,608330
342,772,608330,6212,608330
343,774,609330,6212,609330
343,774,610330,6212,610330
343,774,611140,6212,611140
344,776,611600,6212,611600
344,776,612600,6212,612600
345,778,613600,6212,613600
345,778,613600,6212,613600
345,778,614070,6212,614070
345,778,614880,6212,614880
346,780,615690,6212,615690
346,780,615690,6212,615690
347,784,616160,6212,616160
347,784,616970,6212,616970
347,784,616970,6212,616970
347,784,617620,6212,617620
347,784,618430,6212,618430
347,784,618660,6212,618660
347,784,618660,6212,618660
347,784,618890,6212,618890
347,784,619890,6212,619890
347,784,619890,6212,619890
348,786,620890,6212,620890
348,786,620890,6212,620890
348,786,621360,6212,621360
348,786,622360,6212,622360
349,788,623360,6212,623360
349,788,623820,6212,623820
350,790,624820,6212,624820
350,790,625820,6212,625820
351,792,626630,6212,626630
351,792,627630,6212,627630
351,792,627630,6212,627630
351,792,627630,6212,627630
352,794,628280,6212,628280
352,794,629280,6212,629280
352,794,629500,6212,629500
353,796,630310,6212,630310
353,796,630310,6212,630310
353,796,631310,6212,631310
354,798,632310,6212,632310
354,798,632470,6212,632470
354,798,632470,6212,632470
354,798,632470,6212,632470
354,798,633470,6212,633470
354,798,633940,6212,633940
355,800,634940,6212,634940
355,800,635940,6212,635940
356,802,636940,6212,636940
356,802,637410,6212,637410
357,804,638410,6212,638410
