ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
843186.28,13.7,0.14,216882.07,3.52
843237.81,13.71,0.14,216881.08,3.53
843289.34,13.71,0.14,216880.64,3.53
843289.34,13.71,0.14,216913.14,3.53
843289.34,13.71,0.14,216889.95,3.53
843449.66,13.71,0.15,216889.95,3.53
843501.19,13.71,0.15,216889.95,3.53
843412.1,13.71,0.15,216979.44,3.53
843463.63,13.72,0.15,217071.52,3.53
843515.16,13.72,0.15,217281.53,3.53
843669.43,13.72,0.16,217438.65,3.54
843829.75,13.73,0.16,217752.45,3.54
843881.28,13.73,0.16,217751.45,3.54
843621.35,13.73,0.16,218367.49,3.55
843672.88,13.73,0.16,218367.05,3.55
843724.41,13.73,0.16,218367.05,3.55
843488.43,13.73,0.16,218129.02,3.55
843642.69,13.73,0.17,218129.02,3.55
843472.77,13.73,0.16,218129.02,3.55
843524.3,13.73,0.17,218129.02,3.55
843575.83,13.74,0.17,218886.24,3.56
843741.73,13.74,0.17,218662.43,3.56
843741.73,13.74,0.17,218688.36,3.56
843793.26,13.74,0.18,219252.85,3.57
843793.26,13.74,0.18,219214.18,3.57
843704.46,13.74,0.17,219346.82,3.57
843704.46,13.74,0.17,219570.82,3.58
843755.99,13.74,0.18,219570.82,3.58
843755.99,13.74,0.18,219570.82,3.58
843916.31,13.75,0.18,219570.82,3.58
843899.55,13.75,0.18,219575.48,3.58
843951.08,13.75,0.18,219576.01,3.58
844105.35,13.75,0.19,219570.82,3.58
844156.88,13.76,0.19,219570.82,3.58
844208.41,13.76,0.19,219570.82,3.58
844208.41,13.76,0.19,219401.96,3.58
844368.72,13.76,0.2,220552.49,3.59
844420.25,13.77,0.2,221026.31,3.6
844471.78,13.77,0.2,221025.32,3.6
844626.05,13.77,0.21,221025.22,3.6
844390.07,13.77,0.2,220797.34,3.6
844441.6,13.77,0.21,220797.0,3.6
844181.67,13.77,0.2,220703.03,3.6
844181.67,13.77,0.2,220890.29,3.6
844381.49,13.77,0.21,220086.88,3.59
844381.49,13.77,0.21,220023.98,3.59
844388.05,13.78,0.21,219498.72,3.58
844548.37,13.78,0.21,219498.72,3.58
844548.37,13.78,0.21,219498.72,3.58
844322.39,13.78,0.21,219498.72,3.58
844067.57,13.77,0.21,219678.36,3.58
844227.89,13.78,0.21,219978.47,3.59
843991.91,13.77,0.21,219980.8,3.59
844043.44,13.78,0.21,220038.23,3.59
844094.97,13.78,0.21,220264.06,3.6
844293.25,13.78,0.22,221206.51,3.61
844453.57,13.79,0.22,221206.75,3.61
