ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
40,136,101740,6212,101740
40,136,101740,6212,101740
40,136,101740,6212,101740
40,136,101970,6212,101970
41,144,102440,6212,102440
41,144,103250,6212,103250
41,144,103250,6212,103250
41,144,103480,6212,103480
41,144,103950,6212,103950
41,144,104180,6212,104180
41,144,104500,6212,104500
41,144,104500,6212,104500
41,144,105090,6212,105090
41,144,105560,6212,105560
41,144,106030,6212,106030
41,144,106840,6212,106840
41,144,107310,6212,107310
42,146,107960,6212,107960
42,146,108770,6212,108770
43,154,109230,6212,109230
43,154,109230,6212,109230
44,156,110040,6212,110040
44,156,110850,6212,110850
44,156,111660,6212,111660
44,156,112130,6212,112130
44,156,112940,6212,112940
44,156,113590,6212,113590
44,156,114400,6212,114400
44,156,114870,6212,114870
44,156,115680,6212,115680
44,156,116150,6212,116150
44,156,116960,6212,116960
45,164,117770,6212,117770
45,164,118580,6212,118580
45,164,119050,6212,119050
45,164,119860,6212,119860
45,164,120320,6212,120320
45,164,120640,6212,120640
45,164,120960,6212,120960
45,164,121430,6212,121430
45,164,121750,6212,121750
45,164,122070,6212,122070
45,164,122300,6212,122300
45,164,123110,6212,123110
