ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
171,849,127880,6212,127880
171,849,128880,6212,128880
172,851,129530,6212,129530
173,853,129530,6212,129530
174,861,129530,6212,129530
175,863,129760,6212,129760
176,871,130080,6212,130080
177,879,130400,6212,130400
178,887,131210,6212,131210
178,887,132210,6212,132210
178,887,133020,6212,133020
179,889,133020,6212,133020
179,889,133020,6212,133020
180,897,134020,6212,134020
181,899,134830,6212,134830
182,901,134830,6212,134830
183,903,134830,6212,134830
184,905,135640,6212,135640
185,907,135960,6212,135960
186,915,136960,6212,136960
187,923,137960,6212,137960
188,931,138960,6212,138960
189,933,139610,6212,139610
190,935,140610,6212,140610
191,937,141420,6212,141420
192,939,141420,6212,141420
193,941,142420,6212,142420
193,941,143420,6212,143420
194,943,144420,6212,144420
195,945,145230,6212,145230
195,945,145600,6212,145600
196,947,146070,6212,146070
197,955,147070,6212,147070
198,963,147540,6212,147540
199,971,148540,6212,148540
200,973,149540,6212,149540
201,981,150010,6212,150010
202,989,151010,6212,151010
203,997,151820,6212,151820
203,997,152630,6212,152630
203,997,153630,6212,153630
203,997,153630,6212,153630
204,999,154630,6212,154630
205,1007,155100,6212,155100
206,1015,156100,6212,156100
207,1023,156570,6212,156570
207,1023,156940,6212,156940
208,1025,157940,6212,157940
209,1033,158750,6212,158750
210,1041,159560,6212,159560
210,1041,160020,6212,160020
211,1043,160830,6212,160830
212,1045,161480,6212,161480
213,1053,161710,6212,161710
214,1055,161710,6212,161710
215,1063,161710,6212,161710
216,1071,161710,6212,161710
217,1079,162710,6212,162710
218,1087,163520,6212,163520
218,1087,167520,6212,167520
218,1087,168520,6212,168520
219,1089,169520,6212,169520
220,1097,170520,6212,170520
221,1099,171520,6212,171520
222,1107,172520,6212,172520
222,1107,172990,6212,172990
223,1109,173990,6212,173990
224,1113,174990,6212,174990
224,1113,175460,6212,175460
224,1113,176460,6212,176460
225,1121,177460,6212,177460
225,1121,178270,6212,178270
226,1123,179270,6212,179270
227,1125,179740,6212,179740
228,1127,180740,6212,180740
228,1127,181740,6212,181740
229,1135,182740,6212,182740
230,1137,183740,6212,183740
230,1137,184740,6212,184740
230,1137,185200,6212,185200
231,1141,186200,6212,186200
232,1143,186200,6212,186200
233,1151,187200,6212,187200
233,1151,188200,6212,188200
234,1153,189200,6212,189200
235,1161,189520,6212,189520
236,1169,190330,6212,190330
237,1177,191140,6212,191140
238,1185,191690,6212,191690
239,1193,192160,6212,192160
240,1201,192160,6212,192160
241,1209,192390,6212,192390
242,1217,192860,6212,192860
243,1221,193080,6212,193080
244,1229,194080,6212,194080
244,1229,194890,6212,194890
245,1231,195890,6212,195890
245,1231,196700,6212,196700
246,1232,196700,6212,196700
247,1240,197170,6212,197170
248,1248,198170,6212,198170
249,1256,199170,6212,199170
250,1258,199980,6212,199980
251,1262,200980,6212,200980
252,1264,201980,6212,201980
253,1272,202450,6212,202450
253,1272,203450,6212,203450
254,1274,204260,6212,204260
255,1276,205260,6212,205260
256,1278,205730,6212,205730
257,1286,205730,6212,205730
257,1286,206540,6212,206540
258,1294,207350,6212,207350
259,1296,207350,6212,207350
260,1298,208350,6212,208350
261,1306,209350,6212,209350
262,1314,209580,6212,209580
263,1322,211580,6212,211580
263,1322,211580,6212,211580
263,1322,212390,6212,212390
264,1330,212390,6212,212390
265,1338,213390,6212,213390
266,1340,214390,6212,214390
267,1348,215200,6212,215200
268,1350,216200,6212,216200
268,1350,217200,6212,217200
269,1358,218200,6212,218200
270,1366,219010,6212,219010
271,1368,219330,6212,219330
272,1376,220140,6212,220140
272,1376,221140,6212,221140
273,1384,222140,6212,222140
274,1392,222140,6212,222140
275,1400,223140,6212,223140
276,1402,223790,6212,223790
277,1406,223790,6212,223790
278,1414,224790,6212,224790
279,1416,226790,6212,226790
280,1418,227020,6212,227020
281,1426,227490,6212,227490
282,1428,228490,6212,228490
282,1428,229300,6212,229300
283,1436,230300,6212,230300
284,1438,231300,6212,231300
285,1440,232300,6212,232300
286,1442,233110,6212,233110
286,1442,233110,6212,233110
287,1444,233920,6212,233920
288,1452,234510,6212,234510
289,1454,234830,6212,234830
289,1454,235830,6212,235830
290,1462,235830,6212,235830
290,1462,235830,6212,235830
291,1470,236300,6212,236300
292,1472,237110,6212,237110
293,1480,237110,6212,237110
294,1482,238110,6212,238110
295,1490,238340,6212,238340
296,1492,239340,6212,239340
297,1500,240340,6212,240340
298,1508,241340,6212,241340
299,1516,241340,6212,241340
300,1524,241660,6212,241660
300,1524,242130,6212,242130
301,1532,243130,6212,243130
301,1532,243130,6212,243130
302,1536,243780,6212,243780
303,1544,244590,6212,244590
304,1552,252590,6212,252590
305,1554,253590,6212,253590
306,1562,254590,6212,254590
307,1570,255590,6212,255590
308,1572,256240,6212,256240
309,1574,257240,6212,257240
310,1582,257710,6212,257710
310,1582,258710,6212,258710
311,1590,259710,6212,259710
312,1598,260710,6212,260710
313,1600,261710,6212,261710
314,1608,262710,6212,262710
315,1610,262940,6212,262940
316,1618,263940,6212,263940
317,1620,264940,6212,264940
318,1628,265750,6212,265750
319,1636,266560,6212,266560
320,1638,267030,6212,267030
321,1640,268030,6212,268030
322,1644,269030,6212,269030
323,1652,270030,6212,270030
324,1660,271030,6212,271030
325,1664,271030,6212,271030
326,1666,271580,6212,271580
327,1674,272050,6212,272050
328,1676,272700,6212,272700
329,1684,272700,6212,272700
330,1692,273700,6212,273700
331,1700,274700,6212,274700
332,1708,275510,6212,275510
333,1710,275980,6212,275980
334,1712,276980,6212,276980
334,1712,277980,6212,277980
334,1712,278980,6212,278980
335,1714,279790,6212,279790
335,1714,280790,6212,280790
336,1722,288790,6212,288790
336,1722,289600,6212,289600
337,1724,290600,6212,290600
338,1726,291150,6212,291150
339,1734,292150,6212,292150
340,1742,293150,6212,293150
341,1750,293620,6212,293620
342,1758,294620,6212,294620
343,1766,295430,6212,295430
344,1774,296080,6212,296080
344,1774,297080,6212,297080
345,1776,298080,6212,298080
346,1784,299080,6212,299080
347,1786,300080,6212,300080
348,1794,301080,6212,301080
349,1796,302080,6212,302080
350,1798,303080,6212,303080
351,1800,304080,6212,304080
352,1808,304550,6212,304550
353,1816,305550,6212,305550
354,1818,305550,6212,305550
355,1822,306550,6212,306550
355,1822,306550,6212,306550
356,1830,307550,6212,307550
357,1832,308550,6212,308550
358,1840,308550,6212,308550
358,1840,309550,6212,309550
359,1842,309780,6212,309780
360,1850,310780,6212,310780
360,1850,311780,6212,311780
361,1852,311780,6212,311780
362,1860,311780,6212,311780
362,1860,312240,6212,312240
363,1868,313240,6212,313240
364,1876,314050,6212,314050
365,1884,314050,6212,314050
365,1884,315050,6212,315050
366,1892,315270,6212,315270
367,1894,316270,6212,316270
367,1894,317080,6212,317080
368,1896,318080,6212,318080
369,1898,318540,6212,318540
369,1898,319350,6212,319350
370,1906,320160,6212,320160
371,1914,320810,6212,320810
371,1914,321810,6212,321810
371,1914,322040,6212,322040
372,1916,323040,6212,323040
373,1920,324040,6212,324040
374,1928,325040,6212,325040
375,1930,326040,6212,326040
376,1932,326510,6212,326510
377,1934,326980,6212,326980
378,1942,327980,6212,327980
379,1944,328980,6212,328980
380,1952,329980,6212,329980
380,1952,330980,6212,330980
381,1960,331300,6212,331300
382,1968,332300,6212,332300
383,1976,333110,6212,333110
383,1976,333920,6212,333920
384,1984,334920,6212,334920
384,1984,335920,6212,335920
385,1986,336920,6212,336920
386,1988,337730,6212,337730
386,1988,338540,6212,338540
386,1988,339540,6212,339540
387,1996,340010,6212,340010
388,2004,341010,6212,341010
389,2012,341010,6212,341010
389,2012,341010,6212,341010
390,2020,342010,6212,342010
390,2020,342010,6212,342010
391,2022,343010,6212,343010
392,2030,343010,6212,343010
392,2030,343820,6212,343820
393,2032,344820,6212,344820
394,2033,345050,6212,345050
395,2037,346050,6212,346050
396,2045,346860,6212,346860
397,2053,347670,6212,347670
398,2061,347670,6212,347670
399,2063,348670,6212,348670
400,2071,349020,6212,349020
401,2079,350020,6212,350020
401,2079,351020,6212,351020
401,2079,351020,6212,351020
402,2081,351340,6212,351340
403,2085,352340,6212,352340
403,2085,353340,6212,353340
404,2087,353340,6212,353340
404,2087,354340,6212,354340
404,2087,355340,6212,355340
405,2089,356150,6212,356150
406,2097,357150,6212,357150
407,2099,357150,6212,357150
408,2107,358150,6212,358150
409,2109,359150,6212,359150
410,2117,360150,6212,360150
411,2125,360620,6212,360620
411,2125,361620,6212,361620
411,2125,362620,6212,362620
411,2125,363430,6212,363430
411,2125,364240,6212,364240
411,2125,365240,6212,365240
412,2133,365240,6212,365240
412,2133,365240,6212,365240
412,2133,366240,6212,366240
412,2133,366470,6212,366470
413,2141,367470,6212,367470
413,2141,368470,6212,368470
414,2149,369280,6212,369280
415,2157,369930,6212,369930
415,2157,369930,6212,369930
416,2165,370930,6212,370930
417,2173,371930,6212,371930
418,2175,372390,6212,372390
418,2175,373200,6212,373200
419,2177,374200,6212,374200
420,2179,375200,6212,375200
421,2183,376200,6212,376200
422,2185,377200,6212,377200
423,2193,378010,6212,378010
424,2195,378010,6212,378010
425,2203,379010,6212,379010
425,2203,380010,6212,380010
426,2211,381010,6212,381010
427,2219,381480,6212,381480
428,2221,382480,6212,382480
429,2229,383480,6212,383480
430,2237,383480,6212,383480
431,2245,384480,6212,384480
432,2247,385290,6212,385290
433,2249,385520,6212,385520
434,2253,386520,6212,386520
435,2261,387520,6212,387520
436,2269,388520,6212,388520
437,2277,389520,6212,389520
437,2277,389990,6212,389990
438,2285,390990,6212,390990
439,2287,391990,6212,391990
440,2289,392990,6212,392990
441,2291,393990,6212,393990
442,2299,394800,6212,394800
442,2299,395800,6212,395800
442,2299,396800,6212,396800
443,2307,397800,6212,397800
443,2307,398030,6212,398030
444,2315,398030,6212,398030
444,2315,399030,6212,399030
444,2315,399840,6212,399840
445,2317,400840,6212,400840
445,2317,401840,6212,401840
445,2317,402160,6212,402160
445,2317,403160,6212,403160
446,2319,403160,6212,403160
447,2327,404160,6212,404160
447,2327,404970,6212,404970
447,2327,405520,6212,405520
448,2329,405520,6212,405520
448,2329,405680,6212,405680
449,2337,406000,6212,406000
449,2337,406810,6212,406810
450,2339,407280,6212,407280
450,2339,408280,6212,408280
450,2339,409090,6212,409090
451,2341,409560,6212,409560
451,2341,410020,6212,410020
451,2341,411020,6212,411020
452,2349,412020,6212,412020
453,2357,413020,6212,413020
454,2365,413240,6212,413240
455,2373,413240,6212,413240
456,2375,414240,6212,414240
457,2383,422240,6212,422240
458,2391,423240,6212,423240
458,2391,424050,6212,424050
459,2399,424050,6212,424050
459,2399,425050,6212,425050
459,2399,426050,6212,426050
460,2401,426270,6212,426270
460,2401,426920,6212,426920
461,2409,427920,6212,427920
462,2411,428920,6212,428920
462,2411,429920,6212,429920
463,2413,430570,6212,430570
463,2413,431380,6212,431380
463,2413,432380,6212,432380
463,2413,433030,6212,433030
463,2413,433500,6212,433500
464,2415,433500,6212,433500
465,2417,434310,6212,434310
466,2419,434780,6212,434780
467,2427,435250,6212,435250
467,2427,435720,6212,435720
468,2435,436190,6212,436190
469,2443,437000,6212,437000
470,2445,438000,6212,438000
471,2447,438320,6212,438320
472,2449,439320,6212,439320
