ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1178957.21,19.24,0.65,216179.55,3.53
1178797.67,19.24,0.65,216176.61,3.53
1178630.64,19.25,0.65,216174.6,3.53
1178659.06,19.25,0.65,216185.24,3.53
1178675.58,19.25,0.65,216169.48,3.53
1178675.58,19.25,0.65,216100.54,3.53
1178516.03,19.25,0.65,216103.8,3.53
1178532.55,19.25,0.65,216097.2,3.53
1178549.08,19.25,0.65,216090.6,3.53
1179691.97,19.27,0.67,216961.61,3.54
1179848.83,19.27,0.68,217794.03,3.56
1179877.24,19.28,0.68,217804.67,3.56
1179877.24,19.28,0.68,217735.73,3.56
1179710.21,19.28,0.68,217733.72,3.56
1179543.18,19.28,0.68,217654.1,3.56
1180152.54,19.29,0.69,217833.49,3.56
1179993.0,19.29,0.69,217839.67,3.56
1179825.97,19.29,0.69,217762.23,3.56
1179846.9,19.29,0.7,217685.52,3.56
1179687.35,19.29,0.7,217691.69,3.56
1179527.81,19.29,0.7,217688.57,3.56
1179544.33,19.29,0.7,217674.55,3.56
1179701.18,19.3,0.7,217712.17,3.56
1179541.64,19.3,0.7,217715.43,3.56
1179541.64,19.3,0.7,217646.49,3.56
1179706.57,19.3,0.71,217672.9,3.56
1179979.74,19.31,0.71,217678.22,3.56
1179812.7,19.31,0.71,217600.9,3.56
1179833.64,19.31,0.72,217698.22,3.56
1179862.05,19.32,0.72,217708.86,3.56
1179695.02,19.32,0.72,217631.72,3.56
1179690.4,19.32,0.72,217609.78,3.56
1179523.36,19.32,0.72,217607.77,3.56
1180283.05,19.33,0.73,217929.57,3.57
1180116.02,19.33,0.73,217908.06,3.57
1179917.75,19.33,0.73,217867.69,3.57
1179946.16,19.34,0.74,217878.33,3.57
1179786.62,19.34,0.74,217864.68,3.57
1180125.75,19.34,0.75,217641.24,3.57
1180372.77,19.35,0.75,217565.6,3.57
1180205.73,19.35,0.75,217556.66,3.57
1180046.19,19.35,0.75,217559.92,3.57
1180316.27,19.36,0.76,217868.14,3.57
1180156.73,19.36,0.76,217869.22,3.57
1180185.15,19.36,0.76,217879.86,3.57
1180015.14,19.36,0.76,217885.2,3.57
1179848.11,19.36,0.76,217807.71,3.57
