ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
874499.27,14.29,0.69,183010.33,2.99
874499.27,14.29,0.69,183010.02,2.99
874363.29,14.29,0.69,182930.71,2.99
874415.99,14.29,0.7,183041.79,2.99
874280.01,14.29,0.7,183041.48,2.99
874280.01,14.29,0.7,182962.17,2.99
874280.01,14.29,0.7,182882.86,2.99
874701.92,14.3,0.7,182884.02,2.99
874565.94,14.3,0.7,182884.02,2.99
875796.69,14.32,0.72,183759.41,3.0
875849.39,14.32,0.73,183759.48,3.01
875713.42,14.32,0.73,183759.1,3.01
875577.44,14.32,0.73,183759.26,3.01
875873.46,14.33,0.73,183869.45,3.01
875737.48,14.33,0.73,183875.68,3.01
876103.09,14.34,0.74,183796.36,3.01
876103.09,14.34,0.74,183713.62,3.01
875967.11,14.34,0.74,183634.21,3.01
876332.72,14.34,0.75,183554.89,3.0
876385.42,14.35,0.75,183554.96,3.0
876249.44,14.35,0.75,183475.65,3.0
876113.46,14.35,0.75,183396.34,3.0
876009.93,14.35,0.75,183490.26,3.01
876075.25,14.35,0.75,183067.0,3.0
876549.1,14.36,0.76,182508.93,2.99
876413.12,14.36,0.76,182508.62,2.99
876277.15,14.36,0.76,182508.31,2.99
876329.85,14.36,0.76,182619.39,2.99
876382.55,14.36,0.77,182619.45,2.99
876246.57,14.36,0.77,182619.14,2.99
876643.85,14.37,0.77,182452.07,2.99
876696.55,14.37,0.78,182452.13,2.99
876152.64,14.38,0.78,182472.66,2.99
876016.67,14.38,0.78,182449.97,2.99
875880.69,14.38,0.78,182450.13,2.99
875744.71,14.38,0.78,182449.82,2.99
874656.89,14.38,0.78,182449.51,3.0
874520.92,14.38,0.78,182449.67,3.0
874573.62,14.38,0.78,182584.96,3.0
874817.65,14.38,0.79,182584.65,3.0
874870.35,14.39,0.79,182584.72,3.0
875151.46,14.39,0.8,182584.41,3.0
875015.49,14.39,0.8,182584.56,3.0
875128.13,14.4,0.8,182582.13,3.0
875432.3,14.4,0.8,182581.82,3.0
875485.01,14.4,0.81,182581.88,3.0
875730.95,14.41,0.81,182227.7,3.0
875783.65,14.41,0.82,181694.52,2.99
875647.67,14.41,0.82,181694.52,2.99
875700.37,14.42,0.82,181694.58,2.99
875753.08,14.42,0.82,181694.64,2.99
875617.1,14.42,0.82,181694.64,2.99
875481.12,14.42,0.82,181694.33,2.99
875777.14,14.43,0.83,181694.02,2.99
875829.84,14.43,0.83,181805.1,3.0
875693.87,14.43,0.83,181805.1,3.0
876078.53,14.44,0.84,181804.79,3.0
876463.19,14.44,0.85,181906.46,3.0
876327.21,14.44,0.85,181820.92,3.0
876191.23,14.44,0.85,181741.61,3.0
876055.26,14.44,0.85,181741.3,3.0
876351.28,14.45,0.85,181851.49,3.0
876351.28,14.45,0.85,181774.49,3.0
876351.28,14.45,0.85,181774.18,3.0
876215.3,14.45,0.85,181773.87,3.0
876268.0,14.45,0.85,181851.18,3.0
876132.03,14.45,0.86,181841.28,3.0
875996.05,14.45,0.86,181840.97,3.0
875860.07,14.45,0.86,181831.07,3.0
877090.82,14.47,0.88,182706.47,3.01
876954.84,14.47,0.88,182706.16,3.02
877235.95,14.48,0.88,182626.84,3.01
877531.97,14.49,0.89,182626.53,3.01
877428.45,14.49,0.89,182146.49,3.01
877292.47,14.49,0.89,182146.18,3.01
877156.49,14.49,0.89,182145.87,3.01
877209.19,14.49,0.89,182145.94,3.01
877073.22,14.49,0.89,182136.04,3.01
876937.24,14.49,0.89,182136.2,3.01
877127.69,14.49,0.9,182467.02,3.02
876991.71,14.49,0.9,182389.06,3.01
876855.74,14.49,0.9,182389.06,3.01
877151.76,14.5,0.9,182388.75,3.02
877015.78,14.5,0.9,182388.9,3.02
877381.38,14.51,0.91,182391.19,3.02
877381.38,14.51,0.91,182311.88,3.01
877245.41,14.51,0.91,182311.88,3.02
877298.11,14.51,0.91,182311.94,3.02
877162.13,14.51,0.91,182311.63,3.02
877026.15,14.51,0.91,182311.32,3.02
877479.72,14.52,0.92,182311.01,3.02
877343.75,14.52,0.92,182311.01,3.02
877207.77,14.52,0.92,182558.2,3.02
877071.79,14.52,0.92,182564.43,3.02
877071.79,14.52,0.92,182569.66,3.02
876935.81,14.52,0.92,182569.35,3.02
877216.92,14.53,0.93,182490.04,3.02
877080.95,14.53,0.93,182480.14,3.02
877471.51,14.53,0.93,182401.34,3.02
877856.17,14.54,0.94,182401.03,3.02
877908.87,14.54,0.94,182401.09,3.02
877772.9,14.54,0.94,182400.78,3.02
877825.6,14.55,0.95,182400.85,3.02
877281.69,14.55,0.95,182421.37,3.02
877145.71,14.55,0.95,182342.06,3.02
877786.45,14.56,0.96,182406.5,3.03
877786.45,14.56,0.96,182327.19,3.02
877786.45,14.56,0.96,182247.88,3.02
877650.48,14.56,0.96,182247.57,3.02
878506.89,14.57,0.98,182593.89,3.03
878090.37,14.57,0.97,182062.29,3.02
878090.37,14.57,0.97,181982.98,3.02
877954.39,14.57,0.97,181973.08,3.02
877818.42,14.57,0.97,181893.77,3.02
878146.89,14.58,0.98,181621.91,3.01
878010.91,14.58,0.98,181621.54,3.02
878063.61,14.58,0.98,181732.62,3.02
877927.63,14.58,0.98,181653.31,3.02
877927.63,14.58,0.98,181573.99,3.02
878312.29,14.59,0.99,181573.68,3.02
878365.0,14.59,0.99,181573.75,3.02
878365.0,14.59,0.99,181573.75,3.02
878229.02,14.59,0.99,181573.44,3.02
