ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1599041.26,26.1,0.63,212170.8,3.46
1598835.06,26.1,0.63,212147.52,3.46
1598560.3,26.1,0.63,211985.78,3.46
1598354.11,26.1,0.63,211983.76,3.46
1598335.95,26.1,0.63,212080.15,3.46
1598352.47,26.1,0.63,212067.26,3.46
1598369.0,26.1,0.63,212061.44,3.46
1598136.46,26.1,0.63,212064.05,3.46
1598152.99,26.1,0.63,212058.23,3.46
1598169.52,26.1,0.63,212052.4,3.46
1598202.05,26.1,0.63,212719.51,3.47
1598296.51,26.11,0.64,212719.84,3.47
1598252.28,26.11,0.64,212729.8,3.48
1598268.81,26.11,0.64,212723.98,3.48
1598036.27,26.11,0.64,212729.31,3.48
1597803.74,26.11,0.64,212728.18,3.48
1597975.24,26.12,0.65,212788.05,3.48
1597742.7,26.12,0.65,212793.38,3.48
1597510.17,26.12,0.65,212790.21,3.48
1597465.94,26.12,0.65,212773.61,3.48
1597909.71,26.13,0.66,212961.83,3.48
1597703.51,26.13,0.66,212891.01,3.48
1597720.03,26.13,0.66,212878.23,3.48
1597780.29,26.14,0.67,212862.59,3.48
1597547.75,26.14,0.67,212865.2,3.48
1598578.61,26.15,0.68,213743.31,3.5
1598637.44,26.16,0.69,213494.39,3.49
1598847.93,26.16,0.69,213499.55,3.49
1598641.73,26.16,0.69,213761.52,3.5
1598623.57,26.17,0.7,213857.91,3.5
1598556.87,26.17,0.7,213870.47,3.5
1598350.68,26.17,0.7,213799.64,3.5
1598332.52,26.17,0.7,213896.03,3.5
1598057.76,26.17,0.7,213839.38,3.5
1598268.24,26.18,0.71,213844.94,3.5
1598035.71,26.18,0.71,213845.97,3.5
1597803.17,26.18,0.71,213842.8,3.5
1597785.01,26.18,0.71,213939.19,3.51
1597530.01,26.18,0.71,213199.52,3.49
1597796.18,26.19,0.72,213279.74,3.5
1597587.54,26.19,0.72,213011.69,3.49
1597381.35,26.19,0.72,213009.52,3.49
1597509.04,26.2,0.72,212826.05,3.49
1597705.42,26.2,0.73,212828.5,3.49
1597499.22,26.2,0.73,212775.55,3.49
1597454.99,26.2,0.73,212785.52,3.49
1597222.46,26.2,0.73,212784.4,3.49
1596989.92,26.21,0.73,212772.05,3.49
1597275.76,26.21,0.74,212778.94,3.49
1597069.56,26.21,0.74,212704.88,3.49
1597377.86,26.22,0.74,212701.56,3.49
1597171.66,26.22,0.74,212699.54,3.49
1597479.97,26.23,0.75,212681.83,3.49
1597479.97,26.23,0.75,212567.5,3.49
1597273.77,26.23,0.75,212514.55,3.49
1597305.79,26.23,0.75,212527.29,3.49
1597050.79,26.23,0.75,212526.1,3.49
1596844.59,26.23,0.75,212524.08,3.49
1596777.89,26.23,0.76,212536.63,3.49
1596905.59,26.24,0.76,212353.16,3.49
1596922.11,26.24,0.76,212340.28,3.49
1596643.87,26.24,0.76,212341.18,3.49
1596854.36,26.24,0.77,212346.74,3.49
1596836.2,26.25,0.77,212443.13,3.49
1596630.0,26.25,0.77,212372.06,3.49
1596692.44,26.25,0.77,212346.32,3.49
1596724.46,26.25,0.77,212359.06,3.49
1596724.46,26.25,0.77,212295.52,3.49
1597104.34,26.26,0.78,212296.74,3.49
1597412.65,26.26,0.79,212300.66,3.49
1597720.95,26.27,0.79,212304.58,3.49
1597702.79,26.27,0.8,212400.97,3.49
1597470.25,26.28,0.8,212398.51,3.49
1597371.53,26.28,0.8,212378.87,3.49
1597388.06,26.28,0.8,212373.04,3.49
1597404.59,26.28,0.8,212344.71,3.49
1597140.03,26.28,0.8,212322.96,3.49
1597195.22,26.28,0.81,211822.4,3.49
1597195.22,26.28,0.81,211796.45,3.49
1597195.22,26.28,0.81,211770.51,3.48
1597177.06,26.29,0.81,211866.9,3.49
1597485.36,26.29,0.81,211870.82,3.49
1597279.16,26.29,0.81,211817.87,3.49
1597046.63,26.29,0.81,211813.96,3.49
1596814.09,26.29,0.82,211810.79,3.49
1596908.55,26.3,0.82,211811.12,3.49
1596702.35,26.3,0.82,211740.05,3.49
1596684.19,26.3,0.82,211836.44,3.49
1596684.19,26.3,0.82,211775.82,3.49
1596451.66,26.3,0.82,211765.89,3.49
1596219.12,26.3,0.82,211771.22,3.49
1595986.58,26.3,0.82,211772.24,3.49
1595942.35,26.31,0.83,211782.21,3.49
1596240.56,26.31,0.83,211714.39,3.49
1596451.05,26.32,0.84,211719.55,3.49
1596244.85,26.32,0.84,211648.48,3.49
1596455.34,26.32,0.84,211654.04,3.49
1596190.78,26.32,0.84,211627.63,3.49
1595984.58,26.33,0.84,211625.6,3.49
1596483.38,26.34,0.85,211778.29,3.49
1596250.84,26.34,0.86,211780.9,3.49
1596184.15,26.34,0.86,211793.46,3.49
1596165.99,26.34,0.86,211889.85,3.5
1595874.7,26.34,0.86,211884.44,3.5
1595874.7,26.34,0.86,211855.34,3.5
1595596.46,26.34,0.86,211828.15,3.5
1595806.95,26.35,0.87,211833.71,3.5
1595844.52,26.35,0.87,211479.88,3.49
1596022.98,26.36,0.88,211453.98,3.49
1596321.19,26.36,0.88,211386.16,3.49
1596088.66,26.36,0.88,211388.77,3.49
1595997.56,26.37,0.89,210865.55,3.48
1595979.4,26.37,0.89,210961.94,3.49
1596198.24,26.37,0.89,210961.41,3.49
1596121.99,26.38,0.9,210938.7,3.49
1596216.45,26.38,0.9,210939.03,3.49
1596596.34,26.39,0.91,210940.25,3.49
1596612.86,26.39,0.91,210934.43,3.49
1596644.88,26.39,0.91,210947.16,3.49
1596676.91,26.39,0.91,210959.9,3.49
1596444.37,26.39,0.91,210955.74,3.49
1596426.21,26.39,0.91,211052.13,3.49
1595400.0,26.39,0.91,211013.02,3.49
1595144.99,26.39,0.91,210994.54,3.49
1594912.46,26.39,0.91,210985.51,3.49
1594679.92,26.4,0.91,210983.05,3.49
1594447.38,26.4,0.92,210980.44,3.49
1594241.19,26.4,0.92,210909.62,3.49
1594468.7,26.4,0.92,210994.01,3.49
1594262.51,26.4,0.92,210922.94,3.49
1594656.44,26.41,0.93,210994.93,3.5
1594866.93,26.42,0.94,211000.49,3.5
1594660.73,26.42,0.94,210998.32,3.5
1594414.5,26.42,0.94,211000.93,3.5
1594396.34,26.42,0.94,211097.32,3.5
1594141.34,26.42,0.94,211092.38,3.5
1594351.83,26.43,0.95,211097.53,3.5
1594119.29,26.43,0.95,211098.56,3.5
1593864.29,26.43,0.95,211129.94,3.5
1593631.75,26.43,0.95,211135.27,3.5
1593759.45,26.44,0.96,210951.8,3.5
1593553.25,26.44,0.96,211354.25,3.51
1593793.6,26.45,0.96,211338.85,3.51
1593561.06,26.45,0.96,211339.87,3.51
1593593.08,26.45,0.96,211352.61,3.51
1593386.89,26.45,0.96,211350.58,3.51
1593154.35,26.45,0.96,211356.05,3.51
1592948.15,26.45,0.96,211353.88,3.51
1593256.45,26.46,0.97,211350.57,3.51
1593212.22,26.46,0.97,211360.53,3.51
1593142.69,26.46,0.98,210922.14,3.5
1593296.58,26.47,0.98,210946.38,3.5
1593475.05,26.47,0.99,210919.86,3.5
1593475.05,26.47,0.99,210850.81,3.5
1593862.38,26.48,0.99,210864.18,3.5
1594089.9,26.48,1.0,211144.17,3.51
1594484.94,26.49,1.01,211077.13,3.51
1594278.74,26.49,1.01,211024.18,3.51
1594260.58,26.5,1.01,211120.57,3.51
1594005.58,26.5,1.01,211197.29,3.51
1593446.58,26.49,1.0,210672.5,3.5
1593478.6,26.49,1.0,210685.24,3.5
1593689.09,26.5,1.01,210690.4,3.5
1593456.55,26.5,1.01,210687.94,3.5
1593224.01,26.5,1.01,210683.98,3.5
1593179.78,26.5,1.01,210693.95,3.5
1592947.25,26.5,1.01,210690.78,3.51
1592681.27,26.5,1.01,210613.1,3.5
1592878.07,26.51,1.02,210618.66,3.5
1592645.53,26.51,1.02,210621.27,3.51
1592576.0,26.51,1.02,210182.88,3.5
1592329.77,26.51,1.02,210178.97,3.5
1592557.29,26.51,1.03,210242.69,3.5
1592557.29,26.51,1.03,210218.96,3.5
1592490.6,26.52,1.03,210231.51,3.5
1592412.93,26.52,1.03,210322.99,3.5
1592412.93,26.52,1.03,210259.45,3.5
1592157.92,26.52,1.03,210336.16,3.5
1591951.72,26.52,1.03,210333.99,3.5
1592331.61,26.53,1.04,210335.21,3.5
1591834.51,26.53,1.04,210379.05,3.51
1591834.51,26.53,1.04,210313.17,3.5
1591816.35,26.53,1.04,210409.56,3.51
1591816.35,26.53,1.04,210348.45,3.51
1591558.51,26.53,1.04,209680.07,3.5
1591352.31,26.53,1.05,209627.12,3.5
1591308.08,26.54,1.05,209637.09,3.5
1591043.52,26.54,1.05,209839.61,3.5
1590810.99,26.54,1.05,209835.45,3.5
1590604.79,26.54,1.05,209764.38,3.5
1590535.25,26.54,1.05,209325.99,3.49
1590857.86,26.55,1.06,209315.44,3.49
1590780.19,26.55,1.06,209464.15,3.5
1590547.65,26.55,1.06,209451.8,3.5
1590315.12,26.55,1.06,209450.67,3.5
1590315.12,26.55,1.06,209555.04,3.5
1590108.92,26.55,1.06,209552.87,3.5
1590189.69,26.56,1.07,209553.2,3.5
1590189.69,26.56,1.07,209529.46,3.5
1589957.16,26.56,1.07,209525.56,3.5
1589836.82,26.56,1.07,209353.02,3.5
1590194.24,26.57,1.08,209357.22,3.5
1590421.76,26.58,1.09,209441.61,3.5
1590215.56,26.58,1.09,210049.1,3.51
1590197.4,26.58,1.09,210145.49,3.51
1589964.86,26.58,1.09,210141.53,3.51
1589700.31,26.58,1.09,210197.72,3.51
1589467.77,26.58,1.09,210194.55,3.52
1589423.54,26.58,1.09,210204.52,3.52
1589423.54,26.58,1.09,210142.95,3.51
1589405.38,26.59,1.1,210239.34,3.52
1589577.79,26.59,1.1,210170.4,3.52
1589895.75,26.6,1.11,210254.83,3.52
1589689.55,26.6,1.11,210201.88,3.52
1589721.57,26.6,1.11,210214.62,3.52
1589738.1,26.6,1.11,210208.8,3.52
1589916.57,26.61,1.11,210180.89,3.52
1589898.41,26.61,1.12,210277.28,3.52
1589898.41,26.61,1.12,210248.39,3.52
1589652.18,26.61,1.12,210249.42,3.52
1590009.6,26.62,1.12,210253.62,3.52
1590137.3,26.62,1.13,210070.14,3.52
1589931.1,26.62,1.13,210064.98,3.52
1589724.9,26.63,1.13,210062.95,3.52
1589724.9,26.63,1.13,210001.39,3.52
1590033.2,26.63,1.14,209998.08,3.52
1590260.72,26.64,1.14,210306.63,3.52
1590054.52,26.64,1.14,210287.72,3.52
1591085.38,26.66,1.16,211165.83,3.54
1591147.82,26.66,1.16,211127.39,3.54
1591129.66,26.66,1.17,211305.53,3.54
1589045.22,26.66,1.17,211250.41,3.54
1588812.68,26.67,1.17,211247.96,3.55
1588606.49,26.67,1.17,211224.67,3.55
1588373.95,26.67,1.17,211222.22,3.55
1588492.49,26.67,1.17,211210.76,3.55
1588259.95,26.67,1.18,211198.41,3.55
1588487.47,26.68,1.18,211262.13,3.55
1588238.41,26.68,1.18,211246.82,3.55
1588005.87,26.68,1.18,211249.43,3.55
1587799.67,26.68,1.18,211178.6,3.55
1587593.48,26.68,1.18,211176.43,3.55
1587360.94,26.68,1.18,211167.4,3.55
1587748.27,26.69,1.19,211180.77,3.55
1587515.74,26.69,1.19,211178.32,3.55
1587309.54,26.69,1.19,211125.37,3.55
1587265.31,26.69,1.19,211135.34,3.55
1587247.15,26.7,1.2,211065.25,3.55
1587457.64,26.7,1.2,211070.81,3.55
1587191.66,26.7,1.2,211356.49,3.56
1586913.41,26.7,1.2,211338.24,3.56
1586707.22,26.7,1.2,211336.21,3.56
1586474.68,26.7,1.2,211332.31,3.56
1586474.68,26.7,1.2,211305.39,3.56
1586684.03,26.71,1.21,211692.05,3.56
1587327.46,26.72,1.22,212021.73,3.57
1587389.9,26.73,1.23,211989.43,3.57
1587389.9,26.73,1.23,211928.81,3.57
1587183.71,26.73,1.23,211926.64,3.57
1586951.17,26.73,1.23,211931.97,3.57
1586933.01,26.73,1.23,212624.19,3.58
1587143.5,26.74,1.23,212629.34,3.58
1586910.96,26.74,1.24,212625.39,3.58
1586653.12,26.74,1.24,211957.0,3.57
1586388.56,26.74,1.24,211930.88,3.57
1586370.4,26.74,1.24,212027.27,3.57
1586137.86,26.74,1.24,212024.1,3.57
1584036.89,26.74,1.24,211974.81,3.58
1583967.36,26.75,1.24,211536.42,3.57
1583761.16,26.75,1.24,211525.31,3.57
1583970.51,26.75,1.25,211456.56,3.57
1583764.31,26.75,1.25,211385.56,3.57
1583892.0,26.76,1.26,211202.09,3.57
1584070.47,26.77,1.26,211185.51,3.57
1583426.83,26.76,1.25,210611.33,3.56
1583350.58,26.76,1.26,210591.3,3.56
1583445.04,26.77,1.26,210591.63,3.56
1583238.84,26.77,1.26,210589.6,3.56
1583006.3,26.77,1.26,210588.48,3.56
1582773.77,26.77,1.26,210587.35,3.56
1582116.18,26.76,1.26,209870.35,3.55
1582259.11,26.77,1.26,209657.13,3.55
1582052.92,26.77,1.26,209586.49,3.55
1581788.36,26.77,1.26,209557.78,3.55
1581582.16,26.77,1.26,209555.61,3.55
1581792.65,26.78,1.27,209561.17,3.55
1581586.45,26.78,1.27,209490.1,3.55
1581586.45,26.78,1.27,209428.53,3.55
1582409.04,26.8,1.29,209563.99,3.55
1582409.04,26.8,1.29,209541.83,3.55
1582202.85,26.8,1.29,209467.77,3.55
1581996.65,26.8,1.29,209396.7,3.55
1581996.65,26.8,1.29,209335.13,3.55
1581790.45,26.8,1.29,209282.18,3.55
1582177.79,26.81,1.3,209295.55,3.55
1581945.25,26.81,1.3,209300.88,3.55
1581739.05,26.81,1.3,209226.81,3.55
1581739.05,26.81,1.3,209164.57,3.55
1581739.05,26.81,1.3,209138.75,3.54
1581957.9,26.81,1.3,209114.3,3.54
1581691.92,26.81,1.3,209036.67,3.54
1581647.69,26.82,1.31,209046.64,3.54
1581647.69,26.82,1.31,208983.1,3.54
1581383.13,26.82,1.31,209418.85,3.55
1581738.95,26.82,1.31,209443.03,3.55
1581532.75,26.83,1.31,209453.95,3.55
1581488.52,26.83,1.32,209463.91,3.55
1581233.52,26.83,1.32,209495.29,3.55
1581413.27,26.83,1.32,209849.64,3.56
1581369.04,26.84,1.33,209859.61,3.56
1581299.51,26.84,1.33,209421.21,3.55
1581393.97,26.84,1.33,209421.54,3.55
1581129.41,26.84,1.33,209391.51,3.55
1581516.74,26.85,1.34,209404.88,3.56
1581310.55,26.85,1.34,209333.88,3.55
1581044.57,26.85,1.34,209328.72,3.56
1580812.03,26.85,1.34,209334.04,3.56
1580579.5,26.85,1.34,209335.07,3.56
1581078.29,26.86,1.35,209487.77,3.56
1581577.09,26.87,1.36,209640.46,3.56
1581370.9,26.88,1.36,209745.64,3.56
1581164.7,26.88,1.36,209939.2,3.57
1581292.39,26.88,1.37,209755.73,3.57
1581686.33,26.89,1.38,209827.73,3.57
1582004.29,26.9,1.39,210356.13,3.58
1581798.09,26.9,1.39,210353.96,3.58
1581706.99,26.9,1.39,209830.74,3.57
1581693.48,26.91,1.39,209817.42,3.57
1581487.28,26.91,1.39,209746.35,3.57
1581222.72,26.91,1.39,209718.31,3.57
1581016.52,26.91,1.39,209716.28,3.57
1580998.36,26.91,1.4,209812.67,3.57
1580954.13,26.92,1.4,209822.63,3.57
1580747.94,26.92,1.4,209752.0,3.57
1580975.46,26.92,1.41,209836.4,3.57
1580696.05,26.92,1.41,209211.06,3.56
