ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
194,462,402310,6212,402310
194,462,402310,6212,402310
194,462,403310,6212,403310
195,464,404310,6212,404310
195,464,405310,6212,405310
196,466,406310,6212,406310
196,466,407310,6212,407310
197,468,408310,6212,408310
198,470,409310,6212,409310
198,470,410310,6212,410310
199,472,411310,6212,411310
199,472,411310,6212,411310
199,472,411780,6212,411780
200,474,412780,6212,412780
200,474,413780,6212,413780
201,476,414780,6212,414780
201,476,415010,6212,415010
201,476,415010,6212,415010
202,478,416010,6212,416010
202,478,417010,6212,417010
202,478,418010,6212,418010
202,478,418470,6212,418470
203,480,419470,6212,419470
203,480,420280,6212,420280
204,488,421280,6212,421280
204,488,421510,6212,421510
204,488,421830,6212,421830
204,488,422830,6212,422830
204,488,423830,6212,423830
204,488,424300,6212,424300
204,488,425300,6212,425300
204,488,426300,6212,426300
204,488,427300,6212,427300
204,488,428300,6212,428300
204,488,429300,6212,429300
205,490,430110,6212,430110
205,490,430110,6212,430110
205,490,430580,6212,430580
205,490,430900,6212,430900
205,490,431360,6212,431360
205,490,431360,6212,431360
206,492,432170,6212,432170
206,492,433170,6212,433170
207,496,434170,6212,434170
207,496,434640,6212,434640
207,496,434960,6212,434960
208,498,435960,6212,435960
208,498,435960,6212,435960
209,500,436430,6212,436430
209,500,437430,6212,437430
209,500,437900,6212,437900
209,500,438900,6212,438900
209,500,439900,6212,439900
209,500,439900,6212,439900
210,502,440550,6212,440550
