ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
1178661.62,19.24,0.64,226347.99,3.7
1181615.92,19.29,0.69,227036.53,3.71
1181845.98,19.3,0.7,227057.02,3.71
1181817.82,19.3,0.7,227050.06,3.71
1181615.16,19.3,0.7,227026.7,3.71
1181412.5,19.3,0.7,227332.14,3.71
1181758.82,19.31,0.71,227061.91,3.71
1181556.16,19.31,0.71,227133.14,3.71
1181556.16,19.31,0.71,227133.14,3.71
1181389.13,19.31,0.71,227055.84,3.71
1180867.24,19.3,0.7,226491.49,3.7
1180700.21,19.3,0.7,226487.16,3.7
1180700.21,19.3,0.7,226487.16,3.7
1180700.21,19.3,0.7,226487.16,3.7
1180592.25,19.3,0.7,226405.71,3.7
1180425.21,19.3,0.7,226396.76,3.7
1180425.21,19.3,0.7,226396.76,3.7
1180446.15,19.3,0.7,226485.53,3.7
1180975.12,19.32,0.72,226546.25,3.71
1180808.09,19.32,0.72,226544.24,3.71
1180435.38,19.31,0.71,226212.15,3.7
1180268.34,19.31,0.71,226132.53,3.7
1180265.36,19.31,0.71,226033.18,3.7
1180281.89,19.31,0.71,226026.58,3.7
1180510.23,19.32,0.72,225772.2,3.7
1180443.34,19.32,0.72,225719.76,3.69
1179936.89,19.32,0.71,225182.94,3.69
1179769.86,19.32,0.71,225105.44,3.69
1179602.82,19.32,0.71,225101.31,3.69
1179435.79,19.32,0.71,225099.31,3.69
1179456.72,19.32,0.72,225181.14,3.69
1179262.57,19.32,0.71,224993.45,3.69
1178636.91,19.31,0.71,224271.42,3.67
1178460.84,19.31,0.71,224256.17,3.67
1178456.21,19.31,0.71,224244.76,3.68
1178117.62,19.31,0.71,223598.66,3.66
1177925.03,19.31,0.71,223675.23,3.67
1178257.08,19.32,0.71,223616.5,3.67
1178252.45,19.32,0.72,223593.07,3.67
1177584.32,19.32,0.72,223553.64,3.67
1177417.29,19.32,0.72,223476.49,3.67
1177224.7,19.32,0.72,223469.15,3.67
1177032.11,19.32,0.72,224243.51,3.68
1175524.43,19.32,0.72,224184.68,3.68
1175331.84,19.32,0.72,224285.6,3.69
1174811.5,19.32,0.71,223835.66,3.68
1174376.86,19.31,0.71,223413.73,3.67
1174397.79,19.31,0.71,223592.71,3.68
1174220.85,19.31,0.71,223319.41,3.67
1174465.98,19.32,0.71,223138.74,3.67
1174524.09,19.32,0.72,223154.38,3.67
1174794.17,19.33,0.72,223145.07,3.67
1174815.11,19.33,0.72,223559.92,3.68
1174967.81,19.34,0.73,223203.06,3.67
1174536.8,19.33,0.73,222813.35,3.67
1174369.77,19.33,0.73,222736.05,3.67
1174390.7,19.33,0.73,222915.19,3.67
1174411.63,19.34,0.73,223012.51,3.67
1174244.6,19.34,0.73,222995.01,3.67
1174397.3,19.34,0.74,222638.14,3.67
1174030.19,19.34,0.73,222402.02,3.66
1173599.18,19.33,0.73,222012.32,3.66
1173416.4,19.33,0.73,221309.14,3.65
1173706.03,19.34,0.73,221692.1,3.65
1173471.32,19.34,0.73,221415.59,3.65
1173716.45,19.34,0.74,221223.79,3.65
1173549.41,19.35,0.74,221146.64,3.65
1173382.38,19.35,0.74,221142.16,3.65
1173644.37,19.35,0.74,221237.51,3.65
1173644.37,19.35,0.74,221236.48,3.65
1173644.37,19.35,0.74,221236.48,3.65
1173477.34,19.35,0.74,221481.44,3.65
1172955.45,19.35,0.74,220928.22,3.64
1172788.42,19.35,0.74,220906.71,3.64
1172621.38,19.35,0.74,220846.59,3.64
1172866.51,19.35,0.75,220654.79,3.64
1172866.51,19.35,0.75,220654.79,3.64
1172699.48,19.35,0.75,220577.29,3.64
1172437.59,19.35,0.74,220284.07,3.64
1172068.57,19.35,0.74,219922.14,3.63
1171901.54,19.35,0.74,219918.01,3.63
1171741.99,19.35,0.74,219919.09,3.63
1171549.4,19.35,0.74,219891.87,3.63
1171544.77,19.35,0.74,219880.62,3.63
1171789.9,19.36,0.75,219688.81,3.63
1171597.31,19.36,0.75,219728.21,3.63
1171729.19,19.36,0.75,219698.63,3.63
1171536.6,19.36,0.75,219678.12,3.63
1171344.01,19.36,0.75,220194.57,3.64
1171584.14,19.37,0.76,220524.16,3.65
1171417.1,19.37,0.76,220522.16,3.65
1171142.67,19.36,0.76,220331.56,3.64
1171142.67,19.36,0.76,220331.56,3.64
1170983.13,19.37,0.76,220332.65,3.64
1170978.5,19.37,0.76,220312.55,3.64
1170785.91,19.37,0.76,220331.46,3.64
1170593.32,19.37,0.76,220309.74,3.65
1171013.31,19.38,0.77,220706.61,3.65
1170820.72,19.38,0.77,220685.01,3.65
1170628.12,19.38,0.77,220678.65,3.65
1170435.53,19.38,0.77,220963.93,3.66
1170861.51,19.38,0.77,221464.01,3.67
1170668.91,19.38,0.77,221382.28,3.67
1170297.86,19.38,0.77,221116.32,3.66
1170105.27,19.38,0.77,221109.4,3.66
1169949.35,19.38,0.77,220954.43,3.66
1169654.87,19.37,0.76,220625.37,3.65
1169225.25,19.37,0.76,220207.87,3.65
1169058.22,19.37,0.76,220130.57,3.65
1168536.33,19.36,0.75,219577.35,3.64
1167743.25,19.36,0.75,218625.13,3.62
1167576.22,19.36,0.75,218620.81,3.63
1167409.19,19.36,0.75,218543.31,3.62
1167442.23,19.36,0.75,218555.34,3.63
1167442.23,19.36,0.75,218555.34,3.63
1167275.2,19.36,0.75,218551.21,3.63
