ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
199,1049,201700,6212,201700
200,1057,202020,6212,202020
201,1059,203020,6212,203020
202,1067,204020,6212,204020
203,1075,205020,6212,205020
204,1077,206020,6212,206020
205,1079,206180,6212,206180
205,1079,207180,6212,207180
206,1083,207770,6212,207770
207,1091,208770,6212,208770
208,1099,216770,6212,216770
209,1101,217770,6212,217770
209,1101,217770,6212,217770
209,1101,218770,6212,218770
210,1105,219580,6212,219580
211,1113,220390,6212,220390
212,1115,220390,6212,220390
213,1123,221390,6212,221390
214,1131,222390,6212,222390
215,1135,222390,6212,222390
216,1137,222940,6212,222940
217,1145,223940,6212,223940
218,1153,224940,6212,224940
219,1155,225940,6212,225940
220,1157,225940,6212,225940
221,1165,226940,6212,226940
222,1167,227940,6212,227940
223,1175,228940,6212,228940
224,1183,229940,6212,229940
225,1185,230940,6212,230940
225,1185,231940,6212,231940
226,1187,232400,6212,232400
227,1195,233400,6212,233400
228,1197,233400,6212,233400
229,1199,233870,6212,233870
230,1207,233870,6212,233870
231,1215,234680,6212,234680
232,1223,234680,6212,234680
233,1231,235000,6212,235000
234,1232,235470,6212,235470
235,1240,236470,6212,236470
236,1242,236470,6212,236470
237,1243,236790,6212,236790
238,1245,237600,6212,237600
238,1245,238600,6212,238600
238,1245,239250,6212,239250
238,1245,240250,6212,240250
239,1247,241250,6212,241250
239,1247,241900,6212,241900
240,1249,241900,6212,241900
241,1257,242900,6212,242900
242,1259,243370,6212,243370
243,1261,243370,6212,243370
244,1269,243530,6212,243530
245,1271,244530,6212,244530
245,1271,245000,6212,245000
246,1279,246000,6212,246000
247,1281,246810,6212,246810
248,1283,247810,6212,247810
248,1283,247810,6212,247810
249,1291,247810,6212,247810
249,1291,248810,6212,248810
250,1299,249810,6212,249810
251,1307,250810,6212,250810
251,1307,250810,6212,250810
251,1307,251280,6212,251280
252,1309,251280,6212,251280
253,1311,251830,6212,251830
254,1319,259830,6212,259830
254,1319,260150,6212,260150
254,1319,261150,6212,261150
255,1321,261310,6212,261310
256,1325,262310,6212,262310
257,1327,262780,6212,262780
258,1335,263590,6212,263590
259,1343,264590,6212,264590
259,1343,264910,6212,264910
260,1345,265500,6212,265500
261,1353,266310,6212,266310
262,1355,266960,6212,266960
262,1355,267960,6212,267960
263,1357,268420,6212,268420
264,1359,269420,6212,269420
264,1359,269880,6212,269880
265,1361,270530,6212,270530
266,1369,271530,6212,271530
267,1377,272000,6212,272000
268,1379,272590,6212,272590
269,1381,273240,6212,273240
270,1389,273560,6212,273560
270,1389,273560,6212,273560
271,1391,274030,6212,274030
272,1399,275030,6212,275030
273,1407,276030,6212,276030
274,1415,276840,6212,276840
275,1417,277490,6212,277490
276,1425,278490,6212,278490
277,1433,279490,6212,279490
278,1441,280490,6212,280490
279,1443,280650,6212,280650
280,1445,281650,6212,281650
281,1447,282650,6212,282650
282,1449,283650,6212,283650
283,1451,283650,6212,283650
284,1459,284650,6212,284650
285,1461,285650,6212,285650
285,1461,285980,6212,285980
286,1465,286980,6212,286980
287,1466,287790,6212,287790
288,1468,288790,6212,288790
289,1472,289790,6212,289790
290,1480,289900,6212,289900
291,1488,290370,6212,290370
292,1490,291370,6212,291370
293,1498,299370,6212,299370
294,1506,300020,6212,300020
295,1508,300670,6212,300670
296,1510,301670,6212,301670
297,1512,302670,6212,302670
297,1512,303320,6212,303320
297,1512,304320,6212,304320
297,1512,305130,6212,305130
298,1514,305450,6212,305450
298,1514,306450,6212,306450
299,1516,306450,6212,306450
300,1524,307450,6212,307450
301,1532,308260,6212,308260
302,1540,309260,6212,309260
302,1540,310070,6212,310070
303,1542,311070,6212,311070
303,1542,311880,6212,311880
304,1550,312350,6212,312350
305,1558,313160,6212,313160
306,1560,314160,6212,314160
307,1568,315160,6212,315160
307,1568,316160,6212,316160
308,1570,317160,6212,317160
309,1572,318160,6212,318160
310,1574,319160,6212,319160
311,1582,320160,6212,320160
312,1584,321160,6212,321160
313,1585,321390,6212,321390
314,1587,322390,6212,322390
315,1591,322390,6212,322390
316,1595,322390,6212,322390
317,1603,322390,6212,322390
317,1603,323390,6212,323390
318,1611,324200,6212,324200
319,1613,325200,6212,325200
320,1621,326010,6212,326010
321,1623,327010,6212,327010
322,1631,328010,6212,328010
323,1633,329010,6212,329010
324,1641,329470,6212,329470
