ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
885007.54,14.5,1.16,347035.96,5.69
884979.36,14.5,1.16,347061.53,5.69
884830.89,14.5,1.16,346948.42,5.69
884682.42,14.5,1.16,346921.88,5.69
884533.95,14.5,1.16,346809.47,5.69
884505.77,14.51,1.16,346802.21,5.69
884546.0,14.51,1.16,346748.76,5.69
884517.82,14.51,1.17,346735.49,5.69
884969.97,14.52,1.17,346634.11,5.69
885268.67,14.52,1.18,346637.44,5.69
885581.78,14.53,1.19,346424.53,5.68
885553.6,14.53,1.19,346450.09,5.69
885553.6,14.53,1.19,346352.42,5.68
885405.13,14.53,1.19,346239.31,5.68
885256.66,14.53,1.19,346196.65,5.68
885256.66,14.53,1.19,346108.73,5.68
885376.95,14.54,1.19,346147.06,5.68
885752.1,14.54,1.2,346093.9,5.68
885912.63,14.55,1.2,346131.71,5.68
886197.99,14.55,1.21,346219.0,5.69
886169.81,14.55,1.21,346233.96,5.69
886779.87,14.57,1.22,346272.92,5.69
887092.98,14.57,1.23,346071.88,5.69
886916.34,14.58,1.23,346099.75,5.69
886799.71,14.58,1.23,346091.45,5.69
886771.53,14.58,1.24,346075.54,5.69
886297.94,14.58,1.24,345919.32,5.69
886703.59,14.59,1.24,345951.6,5.69
886988.95,14.59,1.25,345928.51,5.69
886960.77,14.6,1.25,345899.37,5.69
887081.07,14.6,1.25,345937.69,5.69
886013.59,14.6,1.26,345729.96,5.7
885865.12,14.6,1.26,345614.99,5.7
885836.94,14.6,1.26,345640.56,5.7
885808.76,14.6,1.26,345615.92,5.7
885780.59,14.61,1.26,345623.45,5.7
885632.12,14.61,1.26,345573.84,5.7
885672.35,14.61,1.26,345653.96,5.7
885523.88,14.61,1.26,345801.64,5.7
885495.7,14.61,1.27,345775.68,5.71
885879.63,14.62,1.27,346310.76,5.71
886148.86,14.62,1.28,346204.41,5.71
886120.68,14.62,1.28,346211.94,5.71
886418.64,14.63,1.29,345938.8,5.71
886390.46,14.63,1.29,345921.81,5.71
887000.52,14.65,1.3,345960.77,5.71
886852.05,14.65,1.3,345847.67,5.71
886703.58,14.65,1.3,345821.13,5.71
886555.1,14.65,1.3,345789.71,5.71
886675.4,14.65,1.3,345828.04,5.71
886558.77,14.65,1.31,345873.49,5.71
886419.02,14.65,1.31,345245.12,5.71
886459.25,14.65,1.31,345134.86,5.7
886431.07,14.65,1.31,345121.59,5.71
886282.6,14.65,1.31,345095.05,5.71
886688.25,14.66,1.32,345117.28,5.71
887093.91,14.67,1.33,345140.63,5.71
887065.73,14.67,1.33,345166.19,5.71
885998.25,14.67,1.33,344948.41,5.71
885849.78,14.67,1.33,344813.32,5.71
885701.31,14.67,1.33,344124.87,5.7
886014.43,14.68,1.34,343911.96,5.7
886458.88,14.69,1.34,343946.64,5.7
886499.11,14.69,1.35,344026.76,5.7
886470.93,14.69,1.35,344041.72,5.7
886470.93,14.69,1.35,343944.05,5.7
886322.46,14.69,1.35,343850.3,5.7
886322.46,14.69,1.35,343766.33,5.7
886173.99,14.69,1.35,343723.67,5.7
886145.81,14.69,1.35,343758.83,5.7
886117.63,14.7,1.35,343766.36,5.7
885969.16,14.7,1.35,343675.4,5.7
885969.16,14.7,1.35,343583.06,5.7
885820.69,14.7,1.35,343556.52,5.7
885792.51,14.7,1.36,343571.48,5.7
885832.75,14.7,1.36,343651.6,5.7
885890.37,14.7,1.36,343623.78,5.7
885862.19,14.7,1.36,343606.79,5.7
885713.72,14.7,1.36,343459.28,5.7
885685.54,14.71,1.36,343474.24,5.7
885311.71,14.7,1.36,343599.58,5.71
885369.33,14.7,1.36,343571.76,5.71
885341.15,14.7,1.36,343557.17,5.71
884273.67,14.71,1.36,343339.39,5.71
884125.2,14.71,1.36,343324.35,5.71
884457.02,14.71,1.37,343110.21,5.71
884617.55,14.72,1.37,343148.02,5.71
884617.55,14.72,1.37,343064.3,5.71
885112.99,14.73,1.38,343176.51,5.71
885723.05,14.74,1.4,343215.47,5.71
885694.87,14.74,1.4,343241.04,5.71
885546.4,14.74,1.4,343133.02,5.71
885397.93,14.74,1.4,343106.49,5.71
885790.58,14.75,1.41,342570.26,5.7
885642.11,14.75,1.41,342154.54,5.7
885874.21,14.75,1.41,341367.24,5.69
885846.03,14.76,1.41,341361.38,5.69
884778.55,14.76,1.41,341143.6,5.69
885091.67,14.77,1.42,340942.56,5.69
885091.67,14.77,1.42,340942.56,5.69
884943.2,14.77,1.42,340882.42,5.69
884983.43,14.77,1.42,340704.7,5.69
885143.96,14.77,1.43,340742.51,5.69
885143.96,14.77,1.43,340658.78,5.69
885115.78,14.78,1.43,340657.49,5.69
885087.6,14.78,1.43,340665.02,5.69
885130.06,14.78,1.43,340482.84,5.68
885399.29,14.78,1.44,340376.5,5.68
885371.11,14.79,1.44,340402.06,5.68
885342.93,14.79,1.44,340400.77,5.69
885194.46,14.79,1.44,340357.88,5.69
885194.46,14.79,1.44,340269.96,5.68
885166.29,14.79,1.45,340284.91,5.69
885017.81,14.79,1.45,340173.34,5.68
884989.64,14.79,1.45,340198.9,5.69
884961.46,14.79,1.45,340206.43,5.69
885274.57,14.8,1.46,340005.39,5.68
885126.1,14.8,1.46,339909.8,5.68
885419.65,14.81,1.46,339872.04,5.68
885391.47,14.81,1.47,339897.61,5.69
885391.47,14.81,1.47,339809.68,5.68
885676.83,14.82,1.47,339881.84,5.69
885734.45,14.82,1.47,339854.02,5.68
885894.98,14.82,1.48,339891.84,5.69
886015.27,14.82,1.48,339930.16,5.69
886510.71,14.83,1.49,339945.72,5.69
886428.12,14.83,1.49,339750.13,5.68
886399.95,14.83,1.49,339757.66,5.69
886399.95,14.83,1.49,339675.6,5.68
886422.17,14.83,1.49,339584.81,5.68
886462.4,14.84,1.49,339664.93,5.69
886313.93,14.84,1.49,340059.11,5.69
886492.33,14.84,1.5,340034.99,5.69
886343.86,14.84,1.5,339892.06,5.69
886195.38,14.84,1.5,339779.13,5.69
886373.78,14.85,1.5,340003.13,5.7
886373.78,14.85,1.5,339921.07,5.69
886345.61,14.85,1.51,339936.03,5.69
886630.97,14.85,1.51,340023.32,5.7
886630.97,14.85,1.51,339939.59,5.7
887135.19,14.86,1.52,340061.74,5.7
886986.72,14.86,1.52,339989.29,5.7
887272.08,14.87,1.53,340266.91,5.7
887243.9,14.87,1.53,340261.05,5.7
887284.13,14.87,1.53,340341.17,5.71
887135.66,14.87,1.53,340298.51,5.71
888928.94,14.9,1.56,341788.56,5.73
889049.23,14.91,1.56,341826.89,5.73
888900.76,14.91,1.56,341806.12,5.73
888872.59,14.91,1.57,341813.65,5.73
888844.41,14.91,1.57,341806.39,5.73
888844.41,14.91,1.57,341723.02,5.73
889129.77,14.92,1.57,341632.87,5.73
889129.77,14.92,1.57,341550.81,5.73
889399.0,14.92,1.58,341444.47,5.73
888331.52,14.92,1.58,341226.69,5.73
888706.67,14.93,1.59,341748.25,5.74
888558.2,14.93,1.59,341654.74,5.74
888950.85,14.94,1.6,341118.51,5.73
888802.38,14.94,1.6,340840.27,5.73
889087.74,14.94,1.6,340912.43,5.73
889248.27,14.95,1.61,340950.24,5.73
889220.09,14.95,1.61,340975.81,5.73
889595.24,14.96,1.62,340870.2,5.73
889836.06,14.96,1.62,340163.76,5.72
889996.58,14.97,1.63,340201.58,5.72
890174.98,14.97,1.63,340240.52,5.72
889652.87,14.97,1.62,339445.32,5.71
889946.42,14.97,1.63,339407.56,5.71
889797.94,14.97,1.63,339381.03,5.71
890091.49,14.98,1.64,339274.87,5.71
890269.89,14.98,1.64,339313.82,5.71
890241.71,14.99,1.64,339296.83,5.71
890647.36,14.99,1.65,339320.17,5.71
890888.19,15.0,1.66,338613.73,5.7
891066.58,15.0,1.66,338652.68,5.7
891562.03,15.01,1.67,338641.01,5.7
891562.03,15.01,1.67,338545.47,5.7
891847.39,15.02,1.68,338617.63,5.7
891819.21,15.02,1.68,338643.2,5.7
891791.03,15.02,1.68,338668.76,5.71
891951.56,15.03,1.68,338706.58,5.71
892129.95,15.03,1.69,338745.52,5.71
892101.78,15.03,1.69,338760.48,5.71
892073.6,15.04,1.69,338747.2,5.71
892045.42,15.04,1.7,338754.73,5.71
