ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
200,1054,147070,6212,147070
201,1056,147540,6212,147540
202,1064,148540,6212,148540
202,1064,149540,6212,149540
203,1072,150010,6212,150010
204,1074,151010,6212,151010
205,1078,151820,6212,151820
205,1078,152630,6212,152630
206,1086,153630,6212,153630
207,1094,153630,6212,153630
208,1102,154630,6212,154630
209,1104,155100,6212,155100
209,1104,156100,6212,156100
210,1112,156570,6212,156570
210,1112,156940,6212,156940
211,1120,157940,6212,157940
212,1121,158750,6212,158750
213,1123,159560,6212,159560
214,1127,160020,6212,160020
214,1127,160830,6212,160830
215,1129,161480,6212,161480
216,1131,161710,6212,161710
217,1133,161710,6212,161710
217,1133,161710,6212,161710
218,1135,161710,6212,161710
219,1137,162710,6212,162710
220,1139,163520,6212,163520
221,1147,167520,6212,167520
221,1147,168520,6212,168520
222,1155,169520,6212,169520
223,1163,170520,6212,170520
223,1163,171520,6212,171520
224,1171,172520,6212,172520
224,1171,172990,6212,172990
225,1173,173990,6212,173990
226,1181,174990,6212,174990
227,1189,175460,6212,175460
228,1191,176460,6212,176460
229,1193,177460,6212,177460
230,1195,178270,6212,178270
231,1203,179270,6212,179270
232,1211,179740,6212,179740
233,1213,180740,6212,180740
234,1215,181740,6212,181740
235,1217,182740,6212,182740
236,1225,183740,6212,183740
237,1227,184740,6212,184740
237,1227,185200,6212,185200
238,1229,186200,6212,186200
239,1237,186200,6212,186200
240,1245,187200,6212,187200
241,1249,188200,6212,188200
241,1249,189200,6212,189200
242,1251,189520,6212,189520
242,1251,190330,6212,190330
242,1251,191140,6212,191140
243,1253,191690,6212,191690
243,1253,192160,6212,192160
244,1261,192160,6212,192160
245,1263,192390,6212,192390
246,1265,192860,6212,192860
247,1267,193080,6212,193080
248,1275,194080,6212,194080
249,1277,194890,6212,194890
250,1285,195890,6212,195890
251,1287,196700,6212,196700
252,1295,196700,6212,196700
252,1295,197170,6212,197170
253,1297,198170,6212,198170
254,1305,199170,6212,199170
255,1313,199980,6212,199980
256,1321,200980,6212,200980
257,1323,201980,6212,201980
258,1331,202450,6212,202450
259,1333,203450,6212,203450
260,1341,204260,6212,204260
261,1349,205260,6212,205260
262,1357,205730,6212,205730
263,1365,205730,6212,205730
264,1373,206540,6212,206540
265,1375,207350,6212,207350
266,1377,207350,6212,207350
267,1379,208350,6212,208350
268,1387,209350,6212,209350
269,1395,209580,6212,209580
270,1397,211580,6212,211580
270,1397,211580,6212,211580
271,1399,212390,6212,212390
272,1407,212390,6212,212390
272,1407,213390,6212,213390
273,1415,214390,6212,214390
273,1415,215200,6212,215200
274,1417,216200,6212,216200
275,1425,217200,6212,217200
276,1427,218200,6212,218200
276,1427,219010,6212,219010
277,1435,219330,6212,219330
278,1443,220140,6212,220140
278,1443,221140,6212,221140
279,1445,222140,6212,222140
280,1453,222140,6212,222140
280,1453,223140,6212,223140
280,1453,223790,6212,223790
280,1453,223790,6212,223790
281,1461,224790,6212,224790
282,1469,226790,6212,226790
283,1477,227020,6212,227020
284,1485,227490,6212,227490
285,1487,228490,6212,228490
285,1487,229300,6212,229300
286,1495,230300,6212,230300
286,1495,231300,6212,231300
287,1497,232300,6212,232300
287,1497,233110,6212,233110
288,1505,233110,6212,233110
289,1507,233920,6212,233920
289,1507,234510,6212,234510
290,1509,234830,6212,234830
290,1509,235830,6212,235830
290,1509,235830,6212,235830
291,1511,235830,6212,235830
291,1511,236300,6212,236300
292,1519,237110,6212,237110
293,1527,237110,6212,237110
294,1535,238110,6212,238110
295,1537,238340,6212,238340
296,1545,239340,6212,239340
296,1545,240340,6212,240340
297,1553,241340,6212,241340
298,1561,241340,6212,241340
299,1563,241660,6212,241660
300,1571,242130,6212,242130
301,1579,243130,6212,243130
302,1581,243130,6212,243130
303,1589,243780,6212,243780
304,1597,244590,6212,244590
305,1605,252590,6212,252590
306,1613,253590,6212,253590
307,1621,254590,6212,254590
307,1621,255590,6212,255590
308,1623,256240,6212,256240
309,1625,257240,6212,257240
310,1627,257710,6212,257710
311,1635,258710,6212,258710
311,1635,259710,6212,259710
312,1643,260710,6212,260710
313,1651,261710,6212,261710
313,1651,262710,6212,262710
314,1659,262940,6212,262940
315,1661,263940,6212,263940
315,1661,264940,6212,264940
316,1663,265750,6212,265750
317,1665,266560,6212,266560
317,1665,267030,6212,267030
318,1673,268030,6212,268030
319,1675,269030,6212,269030
319,1675,270030,6212,270030
320,1677,271030,6212,271030
321,1679,271030,6212,271030
321,1679,271580,6212,271580
322,1681,272050,6212,272050
322,1681,272700,6212,272700
323,1683,272700,6212,272700
324,1685,273700,6212,273700
324,1685,274700,6212,274700
325,1687,275510,6212,275510
326,1689,275980,6212,275980
326,1689,276980,6212,276980
326,1689,277980,6212,277980
327,1697,278980,6212,278980
328,1705,279790,6212,279790
328,1705,280790,6212,280790
329,1713,288790,6212,288790
330,1721,289600,6212,289600
331,1723,290600,6212,290600
331,1723,291150,6212,291150
332,1725,292150,6212,292150
333,1733,293150,6212,293150
333,1733,293620,6212,293620
333,1733,294620,6212,294620
334,1741,295430,6212,295430
335,1745,296080,6212,296080
336,1747,297080,6212,297080
337,1751,298080,6212,298080
338,1753,299080,6212,299080
339,1755,300080,6212,300080
340,1757,301080,6212,301080
340,1757,302080,6212,302080
340,1757,303080,6212,303080
341,1765,304080,6212,304080
342,1767,304550,6212,304550
342,1767,305550,6212,305550
343,1775,305550,6212,305550
343,1775,306550,6212,306550
