ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
868659.11,14.19,0.59,178228.81,2.91
868659.11,14.19,0.59,178228.5,2.91
868659.11,14.19,0.59,178149.19,2.91
868659.11,14.19,0.59,178069.88,2.91
868849.56,14.19,0.59,178137.51,2.91
868914.88,14.2,0.6,177714.25,2.9
870145.63,14.22,0.62,178589.64,2.92
870009.65,14.22,0.62,178589.62,2.92
869873.67,14.22,0.62,178589.31,2.92
870169.7,14.22,0.62,178589.0,2.92
870033.72,14.22,0.62,178589.16,2.92
869897.74,14.22,0.62,178588.85,2.92
869950.44,14.22,0.63,178509.54,2.92
869814.47,14.22,0.63,178509.69,2.92
869678.49,14.22,0.63,178430.38,2.92
869678.49,14.22,0.63,178429.91,2.92
869868.94,14.23,0.63,178429.6,2.92
869732.96,14.23,0.63,178429.3,2.92
869732.96,14.23,0.63,178346.55,2.92
869923.41,14.23,0.64,178346.76,2.92
870219.44,14.24,0.64,178346.44,2.92
870083.46,14.24,0.64,178346.13,2.92
870136.16,14.24,0.65,178457.21,2.92
870188.86,14.25,0.65,178457.28,2.92
870352.65,14.25,0.65,179372.73,2.94
870405.35,14.25,0.66,179372.79,2.94
870269.38,14.25,0.66,179379.02,2.94
870565.4,14.26,0.66,179489.21,2.94
870429.42,14.26,0.66,179479.31,2.94
870293.44,14.26,0.66,179482.14,2.94
870346.14,14.26,0.66,179482.21,2.94
870210.17,14.26,0.66,179402.9,2.94
870594.83,14.27,0.67,179402.59,2.94
870875.94,14.28,0.68,178662.23,2.93
