ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
108,210,172040,6212,172040
108,210,173040,6212,173040
108,210,174040,6212,174040
108,210,174360,6212,174360
109,212,175360,6212,175360
109,212,176360,6212,176360
110,214,177360,6212,177360
111,216,178170,6212,178170
111,216,179170,6212,179170
112,218,180170,6212,180170
113,220,181170,6212,181170
113,220,182170,6212,182170
114,222,183170,6212,183170
114,222,183400,6212,183400
114,222,184400,6212,184400
115,230,184400,6212,184400
115,230,185400,6212,185400
116,232,186400,6212,186400
116,232,187400,6212,187400
116,232,188210,6212,188210
117,234,189210,6212,189210
118,236,189530,6212,189530
118,236,190530,6212,190530
119,238,191530,6212,191530
119,238,192340,6212,192340
120,240,193340,6212,193340
121,242,194340,6212,194340
121,242,195340,6212,195340
121,242,195990,6212,195990
122,244,196460,6212,196460
122,244,197460,6212,197460
122,244,197930,6212,197930
122,244,197930,6212,197930
122,244,198930,6212,198930
123,246,199930,6212,199930
123,246,200930,6212,200930
124,248,201930,6212,201930
124,248,202740,6212,202740
125,250,203060,6212,203060
125,250,204060,6212,204060
125,250,204060,6212,204060
126,252,205060,6212,205060
126,252,206060,6212,206060
127,254,207060,6212,207060
127,254,207380,6212,207380
127,254,208380,6212,208380
128,256,209380,6212,209380
128,256,209850,6212,209850
128,256,209850,6212,209850
129,258,210170,6212,210170
129,258,211170,6212,211170
130,260,212170,6212,212170
130,260,212980,6212,212980
131,262,213790,6212,213790
131,262,214790,6212,214790
131,262,214790,6212,214790
131,262,215260,6212,215260
131,262,215910,6212,215910
132,264,216910,6212,216910
132,264,217130,6212,217130
132,264,218130,6212,218130
133,266,219130,6212,219130
133,266,220130,6212,220130
134,268,220600,6212,220600
134,268,221410,6212,221410
134,268,221520,6212,221520
135,270,222520,6212,222520
136,272,223330,6212,223330
136,272,224330,6212,224330
136,272,224330,6212,224330
137,274,225330,6212,225330
137,274,225800,6212,225800
137,274,226800,6212,226800
137,274,227610,6212,227610
138,276,229610,6212,229610
139,278,230610,6212,230610
140,280,231610,6212,231610
140,280,232610,6212,232610
141,282,233610,6212,233610
141,282,233830,6212,233830
142,284,234300,6212,234300
142,284,235300,6212,235300
142,284,235300,6212,235300
142,284,235620,6212,235620
142,284,236620,6212,236620
143,286,237620,6212,237620
143,286,238090,6212,238090
143,286,238090,6212,238090
143,286,239090,6212,239090
144,288,239740,6212,239740
145,290,240740,6212,240740
145,290,241210,6212,241210
145,290,241680,6212,241680
145,290,242680,6212,242680
146,292,243680,6212,243680
146,292,244680,6212,244680
147,294,245680,6212,245680
147,294,246680,6212,246680
148,296,247680,6212,247680
148,296,248680,6212,248680
149,298,249680,6212,249680
149,298,250680,6212,250680
149,298,250910,6212,250910
149,298,250910,6212,250910
150,300,251910,6212,251910
150,300,252230,6212,252230
150,300,253230,6212,253230
151,302,253880,6212,253880
151,302,253880,6212,253880
152,304,254880,6212,254880
152,304,255200,6212,255200
152,304,256200,6212,256200
152,304,256850,6212,256850
153,306,257850,6212,257850
154,308,258850,6212,258850
155,310,259320,6212,259320
155,310,260320,6212,260320
156,312,261320,6212,261320
157,314,262320,6212,262320
157,314,262790,6212,262790
158,316,263440,6212,263440
158,316,264440,6212,264440
158,316,265440,6212,265440
159,318,266440,6212,266440
159,318,267440,6212,267440
160,320,268440,6212,268440
161,322,268910,6212,268910
161,322,269720,6212,269720
161,322,270190,6212,270190
161,322,271190,6212,271190
161,322,271660,6212,271660
162,324,272660,6212,272660
163,326,273660,6212,273660
163,326,274660,6212,274660
164,328,275660,6212,275660
165,330,276470,6212,276470
165,330,277470,6212,277470
165,330,278280,6212,278280
166,332,279280,6212,279280
167,334,281280,6212,281280
167,334,281750,6212,281750
168,336,282560,6212,282560
168,336,283370,6212,283370
168,336,284370,6212,284370
168,336,284690,6212,284690
169,338,285160,6212,285160
170,340,285710,6212,285710
171,342,286710,6212,286710
171,342,287710,6212,287710
171,342,288520,6212,288520
171,342,289330,6212,289330
171,342,289330,6212,289330
172,344,290330,6212,290330
173,346,290790,6212,290790
174,348,291260,6212,291260
175,356,291260,6212,291260
175,356,291910,6212,291910
175,356,292380,6212,292380
175,356,292750,6212,292750
175,356,293750,6212,293750
175,356,293750,6212,293750
176,358,294750,6212,294750
176,358,295750,6212,295750
177,360,296750,6212,296750
177,360,297400,6212,297400
178,362,298400,6212,298400
179,364,298870,6212,298870
179,364,299680,6212,299680
180,366,300490,6212,300490
180,366,301300,6212,301300
181,368,302110,6212,302110
181,368,303110,6212,303110
182,370,304110,6212,304110
182,370,305110,6212,305110
182,370,305580,6212,305580
183,372,306580,6212,306580
183,372,307580,6212,307580
183,372,308390,6212,308390
183,372,308710,6212,308710
184,374,309710,6212,309710
185,376,310030,6212,310030
185,376,311030,6212,311030
185,376,311840,6212,311840
185,376,312310,6212,312310
186,378,312780,6212,312780
187,380,313780,6212,313780
187,380,314590,6212,314590
187,380,315590,6212,315590
187,380,316060,6212,316060
188,382,317060,6212,317060
189,384,317280,6212,317280
189,384,317280,6212,317280
189,384,317510,6212,317510
189,384,318100,6212,318100
189,384,319100,6212,319100
189,384,319100,6212,319100
190,386,320100,6212,320100
191,388,320910,6212,320910
191,388,321720,6212,321720
191,388,322720,6212,322720
192,390,323530,6212,323530
192,390,324340,6212,324340
193,398,324340,6212,324340
194,400,325150,6212,325150
195,402,326150,6212,326150
195,402,327150,6212,327150
195,402,327470,6212,327470
196,404,328470,6212,328470
196,404,328790,6212,328790
197,406,329260,6212,329260
197,406,330260,6212,330260
197,406,330630,6212,330630
198,408,331630,6212,331630
199,410,332630,6212,332630
199,410,332950,6212,332950
199,410,333760,6212,333760
199,410,333760,6212,333760
200,412,334080,6212,334080
200,412,334890,6212,334890
201,414,335700,6212,335700
202,416,336700,6212,336700
202,416,337700,6212,337700
202,416,338700,6212,338700
202,416,339700,6212,339700
202,416,340700,6212,340700
203,418,341700,6212,341700
203,418,342510,6212,342510
203,418,343510,6212,343510
204,420,344510,6212,344510
204,420,345510,6212,345510
205,422,346510,6212,346510
206,424,347510,6212,347510
206,424,348510,6212,348510
206,424,348740,6212,348740
207,426,349390,6212,349390
207,426,350390,6212,350390
208,428,351390,6212,351390
208,428,352390,6212,352390
209,430,353390,6212,353390
209,430,354390,6212,354390
210,432,355390,6212,355390
210,432,356390,6212,356390
210,432,356390,6212,356390
210,432,356390,6212,356390
211,434,357390,6212,357390
211,434,357860,6212,357860
211,434,358230,6212,358230
211,434,359230,6212,359230
212,436,360230,6212,360230
212,436,360820,6212,360820
213,438,361630,6212,361630
213,438,362630,6212,362630
213,438,363630,6212,363630
213,438,364100,6212,364100
214,440,365100,6212,365100
214,440,365420,6212,365420
214,440,366420,6212,366420
214,440,366650,6212,366650
215,442,367240,6212,367240
215,442,368050,6212,368050
216,444,369050,6212,369050
216,444,369370,6212,369370
217,446,370370,6212,370370
217,446,371370,6212,371370
218,448,372020,6212,372020
218,448,373020,6212,373020
218,448,373670,6212,373670
219,450,374320,6212,374320
219,450,374790,6212,374790
219,450,375250,6212,375250
219,450,375480,6212,375480
220,452,376290,6212,376290
221,454,377290,6212,377290
221,454,377760,6212,377760
222,456,378230,6212,378230
222,456,379230,6212,379230
222,456,379880,6212,379880
223,458,380880,6212,380880
223,458,381110,6212,381110
223,458,382110,6212,382110
224,460,383110,6212,383110
224,460,383580,6212,383580
225,462,384130,6212,384130
225,462,385130,6212,385130
226,464,386130,6212,386130
226,464,387130,6212,387130
226,464,387600,6212,387600
227,466,388600,6212,388600
227,466,389070,6212,389070
227,466,390070,6212,390070
228,468,391070,6212,391070
229,470,392070,6212,392070
230,472,393070,6212,393070
231,474,393540,6212,393540
231,474,394540,6212,394540
231,474,395000,6212,395000
231,474,395650,6212,395650
232,476,396120,6212,396120
233,478,397120,6212,397120
234,480,398120,6212,398120
234,480,398440,6212,398440
234,480,399250,6212,399250
235,488,407250,6212,407250
235,488,407620,6212,407620
235,488,408620,6212,408620
236,490,409620,6212,409620
237,492,410170,6212,410170
237,492,411170,6212,411170
237,492,411170,6212,411170
238,494,412170,6212,412170
238,494,412640,6212,412640
238,494,413640,6212,413640
239,496,414640,6212,414640
239,496,414960,6212,414960
239,496,415960,6212,415960
239,496,416550,6212,416550
240,498,417020,6212,417020
241,500,417490,6212,417490
241,500,418490,6212,418490
241,500,418960,6212,418960
241,500,419430,6212,419430
242,502,420430,6212,420430
242,502,421430,6212,421430
243,504,422430,6212,422430
243,504,423430,6212,423430
243,504,423750,6212,423750
243,504,424750,6212,424750
244,506,425750,6212,425750
245,508,426750,6212,426750
245,508,426970,6212,426970
245,508,427970,6212,427970
245,508,428200,6212,428200
245,508,428520,6212,428520
246,510,429520,6212,429520
247,512,430520,6212,430520
247,512,431520,6212,431520
248,514,432520,6212,432520
248,514,433520,6212,433520
248,514,433570,6212,433570
248,514,433790,6212,433790
248,514,433790,6212,433790
249,516,434110,6212,434110
249,516,435110,6212,435110
250,518,436110,6212,436110
250,518,436110,6212,436110
250,518,436760,6212,436760
250,518,437230,6212,437230
250,518,438230,6212,438230
251,520,439230,6212,439230
251,520,439230,6212,439230
251,520,439700,6212,439700
251,520,439930,6212,439930
251,520,440250,6212,440250
251,520,441250,6212,441250
252,522,442250,6212,442250
252,522,443250,6212,443250
253,524,444250,6212,444250
253,524,445250,6212,445250
254,526,446250,6212,446250
254,526,447250,6212,447250
255,528,448060,6212,448060
255,528,448430,6212,448430
256,530,449430,6212,449430
256,530,449660,6212,449660
257,532,450470,6212,450470
257,532,451280,6212,451280
258,534,451500,6212,451500
259,536,452500,6212,452500
259,536,452970,6212,452970
260,538,453970,6212,453970
260,538,454970,6212,454970
260,538,455970,6212,455970
261,540,456780,6212,456780
261,540,457590,6212,457590
262,542,458590,6212,458590
262,542,459590,6212,459590
262,542,460590,6212,460590
262,542,461590,6212,461590
263,544,462590,6212,462590
263,544,463590,6212,463590
264,546,464590,6212,464590
265,548,465590,6212,465590
265,548,465810,6212,465810
265,548,466810,6212,466810
266,550,467810,6212,467810
267,552,468040,6212,468040
267,552,469040,6212,469040
268,554,470040,6212,470040
268,554,471040,6212,471040
268,554,471500,6212,471500
269,556,473500,6212,473500
269,556,473970,6212,473970
269,556,473970,6212,473970
270,558,474780,6212,474780
271,560,475780,6212,475780
271,560,476100,6212,476100
271,560,476100,6212,476100
271,560,476750,6212,476750
272,562,477560,6212,477560
272,562,478560,6212,478560
272,562,479370,6212,479370
273,564,479840,6212,479840
273,564,480840,6212,480840
274,566,481840,6212,481840
274,566,482840,6212,482840
274,566,483070,6212,483070
275,568,484070,6212,484070
275,568,484230,6212,484230
275,568,485230,6212,485230
275,568,485460,6212,485460
276,570,486460,6212,486460
276,570,487460,6212,487460
276,570,487930,6212,487930
277,572,488930,6212,488930
277,572,489150,6212,489150
277,572,490150,6212,490150
278,574,491150,6212,491150
278,574,491800,6212,491800
279,576,492350,6212,492350
279,576,493350,6212,493350
279,576,494160,6212,494160
280,578,494620,6212,494620
280,578,494620,6212,494620
281,580,495090,6212,495090
282,582,496090,6212,496090
282,582,496560,6212,496560
282,582,497560,6212,497560
283,584,498560,6212,498560
283,584,499560,6212,499560
284,586,500560,6212,500560
284,586,500720,6212,500720
284,586,501720,6212,501720
284,586,502190,6212,502190
285,588,503190,6212,503190
285,588,503510,6212,503510
285,588,503980,6212,503980
286,590,504980,6212,504980
286,590,505980,6212,505980
286,590,506980,6212,506980
287,592,507980,6212,507980
287,592,508980,6212,508980
288,594,509980,6212,509980
288,594,510980,6212,510980
289,596,511790,6212,511790
289,596,512250,6212,512250
290,598,513250,6212,513250
290,598,513900,6212,513900
291,600,514710,6212,514710
291,600,515710,6212,515710
291,600,515870,6212,515870
292,602,516870,6212,516870
292,602,517870,6212,517870
293,604,518870,6212,518870
293,604,519870,6212,519870
294,606,520870,6212,520870
294,606,521870,6212,521870
295,608,522870,6212,522870
295,608,523870,6212,523870
296,616,523870,6212,523870
296,616,524680,6212,524680
297,618,525680,6212,525680
297,618,526680,6212,526680
298,620,527150,6212,527150
299,622,528150,6212,528150
299,622,529150,6212,529150
299,622,529960,6212,529960
300,624,530960,6212,530960
301,626,531960,6212,531960
302,628,532770,6212,532770
302,628,533770,6212,533770
303,630,534770,6212,534770
303,630,535770,6212,535770
304,632,536770,6212,536770
304,632,537770,6212,537770
305,634,538770,6212,538770
305,634,539420,6212,539420
305,634,539880,6212,539880
306,636,540350,6212,540350
306,636,541350,6212,541350
307,638,542350,6212,542350
308,640,543350,6212,543350
308,640,543820,6212,543820
308,640,544630,6212,544630
308,640,545630,6212,545630
309,642,546630,6212,546630
310,644,547100,6212,547100
310,644,547260,6212,547260
310,644,547720,6212,547720
310,644,548040,6212,548040
311,646,548510,6212,548510
311,646,549160,6212,549160
312,648,549970,6212,549970
312,648,550970,6212,550970
312,648,551970,6212,551970
313,650,552970,6212,552970
313,650,553290,6212,553290
313,650,553940,6212,553940
313,650,554940,6212,554940
314,652,555940,6212,555940
314,652,556940,6212,556940
315,654,557940,6212,557940
315,654,558410,6212,558410
315,654,559410,6212,559410
316,656,560060,6212,560060
316,656,560380,6212,560380
316,656,561030,6212,561030
316,656,561030,6212,561030
316,656,561350,6212,561350
317,658,562350,6212,562350
317,658,563350,6212,563350
318,660,564350,6212,564350
318,660,565350,6212,565350
319,662,566350,6212,566350
319,662,567350,6212,567350
320,664,568350,6212,568350
320,664,568670,6212,568670
320,664,569670,6212,569670
320,664,569670,6212,569670
321,666,570220,6212,570220
322,668,571220,6212,571220
322,668,572220,6212,572220
322,668,572690,6212,572690
323,670,573690,6212,573690
323,670,574690,6212,574690
324,672,575690,6212,575690
324,672,576010,6212,576010
324,672,576230,6212,576230
325,674,577040,6212,577040
325,674,578040,6212,578040
326,676,579040,6212,579040
326,676,580040,6212,580040
327,678,581040,6212,581040
327,678,582040,6212,582040
328,680,583040,6212,583040
328,680,584040,6212,584040
328,680,584040,6212,584040
329,682,585040,6212,585040
329,682,585850,6212,585850
329,682,586850,6212,586850
329,682,586850,6212,586850
330,684,587440,6212,587440
330,684,587600,6212,587600
330,684,588150,6212,588150
331,686,588620,6212,588620
332,688,589620,6212,589620
332,688,590430,6212,590430
332,688,591430,6212,591430
333,690,592430,6212,592430
334,692,593430,6212,593430
335,694,594430,6212,594430
336,696,594900,6212,594900
336,696,595900,6212,595900
336,696,596360,6212,596360
337,698,597360,6212,597360
337,698,597590,6212,597590
337,698,598590,6212,598590
337,698,599590,6212,599590
338,700,600590,6212,600590
338,700,601590,6212,601590
338,700,602400,6212,602400
339,702,603400,6212,603400
339,702,604400,6212,604400
340,704,605400,6212,605400
341,706,606210,6212,606210
341,706,607210,6212,607210
342,708,608210,6212,608210
342,708,608680,6212,608680
