ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
927255.25,15.29,3.02,829985.45,13.68
927064.19,15.28,3.02,829726.9,13.68
927774.55,15.3,3.03,829829.63,13.68
928043.31,15.3,3.04,829934.86,13.69
927931.35,15.31,3.04,829718.77,13.69
927707.66,15.3,3.04,829068.64,13.68
927044.47,15.3,3.04,828378.33,13.67
927313.23,15.31,3.05,828346.88,13.68
927122.17,15.31,3.04,828088.34,13.67
927119.92,15.31,3.05,827959.21,13.67
927117.68,15.31,3.05,827899.78,13.67
927575.24,15.32,3.06,828049.89,13.68
927575.24,15.32,3.06,827924.9,13.68
927463.28,15.32,3.06,827752.16,13.68
926445.86,15.33,3.06,826940.75,13.68
926714.61,15.33,3.07,826911.02,13.68
926523.56,15.33,3.07,826655.12,13.68
926792.31,15.34,3.08,826670.67,13.68
927061.07,15.35,3.08,826545.78,13.68
927518.64,15.36,3.09,826695.89,13.69
927310.97,15.36,3.09,826434.01,13.69
928021.33,15.37,3.1,826539.58,13.69
928607.03,15.38,3.12,826631.7,13.69
927625.85,15.38,3.12,825892.41,13.7
927894.61,15.39,3.13,826147.65,13.7
928492.1,15.4,3.14,826185.63,13.71
928742.65,15.41,3.14,826172.1,13.71
929200.22,15.42,3.15,826322.21,13.71
929009.16,15.42,3.15,826137.52,13.71
929277.92,15.42,3.16,826032.39,13.71
929546.67,15.43,3.17,826099.29,13.71
929815.43,15.44,3.17,825994.17,13.71
930084.19,15.45,3.18,826061.07,13.72
929556.89,15.44,3.18,824984.15,13.7
929365.84,15.44,3.18,824721.44,13.7
930054.91,15.45,3.19,824652.84,13.7
930054.91,15.45,3.19,824541.61,13.7
930139.93,15.46,3.2,824291.16,13.7
930944.94,15.47,3.21,824371.96,13.7
931213.7,15.48,3.22,824266.83,13.7
931069.91,15.48,3.22,824054.2,13.7
931069.91,15.48,3.22,823703.92,13.7
930878.86,15.48,3.22,823519.23,13.7
931129.41,15.49,3.22,823505.7,13.7
931398.16,15.49,3.23,823437.03,13.7
932203.18,15.51,3.24,823407.5,13.7
932203.18,15.51,3.24,823305.29,13.7
931888.78,15.51,3.24,822914.06,13.69
931697.72,15.5,3.24,822662.13,13.69
931282.39,15.5,3.24,822300.84,13.69
931282.39,15.5,3.24,822022.21,13.68
931879.89,15.51,3.25,822060.19,13.69
932684.9,15.53,3.26,822140.99,13.69
932935.45,15.53,3.27,822127.45,13.69
933152.78,15.54,3.27,822327.46,13.69
933421.54,15.55,3.28,822326.88,13.7
933426.61,15.55,3.28,822055.63,13.69
933731.6,15.56,3.29,822104.0,13.7
933731.6,15.56,3.29,821992.76,13.69
933934.97,15.56,3.3,821698.84,13.69
933934.97,15.56,3.3,821596.63,13.69
933934.97,15.56,3.3,821485.39,13.69
934203.73,15.57,3.3,821500.94,13.69
934208.8,15.57,3.31,821182.11,13.69
934017.74,15.57,3.31,821007.22,13.69
934286.5,15.58,3.31,821112.45,13.69
934555.26,15.58,3.32,821128.0,13.69
934330.98,15.58,3.32,820951.4,13.69
934328.73,15.59,3.32,820891.96,13.69
934326.48,15.59,3.32,820832.52,13.69
934577.03,15.59,3.33,820818.99,13.7
934845.79,15.6,3.34,820924.23,13.7
935721.78,15.62,3.35,820961.02,13.7
935721.78,15.62,3.35,820603.68,13.69
935866.78,15.62,3.35,820270.84,13.69
936135.54,15.63,3.36,820376.07,13.69
936845.9,15.64,3.37,820478.79,13.7
937303.47,15.65,3.38,820628.91,13.7
937572.23,15.66,3.39,820734.14,13.71
938377.24,15.67,3.41,820814.93,13.71
938413.48,15.67,3.41,820552.11,13.7
938222.42,15.67,3.41,820296.21,13.7
938567.63,15.68,3.41,820301.99,13.7
939025.19,15.69,3.42,820452.1,13.71
939225.89,15.69,3.43,820249.24,13.7
942413.81,15.74,3.48,822756.7,13.74
942222.75,15.74,3.48,822497.04,13.74
942423.45,15.75,3.48,822393.49,13.74
941406.03,15.75,3.49,821582.09,13.75
941595.46,15.76,3.49,821221.89,13.74
941404.4,15.76,3.49,820963.34,13.74
941598.88,15.76,3.5,820539.42,13.73
941407.82,15.76,3.5,820280.88,13.73
942118.18,15.77,3.51,820354.86,13.73
942118.18,15.77,3.51,820190.56,13.73
941790.61,15.77,3.5,819738.83,13.73
942059.36,15.78,3.51,819707.39,13.73
942309.91,15.78,3.52,819693.85,13.73
942578.67,15.79,3.52,819799.09,13.73
942578.67,15.79,3.52,819724.11,13.73
942847.43,15.8,3.53,819739.66,13.73
943652.44,15.81,3.55,819818.98,13.74
943921.2,15.82,3.55,819866.94,13.74
944120.41,15.82,3.56,819376.79,13.73
944258.1,15.83,3.56,819271.1,13.73
944067.04,15.83,3.56,819096.21,13.73
944204.72,15.83,3.57,818990.51,13.73
943980.45,15.83,3.56,818874.46,13.73
944249.21,15.84,3.57,818922.43,13.73
944254.28,15.84,3.57,818640.83,13.73
944523.03,15.85,3.58,818746.07,13.74
944331.98,15.84,3.58,818486.4,13.73
944049.51,15.85,3.59,817978.23,13.73
944318.27,15.86,3.59,818045.14,13.74
944127.21,15.86,3.59,817860.44,13.74
944312.17,15.86,3.6,817788.85,13.74
944657.37,15.87,3.6,817794.63,13.74
944466.31,15.87,3.6,817534.97,13.74
944716.86,15.87,3.61,817431.37,13.74
944543.81,15.87,3.61,816644.5,13.72
944431.84,15.87,3.61,816436.82,13.72
944682.39,15.88,3.62,816423.29,13.72
944425.02,15.89,3.62,816014.66,13.73
944324.2,15.89,3.62,815522.28,13.72
944524.9,15.89,3.63,815418.73,13.72
945243.6,15.9,3.64,815417.62,13.72
945444.29,15.91,3.64,815316.25,13.72
945253.24,15.91,3.64,815174.33,13.72
945253.24,15.91,3.64,814824.05,13.71
945521.99,15.91,3.65,814929.28,13.72
946241.19,15.93,3.66,815140.15,13.72
946241.19,15.93,3.66,815037.94,13.72
946951.55,15.94,3.68,815143.51,13.72
946760.49,15.94,3.68,814968.62,13.72
947154.84,15.95,3.68,814586.35,13.72
947865.2,15.96,3.7,814689.07,13.72
947944.18,15.96,3.7,814453.82,13.71
948161.13,15.97,3.7,814121.14,13.71
948618.7,15.98,3.71,814271.25,13.72
948822.07,15.98,3.72,813977.33,13.71
948822.07,15.98,3.72,813875.12,13.71
949167.27,15.99,3.73,813880.9,13.71
949436.03,16.0,3.73,813880.33,13.71
949252.29,16.0,3.73,813462.37,13.71
949521.05,16.0,3.74,813567.6,13.71
949329.99,16.0,3.74,813392.71,13.71
949138.93,16.0,3.74,813217.82,13.71
949397.81,16.01,3.74,813076.11,13.71
949206.76,16.01,3.74,812816.44,13.71
949475.51,16.02,3.75,812794.24,13.71
949933.08,16.03,3.76,812944.35,13.71
949948.83,16.03,3.76,812290.8,13.71
950033.85,16.04,3.77,812088.56,13.71
950909.84,16.05,3.79,812126.84,13.71
950726.1,16.05,3.79,811615.31,13.7
950926.8,16.05,3.79,811412.45,13.7
951257.23,16.06,3.8,811837.51,13.71
951066.17,16.06,3.8,811585.59,13.7
951324.04,16.07,3.8,811206.5,13.7
951140.3,16.07,3.8,810713.71,13.69
951409.06,16.07,3.81,810697.76,13.7
951677.81,16.08,3.81,810556.05,13.7
951982.81,16.09,3.82,810641.7,13.7
951980.56,16.09,3.82,810582.26,13.7
952249.32,16.1,3.83,810550.82,13.7
952249.32,16.1,3.83,810550.82,13.7
952968.51,16.11,3.85,810761.69,13.71
952973.58,16.11,3.85,810419.85,13.7
952973.58,16.11,3.85,810017.79,13.7
953431.15,16.12,3.86,810167.9,13.7
953681.69,16.13,3.86,810154.37,13.7
954076.04,16.14,3.87,809772.1,13.69
953884.98,16.13,3.87,809512.43,13.69
954153.74,16.14,3.88,809470.17,13.69
954151.49,16.14,3.88,809410.73,13.7
954149.24,16.15,3.88,809351.29,13.7
954149.24,16.15,3.88,809240.06,13.69
953958.18,16.15,3.88,809062.47,13.69
954208.73,16.15,3.89,809048.94,13.69
953191.31,16.16,3.89,808237.53,13.7
953648.88,16.17,3.9,808386.34,13.7
953899.43,16.17,3.91,808372.81,13.7
955002.33,16.19,3.93,809125.38,13.72
954811.27,16.19,3.93,808940.68,13.72
954627.53,16.19,3.92,808570.85,13.71
954896.29,16.2,3.93,808528.59,13.71
955154.15,16.2,3.94,808149.5,13.71
955422.91,16.21,3.95,808254.73,13.71
955422.91,16.21,3.95,808129.74,13.71
954759.73,16.21,3.94,807550.4,13.71
955411.44,16.22,3.96,807489.46,13.71
955680.2,16.23,3.96,807473.51,13.71
955724.1,16.23,3.97,807171.14,13.71
955533.04,16.23,3.97,806911.48,13.71
955508.96,16.23,3.97,806405.55,13.7
955317.9,16.23,3.97,806145.89,13.7
955586.66,16.24,3.97,806116.15,13.7
955584.41,16.24,3.98,806056.72,13.7
955889.4,16.25,3.98,806105.08,13.7
955928.44,16.25,3.98,806044.22,13.7
955737.38,16.25,3.98,805869.33,13.7
955737.38,16.25,3.98,805712.2,13.7
955735.13,16.25,3.99,805652.76,13.7
955964.39,16.26,3.99,805438.83,13.7
956181.35,16.26,4.0,805106.15,13.69
956519.32,16.27,4.01,804916.94,13.69
956335.58,16.27,4.01,804587.69,13.69
956144.52,16.27,4.0,804329.15,13.69
956413.28,16.28,4.01,804344.7,13.69
956613.98,16.28,4.02,804241.15,13.69
956882.74,16.29,4.02,804218.95,13.69
956691.68,16.29,4.02,804041.36,13.69
956672.82,16.29,4.02,803722.72,13.68
955655.4,16.29,4.03,802911.32,13.69
955924.16,16.3,4.04,802832.46,13.69
956192.91,16.31,4.04,802937.7,13.69
956616.98,16.32,4.05,803194.53,13.7
957074.54,16.33,4.06,803344.64,13.7
957074.54,16.33,4.06,802994.36,13.7
957343.3,16.33,4.07,803042.33,13.7
957307.84,16.34,4.07,803206.18,13.71
957312.9,16.34,4.07,803773.62,13.72
957581.66,16.35,4.08,803773.04,13.72
957397.92,16.34,4.08,803359.63,13.72
957206.87,16.34,4.08,803099.97,13.71
956924.4,16.35,4.09,802591.8,13.71
956700.13,16.35,4.08,802490.18,13.71
956966.33,16.36,4.09,801973.08,13.71
955948.9,16.36,4.1,801161.67,13.71
956406.47,16.37,4.11,801492.87,13.72
956215.41,16.37,4.11,801308.17,13.72
955991.14,16.37,4.1,801171.82,13.72
956558.21,16.38,4.12,801099.17,13.72
957268.57,16.39,4.13,801204.74,13.72
958144.57,16.41,4.14,801243.02,13.72
957953.51,16.41,4.14,801058.33,13.72
958222.27,16.42,4.15,801016.07,13.72
958031.21,16.42,4.15,800831.37,13.72
958031.21,16.42,4.15,800720.14,13.72
958299.97,16.42,4.16,800704.18,13.72
958568.72,16.43,4.17,800809.42,13.73
959279.09,16.44,4.18,800914.99,13.73
959702.58,16.45,4.19,800542.01,13.72
959960.45,16.46,4.19,800156.48,13.72
960707.05,16.47,4.21,800329.2,13.72
960907.74,16.48,4.21,800225.66,13.72
961365.31,16.49,4.22,800375.77,13.72
961363.06,16.49,4.22,800313.52,13.73
962168.08,16.5,4.24,800283.99,13.73
962436.84,16.51,4.25,800178.86,13.73
963147.2,16.52,4.26,800185.9,13.73
963729.43,16.53,4.27,799944.17,13.72
963729.43,16.53,4.27,799672.96,13.72
963505.15,16.53,4.27,799570.21,13.72
963314.1,16.53,4.27,799314.87,13.72
963278.63,16.53,4.27,799873.24,13.73
963619.42,16.54,4.28,799461.31,13.72
963619.42,16.54,4.28,799359.1,13.72
963251.94,16.54,4.28,799415.23,13.73
962270.76,16.55,4.28,798675.95,13.73
962539.52,16.55,4.29,798742.85,13.74
962515.43,16.56,4.29,798236.93,13.73
962515.43,16.56,4.29,798125.69,13.73
962784.19,16.56,4.3,798192.6,13.73
963256.9,16.57,4.31,798115.68,13.73
963460.26,16.58,4.32,797810.84,13.73
963729.02,16.59,4.32,797826.39,13.73
963997.78,16.6,4.33,797931.62,13.74
964302.77,16.6,4.34,798067.48,13.74
964111.72,16.6,4.34,797815.56,13.74
964301.15,16.61,4.35,797455.36,13.74
964301.15,16.61,4.35,797344.13,13.73
964438.83,16.61,4.35,797568.33,13.74
964769.26,16.62,4.36,797056.73,13.73
964785.02,16.62,4.36,796845.35,13.73
964593.96,16.62,4.36,796660.66,13.73
964402.9,16.62,4.36,796400.99,13.73
964660.77,16.63,4.36,796019.96,13.72
964378.3,16.64,4.37,795511.8,13.72
964187.25,16.63,4.37,795252.13,13.72
963996.19,16.63,4.37,794992.62,13.72
964319.56,16.64,4.38,794736.32,13.71
964570.11,16.65,4.38,794722.79,13.72
964534.64,16.65,4.38,794803.72,13.72
964189.93,16.65,4.38,794515.15,13.72
964189.93,16.65,4.38,794350.85,13.72
963596.93,16.64,4.38,793863.36,13.71
963405.87,16.64,4.38,793675.64,13.71
963123.41,16.65,4.38,793292.03,13.71
963392.16,16.65,4.39,793249.77,13.71
963201.11,16.65,4.39,793074.88,13.71
963469.87,16.66,4.4,793032.62,13.71
963272.36,16.66,4.39,792730.96,13.71
963613.15,16.67,4.4,792373.98,13.71
963429.41,16.67,4.4,792001.49,13.7
964139.78,16.68,4.42,792104.22,13.7
964688.4,16.69,4.43,792097.7,13.71
964773.42,16.7,4.43,792017.34,13.71
964771.17,16.7,4.44,791957.9,13.71
965481.53,16.71,4.45,792063.47,13.71
965732.08,16.72,4.46,792049.94,13.71
966834.98,16.74,4.47,792802.51,13.73
966799.52,16.74,4.48,792791.41,13.73
966991.41,16.75,4.48,792573.41,13.73
966800.36,16.75,4.48,792543.74,13.73
967510.72,16.76,4.49,792646.46,13.73
967486.64,16.76,4.5,792140.54,13.72
967295.58,16.76,4.5,791880.87,13.72
966928.1,16.76,4.5,791985.28,13.73
967145.43,16.77,4.5,792195.04,13.73
967126.57,16.77,4.5,791968.35,13.73
967395.33,16.78,4.51,791952.4,13.73
967534.06,16.78,4.51,793553.97,13.76
967619.08,16.79,4.52,793303.52,13.76
967616.83,16.79,4.52,793244.09,13.76
967433.09,16.79,4.52,792864.76,13.76
967785.61,16.8,4.53,792577.98,13.76
968495.97,16.81,4.54,792680.7,13.76
968764.73,16.82,4.55,792785.93,13.76
968764.73,16.82,4.55,792932.5,13.76
968808.63,16.82,4.55,792577.09,13.76
968393.3,16.82,4.55,792215.8,13.76
967412.11,16.82,4.56,791476.51,13.76
967412.11,16.82,4.56,791365.28,13.76
967680.87,16.83,4.57,791413.24,13.76
967931.42,16.84,4.57,791399.71,13.77
968106.71,16.84,4.58,791626.45,13.77
968655.33,16.85,4.59,791619.93,13.77
969112.9,16.86,4.6,791770.04,13.78
969381.65,16.87,4.61,791769.47,13.78
969624.16,16.87,4.61,791203.21,13.77
969624.16,16.87,4.61,791101.0,13.77
969588.7,16.88,4.61,791130.15,13.77
969397.64,16.88,4.61,790955.27,13.77
970300.06,16.89,4.63,791424.31,13.78
970109.0,16.89,4.63,791160.48,13.78
970377.76,16.9,4.63,791130.74,13.78
970835.33,16.91,4.64,791279.55,13.78
970879.42,16.91,4.65,790898.71,13.78
970735.63,16.91,4.65,790728.52,13.78
971611.63,16.93,4.66,790766.8,13.78
971387.35,16.93,4.66,791002.96,13.78
972097.71,16.94,4.68,791105.68,13.79
972095.47,16.94,4.68,791043.43,13.79
972180.48,16.95,4.69,790841.19,13.79
972449.24,16.96,4.69,790889.15,13.79
972906.81,16.97,4.7,791037.96,13.8
973175.56,16.98,4.71,791015.76,13.8
973528.06,16.98,4.72,791264.09,13.8
973528.06,16.98,4.72,791161.0,13.8
973796.82,16.99,4.73,791082.15,13.8
974065.57,17.0,4.73,791003.29,13.8
973698.1,17.0,4.73,790593.43,13.8
973507.04,17.0,4.73,790418.54,13.8
973507.04,17.0,4.73,790333.77,13.8
973812.03,17.01,4.74,790419.42,13.8
974522.39,17.02,4.76,790524.98,13.81
974521.19,17.02,4.76,791421.7,13.82
973503.77,17.03,4.76,790610.3,13.83
973501.52,17.03,4.77,790550.86,13.83
973702.22,17.03,4.77,790348.0,13.83
974412.58,17.05,4.78,790453.57,13.83
974412.58,17.05,4.78,791149.3,13.84
974870.15,17.06,4.79,791299.41,13.85
973852.72,17.06,4.8,790488.01,13.85
974121.48,17.07,4.81,790535.98,13.85
974259.16,17.08,4.81,790790.47,13.86
974068.11,17.08,4.81,790530.8,13.86
973086.92,17.08,4.82,789791.52,13.87
972903.18,17.08,4.82,789399.7,13.86
972826.3,17.08,4.82,789149.7,13.86
973536.66,17.1,4.83,789255.27,13.86
973121.33,17.1,4.83,788893.97,13.86
973119.08,17.1,4.83,788834.54,13.86
973387.84,17.11,4.84,788833.96,13.86
973656.59,17.12,4.85,788728.83,13.86
973922.79,17.12,4.86,788323.86,13.86
974633.15,17.14,4.87,788426.58,13.86
975046.63,17.14,4.88,788579.1,13.86
975247.32,17.15,4.88,788376.23,13.86
975864.51,17.16,4.89,788338.83,13.86
976133.27,17.17,4.9,788296.57,13.86
976438.26,17.18,4.91,788324.58,13.87
976733.76,17.18,4.92,787950.12,13.86
976550.02,17.18,4.92,787547.53,13.86
977098.64,17.19,4.93,787541.01,13.86
976914.9,17.19,4.93,787193.66,13.85
977183.66,17.2,4.94,787241.63,13.86
977817.39,17.21,4.95,787349.79,13.86
978622.41,17.23,4.96,787320.25,13.86
978431.36,17.23,4.96,787132.86,13.86
978240.3,17.23,4.96,786873.2,13.86
978049.24,17.23,4.96,786731.08,13.86
978065.0,17.23,4.97,786077.53,13.85
977782.53,17.24,4.97,785693.92,13.85
977747.07,17.24,4.98,785906.24,13.86
978092.27,17.25,4.98,785912.03,13.86
977074.85,17.25,4.99,785100.62,13.86
977074.85,17.25,4.99,784989.39,13.86
977491.03,17.26,5.0,784945.42,13.86
977208.57,17.27,5.0,784437.25,13.86
977459.11,17.27,5.01,784423.72,13.86
977459.11,17.27,5.01,784321.51,13.86
977882.61,17.28,5.02,783939.65,13.86
978592.97,17.3,5.03,784042.37,13.86
978861.73,17.3,5.04,784147.61,13.86
979130.49,17.31,5.05,784252.84,13.87
978939.43,17.31,5.05,783993.17,13.86
979024.45,17.32,5.06,783790.93,13.87
978912.48,17.32,5.06,783583.26,13.86
979115.85,17.33,5.06,783289.33,13.86
978924.8,17.33,5.06,783029.67,13.86
979193.55,17.34,5.07,783095.54,13.86
978880.34,17.33,5.07,782714.54,13.86
978465.01,17.33,5.07,782353.25,13.86
978715.56,17.34,5.07,782339.71,13.86
978524.5,17.34,5.07,782155.02,13.86
978982.07,17.35,5.08,782305.13,13.86
978566.74,17.35,5.08,781943.84,13.86
978835.49,17.35,5.09,781838.71,13.86
979104.25,17.36,5.1,781822.76,13.86
978086.83,17.37,5.1,781011.35,13.87
978086.83,17.37,5.1,780909.14,13.87
978171.85,17.38,5.11,781007.16,13.87
978316.85,17.38,5.12,780510.5,13.87
