ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
197,1022,227090,6212,227090
198,1030,235090,6212,235090
199,1032,236090,6212,236090
200,1034,237090,6212,237090
200,1034,237740,6212,237740
201,1036,238740,6212,238740
201,1036,239210,6212,239210
202,1038,239210,6212,239210
202,1038,239680,6212,239680
203,1046,240680,6212,240680
204,1048,241150,6212,241150
205,1056,242150,6212,242150
205,1056,242150,6212,242150
206,1064,243150,6212,243150
207,1072,243470,6212,243470
208,1080,244470,6212,244470
208,1080,245060,6212,245060
209,1082,245710,6212,245710
210,1084,246710,6212,246710
211,1086,247360,6212,247360
211,1086,248360,6212,248360
212,1094,249360,6212,249360
212,1094,250170,6212,250170
213,1102,251170,6212,251170
214,1104,252170,6212,252170
215,1112,256170,6212,256170
216,1120,257170,6212,257170
217,1122,258170,6212,258170
218,1126,258820,6212,258820
219,1128,259140,6212,259140
220,1130,260140,6212,260140
220,1130,260610,6212,260610
221,1134,261610,6212,261610
222,1138,262610,6212,262610
223,1140,263080,6212,263080
224,1148,267080,6212,267080
224,1148,268080,6212,268080
225,1156,268080,6212,268080
226,1164,268540,6212,268540
227,1172,268540,6212,268540
228,1174,269540,6212,269540
229,1182,269540,6212,269540
230,1190,270540,6212,270540
231,1192,271010,6212,271010
232,1194,271010,6212,271010
233,1202,271480,6212,271480
234,1204,272480,6212,272480
235,1206,272710,6212,272710
236,1214,273180,6212,273180
237,1218,273180,6212,273180
238,1220,274180,6212,274180
239,1228,274990,6212,274990
240,1230,275990,6212,275990
241,1232,275990,6212,275990
242,1234,276310,6212,276310
243,1242,277310,6212,277310
243,1242,278310,6212,278310
244,1250,279310,6212,279310
245,1252,280310,6212,280310
246,1254,281310,6212,281310
247,1256,281770,6212,281770
248,1258,282770,6212,282770
249,1266,283770,6212,283770
250,1274,284580,6212,284580
251,1278,285390,6212,285390
252,1286,287390,6212,287390
253,1294,287620,6212,287620
253,1294,288620,6212,288620
254,1302,288620,6212,288620
254,1302,288990,6212,288990
255,1304,289990,6212,289990
255,1304,290460,6212,290460
255,1304,291460,6212,291460
256,1312,292460,6212,292460
257,1320,293460,6212,293460
258,1328,294460,6212,294460
259,1330,295270,6212,295270
260,1338,296270,6212,296270
260,1338,296270,6212,296270
261,1340,296740,6212,296740
261,1340,297550,6212,297550
261,1340,297550,6212,297550
262,1348,298360,6212,298360
263,1350,298830,6212,298830
264,1352,299060,6212,299060
265,1354,300060,6212,300060
266,1362,301060,6212,301060
267,1364,301870,6212,301870
268,1366,302680,6212,302680
269,1368,302680,6212,302680
270,1370,303680,6212,303680
271,1372,304150,6212,304150
272,1380,312150,6212,312150
273,1388,312960,6212,312960
274,1390,313430,6212,313430
275,1392,313430,6212,313430
276,1394,314430,6212,314430
276,1394,315430,6212,315430
277,1402,316430,6212,316430
277,1402,316900,6212,316900
278,1410,317900,6212,317900
279,1412,317900,6212,317900
279,1412,321900,6212,321900
280,1420,322490,6212,322490
281,1428,323490,6212,323490
281,1428,323490,6212,323490
282,1430,324490,6212,324490
283,1432,325300,6212,325300
284,1434,326300,6212,326300
285,1442,327300,6212,327300
286,1444,328110,6212,328110
287,1452,329110,6212,329110
288,1453,329270,6212,329270
289,1455,330270,6212,330270
290,1457,330270,6212,330270
291,1459,331080,6212,331080
292,1461,331630,6212,331630
293,1463,332630,6212,332630
294,1467,333090,6212,333090
294,1467,334090,6212,334090
295,1469,335090,6212,335090
296,1477,336090,6212,336090
297,1485,336090,6212,336090
298,1493,337090,6212,337090
299,1495,338090,6212,338090
299,1495,338900,6212,338900
300,1503,346900,6212,346900
301,1511,347900,6212,347900
302,1519,348900,6212,348900
303,1521,349120,6212,349120
304,1529,349930,6212,349930
305,1537,349930,6212,349930
306,1545,350930,6212,350930
306,1545,351740,6212,351740
306,1545,352550,6212,352550
307,1553,353550,6212,353550
307,1553,354550,6212,354550
308,1555,355550,6212,355550
309,1563,359550,6212,359550
309,1563,360550,6212,360550
309,1563,361010,6212,361010
310,1571,369010,6212,369010
311,1579,369820,6212,369820
312,1581,370820,6212,370820
312,1581,371820,6212,371820
313,1583,372280,6212,372280
314,1591,372750,6212,372750
315,1599,372980,6212,372980
316,1601,373980,6212,373980
317,1609,374980,6212,374980
318,1611,375980,6212,375980
319,1613,375980,6212,375980
320,1621,376980,6212,376980
321,1629,377980,6212,377980
322,1637,378450,6212,378450
322,1637,378680,6212,378680
322,1637,379150,6212,379150
323,1645,379620,6212,379620
324,1653,379620,6212,379620
325,1661,380430,6212,380430
326,1663,381240,6212,381240
327,1671,381560,6212,381560
328,1679,382560,6212,382560
328,1679,383030,6212,383030
328,1679,383400,6212,383400
328,1679,383400,6212,383400
328,1679,384400,6212,384400
329,1681,385400,6212,385400
329,1681,386210,6212,386210
330,1689,386680,6212,386680
331,1691,386680,6212,386680
331,1691,388680,6212,388680
332,1699,396680,6212,396680
333,1707,397680,6212,397680
334,1709,398490,6212,398490
335,1711,398490,6212,398490
336,1719,399490,6212,399490
337,1721,400490,6212,400490
338,1723,401490,6212,401490
339,1731,402490,6212,402490
340,1739,403490,6212,403490
341,1747,404490,6212,404490
342,1749,405490,6212,405490
343,1751,406490,6212,406490
344,1753,406490,6212,406490
344,1753,407140,6212,407140
344,1753,407510,6212,407510
345,1757,408320,6212,408320
346,1759,409320,6212,409320
347,1761,410320,6212,410320
347,1761,410790,6212,410790
348,1769,414790,6212,414790
349,1771,415790,6212,415790
350,1773,416790,6212,416790
351,1775,417110,6212,417110
352,1777,417580,6212,417580
352,1777,418390,6212,418390
353,1781,420390,6212,420390
354,1783,420390,6212,420390
354,1783,421390,6212,421390
355,1785,422390,6212,422390
