ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
2193257.44,35.8,0.58,191213.96,3.12
2193012.6,35.8,0.58,191164.95,3.12
2192669.67,35.8,0.58,191168.69,3.12
2192499.77,35.8,0.58,190735.14,3.11
2192499.77,35.8,0.58,190683.68,3.11
2192512.16,35.8,0.58,190678.0,3.11
2192169.23,35.8,0.58,190679.98,3.11
2192169.23,35.8,0.58,190664.86,3.11
2192169.23,35.8,0.58,190622.31,3.11
2192181.62,35.81,0.58,190616.64,3.11
2192261.4,35.81,0.59,190625.92,3.11
2192204.69,35.81,0.59,190723.28,3.12
2192204.69,35.81,0.59,190680.74,3.12
2191959.86,35.82,0.59,190687.52,3.12
2191616.93,35.82,0.59,190687.44,3.12
2191728.0,35.82,0.59,190691.69,3.12
2191483.17,35.82,0.59,190698.48,3.12
2191238.33,35.82,0.59,190649.38,3.12
2190665.42,35.82,0.59,190119.3,3.11
2190420.59,35.82,0.59,190126.08,3.11
2190065.27,35.82,0.59,190111.45,3.11
2190077.66,35.82,0.59,190100.75,3.11
2190064.9,35.83,0.59,190101.85,3.11
2189820.06,35.83,0.59,190053.07,3.11
2189820.06,35.83,0.59,190010.53,3.11
2189807.31,35.83,0.6,190032.75,3.11
2189996.56,35.84,0.6,190089.66,3.11
2189751.73,35.84,0.6,190086.02,3.11
2189581.82,35.84,0.6,189652.47,3.1
2189427.45,35.84,0.61,189660.08,3.1
2189024.63,35.84,0.61,189639.05,3.11
2188967.93,35.85,0.61,189736.41,3.11
2188723.1,35.85,0.61,189732.69,3.11
2188834.17,35.85,0.61,189737.23,3.11
2188589.33,35.85,0.61,189688.36,3.11
2188344.5,35.86,0.61,189639.27,3.11
2188287.8,35.86,0.62,189736.62,3.11
2187944.87,35.86,0.62,189722.59,3.11
2188130.37,35.87,0.62,189281.45,3.1
2188300.45,35.87,0.63,189233.81,3.1
2187957.53,35.87,0.63,189235.79,3.1
2187712.69,35.87,0.63,189187.01,3.1
2188063.03,35.88,0.64,189133.1,3.1
2187720.1,35.88,0.64,189134.06,3.1
2187663.4,35.89,0.64,189129.8,3.1
2187418.56,35.89,0.64,189123.2,3.1
2187173.73,35.89,0.64,189074.06,3.1
2187377.24,35.89,0.64,189077.55,3.1
2187034.32,35.9,0.64,189063.52,3.1
2187315.89,35.9,0.65,189016.65,3.1
2186972.96,35.9,0.65,189020.39,3.1
2187254.54,35.91,0.66,188973.53,3.1
2187254.54,35.91,0.66,188929.62,3.1
2186911.61,35.91,0.66,188930.58,3.1
2186911.61,35.91,0.66,188887.92,3.1
2186666.77,35.91,0.66,188838.77,3.1
2186323.85,35.91,0.66,188842.51,3.1
2186136.43,35.91,0.66,188852.36,3.1
2185891.59,35.91,0.66,188859.15,3.1
2185903.98,35.91,0.66,188848.65,3.1
2185561.06,35.91,0.66,188852.39,3.1
2185632.51,35.92,0.67,188789.92,3.1
2185478.14,35.92,0.67,188797.54,3.1
2185135.21,35.92,0.67,188785.87,3.1
2185214.98,35.93,0.67,188795.15,3.1
2185241.83,35.93,0.67,188803.8,3.1
2185241.83,35.93,0.67,188759.55,3.1
2185593.08,35.93,0.68,188792.21,3.1
2185808.59,35.94,0.68,188795.7,3.1
2186024.11,35.94,0.69,188799.19,3.1
2185967.41,35.95,0.69,188896.55,3.11
2185722.57,35.95,0.69,188847.4,3.11
2185665.87,35.95,0.7,188944.76,3.11
2185665.87,35.95,0.7,188798.9,3.11
2185665.87,35.95,0.7,188753.12,3.11
2185322.95,35.95,0.7,188756.87,3.11
2185266.25,35.96,0.7,188708.36,3.11
2185266.25,35.96,0.7,188864.91,3.11
2185266.25,35.96,0.7,188821.58,3.11
2185111.87,35.96,0.7,188829.19,3.11
2185302.22,35.97,0.71,188817.64,3.11
2185057.39,35.97,0.71,188768.77,3.11
2184714.46,35.97,0.71,188766.35,3.11
2184469.62,35.97,0.71,188717.25,3.11
2184549.4,35.98,0.71,188726.54,3.11
2184182.08,35.97,0.71,188793.67,3.11
2184125.37,35.98,0.71,188891.02,3.11
2184137.76,35.98,0.71,188885.34,3.11
2183794.84,35.98,0.71,188873.68,3.11
2183451.91,35.98,0.71,188877.42,3.11
2183207.07,35.98,0.71,189395.39,3.12
2183052.7,35.98,0.72,189403.0,3.12
2183350.03,35.99,0.72,189093.12,3.12
2183539.29,36.0,0.73,189150.04,3.12
2183294.45,36.0,0.73,189100.89,3.12
2183393.14,36.0,0.73,189091.07,3.12
2183050.21,36.0,0.73,189093.05,3.12
2183022.2,36.01,0.74,188919.46,3.12
2183211.46,36.01,0.74,188976.37,3.12
2182966.62,36.02,0.74,188927.59,3.12
2182909.92,36.02,0.75,189024.95,3.12
2182740.02,36.02,0.75,188591.39,3.11
2182364.05,36.02,0.75,188594.58,3.11
2182364.05,36.02,0.75,188847.9,3.12
2182119.21,36.02,0.75,188854.69,3.12
2182203.44,36.03,0.75,188832.88,3.12
2181860.51,36.03,0.75,188831.12,3.12
2182221.52,36.04,0.76,188988.17,3.12
2182482.11,36.04,0.77,188941.13,3.12
2182237.28,36.05,0.77,188899.86,3.12
2182067.37,36.05,0.77,188466.31,3.11
2181913.0,36.05,0.77,188473.92,3.11
2182110.45,36.06,0.78,188933.1,3.12
2182053.75,36.06,0.78,189030.45,3.12
2182372.81,36.07,0.79,189171.62,3.13
2182629.2,36.07,0.8,189175.26,3.13
2182641.59,36.07,0.8,189169.59,3.13
2182668.44,36.08,0.8,189178.23,3.13
2182668.44,36.08,0.8,189159.21,3.13
2182423.6,36.08,0.8,189192.81,3.13
2182269.22,36.08,0.8,189200.42,3.13
2180768.97,36.08,0.8,189208.49,3.13
2180978.05,36.09,0.81,189314.82,3.13
2180733.22,36.09,0.81,189311.46,3.13
2180363.44,36.09,0.81,189350.65,3.13
2180005.16,36.09,0.81,188686.96,3.12
2179662.23,36.09,0.81,188685.82,3.12
2180151.46,36.1,0.82,188979.5,3.13
2179906.62,36.1,0.82,188930.36,3.13
2179563.7,36.1,0.82,188924.14,3.13
2179674.77,36.11,0.83,188928.68,3.13
2179429.93,36.11,0.83,188879.9,3.13
2179185.1,36.11,0.83,188876.54,3.13
