ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
59,204,166080,6212,166080
59,204,167080,6212,167080
59,204,168080,6212,168080
59,204,168310,6212,168310
59,204,169310,6212,169310
59,204,170310,6212,170310
60,206,171310,6212,171310
60,206,171310,6212,171310
60,206,172310,6212,172310
61,210,172860,6212,172860
62,212,173860,6212,173860
62,212,174020,6212,174020
62,212,174340,6212,174340
63,214,175150,6212,175150
63,214,176150,6212,176150
63,214,176960,6212,176960
64,222,180960,6212,180960
64,222,181960,6212,181960
65,224,182960,6212,182960
65,224,182960,6212,182960
65,224,182960,6212,182960
65,224,183960,6212,183960
65,224,184430,6212,184430
65,224,185240,6212,185240
65,224,185240,6212,185240
65,224,186240,6212,186240
65,224,187240,6212,187240
65,224,187710,6212,187710
66,232,188710,6212,188710
66,232,189520,6212,189520
66,232,190520,6212,190520
66,232,190520,6212,190520
66,232,190840,6212,190840
66,232,191650,6212,191650
66,232,191650,6212,191650
66,232,192650,6212,192650
66,232,193650,6212,193650
66,232,194650,6212,194650
66,232,195460,6212,195460
66,232,196110,6212,196110
66,232,197110,6212,197110
67,240,198110,6212,198110
68,248,206110,6212,206110
68,248,206430,6212,206430
68,248,207430,6212,207430
68,248,207750,6212,207750
68,248,208750,6212,208750
68,248,209070,6212,209070
68,248,209880,6212,209880
68,248,209880,6212,209880
68,248,210880,6212,210880
69,256,211350,6212,211350
69,256,212160,6212,212160
69,256,213160,6212,213160
69,256,214160,6212,214160
69,256,214160,6212,214160
69,256,215160,6212,215160
69,256,216160,6212,216160
69,256,217160,6212,217160
69,256,217630,6212,217630
69,256,218630,6212,218630
69,256,219630,6212,219630
69,256,219850,6212,219850
69,256,220850,6212,220850
70,264,221500,6212,221500
70,264,222500,6212,222500
70,264,222970,6212,222970
70,264,223780,6212,223780
70,264,224780,6212,224780
70,264,225100,6212,225100
70,264,226100,6212,226100
70,264,227100,6212,227100
70,264,228100,6212,228100
70,264,228570,6212,228570
71,266,229570,6212,229570
71,266,230570,6212,230570
71,266,230570,6212,230570
72,268,231380,6212,231380
72,268,231380,6212,231380
72,268,232380,6212,232380
72,268,232380,6212,232380
72,268,232380,6212,232380
73,270,233190,6212,233190
73,270,234190,6212,234190
74,274,235190,6212,235190
74,274,236190,6212,236190
74,274,236190,6212,236190
74,274,237190,6212,237190
74,274,237190,6212,237190
74,274,237650,6212,237650
74,274,237700,6212,237700
75,276,238700,6212,238700
75,276,238700,6212,238700
75,276,238700,6212,238700
75,276,239700,6212,239700
76,284,240700,6212,240700
76,284,241700,6212,241700
76,284,242700,6212,242700
76,284,243510,6212,243510
76,284,243670,6212,243670
76,284,244480,6212,244480
76,284,244950,6212,244950
76,284,245950,6212,245950
76,284,246320,6212,246320
76,284,246790,6212,246790
76,284,247160,6212,247160
76,284,247630,6212,247630
77,292,248630,6212,248630
77,292,249630,6212,249630
77,292,250630,6212,250630
77,292,250630,6212,250630
77,292,251280,6212,251280
77,292,252280,6212,252280
77,292,253090,6212,253090
78,300,254090,6212,254090
78,300,254460,6212,254460
78,300,255460,6212,255460
78,300,256270,6212,256270
78,300,257080,6212,257080
78,300,258080,6212,258080
78,300,258400,6212,258400
78,300,259400,6212,259400
78,300,260400,6212,260400
79,308,261400,6212,261400
79,308,262400,6212,262400
79,308,263400,6212,263400
79,308,264400,6212,264400
79,308,265400,6212,265400
79,308,265630,6212,265630
79,308,266630,6212,266630
79,308,267630,6212,267630
79,308,268100,6212,268100
80,316,268750,6212,268750
80,316,269750,6212,269750
80,316,270560,6212,270560
80,316,271560,6212,271560
80,316,272560,6212,272560
80,316,273560,6212,273560
81,318,274560,6212,274560
81,318,275030,6212,275030
81,318,275490,6212,275490
82,326,276490,6212,276490
82,326,277490,6212,277490
82,326,278490,6212,278490
82,326,278960,6212,278960
82,326,279190,6212,279190
82,326,280190,6212,280190
82,326,281000,6212,281000
82,326,282000,6212,282000
83,334,283000,6212,283000
83,334,284000,6212,284000
83,334,285000,6212,285000
83,334,286000,6212,286000
83,334,287000,6212,287000
83,334,287590,6212,287590
83,334,288400,6212,288400
84,338,289210,6212,289210
84,338,290210,6212,290210
85,346,291210,6212,291210
85,346,292210,6212,292210
85,346,293020,6212,293020
85,346,294020,6212,294020
85,346,295020,6212,295020
85,346,296020,6212,296020
85,346,296020,6212,296020
85,346,297020,6212,297020
85,346,299020,6212,299020
85,346,299020,6212,299020
86,348,299830,6212,299830
86,348,300830,6212,300830
87,356,301830,6212,301830
87,356,301830,6212,301830
87,356,302300,6212,302300
87,356,302890,6212,302890
87,356,302890,6212,302890
87,356,303210,6212,303210
87,356,304210,6212,304210
87,356,305210,6212,305210
87,356,306210,6212,306210
87,356,307210,6212,307210
87,356,308210,6212,308210
87,356,308680,6212,308680
87,356,309680,6212,309680
87,356,310680,6212,310680
87,356,311490,6212,311490
87,356,312300,6212,312300
88,364,320300,6212,320300
88,364,321300,6212,321300
88,364,322300,6212,322300
88,364,322530,6212,322530
89,366,323000,6212,323000
89,366,323810,6212,323810
89,366,324810,6212,324810
89,366,325810,6212,325810
89,366,325810,6212,325810
89,366,325810,6212,325810
90,368,326810,6212,326810
90,368,327810,6212,327810
90,368,328280,6212,328280
90,368,328280,6212,328280
90,368,328600,6212,328600
90,368,328600,6212,328600
90,368,329250,6212,329250
90,368,329720,6212,329720
91,370,330530,6212,330530
91,370,331530,6212,331530
92,372,332000,6212,332000
