ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
338,1638,277980,6212,277980
339,1639,278980,6212,278980
340,1641,279790,6212,279790
341,1643,280790,6212,280790
342,1651,288790,6212,288790
343,1653,289600,6212,289600
344,1661,290600,6212,290600
344,1661,291150,6212,291150
345,1663,292150,6212,292150
346,1665,293150,6212,293150
347,1673,293620,6212,293620
348,1677,294620,6212,294620
349,1685,295430,6212,295430
349,1685,296080,6212,296080
350,1693,297080,6212,297080
350,1693,298080,6212,298080
351,1695,299080,6212,299080
351,1695,300080,6212,300080
352,1703,301080,6212,301080
353,1705,302080,6212,302080
354,1713,303080,6212,303080
354,1713,304080,6212,304080
355,1721,304550,6212,304550
356,1729,305550,6212,305550
357,1737,305550,6212,305550
357,1737,306550,6212,306550
358,1739,306550,6212,306550
359,1747,307550,6212,307550
359,1747,308550,6212,308550
360,1749,308550,6212,308550
361,1757,309550,6212,309550
362,1765,309780,6212,309780
362,1765,310780,6212,310780
362,1765,311780,6212,311780
363,1767,311780,6212,311780
363,1767,311780,6212,311780
364,1775,312240,6212,312240
365,1777,313240,6212,313240
365,1777,314050,6212,314050
366,1785,314050,6212,314050
366,1785,315050,6212,315050
367,1787,315270,6212,315270
368,1789,316270,6212,316270
369,1791,317080,6212,317080
369,1791,318080,6212,318080
370,1799,318540,6212,318540
371,1801,319350,6212,319350
372,1809,320160,6212,320160
373,1811,320810,6212,320810
373,1811,321810,6212,321810
374,1813,322040,6212,322040
375,1821,323040,6212,323040
376,1823,324040,6212,324040
377,1825,325040,6212,325040
378,1833,326040,6212,326040
379,1841,326510,6212,326510
380,1843,326980,6212,326980
380,1843,327980,6212,327980
380,1843,328980,6212,328980
380,1843,329980,6212,329980
381,1845,330980,6212,330980
382,1847,331300,6212,331300
383,1855,332300,6212,332300
383,1855,333110,6212,333110
384,1863,333920,6212,333920
385,1871,334920,6212,334920
385,1871,335920,6212,335920
386,1873,336920,6212,336920
386,1873,337730,6212,337730
387,1875,338540,6212,338540
388,1883,339540,6212,339540
389,1885,340010,6212,340010
390,1893,341010,6212,341010
390,1893,341010,6212,341010
390,1893,341010,6212,341010
390,1893,342010,6212,342010
390,1893,342010,6212,342010
390,1893,343010,6212,343010
391,1901,343010,6212,343010
391,1901,343820,6212,343820
391,1901,344820,6212,344820
392,1903,345050,6212,345050
393,1907,346050,6212,346050
394,1909,346860,6212,346860
395,1917,347670,6212,347670
396,1925,347670,6212,347670
396,1925,348670,6212,348670
397,1933,349020,6212,349020
397,1933,350020,6212,350020
398,1935,351020,6212,351020
398,1935,351020,6212,351020
399,1943,351340,6212,351340
399,1943,352340,6212,352340
400,1945,353340,6212,353340
400,1945,353340,6212,353340
401,1947,354340,6212,354340
402,1955,355340,6212,355340
403,1963,356150,6212,356150
403,1963,357150,6212,357150
404,1965,357150,6212,357150
405,1967,358150,6212,358150
405,1967,359150,6212,359150
406,1969,360150,6212,360150
407,1977,360620,6212,360620
408,1985,361620,6212,361620
408,1985,362620,6212,362620
409,1987,363430,6212,363430
409,1987,364240,6212,364240
410,1995,365240,6212,365240
411,1999,365240,6212,365240
412,2001,365240,6212,365240
413,2005,366240,6212,366240
414,2007,366470,6212,366470
415,2009,367470,6212,367470
416,2011,368470,6212,368470
417,2013,369280,6212,369280
417,2013,369930,6212,369930
418,2021,369930,6212,369930
419,2023,370930,6212,370930
419,2023,371930,6212,371930
420,2024,372390,6212,372390
421,2026,373200,6212,373200
422,2028,374200,6212,374200
423,2036,375200,6212,375200
424,2038,376200,6212,376200
425,2040,377200,6212,377200
425,2040,378010,6212,378010
425,2040,378010,6212,378010
426,2042,379010,6212,379010
427,2050,380010,6212,380010
428,2058,381010,6212,381010
429,2066,381480,6212,381480
430,2068,382480,6212,382480
431,2076,383480,6212,383480
431,2076,383480,6212,383480
431,2076,384480,6212,384480
432,2078,385290,6212,385290
432,2078,385520,6212,385520
433,2080,386520,6212,386520
434,2088,387520,6212,387520
435,2096,388520,6212,388520
436,2098,389520,6212,389520
437,2100,389990,6212,389990
438,2108,390990,6212,390990
439,2116,391990,6212,391990
440,2124,392990,6212,392990
440,2124,393990,6212,393990
441,2126,394800,6212,394800
442,2128,395800,6212,395800
443,2130,396800,6212,396800
444,2132,397800,6212,397800
445,2140,398030,6212,398030
446,2148,398030,6212,398030
447,2150,399030,6212,399030
447,2150,399840,6212,399840
447,2150,400840,6212,400840
447,2150,401840,6212,401840
447,2150,402160,6212,402160
447,2150,403160,6212,403160
448,2158,403160,6212,403160
448,2158,404160,6212,404160
449,2159,404970,6212,404970
449,2159,405520,6212,405520
449,2159,405520,6212,405520
450,2161,405680,6212,405680
451,2163,406000,6212,406000
451,2163,406810,6212,406810
451,2163,407280,6212,407280
452,2171,408280,6212,408280
452,2171,409090,6212,409090
453,2172,409560,6212,409560
454,2174,410020,6212,410020
455,2182,411020,6212,411020
456,2190,412020,6212,412020
457,2198,413020,6212,413020
458,2200,413240,6212,413240
458,2200,413240,6212,413240
458,2200,414240,6212,414240
459,2208,422240,6212,422240
460,2216,423240,6212,423240
461,2218,424050,6212,424050
462,2226,424050,6212,424050
462,2226,425050,6212,425050
462,2226,426050,6212,426050
463,2228,426270,6212,426270
464,2236,426920,6212,426920
464,2236,427920,6212,427920
464,2236,428920,6212,428920
465,2238,429920,6212,429920
465,2238,430570,6212,430570
466,2240,431380,6212,431380
467,2242,432380,6212,432380
468,2244,433030,6212,433030
468,2244,433500,6212,433500
468,2244,433500,6212,433500
469,2252,434310,6212,434310
469,2252,434780,6212,434780
469,2252,435250,6212,435250
470,2254,435720,6212,435720
471,2256,436190,6212,436190
471,2256,437000,6212,437000
472,2264,438000,6212,438000
473,2272,438320,6212,438320
474,2274,439320,6212,439320
474,2274,440130,6212,440130
475,2282,440600,6212,440600
475,2282,441600,6212,441600
475,2282,441920,6212,441920
476,2290,442730,6212,442730
477,2298,442890,6212,442890
478,2306,443890,6212,443890
479,2308,444540,6212,444540
479,2308,444540,6212,444540
480,2310,445540,6212,445540
480,2310,446010,6212,446010
481,2312,447010,6212,447010
482,2314,447330,6212,447330
483,2316,448330,6212,448330
484,2324,449330,6212,449330
485,2332,449700,6212,449700
486,2334,450700,6212,450700
487,2342,451700,6212,451700
488,2344,452700,6212,452700
489,2352,453700,6212,453700
490,2360,454700,6212,454700
490,2360,455700,6212,455700
490,2360,456700,6212,456700
490,2360,456700,6212,456700
490,2360,456700,6212,456700
