ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
666279.62,10.89,0.67,176507.03,2.88
666177.4,10.89,0.67,176507.03,2.88
666075.18,10.89,0.67,176507.03,2.89
666401.13,10.89,0.67,176619.88,2.89
666298.91,10.89,0.67,176528.2,2.89
666196.69,10.89,0.67,176528.2,2.89
666094.47,10.89,0.67,176528.2,2.89
665992.25,10.89,0.67,176528.2,2.89
666404.32,10.9,0.68,176433.33,2.89
666730.27,10.91,0.69,176433.33,2.89
666628.05,10.91,0.69,176433.33,2.89
666525.83,10.91,0.69,176433.33,2.89
666525.83,10.91,0.69,176433.33,2.89
666525.83,10.91,0.69,176433.33,2.89
666423.6,10.91,0.69,176433.33,2.89
666321.38,10.91,0.69,176341.64,2.89
666647.33,10.91,0.69,176454.49,2.89
666545.11,10.91,0.69,176445.97,2.89
666631.52,10.92,0.7,176445.97,2.89
666529.3,10.92,0.7,176445.97,2.89
665939.52,10.91,0.69,175736.78,2.88
666351.71,10.92,0.69,175736.78,2.88
666761.93,10.93,0.7,175577.05,2.88
666659.71,10.93,0.7,175485.37,2.88
666659.71,10.93,0.7,175393.68,2.87
666985.66,10.93,0.71,175393.68,2.87
666883.44,10.93,0.71,175393.68,2.88
666781.22,10.93,0.71,175393.68,2.88
666679.0,10.93,0.71,175363.12,2.88
666589.89,10.93,0.71,174672.89,2.86
666676.29,10.94,0.71,174672.89,2.87
666574.07,10.94,0.71,174589.72,2.86
666797.36,10.94,0.72,174656.68,2.87
666695.14,10.94,0.72,174656.68,2.87
666592.92,10.94,0.72,174663.47,2.87
666490.7,10.94,0.72,174580.3,2.87
666816.02,10.95,0.72,174807.42,2.87
666713.8,10.95,0.72,174807.42,2.87
666611.58,10.95,0.72,174790.67,2.87
667036.88,10.95,0.73,174646.86,2.87
666934.66,10.95,0.73,174646.86,2.87
666845.55,10.95,0.73,174050.53,2.86
666845.55,10.95,0.73,173958.84,2.86
666845.55,10.95,0.73,173958.84,2.86
666743.33,10.96,0.73,173958.84,2.86
666641.11,10.96,0.73,173958.84,2.86
667121.39,10.96,0.74,174054.43,2.86
667447.34,10.97,0.75,174054.43,2.86
667345.12,10.97,0.75,173962.74,2.86
667242.89,10.97,0.75,173962.74,2.86
667329.3,10.97,0.75,173962.74,2.86
667741.49,10.98,0.76,174064.08,2.86
667741.49,10.98,0.76,174064.08,2.86
667534.5,10.98,0.76,173737.68,2.86
667860.45,10.98,0.76,173850.53,2.86
668194.48,10.99,0.77,173850.53,2.86
668604.7,11.0,0.78,173690.8,2.86
668691.11,11.0,0.78,173804.65,2.86
668777.52,11.0,0.78,173804.65,2.86
668675.29,11.0,0.78,173793.71,2.86
669154.72,11.01,0.79,174051.84,2.86
669052.5,11.01,0.79,174058.62,2.87
669477.8,11.02,0.8,173914.81,2.86
669811.83,11.03,0.8,173914.81,2.86
670137.77,11.03,0.81,173914.81,2.86
670361.06,11.04,0.82,173914.81,2.86
670258.84,11.04,0.82,173914.81,2.86
670739.12,11.05,0.82,173319.65,2.85
670636.9,11.05,0.82,173227.96,2.85
670534.67,11.05,0.82,173227.96,2.85
670432.45,11.05,0.82,173136.27,2.85
670432.45,11.05,0.82,173044.59,2.85
670432.45,11.05,0.82,173044.59,2.85
670822.87,11.06,0.83,172898.73,2.85
670909.28,11.06,0.84,172807.04,2.85
670807.06,11.06,0.84,172813.83,2.85
670704.84,11.06,0.84,172820.61,2.85
670602.62,11.06,0.84,172728.92,2.85
670500.4,11.06,0.84,172728.92,2.85
670586.8,11.06,0.84,172842.77,2.85
670484.58,11.06,0.84,172849.55,2.85
670382.36,11.06,0.84,172757.86,2.85
670382.36,11.06,0.84,172757.86,2.85
670280.14,11.06,0.84,172757.86,2.85
670177.92,11.06,0.84,172757.86,2.85
670075.7,11.06,0.84,172666.18,2.85
670162.1,11.07,0.84,172760.44,2.85
670248.51,11.07,0.85,172874.28,2.85
670334.92,11.07,0.85,172874.28,2.86
670334.92,11.07,0.85,172785.2,2.85
670660.86,11.08,0.85,172898.05,2.86
671939.7,11.1,0.88,173809.9,2.87
672351.77,11.11,0.88,173718.79,2.87
672249.55,11.11,0.88,173718.79,2.87
672249.55,11.11,0.88,173627.1,2.87
672147.33,11.11,0.88,173627.1,2.87
672233.74,11.11,0.89,173740.95,2.87
672320.14,11.11,0.89,173740.95,2.87
672217.92,11.11,0.89,173732.42,2.87
672115.7,11.11,0.89,173732.42,2.87
672013.48,11.11,0.89,173732.42,2.87
672493.75,11.12,0.9,173828.01,2.87
672391.53,11.12,0.9,173828.01,2.87
672289.31,11.12,0.9,173828.01,2.88
672187.09,11.12,0.9,173828.01,2.88
672232.05,11.12,0.9,174476.37,2.89
672129.83,11.12,0.9,174467.85,2.89
672455.77,11.13,0.91,174467.85,2.89
672353.55,11.13,0.91,174467.85,2.89
672439.96,11.13,0.91,174467.85,2.89
672337.74,11.13,0.91,174376.16,2.89
672235.52,11.13,0.91,174376.16,2.89
672167.01,11.13,0.91,174254.57,2.89
672167.01,11.13,0.91,174254.57,2.89
672557.43,11.14,0.92,174108.71,2.88
672468.32,11.14,0.92,173512.39,2.87
672366.1,11.14,0.92,173512.39,2.88
672700.13,11.15,0.93,173512.39,2.88
673112.32,11.15,0.93,173512.39,2.88
673438.27,11.16,0.94,173512.39,2.88
673336.05,11.16,0.94,173519.17,2.88
673233.83,11.16,0.94,173519.17,2.88
673131.61,11.16,0.94,173427.48,2.88
673543.8,11.17,0.95,173531.19,2.88
673934.22,11.18,0.95,173385.34,2.88
673845.11,11.18,0.96,172789.01,2.87
674121.73,11.18,0.96,172789.01,2.87
674019.51,11.18,0.96,172697.32,2.87
674499.79,11.19,0.97,172697.32,2.87
674599.3,11.19,0.97,172298.49,2.86
675079.58,11.2,0.98,172302.14,2.86
675079.58,11.2,0.98,172302.14,2.86
674977.36,11.2,0.98,172302.14,2.86
674875.14,11.2,0.98,172471.59,2.86
674772.92,11.2,0.98,172463.07,2.86
674670.7,11.2,0.98,172454.55,2.86
674757.1,11.21,0.98,172454.55,2.86
674654.88,11.21,0.98,172362.86,2.86
674552.66,11.21,0.99,172362.86,2.86
675008.46,11.21,0.99,172580.7,2.87
675334.41,11.22,1.0,172580.7,2.87
675744.63,11.23,1.01,172394.35,2.86
676070.58,11.24,1.01,172394.35,2.87
676156.98,11.24,1.02,172394.35,2.87
676482.93,11.25,1.02,172394.35,2.87
676380.71,11.25,1.02,172394.35,2.87
676278.49,11.25,1.02,172394.35,2.87
676501.78,11.25,1.03,172461.31,2.87
676501.78,11.25,1.03,172461.31,2.87
676501.78,11.25,1.03,172461.31,2.87
676912.0,11.26,1.04,172301.58,2.87
677237.95,11.27,1.04,172301.58,2.87
677135.73,11.27,1.04,172301.58,2.87
677033.51,11.27,1.04,172471.04,2.87
676931.29,11.27,1.04,172379.35,2.87
