ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
198,987,157030,6212,157030
199,989,157030,6212,157030
200,991,157500,6212,157500
201,993,157500,6212,157500
202,995,157660,6212,157660
203,1003,158660,6212,158660
204,1005,158660,6212,158660
204,1005,159660,6212,159660
205,1007,160470,6212,160470
205,1007,161280,6212,161280
206,1009,162280,6212,162280
207,1017,163280,6212,163280
208,1025,164280,6212,164280
209,1027,164510,6212,164510
210,1035,165510,6212,165510
211,1043,166510,6212,166510
212,1051,167510,6212,167510
213,1055,167510,6212,167510
214,1057,168510,6212,168510
215,1065,168980,6212,168980
216,1073,169980,6212,169980
217,1077,170790,6212,170790
218,1079,171790,6212,171790
219,1087,172790,6212,172790
220,1091,173790,6212,173790
221,1099,173790,6212,173790
222,1101,174790,6212,174790
223,1103,175790,6212,175790
224,1111,176790,6212,176790
225,1119,177250,6212,177250
226,1127,177570,6212,177570
227,1135,178040,6212,178040
228,1137,179040,6212,179040
229,1145,180040,6212,180040
230,1147,181040,6212,181040
231,1149,181360,6212,181360
232,1151,182360,6212,182360
233,1153,183360,6212,183360
234,1161,183950,6212,183950
235,1163,184950,6212,184950
236,1171,185180,6212,185180
237,1173,185990,6212,185990
237,1173,186220,6212,186220
237,1173,186220,6212,186220
237,1173,187220,6212,187220
237,1173,188220,6212,188220
238,1175,189220,6212,189220
239,1177,190220,6212,190220
239,1177,191030,6212,191030
240,1179,192030,6212,192030
240,1179,193030,6212,193030
241,1181,193140,6212,193140
242,1189,193610,6212,193610
243,1191,194610,6212,194610
244,1199,195080,6212,195080
245,1207,195890,6212,195890
245,1207,196360,6212,196360
245,1207,197360,6212,197360
246,1215,198360,6212,198360
247,1217,199010,6212,199010
248,1225,199010,6212,199010
248,1225,199010,6212,199010
249,1227,200010,6212,200010
249,1227,200480,6212,200480
250,1235,201480,6212,201480
250,1235,202480,6212,202480
251,1237,203480,6212,203480
252,1245,204290,6212,204290
253,1253,204290,6212,204290
254,1257,205100,6212,205100
254,1257,206100,6212,206100
254,1257,206910,6212,206910
255,1265,207910,6212,207910
255,1265,208910,6212,208910
256,1273,208910,6212,208910
257,1281,209910,6212,209910
258,1289,210720,6212,210720
259,1297,211720,6212,211720
260,1299,212720,6212,212720
261,1307,213040,6212,213040
261,1307,214040,6212,214040
262,1315,214360,6212,214360
263,1323,214950,6212,214950
264,1325,214950,6212,214950
265,1333,215110,6212,215110
266,1335,215580,6212,215580
267,1343,216050,6212,216050
268,1351,217050,6212,217050
269,1359,218050,6212,218050
270,1361,218050,6212,218050
270,1361,218860,6212,218860
271,1369,219860,6212,219860
271,1369,220860,6212,220860
272,1377,221860,6212,221860
273,1379,221860,6212,221860
274,1381,222860,6212,222860
275,1383,223670,6212,223670
276,1385,224320,6212,224320
277,1393,225320,6212,225320
278,1397,225320,6212,225320
279,1405,226130,6212,226130
280,1413,227130,6212,227130
281,1415,228130,6212,228130
282,1423,228940,6212,228940
282,1423,229940,6212,229940
283,1431,230410,6212,230410
284,1433,231410,6212,231410
285,1441,232410,6212,232410
286,1443,234410,6212,234410
287,1451,234880,6212,234880
288,1453,235880,6212,235880
289,1455,236110,6212,236110
290,1463,237110,6212,237110
291,1471,237430,6212,237430
291,1471,237750,6212,237750
292,1473,238750,6212,238750
293,1475,239340,6212,239340
294,1477,240340,6212,240340
295,1479,241340,6212,241340
296,1481,241340,6212,241340
297,1489,241660,6212,241660
297,1489,241660,6212,241660
297,1489,242470,6212,242470
298,1497,243470,6212,243470
299,1505,243940,6212,243940
300,1507,244170,6212,244170
301,1515,244490,6212,244490
302,1523,244810,6212,244810
303,1525,245620,6212,245620
304,1533,246270,6212,246270
305,1535,247270,6212,247270
306,1543,248270,6212,248270
307,1545,249270,6212,249270
307,1545,250270,6212,250270
308,1553,251270,6212,251270
309,1561,251740,6212,251740
310,1563,252740,6212,252740
311,1571,253210,6212,253210
312,1579,254210,6212,254210
313,1581,254210,6212,254210
314,1583,254680,6212,254680
315,1591,255680,6212,255680
316,1599,256680,6212,256680
317,1607,257680,6212,257680
318,1609,258680,6212,258680
319,1617,259490,6212,259490
320,1625,259810,6212,259810
321,1627,260620,6212,260620
322,1635,261620,6212,261620
323,1643,269620,6212,269620
324,1645,270090,6212,270090
325,1653,271090,6212,271090
326,1655,272090,6212,272090
327,1657,272250,6212,272250
327,1657,273250,6212,273250
328,1659,274250,6212,274250
329,1663,274900,6212,274900
330,1665,275900,6212,275900
330,1665,276900,6212,276900
331,1673,277900,6212,277900
332,1681,278900,6212,278900
333,1689,279900,6212,279900
334,1697,280900,6212,280900
335,1699,281900,6212,281900
336,1707,282900,6212,282900
337,1715,283900,6212,283900
338,1717,284710,6212,284710
339,1725,285710,6212,285710
340,1727,286710,6212,286710
341,1735,287520,6212,287520
342,1743,287520,6212,287520
343,1751,287990,6212,287990
343,1751,288990,6212,288990
344,1759,289990,6212,289990
345,1763,290990,6212,290990
345,1763,291990,6212,291990
346,1771,292990,6212,292990
347,1779,293990,6212,293990
347,1779,294990,6212,294990
348,1787,294990,6212,294990
349,1795,295460,6212,295460
350,1803,295460,6212,295460
350,1803,296460,6212,296460
351,1805,296690,6212,296690
351,1805,297690,6212,297690
352,1807,297690,6212,297690
353,1815,298690,6212,298690
354,1823,298910,6212,298910
354,1823,299910,6212,299910
355,1825,300370,6212,300370
356,1833,301180,6212,301180
356,1833,302180,6212,302180
357,1835,302990,6212,302990
357,1835,303460,6212,303460
358,1843,304460,6212,304460
359,1851,305270,6212,305270
359,1851,306270,6212,306270
360,1859,306270,6212,306270
361,1861,306270,6212,306270
361,1861,307270,6212,307270
362,1865,308270,6212,308270
362,1865,309270,6212,309270
363,1873,310270,6212,310270
364,1881,310920,6212,310920
365,1883,311920,6212,311920
366,1891,312920,6212,312920
367,1893,313920,6212,313920
367,1893,314380,6212,314380
368,1901,315380,6212,315380
368,1901,316380,6212,316380
368,1901,317380,6212,317380
368,1901,317380,6212,317380
369,1909,318380,6212,318380
370,1917,318850,6212,318850
370,1917,319850,6212,319850
371,1925,320850,6212,320850
372,1926,321170,6212,321170
372,1926,321640,6212,321640
373,1928,322110,6212,322110
374,1936,322480,6212,322480
374,1936,323290,6212,323290
375,1944,323760,6212,323760
376,1946,324760,6212,324760
377,1954,324760,6212,324760
378,1956,325760,6212,325760
378,1956,326570,6212,326570
379,1958,326570,6212,326570
380,1960,327040,6212,327040
381,1962,328040,6212,328040
381,1962,329040,6212,329040
382,1964,330040,6212,330040
383,1968,330510,6212,330510
383,1968,330730,6212,330730
383,1968,331730,6212,331730
384,1970,332730,6212,332730
385,1978,332730,6212,332730
386,1980,332730,6212,332730
387,1988,333730,6212,333730
388,1996,334730,6212,334730
389,2004,335730,6212,335730
390,2012,336730,6212,336730
391,2014,337540,6212,337540
391,2014,338000,6212,338000
391,2014,339000,6212,339000
392,2016,339000,6212,339000
393,2024,340000,6212,340000
394,2025,340220,6212,340220
395,2027,340810,6212,340810
396,2035,340810,6212,340810
397,2037,341620,6212,341620
398,2039,342620,6212,342620
399,2041,342620,6212,342620
400,2043,343620,6212,343620
401,2045,344620,6212,344620
402,2047,345430,6212,345430
403,2048,345910,6212,345910
404,2050,346910,6212,346910
405,2051,347910,6212,347910
405,2051,348560,6212,348560
405,2051,349560,6212,349560
406,2059,349720,6212,349720
407,2061,350040,6212,350040
408,2069,351040,6212,351040
408,2069,352040,6212,352040
409,2071,352040,6212,352040
410,2079,353040,6212,353040
411,2081,353040,6212,353040
411,2081,353200,6212,353200
411,2081,353360,6212,353360
412,2089,354170,6212,354170
413,2091,355170,6212,355170
414,2093,355980,6212,355980
415,2095,356980,6212,356980
415,2095,357980,6212,357980
415,2095,358980,6212,358980
416,2097,359790,6212,359790
417,2099,360790,6212,360790
417,2099,361260,6212,361260
418,2101,362260,6212,362260
418,2101,363260,6212,363260
419,2109,364070,6212,364070
419,2109,365070,6212,365070
420,2111,366070,6212,366070
421,2119,366540,6212,366540
421,2119,367540,6212,367540
422,2121,368350,6212,368350
423,2123,369350,6212,369350
424,2125,370350,6212,370350
424,2125,370350,6212,370350
425,2133,371350,6212,371350
426,2135,372350,6212,372350
426,2135,372350,6212,372350
426,2135,373350,6212,373350
427,2137,374350,6212,374350
428,2139,375350,6212,375350
429,2147,376350,6212,376350
430,2149,377350,6212,377350
430,2149,377570,6212,377570
430,2149,378570,6212,378570
431,2157,379570,6212,379570
432,2159,380570,6212,380570
432,2159,381570,6212,381570
433,2161,381570,6212,381570
434,2165,382570,6212,382570
435,2173,383570,6212,383570
436,2181,384570,6212,384570
437,2189,385570,6212,385570
438,2193,385680,6212,385680
439,2201,386490,6212,386490
440,2209,387490,6212,387490
440,2209,388490,6212,388490
441,2211,389490,6212,389490
441,2211,389490,6212,389490
442,2213,390490,6212,390490
443,2215,391300,6212,391300
444,2217,391770,6212,391770
444,2217,392580,6212,392580
445,2225,393230,6212,393230
446,2227,394230,6212,394230
447,2235,395230,6212,395230
447,2235,395600,6212,395600
447,2235,396410,6212,396410
448,2239,397410,6212,397410
449,2247,398220,6212,398220
449,2247,398220,6212,398220
450,2249,399220,6212,399220
450,2249,399220,6212,399220
451,2257,400220,6212,400220
451,2257,401220,6212,401220
452,2265,402220,6212,402220
452,2265,403220,6212,403220
452,2265,403440,6212,403440
452,2265,403910,6212,403910
452,2265,404720,6212,404720
453,2267,405720,6212,405720
453,2267,406720,6212,406720
453,2267,407530,6212,407530
454,2275,408340,6212,408340
455,2283,409340,6212,409340
455,2283,410340,6212,410340
455,2283,410340,6212,410340
455,2283,411340,6212,411340
456,2285,412340,6212,412340
457,2293,412630,6212,412630
458,2301,413100,6212,413100
459,2309,414100,6212,414100
460,2311,414910,6212,414910
461,2319,415720,6212,415720
462,2327,416530,6212,416530
463,2335,416580,6212,416580
464,2337,417050,6212,417050
464,2337,417520,6212,417520
465,2339,418520,6212,418520
466,2341,419330,6212,419330
466,2341,419650,6212,419650
466,2341,419880,6212,419880
467,2349,420880,6212,420880
467,2349,421430,6212,421430
467,2349,422430,6212,422430
467,2349,422430,6212,422430
468,2353,423430,6212,423430
468,2353,424430,6212,424430
468,2353,424910,6212,424910
468,2353,425720,6212,425720
469,2361,426720,6212,426720
470,2369,427530,6212,427530
471,2377,428530,6212,428530
472,2385,429010,6212,429010
473,2387,430010,6212,430010
473,2387,431010,6212,431010
473,2387,432010,6212,432010
474,2395,433010,6212,433010
475,2397,433010,6212,433010
476,2405,434010,6212,434010
476,2405,435010,6212,435010
476,2405,435480,6212,435480
476,2405,435480,6212,435480
476,2405,439480,6212,439480
477,2413,440480,6212,440480
477,2413,440480,6212,440480
478,2415,441290,6212,441290
478,2415,442290,6212,442290
479,2417,442760,6212,442760
479,2417,443760,6212,443760
480,2425,444760,6212,444760
480,2425,445760,6212,445760
480,2425,445760,6212,445760
481,2429,446760,6212,446760
481,2429,447760,6212,447760
482,2431,448080,6212,448080
482,2431,449080,6212,449080
483,2433,449310,6212,449310
484,2441,450120,6212,450120
485,2443,451120,6212,451120
486,2451,451930,6212,451930
487,2459,452930,6212,452930
488,2467,453160,6212,453160
489,2475,453810,6212,453810
489,2475,453810,6212,453810
490,2483,454130,6212,454130
491,2485,455130,6212,455130
492,2493,455130,6212,455130
493,2501,456130,6212,456130
494,2505,457130,6212,457130
495,2513,458130,6212,458130
495,2513,458940,6212,458940
495,2513,459260,6212,459260
495,2513,460260,6212,460260
495,2513,461070,6212,461070
495,2513,462070,6212,462070
496,2515,463070,6212,463070
496,2515,464070,6212,464070
496,2515,464540,6212,464540
497,2517,465540,6212,465540
497,2517,466540,6212,466540
497,2517,467190,6212,467190
497,2517,468000,6212,468000
498,2525,469000,6212,469000
498,2525,470000,6212,470000
499,2533,470810,6212,470810
500,2541,470810,6212,470810
500,2541,470810,6212,470810
500,2541,471810,6212,471810
500,2541,471860,6212,471860
501,2543,472860,6212,472860
501,2543,473860,6212,473860
502,2551,474670,6212,474670
503,2559,475480,6212,475480
504,2561,476480,6212,476480
505,2563,477480,6212,477480
506,2571,478290,6212,478290
507,2575,479100,6212,479100
508,2577,479570,6212,479570
509,2579,479570,6212,479570
509,2579,480570,6212,480570
510,2587,480800,6212,480800
510,2587,481800,6212,481800
510,2587,482800,6212,482800
510,2587,483800,6212,483800
510,2587,483800,6212,483800
511,2589,484120,6212,484120
511,2589,485120,6212,485120
511,2589,486120,6212,486120
512,2597,486710,6212,486710
512,2597,487520,6212,487520
513,2598,487840,6212,487840
514,2600,488840,6212,488840
515,2602,489840,6212,489840
516,2610,490840,6212,490840
517,2618,491160,6212,491160
518,2626,492160,6212,492160
519,2634,492970,6212,492970
520,2642,493970,6212,493970
521,2644,494970,6212,494970
522,2652,495780,6212,495780
523,2660,496780,6212,496780
524,2664,497250,6212,497250
525,2666,498060,6212,498060
526,2674,498870,6212,498870
527,2682,498870,6212,498870
527,2682,499520,6212,499520
528,2684,500520,6212,500520
528,2684,500520,6212,500520
529,2686,501110,6212,501110
530,2694,502110,6212,502110
531,2702,502580,6212,502580
532,2704,503580,6212,503580
532,2704,504580,6212,504580
533,2706,505580,6212,505580
533,2706,506390,6212,506390
534,2714,507390,6212,507390
534,2714,507500,6212,507500
534,2714,508310,6212,508310
535,2722,509310,6212,509310
536,2730,510310,6212,510310
537,2738,511310,6212,511310
538,2746,515310,6212,515310
539,2754,516310,6212,516310
539,2754,517120,6212,517120
539,2754,517120,6212,517120
539,2754,518120,6212,518120
539,2754,519120,6212,519120
540,2762,519340,6212,519340
540,2762,520150,6212,520150
541,2770,521150,6212,521150
541,2770,522150,6212,522150
542,2778,522620,6212,522620
543,2786,523620,6212,523620
544,2794,524620,6212,524620
545,2802,525620,6212,525620
546,2810,525850,6212,525850
547,2812,526320,6212,526320
548,2820,526780,6212,526780
548,2820,527780,6212,527780
549,2824,528590,6212,528590
549,2824,528590,6212,528590
549,2824,528590,6212,528590
550,2826,529590,6212,529590
551,2828,529590,6212,529590
551,2828,530240,6212,530240
552,2836,530560,6212,530560
553,2838,531370,6212,531370
554,2840,531600,6212,531600
555,2844,532600,6212,532600
556,2846,533600,6212,533600
557,2854,533920,6212,533920
557,2854,534730,6212,534730
558,2862,535730,6212,535730
558,2862,536730,6212,536730
559,2870,537540,6212,537540
560,2878,538190,6212,538190
561,2886,539190,6212,539190
561,2886,539840,6212,539840
562,2888,540160,6212,540160
562,2888,541160,6212,541160
563,2896,541480,6212,541480
563,2896,542480,6212,542480
564,2904,543480,6212,543480
565,2912,543950,6212,543950
566,2916,544760,6212,544760
567,2924,545760,6212,545760
568,2932,546570,6212,546570
569,2934,547570,6212,547570
570,2936,548380,6212,548380
570,2936,549380,6212,549380
571,2938,549850,6212,549850
571,2938,550500,6212,550500
572,2940,551310,6212,551310
572,2940,551770,6212,551770
573,2942,552420,6212,552420
573,2942,553420,6212,553420
574,2950,554420,6212,554420
575,2958,555420,6212,555420
575,2958,555890,6212,555890
576,2959,556700,6212,556700
577,2961,557700,6212,557700
577,2961,558700,6212,558700
578,2969,559700,6212,559700
579,2971,559860,6212,559860
579,2971,560860,6212,560860
580,2979,561180,6212,561180
580,2979,562180,6212,562180
581,2981,563180,6212,563180
581,2981,563400,6212,563400
582,2989,564400,6212,564400
583,2997,565400,6212,565400
584,3005,566400,6212,566400
585,3013,567400,6212,567400
585,3013,568210,6212,568210
586,3021,568440,6212,568440
587,3025,568910,6212,568910
587,3025,569910,6212,569910
588,3027,570910,6212,570910
588,3027,571140,6212,571140
588,3027,572140,6212,572140
589,3035,573140,6212,573140
590,3043,574140,6212,574140
591,3051,574140,6212,574140
592,3059,574690,6212,574690
593,3067,575690,6212,575690
594,3069,576690,6212,576690
595,3071,577500,6212,577500
596,3079,578500,6212,578500
596,3079,578970,6212,578970
597,3081,579620,6212,579620
598,3083,580620,6212,580620
598,3083,581620,6212,581620
598,3083,582620,6212,582620
598,3083,583620,6212,583620
599,3085,584620,6212,584620
599,3085,585620,6212,585620
600,3087,586430,6212,586430
601,3089,586430,6212,586430
602,3091,586910,6212,586910
603,3093,587910,6212,587910
603,3093,588370,6212,588370
603,3093,589370,6212,589370
604,3097,590370,6212,590370
605,3099,591180,6212,591180
606,3107,591180,6212,591180
606,3107,592180,6212,592180
606,3107,593180,6212,593180
606,3107,594180,6212,594180
607,3115,594180,6212,594180
608,3123,594180,6212,594180
608,3123,595180,6212,595180
609,3125,596180,6212,596180
610,3127,597180,6212,597180
611,3129,598180,6212,598180
611,3129,599180,6212,599180
611,3129,600180,6212,600180
612,3137,600500,6212,600500
613,3145,601500,6212,601500
614,3149,601500,6212,601500
615,3157,609500,6212,609500
616,3159,609970,6212,609970
616,3159,609970,6212,609970
616,3159,610970,6212,610970
617,3167,611970,6212,611970
618,3171,611970,6212,611970
618,3171,612970,6212,612970
618,3171,613970,6212,613970
619,3173,613970,6212,613970
620,3181,614970,6212,614970
621,3183,615970,6212,615970
622,3185,616440,6212,616440
623,3193,616440,6212,616440
624,3201,617250,6212,617250
625,3203,618250,6212,618250
626,3211,618360,6212,618360
627,3219,619360,6212,619360
627,3219,620360,6212,620360
627,3219,620580,6212,620580
627,3219,621580,6212,621580
628,3221,621580,6212,621580
628,3221,622580,6212,622580
628,3221,622810,6212,622810
629,3229,623810,6212,623810
630,3237,624620,6212,624620
631,3245,625620,6212,625620
631,3245,626620,6212,626620
632,3247,627620,6212,627620
633,3249,628620,6212,628620
634,3251,628940,6212,628940
634,3251,629940,6212,629940
635,3259,630940,6212,630940
635,3259,631940,6212,631940
636,3267,632260,6212,632260
637,3269,633070,6212,633070
638,3277,633880,6212,633880
638,3277,634530,6212,634530
638,3277,635000,6212,635000
639,3285,636000,6212,636000
639,3285,636810,6212,636810
639,3285,637810,6212,637810
639,3285,638130,6212,638130
639,3285,638130,6212,638130
640,3293,639130,6212,639130
640,3293,640130,6212,640130
641,3301,640130,6212,640130
642,3303,640940,6212,640940
643,3311,641940,6212,641940
644,3319,642940,6212,642940
644,3319,643400,6212,643400
645,3321,643400,6212,643400
645,3321,644400,6212,644400
646,3323,645210,6212,645210
646,3323,645530,6212,645530
647,3331,645900,6212,645900
647,3331,646900,6212,646900
648,3335,647900,6212,647900
649,3337,648370,6212,648370
650,3345,649370,6212,649370
650,3345,650370,6212,650370
651,3347,651370,6212,651370
652,3355,652370,6212,652370
653,3357,653370,6212,653370
654,3361,654370,6212,654370
654,3361,654600,6212,654600
654,3361,655410,6212,655410
655,3369,656220,6212,656220
656,3377,656870,6212,656870
657,3379,657870,6212,657870
658,3387,657870,6212,657870
658,3387,658680,6212,658680
659,3395,659680,6212,659680
660,3397,660050,6212,660050
661,3399,660860,6212,660860
662,3407,661330,6212,661330
663,3415,662330,6212,662330
664,3417,663330,6212,663330
664,3417,664140,6212,664140
664,3417,664140,6212,664140
664,3417,664610,6212,664610
664,3417,665610,6212,665610
665,3419,665720,6212,665720
666,3421,666530,6212,666530
667,3429,667000,6212,667000
667,3429,667000,6212,667000
667,3429,667330,6212,667330
668,3430,668140,6212,668140
669,3438,669140,6212,669140
670,3446,669140,6212,669140
670,3446,670140,6212,670140
671,3454,671140,6212,671140
672,3456,671950,6212,671950
673,3464,671950,6212,671950
674,3466,672760,6212,672760
674,3466,672760,6212,672760
674,3466,673760,6212,673760
674,3466,674760,6212,674760
674,3466,674980,6212,674980
675,3474,675300,6212,675300
675,3474,676110,6212,676110
676,3482,677110,6212,677110
676,3482,677110,6212,677110
676,3482,677920,6212,677920
677,3484,678920,6212,678920
677,3484,679920,6212,679920
678,3492,680920,6212,680920
678,3492,680920,6212,680920
678,3492,681730,6212,681730
678,3492,682540,6212,682540
679,3500,683000,6212,683000
680,3502,684000,6212,684000
681,3510,685000,6212,685000
682,3518,685810,6212,685810
683,3526,686810,6212,686810
684,3534,687810,6212,687810
684,3534,688810,6212,688810
685,3536,689810,6212,689810
685,3536,690620,6212,690620
686,3544,691620,6212,691620
686,3544,692620,6212,692620
686,3544,692940,6212,692940
686,3544,693410,6212,693410
686,3544,694410,6212,694410
686,3544,695410,6212,695410
686,3544,696410,6212,696410
687,3552,697410,6212,697410
687,3552,698220,6212,698220
688,3554,698690,6212,698690
688,3554,698850,6212,698850
688,3554,699850,6212,699850
689,3562,700850,6212,700850
690,3570,701080,6212,701080
690,3570,701890,6212,701890
690,3570,702700,6212,702700
690,3570,703160,6212,703160
691,3572,703810,6212,703810
691,3572,704620,6212,704620
692,3580,705090,6212,705090
693,3588,706090,6212,706090
693,3588,707090,6212,707090
693,3588,708090,6212,708090
694,3596,708900,6212,708900
694,3596,709360,6212,709360
695,3600,710360,6212,710360
696,3608,710360,6212,710360
697,3610,710950,6212,710950
698,3618,711950,6212,711950
698,3618,712760,6212,712760
