ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
1157452.86,18.9,0.31,201853.86,3.3
1157250.2,18.9,0.31,201863.54,3.3
1157490.33,18.9,0.31,201840.78,3.3
1157195.85,18.9,0.31,201480.13,3.29
1156993.19,18.9,0.31,201463.14,3.29
1156790.54,18.9,0.31,201573.99,3.29
1156785.91,18.9,0.31,201565.88,3.29
1156583.25,18.9,0.31,201444.03,3.29
1156583.25,18.9,0.31,201778.14,3.3
1156390.66,18.9,0.31,201623.76,3.3
1156386.03,18.9,0.31,201436.55,3.29
1156202.87,18.9,0.31,202375.23,3.31
1156202.87,18.9,0.31,202375.23,3.31
1156202.87,18.9,0.31,202375.23,3.31
1156110.06,18.9,0.31,202331.3,3.31
1155932.67,18.9,0.31,202262.64,3.31
1155932.67,18.9,0.31,202262.64,3.31
1155953.61,18.9,0.31,202351.41,3.31
1155786.57,18.9,0.31,202274.11,3.31
1155619.54,18.91,0.31,202269.78,3.31
1155853.99,18.91,0.32,202240.75,3.31
1155686.95,18.91,0.32,202223.4,3.31
1155387.89,18.91,0.32,201949.46,3.3
1155387.89,18.91,0.32,201949.46,3.3
1155208.47,18.91,0.32,201648.52,3.3
1154934.04,18.9,0.31,202068.29,3.31
1154923.73,18.91,0.31,201528.67,3.3
1154756.7,18.91,0.31,201514.93,3.3
1154589.67,18.91,0.31,201631.3,3.3
1154422.64,18.91,0.31,201506.59,3.3
1154412.33,18.91,0.32,201290.09,3.3
1154200.66,18.91,0.31,201080.57,3.29
1154017.88,18.91,0.31,200377.39,3.28
1153858.34,18.91,0.31,200375.35,3.28
1153762.32,18.91,0.32,200331.47,3.28
1153757.7,18.91,0.32,200423.47,3.29
1153565.11,18.91,0.32,200481.26,3.29
1153897.15,18.92,0.32,200437.54,3.29
1153892.52,18.92,0.33,200418.16,3.29
1153122.16,18.92,0.33,201113.71,3.3
1152955.13,18.92,0.33,201036.56,3.3
1152788.1,18.92,0.33,201032.08,3.3
1152621.06,18.92,0.33,200954.78,3.3
1151032.84,18.92,0.33,200898.96,3.3
1150865.8,18.92,0.33,200894.63,3.3
1150861.18,18.92,0.33,201036.89,3.31
1150426.54,18.92,0.32,200565.61,3.3
1150425.66,18.92,0.33,200449.55,3.3
1150632.76,18.92,0.33,201355.97,3.31
1150465.73,18.92,0.33,201353.96,3.31
1150266.9,18.92,0.33,201085.7,3.31
1150548.24,18.93,0.34,201085.88,3.31
1150569.17,18.93,0.34,201167.71,3.31
1150376.58,18.93,0.34,201163.05,3.31
1150371.95,18.93,0.34,201212.42,3.31
1150179.36,18.93,0.34,201177.24,3.31
1150174.73,18.94,0.34,201153.96,3.31
1150170.11,18.94,0.35,201148.89,3.31
1149977.52,18.94,0.35,201930.0,3.33
1149784.93,18.94,0.35,201887.51,3.33
1149414.05,18.93,0.34,201769.93,3.32
1149403.74,18.94,0.34,201712.12,3.32
1149220.96,18.94,0.34,201008.94,3.31
1149510.59,18.94,0.35,201391.9,3.32
1149275.88,18.94,0.35,201115.4,3.31
1149108.85,18.94,0.35,201106.45,3.31
1148941.82,18.94,0.35,201033.77,3.31
1148774.78,18.94,0.35,200956.27,3.31
1149009.23,18.95,0.35,200927.24,3.31
1149009.23,18.95,0.35,200954.56,3.31
1149009.23,18.95,0.35,200955.83,3.31
1148842.2,18.95,0.35,200951.7,3.31
1148831.89,18.95,0.35,202177.23,3.33
1148664.86,18.95,0.35,202155.73,3.33
1148497.83,18.95,0.35,202095.61,3.33
1148330.79,18.95,0.35,202086.66,3.33
1148330.79,18.95,0.35,202070.63,3.33
1148163.76,18.95,0.35,201997.95,3.33
1148399.14,18.96,0.36,201047.04,3.32
1148661.13,18.96,0.37,201142.38,3.32
1148494.09,18.96,0.37,201387.36,3.32
1148334.55,18.96,0.37,201388.45,3.33
1148141.96,18.96,0.37,201361.23,3.33
1148137.33,18.96,0.37,201349.97,3.33
1147970.3,18.96,0.37,201341.03,3.33
1147777.71,18.96,0.37,201379.8,3.33
1147909.59,18.97,0.37,201350.85,3.33
1147717.0,18.97,0.37,201330.33,3.33
1147524.41,18.97,0.37,201846.79,3.34
1147155.39,18.96,0.37,201484.84,3.33
1146962.8,18.96,0.37,201433.45,3.33
1146684.28,18.96,0.37,202406.78,3.35
1146684.28,18.96,0.37,202406.78,3.35
1146524.73,18.96,0.37,202407.87,3.35
1146520.11,18.96,0.37,202387.77,3.35
1146327.52,18.96,0.37,202407.13,3.35
1146134.92,18.96,0.37,202384.35,3.35
1146554.91,18.97,0.38,202921.26,3.36
1146362.32,18.97,0.38,202900.06,3.36
1146169.73,18.97,0.38,202893.91,3.36
1145977.14,18.97,0.38,203179.18,3.36
1145977.14,18.97,0.38,203179.18,3.36
1145784.55,18.97,0.38,203053.43,3.36
1145413.5,18.97,0.37,202629.11,3.36
1145234.07,18.97,0.37,202600.69,3.36
1145079.86,18.96,0.37,202442.3,3.35
1144785.38,18.96,0.37,202182.37,3.35
1144781.14,18.96,0.37,201806.18,3.34
1144503.15,18.96,0.37,201519.01,3.34
1144492.85,18.96,0.37,200979.4,3.33
1143715.26,18.96,0.37,200941.11,3.33
1143512.6,18.96,0.37,200951.75,3.33
1143309.94,18.96,0.37,200934.66,3.33
1143309.94,18.96,0.37,200934.66,3.33
1143309.94,18.96,0.37,200930.85,3.33
1143107.28,18.96,0.37,201046.29,3.34
1142762.83,18.96,0.37,200996.62,3.33
1142783.76,18.96,0.37,200981.62,3.33
1142783.76,18.96,0.37,200981.62,3.33
1142581.1,18.96,0.37,200855.11,3.33
1142414.07,18.96,0.37,200839.71,3.33
1142676.06,18.97,0.37,201279.65,3.34
1142509.03,18.97,0.37,201364.33,3.34
1142498.72,18.97,0.38,201147.83,3.34
1142331.69,18.97,0.38,201070.69,3.34
1142331.69,18.97,0.38,201089.78,3.34
1142110.42,18.97,0.37,200945.0,3.34
1142109.54,18.97,0.38,200828.95,3.34
1142109.54,18.97,0.38,200801.61,3.34
1141901.84,18.97,0.38,201288.97,3.34
1141694.15,18.97,0.38,201899.77,3.35
1141511.37,18.97,0.38,201269.9,3.34
1141415.35,18.97,0.38,201148.17,3.34
1141572.21,18.98,0.38,201458.18,3.35
1141405.17,18.98,0.38,201449.24,3.35
1141238.14,18.98,0.38,201376.56,3.35
1139649.91,18.98,0.38,201320.73,3.35
1139356.03,18.97,0.38,201036.24,3.35
1139189.0,18.97,0.38,200959.09,3.35
1138890.09,18.97,0.37,200660.79,3.34
1138723.06,18.97,0.37,200656.31,3.34
1139074.43,18.98,0.38,200581.63,3.34
1139064.13,18.98,0.38,200503.78,3.34
1139064.13,18.98,0.38,200503.78,3.34
1138897.09,18.98,0.38,201023.28,3.35
1138586.44,18.97,0.38,200675.28,3.34
1138607.37,18.98,0.38,200772.61,3.35
1138440.34,18.98,0.38,200777.12,3.35
1138273.31,18.98,0.38,200699.82,3.35
1138273.31,18.98,0.38,200672.49,3.35
1138106.27,18.98,0.38,200668.16,3.35
1137939.24,18.98,0.38,200666.15,3.35
1137772.21,18.98,0.38,200586.54,3.35
1138006.66,18.98,0.39,200541.57,3.35
1137823.88,18.98,0.39,199838.39,3.33
1137539.89,18.98,0.39,199606.54,3.33
