ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1287358.15,21.09,0.59,194735.79,3.19
1287341.95,21.09,0.59,194830.03,3.19
1287136.98,21.09,0.59,194828.2,3.19
1287445.03,21.09,0.6,195858.05,3.21
1287240.06,21.09,0.6,195800.65,3.21
1287240.06,21.09,0.6,195797.48,3.21
1287474.49,21.1,0.6,195888.08,3.21
1288035.28,21.11,0.61,196855.26,3.23
1287830.3,21.11,0.61,196853.41,3.23
1287625.33,21.11,0.61,196853.41,3.23
1287625.33,21.11,0.61,196796.01,3.23
1287420.35,21.11,0.61,196792.78,3.23
1287215.37,21.11,0.61,196792.78,3.23
1287543.08,21.12,0.62,196789.55,3.23
1287543.08,21.12,0.62,196732.15,3.23
1287338.11,21.12,0.62,196728.92,3.23
1287133.13,21.12,0.62,196671.52,3.23
1286928.16,21.12,0.62,196668.29,3.23
1287147.18,21.12,0.63,196345.72,3.22
1286942.2,21.12,0.63,196344.53,3.22
1286737.23,21.12,0.63,196342.67,3.22
1287064.94,21.13,0.63,196438.95,3.23
1287299.37,21.14,0.64,196438.95,3.23
1287627.67,21.14,0.65,196422.85,3.23
1287422.69,21.14,0.65,196424.44,3.23
1287422.69,21.14,0.65,196421.21,3.23
1287406.5,21.15,0.65,196339.34,3.22
1287201.52,21.15,0.65,196337.27,3.23
1286996.55,21.15,0.65,196337.27,3.23
1288126.89,21.16,0.67,197130.28,3.24
1287921.91,21.16,0.67,197127.05,3.24
1287716.94,21.16,0.67,197123.82,3.24
1287700.74,21.17,0.67,197218.06,3.24
1287495.76,21.17,0.67,197214.83,3.24
1287290.79,21.17,0.67,197157.43,3.24
1287414.02,21.17,0.67,197154.19,3.24
1287209.05,21.17,0.67,197096.8,3.24
1287004.07,21.17,0.67,197094.73,3.24
1286799.1,21.17,0.67,197110.02,3.24
1286594.12,21.17,0.67,197108.16,3.24
1286828.55,21.18,0.68,197198.76,3.25
1286623.58,21.18,0.68,197196.69,3.25
1286623.58,21.18,0.68,197073.03,3.24
1288132.92,21.2,0.71,198040.78,3.26
1288744.88,21.21,0.72,198168.22,3.26
1288959.48,21.22,0.72,198166.74,3.26
1288754.51,21.22,0.72,198182.03,3.26
1288549.53,21.22,0.72,198178.8,3.26
1288344.55,21.22,0.72,198121.4,3.26
1288328.36,21.22,0.73,198215.64,3.27
1288562.79,21.23,0.73,198306.23,3.27
1288357.81,21.23,0.73,198307.5,3.27
1288152.84,21.23,0.73,198304.26,3.27
1288136.64,21.23,0.73,198385.65,3.27
1287931.66,21.23,0.73,198328.25,3.27
1288259.37,21.24,0.74,198325.02,3.27
1288492.68,21.24,0.75,198059.19,3.27
1288287.7,21.25,0.75,198001.79,3.27
1288287.7,21.25,0.75,197998.63,3.27
1288522.13,21.25,0.75,197995.4,3.27
1288522.13,21.25,0.75,197938.0,3.26
1288756.56,21.26,0.76,197934.77,3.26
1288551.59,21.26,0.76,197934.77,3.27
1288551.59,21.26,0.76,197877.37,3.26
1288551.59,21.26,0.76,197819.97,3.26
1288535.39,21.26,0.76,197817.93,3.26
1288330.42,21.26,0.76,197760.53,3.26
1288453.65,21.26,0.77,197828.03,3.26
1288248.68,21.26,0.77,197829.61,3.27
1288576.38,21.27,0.77,198352.36,3.27
1288371.41,21.27,0.77,198350.5,3.27
1288983.37,21.28,0.78,198477.94,3.28
1288778.39,21.28,0.78,198474.71,3.28
1289084.71,21.29,0.79,198474.71,3.28
1289084.71,21.29,0.79,198417.31,3.28
1289349.13,21.29,0.8,198647.47,3.28
1289349.13,21.29,0.8,198756.95,3.28
1289332.94,21.3,0.8,198851.19,3.28
1289567.37,21.3,0.8,198847.96,3.28
1289895.08,21.31,0.81,198844.73,3.28
1289895.08,21.31,0.81,198843.07,3.28
1289690.1,21.31,0.81,198785.67,3.28
1289813.34,21.31,0.82,198782.44,3.28
1289797.14,21.32,0.82,198780.4,3.29
1289974.44,21.32,0.82,198777.17,3.29
1289958.25,21.32,0.83,198871.41,3.29
1289753.27,21.32,0.83,198814.01,3.29
1289753.27,21.32,0.83,198756.61,3.29
1289548.3,21.32,0.83,198771.9,3.29
1289532.1,21.33,0.83,198769.86,3.29
1289532.1,21.33,0.83,198766.7,3.29
1289655.33,21.33,0.83,198834.19,3.29
1290053.54,21.34,0.84,199162.48,3.29
1290451.76,21.35,0.85,199166.8,3.29
1290779.46,21.35,0.85,199263.08,3.3
1290763.27,21.35,0.86,199261.04,3.3
1290763.27,21.35,0.86,199259.39,3.3
1291005.99,21.36,0.86,199256.15,3.3
1291423.7,21.37,0.87,198686.66,3.29
1291218.72,21.37,0.87,198683.43,3.29
1291578.75,21.37,0.88,198136.02,3.28
1291793.35,21.38,0.88,198078.62,3.28
1292478.82,21.39,0.89,198643.91,3.29
1292273.84,21.39,0.89,198640.68,3.29
1292257.64,21.39,0.9,198638.65,3.29
1292052.67,21.39,0.9,198581.25,3.29
1292052.67,21.39,0.9,198579.59,3.29
1291847.69,21.39,0.9,198577.73,3.29
1291847.69,21.39,0.9,198621.68,3.29
1292090.41,21.4,0.9,198453.28,3.29
1292323.72,21.41,0.91,198187.46,3.28
1292323.72,21.41,0.91,198128.47,3.28
1292118.74,21.41,0.91,198126.64,3.28
1291913.77,21.41,0.91,198126.64,3.28
1291708.79,21.41,0.91,198124.78,3.28
1292057.15,21.41,0.92,198067.39,3.28
1291852.18,21.41,0.92,198065.53,3.28
1291852.18,21.41,0.92,198065.53,3.28
1291647.2,21.41,0.92,198329.46,3.29
1291442.22,21.41,0.92,198326.23,3.29
1291237.25,21.42,0.92,198326.23,3.29
1291479.97,21.42,0.92,198323.0,3.29
1291479.97,21.42,0.92,198265.6,3.29
1291274.99,21.42,0.92,198263.53,3.29
1291258.8,21.42,0.93,198263.86,3.29
1291053.82,21.42,0.93,198260.63,3.29
1291632.27,21.44,0.94,198291.84,3.29
1291632.27,21.44,0.94,198234.44,3.29
1291846.86,21.44,0.94,198231.21,3.29
1291830.67,21.44,0.95,198325.45,3.29
1291625.69,21.44,0.95,198327.03,3.29
1291625.69,21.44,0.95,198323.89,3.29
1291625.69,21.44,0.95,198320.73,3.29
1293135.04,21.47,0.97,199288.49,3.31
1293135.04,21.47,0.97,199231.09,3.31
1293135.04,21.47,0.97,199386.65,3.31
1292930.06,21.47,0.97,199384.8,3.31
1292725.09,21.47,0.97,199327.4,3.31
1293106.38,21.48,0.98,199328.6,3.31
1293106.38,21.48,0.98,199271.2,3.31
1293106.38,21.48,0.98,199213.8,3.31
1293106.38,21.48,0.98,199257.74,3.31
1293340.81,21.48,0.98,199348.34,3.31
1293135.84,21.48,0.98,199346.48,3.31
1292930.86,21.48,0.98,199361.77,3.31
1292914.66,21.48,0.99,199359.74,3.31
1293242.37,21.49,0.99,199359.67,3.31
1293037.4,21.49,0.99,199359.47,3.31
1293021.2,21.49,1.0,199357.44,3.31
1292816.22,21.49,1.0,199357.44,3.31
1293050.65,21.5,1.0,199354.21,3.31
1292411.92,21.49,0.99,198608.8,3.3
1292206.94,21.49,1.0,198606.95,3.3
1292206.94,21.49,1.0,198603.81,3.3
1292001.97,21.49,1.0,198603.81,3.3
1291985.77,21.5,1.0,198698.05,3.31
1292597.73,21.51,1.01,198825.48,3.31
1292392.76,21.51,1.01,198864.84,3.31
1292187.78,21.51,1.01,198863.01,3.31
1292187.78,21.51,1.01,198886.65,3.31
1292376.75,21.51,1.02,198123.95,3.3
1292376.75,21.51,1.02,198066.56,3.3
1292171.78,21.51,1.02,198064.72,3.3
1292499.48,21.52,1.02,198063.53,3.3
1292294.51,21.52,1.02,198062.33,3.3
1292089.53,21.52,1.02,198077.62,3.3
1292323.96,21.53,1.03,198335.7,3.3
1292118.99,21.53,1.03,198333.63,3.3
1291914.01,21.53,1.03,198332.15,3.3
