ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-bellman_ratio
866456.64,14.12,0.53,188007.25,3.06
866794.78,14.13,0.53,187827.11,3.06
867499.2,14.15,0.55,188013.44,3.07
867795.22,14.15,0.55,188123.63,3.07
867659.24,14.15,0.55,188294.06,3.07
867665.56,14.15,0.55,188242.17,3.07
867529.58,14.15,0.55,188248.4,3.07
866529.58,14.14,0.54,187248.4,3.06
866157.59,14.13,0.54,186948.47,3.05
865861.16,14.13,0.53,186699.63,3.05
865165.03,14.12,0.52,186009.61,3.04
864467.63,14.11,0.51,185254.19,3.02
864331.65,14.11,0.51,185168.65,3.02
864195.67,14.11,0.51,185145.96,3.02
864491.69,14.12,0.52,185449.27,3.03
864195.26,14.11,0.52,185159.5,3.02
864059.29,14.11,0.52,185080.19,3.02
863923.31,14.11,0.52,185080.19,3.02
863988.63,14.12,0.52,184656.92,3.02
863754.05,14.11,0.52,184334.62,3.01
867772.59,14.18,0.58,185651.33,3.03
867636.62,14.18,0.58,185572.02,3.03
867689.32,14.18,0.59,185757.01,3.04
868046.52,14.19,0.59,185563.51,3.03
868046.52,14.19,0.59,185563.51,3.03
868046.52,14.19,0.59,185563.51,3.03
867937.84,14.19,0.59,185458.53,3.03
867801.86,14.19,0.59,185448.63,3.03
867801.86,14.19,0.59,185448.63,3.03
867275.4,14.18,0.59,184896.56,3.02
867139.43,14.18,0.59,184827.15,3.02
867003.45,14.18,0.59,184833.37,3.02
866631.45,14.18,0.58,184533.44,3.02
866495.47,14.18,0.58,184447.9,3.02
867054.41,14.19,0.59,184101.29,3.01
867054.41,14.19,0.59,184101.29,3.01
866766.21,14.19,0.59,184142.34,3.01
867131.82,14.19,0.6,184063.03,3.01
867184.52,14.2,0.6,184751.09,3.02
867048.54,14.2,0.6,184671.78,3.02
866912.57,14.2,0.6,184671.78,3.02
867250.71,14.2,0.61,184491.64,3.02
866743.31,14.2,0.6,183926.22,3.01
866621.74,14.2,0.6,183712.68,3.01
866485.76,14.2,0.6,183634.72,3.01
866349.78,14.2,0.6,183633.37,3.01
866402.49,14.2,0.6,183744.45,3.01
866455.19,14.2,0.6,183879.75,3.01
867095.93,14.21,0.62,183944.18,3.02
866805.92,14.21,0.61,183742.27,3.01
866871.24,14.21,0.62,183319.0,3.01
866327.33,14.21,0.62,182343.83,2.99
866092.75,14.21,0.61,182021.53,2.99
866430.89,14.22,0.62,181841.39,2.98
866294.91,14.22,0.62,181762.08,2.98
865207.09,14.22,0.62,181761.77,2.99
865071.12,14.22,0.62,181761.77,2.99
864563.72,14.21,0.62,181196.34,2.98
864807.75,14.22,0.62,181117.03,2.98
864860.45,14.22,0.63,181678.55,2.99
865303.42,14.23,0.63,181266.9,2.98
864951.19,14.23,0.63,181192.99,2.98
864749.93,14.23,0.63,180948.58,2.98
865054.1,14.23,0.63,180936.11,2.98
865106.8,14.23,0.64,181365.02,2.98
865352.75,14.24,0.64,181010.84,2.98
864936.22,14.24,0.64,180618.14,2.97
864800.25,14.24,0.64,180538.83,2.97
864852.95,14.24,0.64,180723.81,2.98
864905.65,14.24,0.64,180834.89,2.98
864769.67,14.24,0.64,180807.35,2.98
864633.7,14.24,0.64,180721.0,2.98
864263.55,14.24,0.64,180478.39,2.97
864316.25,14.24,0.64,180663.64,2.98
864180.27,14.24,0.64,180585.68,2.98
864564.93,14.25,0.65,181117.52,2.98
864380.05,14.24,0.65,180871.13,2.98
864244.07,14.24,0.65,180861.23,2.98
864108.09,14.24,0.65,180791.82,2.98
863972.12,14.24,0.65,180712.51,2.98
864268.14,14.25,0.65,181143.51,2.99
864268.14,14.25,0.65,181143.51,2.99
864268.14,14.25,0.65,181143.19,2.99
864590.83,14.26,0.66,180889.58,2.98
864098.88,14.25,0.65,180397.63,2.98
863962.9,14.25,0.65,180387.73,2.98
863826.93,14.25,0.65,180318.32,2.98
864165.07,14.26,0.66,180126.08,2.97
864165.07,14.26,0.66,180126.08,2.97
864029.09,14.26,0.66,180046.77,2.97
863781.69,14.26,0.66,179753.44,2.97
863409.69,14.25,0.65,179382.45,2.96
863273.71,14.25,0.65,179382.45,2.96
863137.74,14.25,0.65,179372.55,2.96
863001.76,14.25,0.65,179303.14,2.96
863054.46,14.26,0.66,179414.22,2.96
862918.48,14.26,0.66,179386.67,2.96
863256.62,14.26,0.67,179206.53,2.96
863447.08,14.27,0.67,179274.16,2.96
862749.68,14.26,0.66,178518.74,2.95
862613.7,14.26,0.66,178650.63,2.95
862909.72,14.27,0.67,178760.82,2.96
862773.74,14.27,0.67,178931.25,2.96
862500.63,14.26,0.66,178727.1,2.96
862500.63,14.26,0.66,180289.79,2.98
862364.65,14.26,0.66,180279.89,2.98
862417.36,14.26,0.67,180373.32,2.98
862281.38,14.26,0.67,180294.01,2.98
862145.4,14.26,0.67,180294.01,2.98
861939.65,14.26,0.66,180137.21,2.98
861816.29,14.26,0.66,179521.34,2.97
861580.39,14.26,0.66,179201.64,2.97
861444.41,14.26,0.66,179207.87,2.97
865812.17,14.33,0.74,185332.95,3.07
865676.19,14.33,0.74,185247.41,3.07
866119.16,14.34,0.74,184835.75,3.06
865766.93,14.34,0.74,184761.84,3.06
865608.25,14.34,0.74,184606.86,3.06
865311.82,14.33,0.73,184358.02,3.05
865364.52,14.33,0.74,184469.1,3.06
865228.55,14.33,0.74,184463.69,3.06
865281.25,14.34,0.74,184574.77,3.06
864737.34,14.34,0.74,184574.77,3.06
864601.36,14.34,0.74,184569.37,3.06
864465.39,14.34,0.74,184490.06,3.06
864465.39,14.34,0.74,184490.06,3.06
864465.39,14.34,0.74,184490.06,3.06
864329.41,14.34,0.74,184490.06,3.06
864625.43,14.34,0.75,184595.96,3.06
864678.13,14.35,0.75,184892.68,3.07
864678.13,14.35,0.75,184892.68,3.07
864542.15,14.35,0.75,184882.78,3.07
864406.18,14.35,0.75,184813.37,3.07
864034.18,14.34,0.74,184569.55,3.06
864372.32,14.35,0.75,184377.32,3.06
863864.92,14.34,0.75,183823.99,3.05
863728.94,14.34,0.75,183744.68,3.05
863728.94,14.34,0.75,183744.39,3.05
864113.6,14.35,0.75,184277.45,3.06
864178.92,14.35,0.76,183854.18,3.05
864178.92,14.35,0.76,183854.18,3.05
863944.34,14.35,0.76,183531.88,3.05
863808.37,14.35,0.76,183453.92,3.05
863672.39,14.35,0.76,183452.57,3.05
863725.09,14.36,0.76,183563.65,3.05
863234.45,14.35,0.75,183060.6,3.04
863098.48,14.35,0.75,183033.05,3.04
862962.5,14.35,0.75,182953.74,3.04
861874.68,14.35,0.75,182953.71,3.05
862259.34,14.36,0.76,183487.03,3.06
862123.36,14.36,0.76,183464.34,3.06
861938.48,14.36,0.76,183217.83,3.05
861802.5,14.36,0.76,183161.21,3.05
861506.75,14.35,0.75,182914.4,3.05
861559.45,14.35,0.76,183025.48,3.05
861559.45,14.35,0.76,183030.71,3.05
861423.47,14.35,0.76,183025.3,3.05
862279.89,14.37,0.77,183371.63,3.06
861784.21,14.36,0.77,182809.74,3.05
861648.24,14.36,0.77,182730.43,3.05
861512.26,14.36,0.77,182730.43,3.05
861512.26,14.36,0.77,182730.43,3.05
861376.28,14.36,0.77,182651.12,3.05
861240.3,14.36,0.77,182651.12,3.05
861881.05,14.38,0.78,182715.55,3.05
862177.07,14.38,0.79,182825.74,3.05
862041.09,14.38,0.79,183067.24,3.05
861905.11,14.38,0.79,183073.47,3.06
861774.37,14.38,0.78,182901.57,3.05
861638.39,14.38,0.78,182816.04,3.05
861828.85,14.39,0.79,182883.67,3.05
861692.87,14.39,0.79,183056.5,3.06
861988.89,14.39,0.8,183166.68,3.06
862041.59,14.4,0.8,183466.15,3.06
862379.73,14.4,0.81,183286.01,3.06
862083.3,14.4,0.8,182996.24,3.06
861947.33,14.4,0.8,182916.93,3.06
861811.35,14.4,0.8,182916.93,3.06
861675.37,14.4,0.8,182837.62,3.06
861303.37,14.39,0.8,182592.06,3.05
861167.4,14.39,0.8,182592.06,3.05
861031.42,14.4,0.8,182512.75,3.05
861031.42,14.4,0.8,182512.75,3.05
860524.02,14.39,0.79,181947.32,3.04
860524.02,14.39,0.79,181941.78,3.04
860388.04,14.39,0.79,181941.78,3.04
860388.04,14.39,0.79,183504.47,3.07
860388.04,14.39,0.79,184499.61,3.09
860440.74,14.39,0.79,184610.69,3.09
860304.77,14.39,0.79,184583.14,3.09
860168.79,14.39,0.79,184573.25,3.09
860032.81,14.39,0.79,184503.83,3.09
860032.81,14.39,0.79,184509.06,3.09
859896.83,14.39,0.79,184515.29,3.09
863407.52,14.45,0.85,187026.43,3.13
863711.69,14.46,0.86,187381.19,3.14
863661.69,14.46,0.86,187331.19,3.14
863984.38,14.46,0.87,187077.57,3.13
863984.38,14.46,0.87,187072.03,3.13
863984.38,14.46,0.87,188634.72,3.16
864625.12,14.48,0.88,188699.16,3.16
863943.18,14.47,0.87,188017.21,3.15
863807.2,14.47,0.87,187937.9,3.15
863671.22,14.47,0.87,187937.9,3.15
863723.92,14.47,0.87,188048.98,3.15
863565.24,14.47,0.87,187892.67,3.15
863617.95,14.47,0.87,188027.96,3.15
863247.8,14.47,0.87,187657.67,3.14
863111.82,14.47,0.87,187647.77,3.15
863477.42,14.47,0.88,188089.08,3.15
863134.73,14.47,0.87,187715.49,3.15
863500.33,14.48,0.88,187636.18,3.15
863157.64,14.47,0.87,187871.74,3.15
863021.66,14.47,0.87,187791.96,3.15
862885.69,14.47,0.87,187712.65,3.15
862749.71,14.47,0.87,187712.65,3.15
867117.46,14.55,0.95,193837.72,3.25
867804.34,14.56,0.96,193942.18,3.25
867668.36,14.56,0.96,193862.87,3.25
867162.23,14.55,0.95,193362.85,3.24
867026.25,14.55,0.95,193362.85,3.25
867391.86,14.56,0.96,193283.54,3.24
867255.88,14.56,0.96,193796.12,3.25
867321.2,14.56,0.97,193372.85,3.25
867273.98,14.56,0.97,193228.86,3.24
867138.0,14.56,0.97,193149.55,3.24
866937.68,14.56,0.96,192896.07,3.24
866801.7,14.56,0.96,192896.07,3.24
866665.72,14.56,0.96,192809.73,3.24
866529.75,14.56,0.96,192809.73,3.24
866775.69,14.57,0.97,192455.54,3.23
866170.49,14.56,0.96,191874.16,3.23
866034.51,14.56,0.96,191864.26,3.23
865898.53,14.56,0.96,191794.85,3.23
865677.27,14.56,0.96,191615.75,3.22
865541.3,14.56,0.96,191593.06,3.22
865405.32,14.56,0.96,191536.44,3.22
865701.34,14.56,0.97,191646.62,3.22
865891.79,14.57,0.97,192054.75,3.23
865755.82,14.57,0.97,192060.97,3.23
865808.52,14.57,0.97,192138.28,3.23
865672.54,14.57,0.97,192058.97,3.23
865536.56,14.57,0.97,192058.97,3.23
865400.58,14.57,0.98,191979.66,3.23
865264.61,14.57,0.98,191979.66,3.23
864892.61,14.57,0.97,191761.15,3.23
865196.78,14.57,0.98,191748.67,3.23
865060.8,14.57,0.98,192121.32,3.24
864924.83,14.57,0.98,192042.01,3.24
864788.85,14.57,0.98,192042.01,3.24
