ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-bellman_ratio
823237.12,20.32,6.72,312948.38,7.72
823237.12,20.32,6.72,312944.77,7.72
823237.12,20.32,6.72,312944.77,7.72
823101.15,20.32,6.72,312944.92,7.72
822814.06,20.31,6.71,312763.97,7.72
822658.16,20.31,6.71,312605.11,7.72
822939.27,20.32,6.72,312604.64,7.72
823129.72,20.33,6.73,312626.55,7.72
823182.42,20.33,6.73,312611.84,7.72
823046.45,20.33,6.74,312610.2,7.72
822910.47,20.34,6.74,312604.64,7.73
822774.49,20.34,6.74,313529.6,7.75
822638.52,20.34,6.74,313424.58,7.75
822691.22,20.34,6.75,313424.64,7.75
822484.79,20.34,6.74,313337.12,7.75
822194.77,20.34,6.74,313019.08,7.74
822058.8,20.34,6.74,313018.71,7.74
821901.44,20.33,6.74,312861.35,7.74
821765.46,20.34,6.74,312897.33,7.74
821629.48,20.34,6.74,312874.9,7.74
821819.94,20.35,6.75,312861.35,7.75
821683.96,20.35,6.75,313450.89,7.76
820596.14,20.36,6.76,313450.58,7.78
820648.84,20.37,6.77,313493.88,7.78
820512.87,20.37,6.77,313469.87,7.78
820376.89,20.37,6.77,313469.56,7.78
820672.91,20.38,6.78,313469.56,7.78
820536.93,20.38,6.78,313505.82,7.79
820589.63,20.39,6.79,313483.96,7.79
820453.66,20.39,6.79,313469.83,7.79
820317.68,20.39,6.79,314385.58,7.81
820021.25,20.38,6.79,314185.51,7.81
820021.25,20.38,6.79,314185.51,7.81
820021.25,20.38,6.79,314185.51,7.81
820021.25,20.38,6.79,314163.96,7.81
819825.15,20.38,6.78,314412.22,7.82
819281.24,20.39,6.79,314412.14,7.82
819407.21,20.39,6.8,313768.16,7.81
819210.74,20.39,6.8,313876.73,7.81
819210.74,20.39,6.8,313901.35,7.81
819074.77,20.4,6.8,313954.48,7.82
818938.79,20.4,6.8,314005.23,7.82
818651.7,20.39,6.79,313687.94,7.81
818651.7,20.39,6.79,313687.94,7.81
818979.67,20.41,6.81,314297.63,7.83
819170.12,20.41,6.82,314297.31,7.83
819171.44,20.41,6.82,314299.09,7.83
819035.47,20.41,6.82,314299.09,7.83
818624.22,20.41,6.81,313773.97,7.82
818488.24,20.41,6.81,314060.2,7.83
818732.28,20.42,6.82,313807.9,7.83
819028.3,20.43,6.83,313773.97,7.83
818892.32,20.43,6.83,315219.7,7.86
818720.17,20.43,6.83,315584.23,7.87
817632.35,20.44,6.85,315583.92,7.89
817496.38,20.44,6.85,315583.61,7.89
817337.7,20.44,6.84,315424.93,7.89
817337.7,20.44,6.84,315424.93,7.89
817633.72,20.45,6.85,315424.93,7.89
817633.72,20.45,6.85,315424.93,7.89
817925.41,20.46,6.86,314873.61,7.88
817546.32,20.46,6.86,314738.02,7.88
817410.34,20.46,6.86,314740.99,7.88
817229.5,20.46,6.86,314587.63,7.87
817093.52,20.46,6.86,314585.12,7.88
816957.54,20.46,6.86,314586.6,7.88
816821.57,20.46,6.86,315454.36,7.9
817647.61,20.49,6.89,316114.67,7.92
817943.63,20.5,6.9,316114.35,7.92
817807.66,20.5,6.9,316114.35,7.92
817520.57,20.49,6.89,315787.38,7.92
817573.27,20.5,6.9,315787.38,7.92
817437.29,20.5,6.9,315870.73,7.92
817489.99,20.51,6.91,315787.51,7.92
817354.02,20.51,6.91,315787.38,7.92
817354.02,20.51,6.91,315787.38,7.92
817218.04,20.51,6.91,316537.91,7.94
817218.04,20.51,6.91,316537.91,7.94
817270.74,20.51,6.92,316753.88,7.95
817270.74,20.51,6.92,316753.88,7.95
817134.76,20.52,6.92,316754.04,7.95
816998.79,20.52,6.92,316753.57,7.95
816626.79,20.51,6.91,316358.26,7.95
816626.79,20.51,6.91,316358.26,7.95
816339.7,20.51,6.91,316052.29,7.94
816203.72,20.51,6.91,316121.98,7.94
816499.75,20.52,6.92,316052.64,7.94
816363.77,20.52,6.92,316100.5,7.94
816227.79,20.52,6.92,316634.91,7.96
816135.46,20.52,6.93,316440.48,7.96
816011.8,20.53,6.93,316540.25,7.96
815875.82,20.53,6.93,316540.41,7.96
815739.84,20.53,6.93,316539.94,7.97
815739.84,20.53,6.93,316539.94,7.97
815792.54,20.53,6.94,316539.94,7.97
815656.57,20.54,6.94,316562.49,7.97
815900.6,20.55,6.95,316544.96,7.97
815764.63,20.55,6.95,316539.94,7.97
815817.33,20.55,6.95,317246.15,7.99
815681.35,20.55,6.96,317191.12,7.99
815681.35,20.55,6.96,317191.12,7.99
815545.37,20.56,6.96,317190.81,7.99
815841.39,20.57,6.97,317190.81,8.0
815469.39,20.56,6.96,317234.79,8.0
815522.1,20.56,6.97,317201.61,8.0
814522.1,20.54,6.95,316201.61,7.98
814574.8,20.55,6.95,316199.76,7.98
814438.82,20.55,6.95,316453.62,7.99
814629.27,20.56,6.96,316386.07,7.99
814681.97,20.57,6.97,316264.75,7.98
814385.54,20.56,6.96,316990.24,8.0
814629.58,20.57,6.97,317077.01,8.01
814493.6,20.57,6.97,317076.7,8.01
814493.6,20.57,6.97,317076.7,8.01
814173.6,20.56,6.97,316756.7,8.0
813982.27,20.56,6.96,316668.05,8.0
813982.27,20.56,6.96,316668.05,8.0
813692.26,20.55,6.96,316529.62,8.0
813556.28,20.56,6.96,316529.62,8.0
813420.3,20.56,6.96,316531.79,8.0
813284.32,20.56,6.96,316574.95,8.0
812196.51,20.57,6.98,316574.64,8.02
811778.54,20.57,6.97,316156.68,8.01
812163.21,20.58,6.98,316122.7,8.01
812059.65,20.58,6.98,316111.35,8.01
812355.68,20.59,6.99,316619.14,8.02
812355.68,20.59,6.99,316627.88,8.02
811983.68,20.58,6.98,316290.56,8.02
811783.84,20.58,6.98,316205.77,8.01
811836.54,20.58,6.98,316732.63,8.03
811700.57,20.58,6.98,316550.87,8.03
810700.57,20.56,6.96,315550.87,8.0
810981.68,20.57,6.97,315550.55,8.0
810845.7,20.57,6.98,315550.55,8.01
810645.86,20.57,6.97,315551.9,8.01
810698.57,20.58,6.98,315550.55,8.01
810562.59,20.58,6.98,315564.45,8.01
810426.61,20.58,6.98,315559.91,8.01
810290.63,20.58,6.98,315550.55,8.01
810534.67,20.59,6.99,316343.21,8.04
810398.69,20.59,6.99,316337.2,8.04
810262.71,20.59,7.0,316337.2,8.04
810126.74,20.6,7.0,316337.2,8.04
810126.74,20.6,7.0,316337.2,8.04
810179.44,20.6,7.0,316337.2,8.04
810043.46,20.6,7.01,316337.2,8.05
809907.48,20.6,7.01,316337.2,8.05
809907.48,20.6,7.01,316351.48,8.05
809771.51,20.61,7.01,316508.68,8.05
809635.53,20.61,7.01,316462.45,8.06
809499.55,20.61,7.01,316537.79,8.06
809499.55,20.61,7.01,316537.79,8.06
809552.25,20.62,7.02,316537.85,8.06
809416.28,20.62,7.02,316537.48,8.06
809280.3,20.62,7.02,316537.48,8.06
809280.3,20.62,7.02,316542.01,8.07
809063.05,20.62,7.02,316359.48,8.06
808927.07,20.62,7.02,316421.26,8.06
808791.09,20.62,7.02,316359.48,8.06
808655.11,20.62,7.02,316748.54,8.08
808529.95,20.62,7.02,316673.22,8.08
808383.16,20.62,7.03,316548.13,8.08
808573.61,20.63,7.03,316548.13,8.08
808437.63,20.63,7.04,316548.13,8.08
808490.34,20.64,7.04,316548.14,8.08
808786.36,20.65,7.05,316548.13,8.08
808839.06,20.66,7.06,316548.13,8.08
808891.76,20.66,7.06,316548.13,8.09
808519.76,20.65,7.06,317024.09,8.1
808519.76,20.65,7.06,317063.1,8.1
808519.76,20.65,7.06,317063.1,8.1
808313.33,20.65,7.05,316587.14,8.09
808177.36,20.65,7.05,316587.14,8.09
808041.38,20.65,7.06,317326.02,8.11
808094.08,20.66,7.06,317326.09,8.11
807958.1,20.66,7.06,317325.71,8.11
807668.09,20.66,7.06,316983.5,8.11
807532.11,20.66,7.06,316985.96,8.11
807396.13,20.66,7.06,317040.91,8.11
807396.13,20.66,7.06,317040.91,8.11
807260.16,20.66,7.06,317002.16,8.11
807312.86,20.67,7.07,316993.0,8.11
807312.86,20.67,7.07,316993.0,8.11
807176.88,20.67,7.07,317483.26,8.13
807040.9,20.67,7.07,317351.81,8.13
806904.93,20.67,7.07,317351.5,8.13
806768.95,20.67,7.08,317351.5,8.13
806768.95,20.67,7.08,317374.33,8.13
807064.97,20.68,7.09,317442.84,8.14
806924.51,20.68,7.08,317557.97,8.14
806924.51,20.68,7.08,317557.97,8.14
806977.21,20.69,7.09,317474.79,8.14
807281.39,20.7,7.1,317811.06,8.15
807334.09,20.7,7.1,317693.01,8.15
807198.11,20.7,7.11,317457.23,8.14
807250.81,20.71,7.11,318672.37,8.18
807494.85,20.72,7.12,318672.06,8.18
807358.87,20.72,7.12,318672.06,8.18
807222.89,20.72,7.13,318693.29,8.18
807466.93,20.73,7.13,318672.13,8.18
807096.78,20.73,7.13,318286.95,8.17
807149.48,20.73,7.13,318286.88,8.18
807202.18,20.74,7.14,318887.05,8.19
807047.26,20.73,7.14,318728.16,8.19
807099.96,20.74,7.14,319073.71,8.2
807099.96,20.74,7.14,319058.18,8.2
807290.41,20.75,7.15,319488.6,8.21
807154.43,20.75,7.15,319488.6,8.21
807018.46,20.75,7.15,319488.6,8.22
806882.48,20.75,7.16,319488.6,8.22
806882.48,20.75,7.16,319488.6,8.22
806746.5,20.76,7.16,319488.6,8.22
806610.52,20.76,7.16,319488.6,8.22
806474.55,20.76,7.16,319575.0,8.23
806338.57,20.76,7.16,319547.02,8.23
806634.59,20.77,7.17,319848.53,8.24
806634.59,20.77,7.17,319884.28,8.24
806413.05,20.77,7.17,319680.28,8.23
806277.07,20.77,7.17,319679.97,8.23
805905.07,20.76,7.16,319380.04,8.23
805769.1,20.76,7.17,319380.04,8.23
806065.12,20.77,7.18,319383.29,8.23
805929.14,20.78,7.18,319574.83,8.24
805567.14,20.77,7.17,319512.05,8.24
805863.16,20.78,7.18,319380.04,8.23
805748.82,20.78,7.18,320325.43,8.26
805748.82,20.78,7.18,320325.43,8.26
805638.99,20.78,7.18,320667.65,8.27
805503.01,20.78,7.18,320667.34,8.27
805947.26,20.8,7.2,320509.72,8.27
805811.28,20.8,7.2,320509.72,8.27
805675.3,20.8,7.21,320589.5,8.28
805971.32,20.81,7.22,320513.02,8.28
806024.02,20.82,7.22,320521.16,8.28
805888.05,20.82,7.22,321519.34,8.31
805851.99,20.82,7.23,321469.85,8.31
805715.41,20.83,7.23,321229.72,8.3
805768.12,20.83,7.23,321229.79,8.31
805820.82,20.84,7.24,321229.41,8.31
805820.82,20.84,7.24,321229.41,8.31
805820.82,20.84,7.24,321248.13,8.31
805276.91,20.85,7.25,321477.97,8.32
805467.36,20.85,7.26,321612.82,8.33
805331.38,20.86,7.26,321946.82,8.34
805195.41,20.86,7.26,321946.51,8.34
805195.41,20.86,7.26,321979.19,8.34
805059.43,20.86,7.26,321979.18,8.34
804923.45,20.86,7.26,322005.76,8.35
804787.47,20.86,7.27,322001.38,8.35
804447.46,20.86,7.26,321940.86,8.35
804448.78,20.86,7.26,321942.0,8.35
804448.78,20.86,7.26,321942.0,8.35
804312.8,20.86,7.26,322150.74,8.35
804365.51,20.86,7.27,321934.03,8.35
804555.96,20.87,7.28,322030.79,8.35
804608.66,20.88,7.28,322621.24,8.37
804904.68,20.89,7.29,322620.93,8.37
804904.68,20.89,7.29,322620.93,8.37
805095.13,20.9,7.3,322620.93,8.37
804959.16,20.9,7.3,322620.93,8.38
804959.16,20.9,7.3,322620.93,8.38
804823.18,20.9,7.3,323071.31,8.39
804605.93,20.9,7.3,322904.88,8.39
804469.95,20.9,7.3,322630.45,8.38
804469.95,20.9,7.3,322630.45,8.38
804469.95,20.9,7.3,322630.45,8.38
804355.6,20.9,7.3,322593.2,8.38
804703.03,20.91,7.32,324056.74,8.42
804633.59,20.92,7.32,323784.5,8.42
804937.76,20.93,7.33,323784.19,8.42
804937.76,20.93,7.33,323784.19,8.42
804801.78,20.93,7.33,323784.19,8.42
804431.63,20.92,7.32,323826.23,8.42
804295.66,20.92,7.33,323793.69,8.42
804591.68,20.93,7.34,323784.19,8.42
804455.7,20.94,7.34,325016.58,8.46
804333.64,20.94,7.34,325453.11,8.47
804147.57,20.94,7.34,324235.92,8.44
804464.37,20.95,7.35,324815.18,8.46
804328.39,20.95,7.35,324814.88,8.46
804169.72,20.95,7.35,324655.99,8.46
804033.74,20.95,7.35,324655.99,8.46
804033.74,20.95,7.35,324655.99,8.46
803897.76,20.95,7.35,324666.05,8.46
803761.78,20.95,7.36,324689.0,8.46
803163.18,20.94,7.35,323978.0,8.45
803027.2,20.94,7.35,324057.85,8.45
803271.24,20.95,7.36,324611.21,8.47
803578.08,20.97,7.37,324677.32,8.47
803268.57,20.96,7.36,324699.17,8.47
803055.46,20.96,7.36,324378.28,8.47
802919.48,20.96,7.36,324377.97,8.47
803215.51,20.97,7.37,324377.97,8.47
803079.53,20.97,7.38,324434.71,8.47
802943.55,20.98,7.38,324430.12,8.48
802807.57,20.98,7.38,324377.97,8.48
802435.58,20.97,7.37,325396.83,8.5
803391.54,21.0,7.4,325986.37,8.52
802725.04,20.99,7.39,325117.21,8.5
802589.07,20.99,7.39,325116.9,8.5
802453.09,20.99,7.4,325116.9,8.51
802317.11,20.99,7.4,325134.53,8.51
801809.71,20.99,7.39,324645.29,8.5
801673.73,20.99,7.39,324831.32,8.5
801977.91,21.0,7.4,324747.38,8.5
801841.93,21.0,7.4,325215.58,8.52
801705.95,21.0,7.4,324866.3,8.51
801569.97,21.0,7.41,325082.04,8.52
801363.54,21.0,7.4,324866.36,8.51
801363.54,21.0,7.4,324866.36,8.51
801227.57,21.0,7.4,324866.05,8.52
800867.42,21.0,7.4,324491.66,8.51
799779.6,21.01,7.41,324491.35,8.52
799832.3,21.02,7.42,324491.35,8.53
798744.48,21.03,7.43,324491.04,8.54
798608.51,21.03,7.44,324491.04,8.55
798904.53,21.04,7.45,324493.86,8.55
798608.1,21.04,7.44,324161.88,8.54
798401.67,21.03,7.44,323907.65,8.53
798039.67,21.03,7.43,323904.82,8.53
797903.69,21.03,7.43,323904.82,8.54
797767.71,21.03,7.43,324252.42,8.55
797631.74,21.03,7.44,324195.66,8.55
797631.74,21.03,7.44,324173.52,8.55
797927.76,21.04,7.45,324470.55,8.56
797791.78,21.05,7.45,324470.25,8.56
797501.77,21.04,7.44,324103.73,8.55
797554.47,21.05,7.45,324103.72,8.55
797418.49,21.05,7.45,324106.89,8.55
797282.51,21.05,7.45,324144.84,8.56
797146.54,21.05,7.45,324165.7,8.56
797146.54,21.05,7.45,324165.7,8.56
797146.54,21.05,7.45,324190.62,8.56
797010.56,21.05,7.46,324215.16,8.56
797063.26,21.06,7.46,324128.64,8.56
796927.28,21.06,7.46,324506.94,8.58
796791.31,21.06,7.47,324506.94,8.58
796655.33,21.07,7.47,324506.94,8.58
796519.35,21.07,7.47,324507.43,8.58
796519.35,21.07,7.47,324507.43,8.58
796383.37,21.07,7.47,324506.98,8.59
796383.37,21.07,7.47,324503.37,8.59
796247.4,21.07,7.47,324503.5,8.59
796437.85,21.08,7.48,324730.17,8.59
796437.85,21.08,7.48,324730.17,8.59
796301.87,21.08,7.48,324767.5,8.6
796165.89,21.08,7.49,324782.17,8.6
795793.9,21.08,7.48,324513.18,8.59
796037.93,21.09,7.49,324512.87,8.6
795901.95,21.09,7.49,324512.87,8.6
795765.98,21.09,7.49,324513.92,8.6
795630.0,21.09,7.49,324514.15,8.6
795494.02,21.09,7.5,324517.98,8.61
795494.02,21.09,7.5,324517.98,8.61
795358.05,21.1,7.5,324808.75,8.62
795222.07,21.1,7.5,324719.13,8.62
795086.09,21.1,7.5,324896.56,8.62
795087.41,21.1,7.5,324897.67,8.62
794951.43,21.1,7.5,324897.36,8.62
794951.43,21.1,7.5,324897.36,8.62
794815.46,21.1,7.51,324897.36,8.63
794679.48,21.11,7.51,324897.36,8.63
794732.18,21.11,7.51,324917.87,8.63
794784.88,21.12,7.52,324906.93,8.63
794648.91,21.12,7.52,324897.36,8.64
794512.93,21.12,7.52,325389.4,8.65
794376.95,21.12,7.53,325265.66,8.65
794240.97,21.13,7.53,325266.33,8.65
793729.51,21.13,7.54,326664.13,8.7
794488.98,21.16,7.56,326761.0,8.7
794353.0,21.16,7.57,326760.68,8.71
794217.02,21.16,7.57,326760.68,8.71
793903.26,21.16,7.56,326133.45,8.69
793903.26,21.16,7.56,326133.45,8.69
793767.28,21.16,7.57,326282.06,8.7
793631.3,21.17,7.57,326361.32,8.7
793125.22,21.16,7.56,325773.19,8.69
792989.25,21.16,7.56,325658.5,8.69
792940.57,21.16,7.56,325745.89,8.69
792644.14,21.16,7.56,325497.05,8.69
793318.18,21.18,7.58,326483.36,8.72
793614.2,21.19,7.59,326483.05,8.72
793614.2,21.19,7.59,326483.05,8.72
793478.22,21.19,7.59,326483.05,8.72
793342.24,21.19,7.59,326510.61,8.72
793206.26,21.19,7.6,326493.21,8.72
793206.26,21.19,7.6,326493.21,8.72
793070.29,21.2,7.6,327800.12,8.76
793070.29,21.2,7.6,327800.12,8.76
792713.64,21.19,7.59,327295.79,8.75
792787.97,21.2,7.6,326819.61,8.74
792906.0,21.21,7.61,326784.42,8.74
792906.0,21.21,7.61,326784.42,8.74
793096.45,21.21,7.62,326784.11,8.74
792899.99,21.21,7.62,326743.92,8.74
792603.56,21.21,7.61,326743.92,8.74
792656.26,21.21,7.62,326764.95,8.75
792708.97,21.22,7.62,326753.21,8.75
792572.99,21.22,7.62,326743.93,8.75
792437.01,21.22,7.63,326743.92,8.75
791349.19,21.24,7.64,326743.61,8.77
791213.22,21.24,7.64,327179.36,8.78
791077.24,21.24,7.65,327174.39,8.79
791129.94,21.25,7.65,327280.26,8.79
791129.94,21.25,7.65,327280.26,8.79
790993.96,21.25,7.66,327280.42,8.79
790857.98,21.25,7.66,327279.95,8.8
790722.01,21.26,7.66,327299.32,8.8
790774.71,21.26,7.67,327292.5,8.8
790573.44,21.26,7.66,327069.81,8.8
790437.47,21.26,7.66,327057.26,8.8
790301.49,21.26,7.67,327057.26,8.8
790354.19,21.27,7.67,327520.9,8.81
790058.0,21.26,7.67,327227.62,8.81
789922.02,21.27,7.67,327105.67,8.81
789786.05,21.27,7.67,327105.67,8.81
789650.07,21.27,7.67,327105.67,8.81
789650.07,21.27,7.67,327105.67,8.81
789702.77,21.28,7.68,327105.67,8.81
789426.13,21.27,7.67,326823.14,8.81
789290.15,21.27,7.67,326823.14,8.81
789290.15,21.27,7.67,326823.14,8.81
789154.18,21.27,7.68,326823.14,8.81
789018.2,21.28,7.68,326970.83,8.82
788882.22,21.28,7.68,326872.12,8.82
788746.25,21.28,7.68,327008.39,8.82
788610.27,21.28,7.68,327008.08,8.82
788474.29,21.28,7.69,327008.08,8.83
788338.31,21.29,7.69,327008.08,8.83
788202.34,21.29,7.69,327055.09,8.83
788045.12,21.29,7.69,326973.63,8.83
787909.14,21.29,7.69,326963.54,8.83
788205.16,21.3,7.7,327023.99,8.84
788132.15,21.3,7.7,327668.01,8.86
787997.36,21.3,7.71,327422.76,8.85
787861.38,21.31,7.71,327422.76,8.85
787914.08,21.31,7.71,327422.76,8.86
787778.1,21.31,7.72,327422.76,8.86
787642.13,21.32,7.72,327423.33,8.86
787946.3,21.33,7.73,327422.86,8.86
787576.15,21.32,7.72,327422.76,8.86
788037.37,21.33,7.74,327666.36,8.87
788090.08,21.34,7.74,327927.91,8.88
787954.1,21.34,7.74,328197.25,8.89
787954.1,21.34,7.74,328197.25,8.89
787818.12,21.34,7.75,328196.94,8.89
787682.14,21.35,7.75,328196.94,8.89
787386.2,21.34,7.74,328164.02,8.89
787250.22,21.34,7.75,328233.71,8.9
787114.24,21.34,7.75,328164.58,8.9
787358.28,21.35,7.76,328484.41,8.91
787410.98,21.36,7.76,328382.87,8.91
787275.0,21.36,7.77,328224.13,8.91
787275.0,21.36,7.77,328224.13,8.91
787275.0,21.36,7.77,328224.13,8.91
786945.81,21.36,7.76,328592.2,8.92
787319.65,21.37,7.77,328796.19,8.92
787319.65,21.37,7.77,328796.19,8.92
787183.67,21.37,7.77,328796.19,8.93
787183.67,21.37,7.77,328796.19,8.93
787236.38,21.38,7.78,328796.19,8.93
787236.38,21.38,7.78,328796.19,8.93
786924.28,21.37,7.77,328602.91,8.92
786788.3,21.37,7.78,328602.91,8.93
787069.41,21.38,7.79,328602.92,8.93
786933.43,21.39,7.79,328602.91,8.93
786797.46,21.39,7.79,328602.91,8.93
786661.48,21.39,7.79,329169.07,8.95
786525.5,21.39,7.79,329109.07,8.95
786389.52,21.39,7.8,329108.76,8.95
786442.23,21.4,7.8,329108.76,8.96
786738.25,21.41,7.81,329108.76,8.96
786602.27,21.41,7.82,329108.92,8.96
786230.27,21.41,7.81,329125.6,8.96
786094.29,21.41,7.81,329108.76,8.96
785958.32,21.41,7.81,329777.3,8.98
785910.29,21.41,7.82,329646.25,8.98
785687.68,21.41,7.82,329358.76,8.98
785551.7,21.42,7.82,329358.76,8.98
785551.7,21.42,7.82,329358.76,8.98
785551.7,21.42,7.82,329358.76,8.98
785415.73,21.42,7.82,329358.76,8.98
785711.75,21.43,7.83,329359.71,8.98
785575.77,21.43,7.83,329358.76,8.99
785628.47,21.44,7.84,329358.76,8.99
785628.47,21.44,7.84,329358.76,8.99
785492.5,21.44,7.84,329573.48,9.0
785356.52,21.44,7.84,329545.42,9.0
785356.52,21.44,7.84,329545.42,9.0
785409.22,21.45,7.85,329976.75,9.01
785072.13,21.44,7.84,329735.35,9.01
785072.13,21.44,7.84,329706.21,9.0
784936.16,21.44,7.85,329705.9,9.01
784800.18,21.45,7.85,329705.9,9.01
784464.03,21.44,7.84,329369.75,9.0
784328.05,21.44,7.84,329371.93,9.0
784192.07,21.44,7.85,329456.89,9.01
783968.61,21.44,7.84,329422.26,9.01
784021.32,21.45,7.85,329345.04,9.01
783885.34,21.45,7.85,329337.33,9.01
784250.94,21.46,7.86,329922.28,9.03
784250.94,21.46,7.86,329922.28,9.03
783163.13,21.48,7.88,329921.97,9.05
783027.15,21.48,7.88,329934.82,9.05
783079.85,21.48,7.89,329934.88,9.05
782943.87,21.49,7.89,329934.51,9.05
782996.57,21.49,7.9,329934.51,9.06
782653.88,21.49,7.89,329683.3,9.05
782517.9,21.49,7.89,329686.15,9.05
782883.51,21.5,7.9,329683.3,9.05
782726.15,21.5,7.9,329524.41,9.05
782590.17,21.5,7.9,329524.41,9.05
782454.19,21.5,7.9,330170.13,9.07
782318.22,21.5,7.91,330228.36,9.08
782182.24,21.51,7.91,330228.04,9.08
782046.26,21.51,7.91,330228.04,9.08
781845.94,21.5,7.91,330195.34,9.08
781898.64,21.51,7.91,330195.34,9.08
781951.34,21.52,7.92,330198.2,9.09
782336.0,21.53,7.93,330195.7,9.09
782336.0,21.53,7.93,330228.82,9.09
782200.02,21.53,7.93,330228.46,9.09
782064.05,21.53,7.94,330858.58,9.11
781573.41,21.52,7.93,330435.12,9.1
781877.58,21.54,7.94,331073.95,9.12
781741.6,21.54,7.94,331073.64,9.12
781605.63,21.54,7.94,331076.58,9.12
781469.65,21.54,7.94,331074.53,9.13
781333.67,21.54,7.95,331073.64,9.13
780963.52,21.54,7.94,330678.33,9.12
779875.7,21.55,7.96,330678.02,9.14
779739.73,21.56,7.96,330862.62,9.15
779792.43,21.56,7.97,330761.57,9.15
780036.46,21.57,7.98,330678.02,9.15
780036.46,21.57,7.98,330678.02,9.15
779900.49,21.58,7.98,331247.94,9.16
780204.66,21.59,7.99,331247.62,9.16
780257.36,21.59,8.0,331247.62,9.17
780121.38,21.6,8.0,331262.24,9.17
779985.4,21.6,8.0,331266.72,9.17
779735.08,21.6,8.0,332572.42,9.21
779809.8,21.61,8.01,332198.17,9.21
779695.54,21.61,8.01,332108.87,9.21
779559.56,21.61,8.02,332108.55,9.21
779423.58,21.62,8.02,332108.55,9.21
779423.58,21.62,8.02,332108.55,9.21
779202.32,21.61,8.01,331890.99,9.21
779255.02,21.62,8.02,331890.99,9.21
779307.73,21.62,8.03,331919.53,9.21
779171.75,21.63,8.03,331910.53,9.21
778083.93,21.64,8.05,331910.22,9.23
778083.93,21.64,8.05,331910.22,9.23
777793.92,21.64,8.04,331590.74,9.22
777793.92,21.64,8.04,331590.74,9.22
778178.58,21.65,8.05,331571.2,9.23
777866.48,21.65,8.05,332125.56,9.24
777866.48,21.65,8.05,332126.87,9.24
777730.5,21.65,8.05,331909.38,9.24
777783.2,21.65,8.06,332270.14,9.25
777647.23,21.66,8.06,332269.84,9.25
777511.25,21.66,8.06,332269.83,9.26
777563.95,21.66,8.07,332276.64,9.26
777427.97,21.67,8.07,332276.26,9.26
777216.72,21.66,8.06,332067.02,9.26
777080.74,21.66,8.07,332060.65,9.26
777082.06,21.66,8.07,332066.49,9.26
776946.08,21.67,8.07,332252.04,9.27
776810.1,21.67,8.07,332121.94,9.26
776674.13,21.67,8.07,332253.14,9.27
776675.45,21.67,8.07,332254.49,9.27
776456.83,21.67,8.07,332030.44,9.27
776456.83,21.67,8.07,332030.44,9.27
776320.86,21.67,8.07,332030.12,9.27
776184.88,21.67,8.07,332030.12,9.27
776237.58,21.68,8.08,332030.12,9.27
776101.6,21.68,8.08,332034.48,9.28
776101.6,21.68,8.08,332034.48,9.28
776154.3,21.69,8.09,332073.57,9.28
776018.33,21.69,8.09,332030.12,9.28
775882.35,21.69,8.09,332031.35,9.28
775886.31,21.69,8.09,332037.47,9.28
775750.33,21.69,8.1,332414.61,9.3
775614.36,21.7,8.1,332414.77,9.3
774526.54,21.71,8.12,332414.46,9.32
774390.56,21.72,8.12,332413.99,9.32
774254.58,21.72,8.12,332465.09,9.33
774118.61,21.72,8.12,332460.56,9.33
773982.63,21.72,8.13,332418.77,9.33
773982.63,21.72,8.13,332419.64,9.33
774035.33,21.73,8.13,332683.76,9.34
774088.03,21.74,8.14,332834.3,9.35
773000.21,21.75,8.16,332833.99,9.37
772864.24,21.76,8.16,332754.43,9.37
772916.94,21.76,8.16,332754.49,9.37
772916.94,21.76,8.16,332754.49,9.37
772780.96,21.76,8.17,332754.12,9.37
772833.66,21.77,8.17,332754.12,9.37
772697.68,21.77,8.18,332789.77,9.38
772697.68,21.77,8.18,332789.77,9.38
772561.71,21.78,8.18,332755.69,9.38
772425.73,21.78,8.18,332755.51,9.38
772478.43,21.78,8.19,333405.18,9.4
772774.45,21.8,8.2,333673.25,9.41
772827.15,21.8,8.2,333673.31,9.41
772691.18,21.8,8.21,333672.94,9.42
772691.18,21.8,8.21,333672.94,9.42
772555.2,21.81,8.21,333672.94,9.42
772183.2,21.8,8.2,333317.29,9.41
772047.22,21.8,8.2,333337.8,9.41
772047.22,21.8,8.2,333337.8,9.41
771911.25,21.8,8.21,333324.27,9.42
772101.7,21.81,8.22,333317.29,9.42
772397.72,21.82,8.23,334193.22,9.44
772450.42,21.83,8.23,334429.94,9.45
772314.44,21.83,8.24,334430.1,9.45
772367.15,21.84,8.24,334429.63,9.46
772070.72,21.83,8.24,333990.44,9.45
771877.85,21.83,8.23,333819.2,9.44
