ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
97,236,212800,6212,212800
98,238,213610,6212,213610
98,238,214610,6212,214610
99,240,215090,6212,215090
99,240,215410,6212,215410
99,240,216410,6212,216410
100,242,217410,6212,217410
100,242,218410,6212,218410
101,244,219410,6212,219410
101,244,220410,6212,220410
102,246,221410,6212,221410
102,246,221410,6212,221410
102,246,222410,6212,222410
103,248,223060,6212,223060
104,256,231060,6212,231060
105,258,231870,6212,231870
105,258,232340,6212,232340
105,258,232340,6212,232340
105,258,233340,6212,233340
106,260,234340,6212,234340
106,260,235150,6212,235150
107,262,235620,6212,235620
107,262,236620,6212,236620
108,264,237620,6212,237620
108,264,238620,6212,238620
109,266,239430,6212,239430
110,268,240430,6212,240430
110,268,241430,6212,241430
110,268,242430,6212,242430
110,268,242430,6212,242430
110,268,242900,6212,242900
111,270,243550,6212,243550
111,270,243780,6212,243780
112,272,244590,6212,244590
113,280,252590,6212,252590
113,280,253060,6212,253060
114,282,253870,6212,253870
114,282,254340,6212,254340
114,282,254800,6212,254800
114,282,254800,6212,254800
114,282,255120,6212,255120
115,284,255930,6212,255930
115,284,256740,6212,256740
116,286,257550,6212,257550
116,286,258360,6212,258360
117,288,259360,6212,259360
117,288,260360,6212,260360
117,288,260360,6212,260360
118,290,261360,6212,261360
118,290,262170,6212,262170
119,292,262980,6212,262980
119,292,263980,6212,263980
119,292,264300,6212,264300
120,294,264950,6212,264950
120,294,265170,6212,265170
120,294,265330,6212,265330
120,294,265330,6212,265330
120,294,265330,6212,265330
120,294,266140,6212,266140
121,296,266950,6212,266950
121,296,267110,6212,267110
121,296,267920,6212,267920
122,298,268390,6212,268390
122,298,269390,6212,269390
122,298,269390,6212,269390
123,300,270390,6212,270390
123,300,271200,6212,271200
124,302,272200,6212,272200
125,304,274200,6212,274200
125,304,275200,6212,275200
126,306,276200,6212,276200
126,306,276430,6212,276430
126,306,277430,6212,277430
127,308,279430,6212,279430
127,308,279430,6212,279430
128,310,280430,6212,280430
128,310,281430,6212,281430
129,312,282430,6212,282430
129,312,282430,6212,282430
129,312,282900,6212,282900
129,312,283900,6212,283900
130,316,284710,6212,284710
131,320,288710,6212,288710
132,322,289710,6212,289710
132,322,290300,6212,290300
132,322,290620,6212,290620
132,322,291620,6212,291620
133,324,292620,6212,292620
133,324,292840,6212,292840
134,326,294840,6212,294840
134,326,295490,6212,295490
134,326,295810,6212,295810
134,326,296460,6212,296460
135,328,296690,6212,296690
135,328,297500,6212,297500
135,328,297500,6212,297500
135,328,298500,6212,298500
135,328,298970,6212,298970
135,328,298970,6212,298970
136,330,299780,6212,299780
136,330,300250,6212,300250
137,332,301250,6212,301250
137,332,302060,6212,302060
138,334,303060,6212,303060
138,334,303710,6212,303710
139,336,304520,6212,304520
139,336,305330,6212,305330
140,338,306330,6212,306330
140,338,306980,6212,306980
141,340,307630,6212,307630
141,340,308630,6212,308630
142,342,309630,6212,309630
142,342,310280,6212,310280
143,344,311280,6212,311280
143,344,311280,6212,311280
143,344,312090,6212,312090
144,346,313090,6212,313090
144,346,314090,6212,314090
144,346,314090,6212,314090
145,348,315090,6212,315090
145,348,315410,6212,315410
145,348,316410,6212,316410
145,348,316410,6212,316410
146,350,317220,6212,317220
146,350,317220,6212,317220
146,350,318220,6212,318220
147,352,319220,6212,319220
147,352,319690,6212,319690
147,352,320690,6212,320690
147,352,320920,6212,320920
147,352,320920,6212,320920
147,352,321240,6212,321240
148,354,321710,6212,321710
148,354,322030,6212,322030
148,354,323030,6212,323030
149,356,323840,6212,323840
149,356,324840,6212,324840
150,360,325840,6212,325840
150,360,325840,6212,325840
150,360,326840,6212,326840
150,360,327310,6212,327310
151,362,327680,6212,327680
151,362,328150,6212,328150
151,362,328380,6212,328380
151,362,329380,6212,329380
152,364,330380,6212,330380
152,364,330600,6212,330600
152,364,330600,6212,330600
152,364,331600,6212,331600
153,366,332600,6212,332600
153,366,333600,6212,333600
153,366,333920,6212,333920
153,366,333920,6212,333920
153,366,334920,6212,334920
153,366,334920,6212,334920
154,368,335920,6212,335920
154,368,336390,6212,336390
154,368,336710,6212,336710
154,368,337030,6212,337030
155,370,338030,6212,338030
155,370,338500,6212,338500
155,370,338970,6212,338970
156,372,339970,6212,339970
156,372,340970,6212,340970
156,372,340970,6212,340970
157,374,341440,6212,341440
158,382,349440,6212,349440
159,384,350250,6212,350250
160,392,358250,6212,358250
160,392,359060,6212,359060
160,392,360060,6212,360060
161,394,360870,6212,360870
162,398,364870,6212,364870
162,398,365870,6212,365870
163,400,366870,6212,366870
163,400,367420,6212,367420
163,400,367420,6212,367420
164,408,375420,6212,375420
165,410,376420,6212,376420
165,410,376420,6212,376420
165,410,376740,6212,376740
165,410,376740,6212,376740
165,410,377740,6212,377740
165,410,377970,6212,377970
165,410,377970,6212,377970
166,412,378970,6212,378970
166,412,379970,6212,379970
167,414,380970,6212,380970
167,414,381970,6212,381970
167,414,381970,6212,381970
167,414,381970,6212,381970
167,414,381970,6212,381970
168,416,382410,6212,382410
168,416,382880,6212,382880
168,416,383880,6212,383880
169,418,384880,6212,384880
169,418,384880,6212,384880
170,426,392880,6212,392880
171,428,393690,6212,393690
171,428,394690,6212,394690
172,436,402690,6212,402690
173,438,403690,6212,403690
173,438,404240,6212,404240
173,438,404710,6212,404710
174,440,405520,6212,405520
174,440,406520,6212,406520
174,440,406980,6212,406980
175,442,407980,6212,407980
175,442,408980,6212,408980
176,444,409980,6212,409980
176,444,410980,6212,410980
177,446,411790,6212,411790
177,446,411790,6212,411790
177,446,412790,6212,412790
178,454,420790,6212,420790
179,456,421790,6212,421790
180,458,422600,6212,422600
180,458,423150,6212,423150
180,458,423620,6212,423620
181,460,424620,6212,424620
181,460,425620,6212,425620
182,462,426620,6212,426620
182,462,427620,6212,427620
183,464,428620,6212,428620
183,464,429090,6212,429090
183,464,430090,6212,430090
183,464,430410,6212,430410
184,466,431410,6212,431410
184,466,432410,6212,432410
185,468,433410,6212,433410
185,468,434060,6212,434060
186,470,435060,6212,435060
187,472,435870,6212,435870
187,472,436870,6212,436870
187,472,437190,6212,437190
187,472,438190,6212,438190
187,472,438190,6212,438190
188,474,439190,6212,439190
188,474,439190,6212,439190
188,474,440190,6212,440190
189,476,441190,6212,441190
189,476,441510,6212,441510
190,478,442320,6212,442320
190,478,443320,6212,443320
190,478,444320,6212,444320
190,478,444320,6212,444320
191,480,445320,6212,445320
191,480,446320,6212,446320
192,482,447130,6212,447130
192,482,447600,6212,447600
193,484,448250,6212,448250
194,486,449060,6212,449060
194,486,450060,6212,450060
194,486,450060,6212,450060
194,486,450380,6212,450380
194,486,450380,6212,450380
194,486,451190,6212,451190
195,488,452000,6212,452000
195,488,453000,6212,453000
196,490,454000,6212,454000
196,490,454810,6212,454810
197,492,455460,6212,455460
198,494,456270,6212,456270
198,494,456430,6212,456430
198,494,456900,6212,456900
198,494,457710,6212,457710
199,496,458180,6212,458180
199,496,458180,6212,458180
199,496,458650,6212,458650
199,496,459650,6212,459650
199,496,459970,6212,459970
200,498,460970,6212,460970
200,498,461970,6212,461970
200,498,461970,6212,461970
201,500,462970,6212,462970
201,500,463130,6212,463130
201,500,463130,6212,463130
201,500,464130,6212,464130
202,504,464600,6212,464600
203,508,465600,6212,465600
203,508,465600,6212,465600
203,508,466070,6212,466070
203,508,467070,6212,467070
204,510,467880,6212,467880
204,510,468200,6212,468200
204,510,469200,6212,469200
204,510,469850,6212,469850
204,510,470660,6212,470660
205,512,471660,6212,471660
205,512,471660,6212,471660
206,520,479660,6212,479660
206,520,479880,6212,479880
206,520,479880,6212,479880
206,520,480690,6212,480690
207,522,481690,6212,481690
207,522,482690,6212,482690
208,524,483690,6212,483690
208,524,484690,6212,484690
209,526,485690,6212,485690
209,526,486280,6212,486280
