ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
872286.37,14.23,0.63,187921.1,3.07
872683.18,14.24,0.64,187946.98,3.07
872952.0,14.24,0.65,187946.79,3.07
873003.69,14.25,0.65,187946.97,3.07
872867.73,14.25,0.65,187946.77,3.07
873136.56,14.25,0.66,187946.58,3.07
873188.25,14.25,0.66,187946.58,3.07
873239.94,14.26,0.66,187946.76,3.07
873103.98,14.26,0.66,187843.85,3.07
873155.67,14.26,0.66,187844.03,3.07
873019.71,14.26,0.66,187843.84,3.07
872883.75,14.26,0.66,187843.64,3.07
872883.75,14.26,0.66,187740.73,3.07
872883.75,14.26,0.66,187740.54,3.07
872747.79,14.26,0.66,187740.34,3.07
872611.83,14.26,0.66,187740.34,3.07
872475.87,14.26,0.66,187706.18,3.07
872744.7,14.27,0.67,187780.66,3.07
873013.52,14.27,0.68,187780.46,3.07
873013.52,14.27,0.68,187679.68,3.07
872877.56,14.27,0.68,187679.49,3.07
872741.6,14.27,0.68,187674.97,3.07
873010.43,14.28,0.68,187674.97,3.07
873010.43,14.28,0.68,187574.18,3.07
872874.47,14.28,0.68,187573.99,3.07
872738.51,14.28,0.68,187554.37,3.07
873007.33,14.28,0.69,187628.85,3.07
873276.16,14.29,0.69,187628.66,3.07
873276.16,14.29,0.69,187525.75,3.07
873276.16,14.29,0.69,187525.56,3.07
873276.16,14.29,0.69,187525.36,3.07
873140.2,14.29,0.69,187422.46,3.07
873004.24,14.29,0.69,187422.26,3.07
873273.06,14.29,0.7,187422.07,3.07
873541.89,14.3,0.7,187421.87,3.07
873541.89,14.3,0.7,187321.09,3.07
873593.58,14.3,0.71,187321.27,3.07
873645.27,14.3,0.71,187321.45,3.07
873645.27,14.3,0.71,187321.26,3.07
873979.8,14.31,0.72,187874.66,3.08
874314.34,14.32,0.72,187874.47,3.08
873226.66,14.32,0.72,187874.47,3.08
873561.19,14.32,0.73,188132.13,3.08
873612.88,14.33,0.73,188132.13,3.09
873476.92,14.33,0.73,188131.93,3.09
873439.84,14.33,0.73,188238.39,3.09
873491.54,14.33,0.74,188238.39,3.09
873355.58,14.33,0.74,188238.19,3.09
873355.58,14.33,0.74,188238.19,3.09
873627.61,14.34,0.74,188220.64,3.09
874460.46,14.35,0.76,188550.15,3.09
874324.5,14.35,0.76,188549.96,3.1
874188.55,14.35,0.76,188549.76,3.1
874052.59,14.35,0.76,188446.86,3.09
874299.43,14.36,0.76,187810.25,3.08
874163.47,14.36,0.76,187790.63,3.08
874027.51,14.36,0.76,187771.02,3.08
874362.04,14.36,0.77,187824.38,3.09
874457.25,14.37,0.77,187313.68,3.08
874640.96,14.37,0.78,187313.31,3.08
874932.19,14.38,0.78,187123.36,3.08
875376.75,14.39,0.79,186800.98,3.07
875428.44,14.39,0.79,186801.16,3.07
875697.27,14.4,0.8,186800.96,3.07
875561.31,14.4,0.8,186800.77,3.07
875830.13,14.4,0.81,186875.25,3.07
875694.17,14.4,0.81,186913.06,3.07
875339.51,14.4,0.8,186409.21,3.07
875743.24,14.4,0.81,186409.87,3.07
876077.77,14.41,0.82,186410.3,3.07
875941.81,14.41,0.82,186410.56,3.07
875941.81,14.41,0.82,186413.84,3.07
875805.85,14.41,0.82,186413.64,3.07
875857.54,14.41,0.82,186413.82,3.07
876126.37,14.42,0.82,186488.3,3.07
876353.3,14.42,0.83,186566.05,3.07
876353.3,14.42,0.83,186569.32,3.07
876404.99,14.43,0.83,186692.43,3.07
876160.03,14.42,0.83,186075.52,3.06
876211.72,14.43,0.83,186075.7,3.06
876075.76,14.43,0.83,186056.09,3.06
876370.35,14.43,0.84,186055.9,3.06
876422.04,14.44,0.84,186134.42,3.07
876690.86,14.44,0.85,186134.23,3.07
876742.56,14.44,0.85,186134.23,3.07
876794.25,14.45,0.85,186134.41,3.07
876658.29,14.45,0.85,186031.5,3.07
876658.29,14.45,0.85,186034.77,3.07
876522.33,14.45,0.85,186034.58,3.07
876522.33,14.45,0.85,186034.39,3.07
876386.37,14.45,0.85,185931.48,3.07
876655.19,14.45,0.86,185931.28,3.07
877052.0,14.46,0.86,185931.09,3.07
877235.71,14.46,0.87,186011.53,3.07
877504.53,14.47,0.87,186086.01,3.07
877556.23,14.47,0.88,186086.19,3.07
877420.27,14.47,0.88,185983.28,3.07
877471.96,14.48,0.88,185983.46,3.07
877748.42,14.48,0.89,185983.08,3.07
878017.24,14.49,0.89,185982.89,3.07
878068.94,14.49,0.89,186166.97,3.07
878465.74,14.5,0.9,186166.78,3.07
878329.78,14.5,0.9,186166.78,3.07
878598.61,14.5,0.91,186241.26,3.07
879264.39,14.51,0.92,186362.19,3.08
879316.08,14.52,0.92,186362.37,3.08
879610.67,14.52,0.93,186358.9,3.08
879610.67,14.52,0.93,186358.7,3.08
879662.36,14.53,0.93,186369.46,3.08
879526.4,14.53,0.93,186369.26,3.08
879710.11,14.53,0.93,186453.9,3.08
879978.94,14.54,0.94,186453.7,3.08
880329.9,14.54,0.95,186454.11,3.08
880664.44,14.55,0.95,186507.47,3.08
880716.13,14.55,0.96,186507.65,3.08
880984.95,14.56,0.96,186507.46,3.08
881168.66,14.56,0.97,186592.09,3.08
881032.71,14.56,0.97,186616.49,3.08
880896.75,14.56,0.97,186616.3,3.08
880760.79,14.56,0.97,186616.56,3.09
881037.25,14.57,0.97,186616.56,3.09
881037.25,14.57,0.97,186616.37,3.09
880901.29,14.57,0.97,186616.17,3.09
880901.29,14.57,0.97,186615.98,3.09
880901.29,14.57,0.97,186615.78,3.09
880765.33,14.57,0.97,186615.59,3.09
881099.86,14.57,0.98,186615.4,3.09
881162.63,14.58,0.98,186230.85,3.08
881026.67,14.58,0.98,186231.12,3.08
880901.78,14.58,0.98,185508.7,3.07
880765.82,14.58,0.98,185508.5,3.07
881042.28,14.58,0.99,185484.89,3.07
881093.97,14.59,0.99,185484.89,3.07
880958.01,14.59,0.99,185338.21,3.07
880822.05,14.59,0.99,185336.58,3.07
880884.82,14.59,0.99,184952.03,3.06
880936.51,14.59,1.0,184952.03,3.06
880936.51,14.59,1.0,184849.12,3.06
880800.55,14.59,1.0,184848.93,3.06
880664.59,14.59,1.0,184848.74,3.06
880528.63,14.59,1.0,184848.54,3.06
880580.32,14.6,1.0,184848.72,3.06
880849.15,14.6,1.01,184848.72,3.06
880713.19,14.6,1.01,184848.53,3.06
880764.88,14.6,1.01,184971.63,3.07
881099.41,14.61,1.01,185244.83,3.07
881099.41,14.61,1.01,185141.92,3.07
881099.41,14.61,1.01,185141.73,3.07
880963.45,14.61,1.01,185038.82,3.07
880827.49,14.61,1.01,185038.63,3.07
881231.21,14.62,1.02,185029.03,3.07
881231.21,14.62,1.02,184926.12,3.07
881282.91,14.62,1.02,185049.23,3.07
881597.83,14.63,1.03,184832.54,3.07
881461.87,14.63,1.03,184729.63,3.07
881513.56,14.63,1.04,184729.81,3.07
881782.38,14.64,1.04,184804.29,3.07
881834.08,14.64,1.04,184804.47,3.07
881834.08,14.64,1.04,184804.47,3.07
881698.12,14.64,1.04,184804.28,3.07
882067.24,14.65,1.05,185336.38,3.08
882250.96,14.65,1.06,185336.18,3.08
882302.65,14.65,1.06,185459.29,3.08
882354.34,14.66,1.06,185582.39,3.08
882623.17,14.66,1.07,185947.3,3.09
882899.63,14.67,1.07,185923.7,3.09
883214.55,14.68,1.08,185707.01,3.09
883549.08,14.68,1.09,185928.95,3.09
883840.31,14.69,1.09,186278.38,3.1
883892.0,14.69,1.1,186553.0,3.1
883943.69,14.69,1.1,186553.18,3.1
883807.73,14.69,1.1,186552.8,3.1
883671.77,14.69,1.1,186518.64,3.1
883723.47,14.7,1.1,186636.94,3.1
883587.51,14.7,1.1,186636.75,3.1
883639.2,14.7,1.1,186636.75,3.1
883980.13,14.71,1.11,186387.01,3.1
883844.17,14.71,1.11,186367.4,3.1
883844.17,14.71,1.11,186367.21,3.1
883874.04,14.71,1.11,186184.28,3.1
883925.73,14.71,1.12,186184.46,3.1
884194.55,14.72,1.12,186184.46,3.1
884246.25,14.72,1.12,186307.56,3.1
884297.94,14.72,1.13,186425.87,3.1
884625.78,14.73,1.13,186322.96,3.1
884809.49,14.73,1.14,186568.33,3.11
884809.49,14.73,1.14,186568.33,3.11
884673.53,14.73,1.14,186529.98,3.11
884673.53,14.73,1.14,186429.2,3.11
884725.22,14.74,1.14,186429.38,3.11
884589.26,14.74,1.14,186429.64,3.11
884453.3,14.74,1.14,186429.64,3.11
884505.0,14.74,1.14,186552.74,3.11
884556.69,14.74,1.15,186675.85,3.11
884825.51,14.75,1.15,186750.33,3.11
884825.51,14.75,1.15,186649.54,3.11
884825.51,14.75,1.15,186649.54,3.11
884877.2,14.75,1.16,186772.65,3.11
884741.24,14.75,1.16,186753.03,3.11
885075.78,14.76,1.16,186806.39,3.11
885410.31,14.77,1.17,186806.2,3.12
885462.0,14.77,1.17,186806.38,3.12
885326.04,14.77,1.17,187244.72,3.12
885671.65,14.77,1.18,187113.12,3.12
885535.69,14.77,1.18,187112.93,3.12
885535.69,14.77,1.18,187112.93,3.12
886368.54,14.79,1.19,187442.44,3.13
886368.54,14.79,1.19,187442.44,3.13
886765.35,14.8,1.2,187940.82,3.14
886629.39,14.8,1.2,187940.63,3.14
886493.43,14.8,1.2,187940.43,3.14
886357.47,14.8,1.2,187837.53,3.14
886221.51,14.8,1.2,187837.33,3.14
887415.79,14.82,1.22,188693.22,3.15
888610.07,14.84,1.24,189549.1,3.17
888904.66,14.84,1.25,189548.91,3.17
888768.7,14.84,1.25,189446.0,3.16
889045.16,14.85,1.25,189662.45,3.17
889313.98,14.85,1.26,189736.93,3.17
889178.02,14.85,1.26,189736.93,3.17
889498.24,14.86,1.26,189871.37,3.17
889549.93,14.86,1.27,189994.47,3.17
889818.75,14.87,1.27,189994.28,3.17
889682.79,14.87,1.27,189994.08,3.18
889866.51,14.87,1.28,189993.89,3.18
889918.2,14.88,1.28,189890.98,3.17
889782.24,14.88,1.28,190046.32,3.18
889782.24,14.88,1.28,189820.31,3.17
889833.93,14.88,1.28,189819.93,3.17
890102.76,14.89,1.29,189819.56,3.17
890154.45,14.89,1.29,189942.66,3.18
890154.45,14.89,1.29,189839.76,3.18
890338.16,14.89,1.3,189836.29,3.18
890389.85,14.9,1.3,189798.23,3.18
890441.54,14.9,1.3,189798.23,3.18
890493.24,14.9,1.31,189921.34,3.18
890357.28,14.9,1.31,189857.14,3.18
890761.0,14.91,1.31,189847.55,3.18
890625.04,14.91,1.31,189971.62,3.18
890808.75,14.91,1.32,190056.26,3.18
890672.79,14.91,1.32,190056.26,3.18
890672.79,14.91,1.32,190056.06,3.18
891007.33,14.92,1.32,190105.31,3.18
891007.33,14.92,1.32,190105.31,3.18
890871.37,14.92,1.33,190105.57,3.18
891055.08,14.93,1.33,190190.2,3.19
891238.79,14.93,1.33,190274.83,3.19
891573.33,14.94,1.34,190274.83,3.19
891573.33,14.94,1.34,190274.83,3.19
891842.15,14.94,1.35,190274.64,3.19
891893.84,14.95,1.35,190274.64,3.19
892165.88,14.95,1.36,190274.64,3.19
892500.41,14.96,1.36,190274.45,3.19
892364.45,14.96,1.36,190274.45,3.19
892228.49,14.96,1.36,190254.83,3.19
892092.53,14.96,1.36,190235.22,3.19
892368.99,14.96,1.37,190211.61,3.19
892420.68,14.97,1.37,190211.61,3.19
892284.73,14.97,1.37,190108.7,3.19
892148.77,14.97,1.37,190108.97,3.19
892332.48,14.97,1.38,190193.6,3.19
891869.72,14.97,1.37,189671.78,3.18
891733.76,14.97,1.37,189671.78,3.18
891785.45,14.97,1.37,189671.78,3.18
892119.98,14.98,1.38,189671.78,3.18
892119.98,14.98,1.38,189671.59,3.18
891984.02,14.98,1.38,189671.39,3.18
892035.71,14.98,1.38,189671.57,3.19
892219.43,14.98,1.39,189840.49,3.19
892083.47,14.98,1.39,189840.49,3.19
892480.27,14.99,1.4,189866.37,3.19
892749.1,15.0,1.4,189866.17,3.19
892749.1,15.0,1.4,189869.45,3.19
892749.1,15.0,1.4,189767.84,3.19
893145.9,15.0,1.41,189768.53,3.19
893197.59,15.01,1.41,189891.63,3.19
893197.59,15.01,1.41,189788.73,3.19
893474.05,15.01,1.42,189788.53,3.19
893742.88,15.02,1.42,189788.34,3.19
893794.57,15.02,1.43,189685.43,3.19
893658.61,15.02,1.43,189685.24,3.19
893522.65,15.02,1.43,189685.04,3.19
893919.46,15.03,1.43,189526.02,3.19
894103.17,15.03,1.44,189526.02,3.19
894103.17,15.03,1.44,189525.83,3.19
894286.88,15.04,1.44,189610.46,3.19
894492.11,15.04,1.45,189225.02,3.18
894492.11,15.04,1.45,189225.02,3.18
894356.15,15.05,1.45,189225.02,3.18
894220.19,15.05,1.45,189225.02,3.18
894271.88,15.05,1.45,189348.13,3.19
894323.57,15.05,1.46,189471.23,3.19
894614.8,15.06,1.46,189281.29,3.19
894883.62,15.06,1.47,189355.77,3.19
894935.32,15.07,1.47,189474.07,3.19
894799.36,15.07,1.47,189474.07,3.19
894983.07,15.07,1.48,189466.32,3.19
894847.11,15.07,1.48,189466.12,3.19
895115.93,15.08,1.48,189465.93,3.19
895384.76,15.08,1.49,189465.74,3.19
895436.45,15.09,1.49,189465.92,3.19
895300.49,15.09,1.49,189362.75,3.19
895352.18,15.09,1.49,189546.57,3.19
896100.48,15.1,1.51,190014.68,3.2
895964.52,15.1,1.51,190014.49,3.2
895828.56,15.1,1.51,190140.73,3.21
896472.14,15.11,1.52,190312.86,3.21
896740.97,15.12,1.52,190538.85,3.21
896740.97,15.12,1.52,190542.12,3.21
896583.31,15.12,1.52,190481.38,3.21
896447.35,15.12,1.52,190481.19,3.21
896447.35,15.12,1.52,190380.4,3.21
896311.39,15.12,1.52,190277.5,3.21
896175.43,15.12,1.52,190257.88,3.21
896509.97,15.12,1.53,190257.69,3.21
896374.01,15.12,1.53,190257.69,3.21
896238.05,15.13,1.53,190669.74,3.22
896289.74,15.13,1.53,190265.55,3.21
896970.41,15.14,1.55,190531.99,3.22
897239.23,15.15,1.55,190606.47,3.22
897290.93,15.15,1.55,190729.57,3.22
897559.75,15.16,1.56,190766.93,3.22
897423.79,15.16,1.56,190766.74,3.22
897718.38,15.16,1.57,191223.02,3.23
897582.42,15.16,1.57,191223.02,3.23
897446.46,15.16,1.57,191222.83,3.23
897310.5,15.16,1.57,191222.63,3.23
897174.54,15.16,1.57,191222.44,3.23
897494.75,15.17,1.57,191222.98,3.23
897494.75,15.17,1.57,191226.26,3.23
897835.68,15.18,1.58,191009.4,3.23
898232.48,15.18,1.59,191005.93,3.23
898232.48,15.18,1.59,190905.15,3.23
898284.17,15.19,1.59,190905.33,3.23
898519.94,15.19,1.6,190905.13,3.23
898796.41,15.2,1.6,190901.66,3.23
898660.45,15.2,1.6,190901.47,3.23
898524.49,15.2,1.6,190901.27,3.23
898576.18,15.2,1.61,190901.45,3.23
898627.87,15.21,1.61,190901.45,3.23
898811.58,15.21,1.61,190986.09,3.23
898675.62,15.21,1.61,190985.89,3.23
899010.16,15.22,1.62,191039.25,3.23
899413.88,15.22,1.63,191039.06,3.23
899413.88,15.22,1.63,190936.15,3.23
899690.34,15.23,1.63,190935.95,3.23
899690.34,15.23,1.63,190833.05,3.23
900094.06,15.24,1.64,190823.45,3.23
900366.1,15.24,1.65,190823.26,3.23
899877.33,15.24,1.64,190301.61,3.22
899877.33,15.24,1.64,190198.44,3.22
899929.02,15.24,1.64,190198.62,3.22
899980.71,15.24,1.65,190198.62,3.22
899980.71,15.24,1.65,190095.71,3.22
899844.75,15.24,1.65,189466.1,3.21
900488.34,15.26,1.66,189638.22,3.21
900757.16,15.26,1.67,189648.2,3.21
900962.39,15.27,1.67,189262.77,3.21
901231.22,15.27,1.68,189843.4,3.22
901231.22,15.27,1.68,189740.5,3.22
901282.91,15.28,1.68,189740.68,3.22
901282.91,15.28,1.68,189991.75,3.22
901146.95,15.28,1.68,189991.56,3.22
901330.66,15.28,1.69,190071.99,3.22
901382.35,15.28,1.69,190071.99,3.22
901651.18,15.29,1.69,190071.8,3.22
901702.87,15.29,1.7,190071.98,3.22
901971.69,15.3,1.7,190146.46,3.23
901835.73,15.3,1.7,190146.27,3.23
901699.77,15.3,1.7,190146.07,3.23
901762.54,15.3,1.71,189761.53,3.22
901626.58,15.3,1.71,189761.33,3.22
901490.62,15.3,1.71,189761.33,3.22
901354.66,15.3,1.71,189761.33,3.22
901626.69,15.31,1.71,189743.78,3.22
901626.69,15.31,1.71,189753.43,3.22
901490.73,15.31,1.71,189753.05,3.22
901759.56,15.32,1.72,189752.86,3.22
902094.09,15.32,1.73,190010.51,3.23
901958.13,15.32,1.73,189927.22,3.23
901822.17,15.32,1.73,189927.22,3.23
901686.21,15.32,1.73,189927.03,3.23
901686.21,15.32,1.73,190056.39,3.23
902014.05,15.33,1.73,190052.92,3.23
901878.09,15.33,1.73,190052.73,3.23
902168.55,15.34,1.74,189752.52,3.23
902168.55,15.34,1.74,189741.46,3.23
902032.59,15.34,1.74,189741.46,3.23
902032.59,15.34,1.74,189658.17,3.22
901632.05,15.33,1.74,189664.89,3.23
901867.82,15.34,1.74,189664.69,3.23
901919.51,15.34,1.75,189787.8,3.23
901971.2,15.34,1.75,189787.98,3.23
901846.31,15.35,1.75,189178.58,3.22
902180.85,15.35,1.76,189178.39,3.22
902044.89,15.35,1.76,189178.39,3.22
902044.89,15.35,1.76,189178.39,3.22
902044.89,15.35,1.76,189075.48,3.22
901908.93,15.35,1.76,189108.5,3.22
901772.97,15.35,1.76,189108.5,3.22
901637.01,15.35,1.76,189088.88,3.22
901971.54,15.36,1.76,189142.24,3.22
902243.58,15.37,1.77,189142.05,3.22
902558.5,15.37,1.78,188925.36,3.22
902422.54,15.37,1.78,188891.19,3.22
902286.58,15.37,1.78,188852.84,3.22
902338.27,15.38,1.78,188852.84,3.22
902389.96,15.38,1.78,188853.02,3.22
902389.96,15.38,1.78,188852.82,3.22
902658.79,15.39,1.79,189078.82,3.22
902522.83,15.39,1.79,189078.62,3.22
902857.36,15.39,1.8,189078.43,3.22
902721.4,15.39,1.8,189078.43,3.22
902990.23,15.4,1.8,189078.43,3.22
903041.92,15.4,1.81,189201.53,3.23
902905.96,15.4,1.81,189245.64,3.23
902957.65,15.41,1.81,189245.64,3.23
902821.69,15.41,1.81,189582.51,3.23
902873.38,15.41,1.81,189582.69,3.24
903207.91,15.42,1.82,189582.5,3.24
903615.79,15.42,1.83,189346.63,3.23
903203.03,15.42,1.82,189081.4,3.23
903067.07,15.42,1.82,189081.4,3.23
903118.76,15.42,1.82,189081.58,3.23
903118.76,15.42,1.82,188894.04,3.23
902982.8,15.42,1.82,188893.84,3.23
902846.84,15.42,1.83,188855.49,3.23
902710.88,15.42,1.83,188855.29,3.23
903000.59,15.43,1.83,189243.28,3.23
903184.3,15.43,1.84,189243.08,3.23
903184.3,15.43,1.84,189142.3,3.23
903235.99,15.43,1.84,189233.11,3.23
903482.83,15.44,1.84,188596.5,3.22
903346.87,15.44,1.84,188576.89,3.22
903409.64,15.44,1.85,188192.34,3.22
903678.46,15.45,1.85,189123.17,3.23
903542.5,15.45,1.85,189123.17,3.23
903406.54,15.45,1.85,188493.56,3.22
903270.58,15.45,1.85,188493.56,3.22
903539.41,15.46,1.86,188493.36,3.22
903403.45,15.46,1.86,188459.19,3.22
903672.27,15.46,1.87,188824.1,3.23
903536.31,15.46,1.87,188823.91,3.23
903870.85,15.47,1.87,188823.72,3.23
903870.85,15.47,1.87,188823.72,3.23
903734.89,15.47,1.87,188823.52,3.23
903734.89,15.47,1.87,188720.61,3.23
903734.89,15.47,1.87,188617.71,3.23
903598.93,15.47,1.87,188617.51,3.23
903913.85,15.48,1.88,188400.82,3.23
903777.89,15.48,1.88,188882.49,3.23
903777.89,15.48,1.88,188882.49,3.23
903829.58,15.48,1.89,188882.49,3.24
904473.16,15.49,1.9,189054.62,3.24
904337.2,15.49,1.9,188951.71,3.24
904201.25,15.49,1.9,188951.71,3.24
904065.29,15.5,1.9,188951.71,3.24
903929.33,15.5,1.9,188951.52,3.24
904263.86,15.5,1.91,189004.87,3.24
904263.86,15.5,1.91,189004.68,3.24
904127.9,15.5,1.91,188387.3,3.23
904179.59,15.51,1.91,188387.48,3.23
904043.63,15.51,1.91,188387.29,3.23
904440.44,15.51,1.92,188388.86,3.23
904304.48,15.51,1.92,188388.86,3.23
904356.17,15.52,1.92,188388.86,3.23
904752.97,15.52,1.93,188388.86,3.23
904617.01,15.52,1.93,188388.66,3.23
904889.05,15.53,1.93,188388.47,3.23
904753.09,15.53,1.93,188388.28,3.23
905160.96,15.54,1.94,188152.41,3.23
905025.0,15.54,1.94,188152.67,3.23
905025.0,15.54,1.94,188049.76,3.23
