ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
192,1073,143810,6212,143810
193,1081,144810,6212,144810
194,1089,144810,6212,144810
195,1091,145810,6212,145810
196,1099,146280,6212,146280
197,1107,146510,6212,146510
198,1109,147160,6212,147160
199,1111,147630,6212,147630
200,1119,148440,6212,148440
201,1121,149440,6212,149440
202,1129,150250,6212,150250
202,1129,150710,6212,150710
203,1137,151180,6212,151180
203,1137,151990,6212,151990
204,1145,152220,6212,152220
205,1153,153220,6212,153220
206,1155,153690,6212,153690
207,1157,154340,6212,154340
208,1165,155150,6212,155150
208,1165,155310,6212,155310
209,1173,155310,6212,155310
209,1173,156120,6212,156120
210,1181,157120,6212,157120
211,1183,157770,6212,157770
212,1191,158240,6212,158240
213,1199,158290,6212,158290
214,1201,158610,6212,158610
215,1209,159420,6212,159420
216,1217,159890,6212,159890
217,1219,160540,6212,160540
217,1219,161540,6212,161540
218,1227,162540,6212,162540
219,1229,163540,6212,163540
220,1237,164000,6212,164000
221,1245,164000,6212,164000
222,1253,165000,6212,165000
223,1261,165000,6212,165000
224,1269,165000,6212,165000
225,1277,166000,6212,166000
226,1285,166320,6212,166320
227,1287,167130,6212,167130
228,1289,168130,6212,168130
229,1291,169130,6212,169130
230,1299,170130,6212,170130
231,1301,170590,6212,170590
231,1301,171400,6212,171400
232,1302,172400,6212,172400
232,1302,173400,6212,173400
233,1304,174210,6212,174210
233,1304,175020,6212,175020
234,1306,175020,6212,175020
235,1314,176020,6212,176020
236,1322,177020,6212,177020
237,1330,178020,6212,178020
238,1338,178830,6212,178830
238,1338,179300,6212,179300
239,1346,180300,6212,180300
240,1348,181110,6212,181110
240,1348,181430,6212,181430
241,1350,181430,6212,181430
242,1358,181430,6212,181430
243,1360,182430,6212,182430
244,1368,183430,6212,183430
245,1370,183650,6212,183650
246,1372,183650,6212,183650
247,1374,184460,6212,184460
248,1376,185460,6212,185460
249,1378,186460,6212,186460
250,1386,187270,6212,187270
251,1388,187740,6212,187740
252,1396,188550,6212,188550
252,1396,188550,6212,188550
253,1404,189550,6212,189550
253,1404,189820,6212,189820
254,1412,190470,6212,190470
255,1414,191280,6212,191280
256,1416,192090,6212,192090
256,1416,192560,6212,192560
257,1418,193020,6212,193020
258,1420,194020,6212,194020
259,1422,194340,6212,194340
260,1426,194810,6212,194810
260,1426,195620,6212,195620
261,1434,196430,6212,196430
261,1434,197430,6212,197430
262,1436,198430,6212,198430
263,1438,199240,6212,199240
264,1446,200240,6212,200240
264,1446,201050,6212,201050
265,1448,202050,6212,202050
266,1450,203050,6212,203050
267,1458,203050,6212,203050
