ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
865652.26,14.09,0.5,193724.56,3.15
865867.92,14.09,0.5,193724.14,3.15
865918.37,14.09,0.5,193850.55,3.16
866104.03,14.1,0.51,193850.55,3.16
866342.71,14.1,0.51,193911.32,3.16
866581.4,14.11,0.52,193972.08,3.16
866628.76,14.11,0.52,193630.38,3.15
866788.44,14.12,0.52,193724.6,3.15
866968.15,14.12,0.53,193716.55,3.15
867208.72,14.12,0.53,193716.13,3.16
867259.16,14.13,0.54,193842.54,3.16
867499.73,14.13,0.54,193842.12,3.16
867499.73,14.13,0.54,193841.7,3.16
867499.73,14.13,0.54,193841.27,3.16
867550.18,14.13,0.54,193841.23,3.16
867746.75,14.14,0.55,193840.8,3.16
867926.46,14.14,0.55,193832.75,3.16
867976.9,14.14,0.55,193959.16,3.16
867867.68,14.14,0.55,193718.44,3.16
867867.68,14.14,0.55,193718.02,3.16
868047.38,14.15,0.56,194066.42,3.16
868100.58,14.15,0.56,194066.89,3.16
868371.54,14.15,0.56,194272.48,3.17
868371.54,14.15,0.56,194272.06,3.17
868421.99,14.16,0.57,194272.01,3.17
868286.08,14.16,0.57,194125.52,3.17
868336.53,14.16,0.57,194251.93,3.17
868379.11,14.16,0.57,194251.93,3.17
868379.11,14.16,0.57,194251.51,3.17
868379.11,14.16,0.57,194251.09,3.17
868379.11,14.16,0.57,194250.66,3.17
868243.2,14.16,0.57,194772.64,3.18
868293.65,14.16,0.57,194772.59,3.18
868490.22,14.17,0.58,194708.35,3.18
868540.67,14.17,0.58,194708.31,3.18
868540.67,14.17,0.58,194561.81,3.17
868700.34,14.17,0.58,194853.51,3.18
868742.92,14.18,0.58,194853.09,3.18
868742.92,14.18,0.58,194852.66,3.18
868793.37,14.18,0.59,194852.62,3.18
868973.08,14.18,0.59,194852.59,3.18
869132.76,14.19,0.6,194946.81,3.18
869312.46,14.19,0.6,194949.76,3.18
869492.17,14.19,0.6,194949.73,3.18
869708.12,14.2,0.61,194944.43,3.18
869887.83,14.2,0.61,194944.0,3.18
870047.5,14.21,0.62,195038.23,3.18
869911.6,14.21,0.62,195064.61,3.19
869911.6,14.21,0.62,195064.61,3.19
869962.05,14.21,0.62,195191.02,3.19
869954.43,14.21,0.62,195679.77,3.2
