name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0466-openb-node-0228,,G2,96,8,412316860416,20000,14,2016,412316860416,30,600,60,1200,30,600,190,3800,190,3800,190,3800,60,1200,210,4200,960,19200
0467-openb-node-0614,,T4,104,2,549755813888,15109,10,3540,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0468-openb-node-0157,,G2,96,8,412316860416,20000,16,668,412316860416,70,1400,190,3800,70,1400,30,600,190,3800,30,600,20,400,190,3800,790,15800
0469-openb-node-0633,,T4,104,2,549755813888,15109,7,3440,549755813888,30,453,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0470-openb-node-1049,,P100,16,2,128849018880,16280,3,1696,128849018880,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0471-openb-node-0383,,G2,96,8,412316860416,20000,14,3820,412316860416,60,1200,210,4200,190,3800,190,3800,0,0,30,600,190,3800,210,4200,1080,21600
0472-openb-node-0447,,G2,96,8,412316860416,20000,13,3168,412316860416,190,3800,190,3800,210,4200,30,600,60,1200,190,3800,60,1200,190,3800,1120,22400
0473-openb-node-0874,,T4,104,2,549755813888,15109,10,440,549755813888,80,1208,30,453,0,0,0,0,0,0,0,0,0,0,0,0,110,1661
0474-openb-node-0169,,G3,128,8,824633720832,30000,18,188,824633720832,40,1200,190,5700,190,5700,190,5700,80,2400,190,5700,140,4200,190,5700,1210,36300
0475-openb-node-0326,,G2,96,8,412316860416,20000,15,1668,412316860416,80,1600,190,3800,30,600,190,3800,0,0,60,1200,70,1400,30,600,650,13000
0476-openb-node-0159,,G2,96,8,412316860416,20000,14,2016,412316860416,30,600,30,600,70,1400,80,1600,190,3800,190,3800,190,3800,190,3800,970,19400
0477-openb-node-0181,,G3,128,8,824633720832,30000,15,680,824633720832,210,6300,30,900,190,5700,60,1800,190,5700,190,5700,190,5700,190,5700,1250,37500
0478-openb-node-0112,,G2,96,8,412316860416,20000,14,2016,412316860416,70,1400,30,600,190,3800,190,3800,190,3800,50,1000,190,3800,60,1200,970,19400
0479-openb-node-0876,,T4,104,2,549755813888,15109,11,2640,549755813888,170,2568,30,453,0,0,0,0,0,0,0,0,0,0,0,0,200,3021
0480-openb-node-0858,,G2,96,8,412316860416,20000,14,1028,412316860416,30,600,190,3800,190,3800,90,1800,190,3800,190,3800,130,2600,190,3800,1200,24000
0481-openb-node-0494,,G2,96,8,412316860416,20000,17,2740,412316860416,190,3800,190,3800,190,3800,130,2600,190,3800,70,1400,90,1800,0,0,1050,21000
0482-openb-node-0584,,T4,104,2,549755813888,15109,7,1540,549755813888,80,1208,30,453,0,0,0,0,0,0,0,0,0,0,0,0,110,1661
0483-openb-node-0531,,G2,96,8,412316860416,20000,14,2924,412316860416,190,3800,130,2600,60,1200,120,2400,190,3800,30,600,190,3800,190,3800,1100,22000
0484-openb-node-0328,,G2,96,8,412316860416,20000,13,564,412316860416,30,600,60,1200,190,3800,210,4200,190,3800,190,3800,190,3800,190,3800,1250,25000
0485-openb-node-1011,,G2,96,8,412316860416,20000,15,2576,412316860416,210,4200,190,3800,70,1400,190,3800,50,1000,190,3800,210,4200,60,1200,1170,23400
0486-openb-node-0365,,G2,96,8,412316860416,20000,13,3852,412316860416,30,600,190,3800,30,600,190,3800,190,3800,60,1200,60,1200,180,3600,930,18600
0487-openb-node-0257,,G2,96,8,412316860416,20000,16,2924,412316860416,190,3800,190,3800,0,0,190,3800,30,600,0,0,190,3800,40,800,830,16600
0488-openb-node-0485,,G2,96,8,412316860416,20000,13,3864,412316860416,190,3800,60,1200,190,3800,190,3800,190,3800,60,1200,190,3800,160,3200,1230,24600
0489-openb-node-1125,,T4,104,2,549755813888,15109,9,988,549755813888,30,453,60,906,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0490-openb-node-0901,,G2,96,8,412316860416,20000,14,28,412316860416,30,600,190,3800,190,3800,190,3800,190,3800,80,1600,190,3800,60,1200,1120,22400
