ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
340,1866,277980,6212,277980
341,1868,278980,6212,278980
341,1868,279790,6212,279790
341,1868,280790,6212,280790
342,1876,288790,6212,288790
343,1884,289600,6212,289600
343,1884,290600,6212,290600
343,1884,291150,6212,291150
344,1886,292150,6212,292150
345,1888,293150,6212,293150
346,1890,293620,6212,293620
346,1890,294620,6212,294620
346,1890,295430,6212,295430
347,1898,296080,6212,296080
348,1900,297080,6212,297080
349,1908,298080,6212,298080
349,1908,299080,6212,299080
350,1916,300080,6212,300080
351,1918,301080,6212,301080
352,1926,302080,6212,302080
353,1934,303080,6212,303080
354,1936,304080,6212,304080
355,1937,304550,6212,304550
356,1945,305550,6212,305550
357,1947,305550,6212,305550
358,1955,306550,6212,306550
358,1955,306550,6212,306550
359,1957,307550,6212,307550
360,1965,308550,6212,308550
361,1967,308550,6212,308550
362,1975,309550,6212,309550
363,1977,309780,6212,309780
363,1977,310780,6212,310780
363,1977,311780,6212,311780
364,1979,311780,6212,311780
365,1987,311780,6212,311780
366,1989,312240,6212,312240
367,1991,313240,6212,313240
368,1999,314050,6212,314050
369,2007,314050,6212,314050
370,2009,315050,6212,315050
371,2011,315270,6212,315270
372,2019,316270,6212,316270
372,2019,317080,6212,317080
373,2023,318080,6212,318080
374,2027,318540,6212,318540
374,2027,319350,6212,319350
375,2029,320160,6212,320160
376,2037,320810,6212,320810
377,2039,321810,6212,321810
378,2047,322040,6212,322040
378,2047,323040,6212,323040
379,2055,324040,6212,324040
380,2059,325040,6212,325040
380,2059,326040,6212,326040
381,2060,326510,6212,326510
381,2060,326980,6212,326980
381,2060,327980,6212,327980
382,2062,328980,6212,328980
383,2064,329980,6212,329980
384,2072,330980,6212,330980
385,2080,331300,6212,331300
386,2082,332300,6212,332300
387,2090,333110,6212,333110
388,2098,333920,6212,333920
389,2100,334920,6212,334920
390,2108,335920,6212,335920
390,2108,336920,6212,336920
391,2110,337730,6212,337730
392,2112,338540,6212,338540
393,2120,339540,6212,339540
393,2120,340010,6212,340010
394,2122,341010,6212,341010
394,2122,341010,6212,341010
395,2130,341010,6212,341010
396,2132,342010,6212,342010
397,2140,342010,6212,342010
397,2140,343010,6212,343010
398,2148,343010,6212,343010
399,2150,343820,6212,343820
399,2150,344820,6212,344820
400,2152,345050,6212,345050
401,2154,346050,6212,346050
402,2156,346860,6212,346860
403,2164,347670,6212,347670
404,2168,347670,6212,347670
405,2170,348670,6212,348670
406,2172,349020,6212,349020
407,2180,350020,6212,350020
407,2180,351020,6212,351020
408,2182,351020,6212,351020
408,2182,351340,6212,351340
409,2184,352340,6212,352340
410,2192,353340,6212,353340
411,2200,353340,6212,353340
411,2200,354340,6212,354340
411,2200,355340,6212,355340
412,2208,356150,6212,356150
412,2208,357150,6212,357150
413,2210,357150,6212,357150
414,2212,358150,6212,358150
415,2220,359150,6212,359150
415,2220,360150,6212,360150
416,2222,360620,6212,360620
417,2224,361620,6212,361620
417,2224,362620,6212,362620
417,2224,363430,6212,363430
418,2232,364240,6212,364240
419,2240,365240,6212,365240
420,2242,365240,6212,365240
421,2244,365240,6212,365240
422,2252,366240,6212,366240
422,2252,366470,6212,366470
422,2252,367470,6212,367470
422,2252,368470,6212,368470
423,2254,369280,6212,369280
424,2256,369930,6212,369930
425,2264,369930,6212,369930
426,2272,370930,6212,370930
427,2274,371930,6212,371930
428,2276,372390,6212,372390
429,2278,373200,6212,373200
430,2286,374200,6212,374200
431,2288,375200,6212,375200
432,2296,376200,6212,376200
432,2296,377200,6212,377200
433,2300,378010,6212,378010
433,2300,378010,6212,378010
434,2304,379010,6212,379010
434,2304,380010,6212,380010
434,2304,381010,6212,381010
435,2306,381480,6212,381480
436,2308,382480,6212,382480
437,2310,383480,6212,383480
438,2318,383480,6212,383480
439,2320,384480,6212,384480
440,2322,385290,6212,385290
441,2324,385520,6212,385520
441,2324,386520,6212,386520
442,2326,387520,6212,387520
443,2328,388520,6212,388520
444,2330,389520,6212,389520
445,2332,389990,6212,389990
445,2332,390990,6212,390990
446,2340,391990,6212,391990
447,2348,392990,6212,392990
448,2350,393990,6212,393990
449,2352,394800,6212,394800
450,2360,395800,6212,395800
450,2360,396800,6212,396800
450,2360,397800,6212,397800
450,2360,398030,6212,398030
450,2360,398030,6212,398030
451,2362,399030,6212,399030
452,2370,399840,6212,399840
453,2372,400840,6212,400840
454,2374,401840,6212,401840
455,2382,402160,6212,402160
456,2384,403160,6212,403160
457,2392,403160,6212,403160
458,2400,404160,6212,404160
458,2400,404970,6212,404970
459,2402,405520,6212,405520
460,2410,405520,6212,405520
461,2412,405680,6212,405680
462,2420,406000,6212,406000
462,2420,406810,6212,406810
463,2428,407280,6212,407280
464,2436,408280,6212,408280
465,2438,409090,6212,409090
465,2438,409560,6212,409560
465,2438,410020,6212,410020
466,2446,411020,6212,411020
467,2454,412020,6212,412020
468,2462,413020,6212,413020
468,2462,413240,6212,413240
469,2470,413240,6212,413240
470,2478,414240,6212,414240
471,2486,422240,6212,422240
472,2494,423240,6212,423240
473,2496,424050,6212,424050
474,2498,424050,6212,424050
474,2498,425050,6212,425050
475,2500,426050,6212,426050
476,2502,426270,6212,426270
477,2504,426920,6212,426920
478,2506,427920,6212,427920
478,2506,428920,6212,428920
479,2514,429920,6212,429920
479,2514,430570,6212,430570
480,2522,431380,6212,431380
481,2524,432380,6212,432380
482,2526,433030,6212,433030
483,2534,433500,6212,433500
483,2534,433500,6212,433500
484,2542,434310,6212,434310
485,2544,434780,6212,434780
