order,workload,sc_policy,tune,seed,num_pod,cpu_milli,num_gpu,gpu_milli,gpu_type_req
25,openb_pod_list_cpu050,01-Random,1.3,43,9,16400,1,1000,<none>
26,openb_pod_list_cpu050,01-Random,1.3,43,9,7000,1,1000,<none>
27,openb_pod_list_cpu050,01-Random,1.3,43,7,32200,4,1000,<none>
28,openb_pod_list_cpu050,01-Random,1.3,43,5,15400,1,1000,<none>
29,openb_pod_list_cpu050,01-Random,1.3,43,4,64000,8,1000,<none>
30,openb_pod_list_cpu050,01-Random,1.3,43,4,120000,8,1000,<none>
31,openb_pod_list_cpu050,01-Random,1.3,43,4,14900,1,1000,<none>
32,openb_pod_list_cpu050,01-Random,1.3,43,3,120200,8,1000,<none>
33,openb_pod_list_cpu050,01-Random,1.3,43,3,6000,1,1000,<none>
34,openb_pod_list_cpu050,01-Random,1.3,43,3,16200,2,1000,<none>
35,openb_pod_list_cpu050,01-Random,1.3,43,3,8000,1,650,<none>
36,openb_pod_list_cpu050,01-Random,1.3,43,2,3150,1,590,<none>
37,openb_pod_list_cpu050,01-Random,1.3,43,1,30200,2,1000,<none>
38,openb_pod_list_cpu050,01-Random,1.3,43,1,32000,4,1000,<none>
39,openb_pod_list_cpu050,01-Random,1.3,43,1,6000,2,1000,<none>
40,openb_pod_list_cpu050,01-Random,1.3,43,1,9400,1,1000,<none>
0,openb_pod_list_cpu050,02-DotProd,1.3,42,432,3150,1,810,<none>
1,openb_pod_list_cpu050,02-DotProd,1.3,42,322,11300,1,1000,<none>
2,openb_pod_list_cpu050,02-DotProd,1.3,42,215,11400,1,1000,<none>
3,openb_pod_list_cpu050,02-DotProd,1.3,42,196,3150,1,1000,<none>
4,openb_pod_list_cpu050,02-DotProd,1.3,42,172,11910,1,470,<none>
5,openb_pod_list_cpu050,02-DotProd,1.3,42,131,8000,1,470,<none>
6,openb_pod_list_cpu050,02-DotProd,1.3,42,125,12000,1,1000,<none>
7,openb_pod_list_cpu050,02-DotProd,1.3,42,107,11910,1,650,<none>
8,openb_pod_list_cpu050,02-DotProd,1.3,42,105,18710,1,1000,<none>
9,openb_pod_list_cpu050,02-DotProd,1.3,42,86,4000,1,320,<none>
10,openb_pod_list_cpu050,02-DotProd,1.3,42,77,9810,1,1000,<none>
11,openb_pod_list_cpu050,02-DotProd,1.3,42,64,15700,1,1000,<none>
12,openb_pod_list_cpu050,02-DotProd,1.3,42,59,4000,1,1000,<none>
13,openb_pod_list_cpu050,02-DotProd,1.3,42,58,8000,1,1000,<none>
14,openb_pod_list_cpu050,02-DotProd,1.3,42,56,6000,1,460,<none>
15,openb_pod_list_cpu050,02-DotProd,1.3,42,52,4000,1,230,<none>
16,openb_pod_list_cpu050,02-DotProd,1.3,42,51,11910,1,1000,<none>
17,openb_pod_list_cpu050,02-DotProd,1.3,42,50,16000,1,1000,<none>
18,openb_pod_list_cpu050,02-DotProd,1.3,42,38,3150,1,590,<none>
19,openb_pod_list_cpu050,02-DotProd,1.3,42,37,4150,1,550,<none>
20,openb_pod_list_cpu050,02-DotProd,1.3,42,36,14200,1,1000,<none>
21,openb_pod_list_cpu050,02-DotProd,1.3,42,25,8000,1,320,<none>
22,openb_pod_list_cpu050,02-DotProd,1.3,42,21,24200,1,1000,<none>
23,openb_pod_list_cpu050,02-DotProd,1.3,42,20,11900,1,1000,<none>
24,openb_pod_list_cpu050,02-DotProd,1.3,42,16,4000,1,220,<none>
25,openb_pod_list_cpu050,02-DotProd,1.3,42,16,4150,1,370,<none>
26,openb_pod_list_cpu050,02-DotProd,1.3,42,13,16400,1,1000,<none>
27,openb_pod_list_cpu050,02-DotProd,1.3,42,11,8000,1,220,<none>
28,openb_pod_list_cpu050,02-DotProd,1.3,42,11,8200,1,1000,<none>
29,openb_pod_list_cpu050,02-DotProd,1.3,42,11,15200,1,1000,<none>
30,openb_pod_list_cpu050,02-DotProd,1.3,42,10,4150,1,810,<none>
31,openb_pod_list_cpu050,02-DotProd,1.3,42,9,4000,1,480,<none>
32,openb_pod_list_cpu050,02-DotProd,1.3,42,5,8000,1,650,<none>
33,openb_pod_list_cpu050,02-DotProd,1.3,42,5,4000,1,330,<none>
34,openb_pod_list_cpu050,02-DotProd,1.3,42,5,8000,1,230,<none>
35,openb_pod_list_cpu050,02-DotProd,1.3,42,4,7000,1,1000,<none>
36,openb_pod_list_cpu050,02-DotProd,1.3,42,4,32200,4,1000,<none>
37,openb_pod_list_cpu050,02-DotProd,1.3,42,4,9400,1,1000,<none>
38,openb_pod_list_cpu050,02-DotProd,1.3,42,4,4000,1,350,<none>
39,openb_pod_list_cpu050,02-DotProd,1.3,42,3,6000,1,1000,<none>
40,openb_pod_list_cpu050,02-DotProd,1.3,42,3,64200,8,1000,<none>
41,openb_pod_list_cpu050,02-DotProd,1.3,42,3,8000,1,460,<none>
42,openb_pod_list_cpu050,02-DotProd,1.3,42,3,88000,8,1000,<none>
43,openb_pod_list_cpu050,02-DotProd,1.3,42,3,120200,8,1000,<none>
44,openb_pod_list_cpu050,02-DotProd,1.3,42,2,15400,1,1000,<none>
45,openb_pod_list_cpu050,02-DotProd,1.3,42,2,14900,1,1000,<none>
46,openb_pod_list_cpu050,02-DotProd,1.3,42,2,16200,2,1000,<none>
47,openb_pod_list_cpu050,02-DotProd,1.3,42,2,4000,1,470,<none>
48,openb_pod_list_cpu050,02-DotProd,1.3,42,2,32000,4,1000,<none>
49,openb_pod_list_cpu050,02-DotProd,1.3,42,2,12000,1,460,<none>
50,openb_pod_list_cpu050,02-DotProd,1.3,42,1,6000,1,320,<none>
51,openb_pod_list_cpu050,02-DotProd,1.3,42,1,6000,2,1000,<none>
52,openb_pod_list_cpu050,02-DotProd,1.3,42,1,30200,2,1000,<none>
53,openb_pod_list_cpu050,02-DotProd,1.3,42,1,11800,1,1000,<none>
0,openb_pod_list_cpu050,02-DotProd,1.3,43,388,3150,1,810,<none>
1,openb_pod_list_cpu050,02-DotProd,1.3,43,318,11300,1,1000,<none>
2,openb_pod_list_cpu050,02-DotProd,1.3,43,195,3150,1,1000,<none>
3,openb_pod_list_cpu050,02-DotProd,1.3,43,195,11400,1,1000,<none>
4,openb_pod_list_cpu050,02-DotProd,1.3,43,136,8000,1,470,<none>
5,openb_pod_list_cpu050,02-DotProd,1.3,43,134,11910,1,470,<none>
6,openb_pod_list_cpu050,02-DotProd,1.3,43,130,12000,1,1000,<none>
7,openb_pod_list_cpu050,02-DotProd,1.3,43,91,11910,1,650,<none>
8,openb_pod_list_cpu050,02-DotProd,1.3,43,88,4000,1,320,<none>
9,openb_pod_list_cpu050,02-DotProd,1.3,43,85,18710,1,1000,<none>
10,openb_pod_list_cpu050,02-DotProd,1.3,43,78,8000,1,1000,<none>
11,openb_pod_list_cpu050,02-DotProd,1.3,43,68,9810,1,1000,<none>
12,openb_pod_list_cpu050,02-DotProd,1.3,43,66,11910,1,1000,<none>
13,openb_pod_list_cpu050,02-DotProd,1.3,43,55,16000,1,1000,<none>
14,openb_pod_list_cpu050,02-DotProd,1.3,43,53,4000,1,230,<none>
15,openb_pod_list_cpu050,02-DotProd,1.3,43,51,15700,1,1000,<none>
16,openb_pod_list_cpu050,02-DotProd,1.3,43,51,4000,1,1000,<none>
17,openb_pod_list_cpu050,02-DotProd,1.3,43,42,6000,1,460,<none>
18,openb_pod_list_cpu050,02-DotProd,1.3,43,40,14200,1,1000,<none>
19,openb_pod_list_cpu050,02-DotProd,1.3,43,34,4150,1,550,<none>
20,openb_pod_list_cpu050,02-DotProd,1.3,43,30,24200,1,1000,<none>
21,openb_pod_list_cpu050,02-DotProd,1.3,43,27,11900,1,1000,<none>
22,openb_pod_list_cpu050,02-DotProd,1.3,43,26,8000,1,320,<none>
23,openb_pod_list_cpu050,02-DotProd,1.3,43,20,3150,1,590,<none>
24,openb_pod_list_cpu050,02-DotProd,1.3,43,14,8200,1,1000,<none>
25,openb_pod_list_cpu050,02-DotProd,1.3,43,14,4150,1,810,<none>
26,openb_pod_list_cpu050,02-DotProd,1.3,43,13,4150,1,370,<none>
27,openb_pod_list_cpu050,02-DotProd,1.3,43,11,4000,1,220,<none>
28,openb_pod_list_cpu050,02-DotProd,1.3,43,11,15200,1,1000,<none>
29,openb_pod_list_cpu050,02-DotProd,1.3,43,10,64200,8,1000,<none>
30,openb_pod_list_cpu050,02-DotProd,1.3,43,9,7000,1,1000,<none>
31,openb_pod_list_cpu050,02-DotProd,1.3,43,8,16400,1,1000,<none>
32,openb_pod_list_cpu050,02-DotProd,1.3,43,8,88000,8,1000,<none>
33,openb_pod_list_cpu050,02-DotProd,1.3,43,7,32200,4,1000,<none>
34,openb_pod_list_cpu050,02-DotProd,1.3,43,7,8000,1,230,<none>
35,openb_pod_list_cpu050,02-DotProd,1.3,43,7,8000,1,220,<none>
36,openb_pod_list_cpu050,02-DotProd,1.3,43,6,8000,1,650,<none>
37,openb_pod_list_cpu050,02-DotProd,1.3,43,4,15400,1,1000,<none>
38,openb_pod_list_cpu050,02-DotProd,1.3,43,4,4000,1,480,<none>
39,openb_pod_list_cpu050,02-DotProd,1.3,43,4,14900,1,1000,<none>
40,openb_pod_list_cpu050,02-DotProd,1.3,43,3,6000,1,1000,<none>
41,openb_pod_list_cpu050,02-DotProd,1.3,43,3,16200,2,1000,<none>
42,openb_pod_list_cpu050,02-DotProd,1.3,43,2,120000,8,1000,<none>
43,openb_pod_list_cpu050,02-DotProd,1.3,43,2,12000,1,460,<none>
44,openb_pod_list_cpu050,02-DotProd,1.3,43,2,4000,1,350,<none>
45,openb_pod_list_cpu050,02-DotProd,1.3,43,2,64000,8,1000,<none>
46,openb_pod_list_cpu050,02-DotProd,1.3,43,2,120200,8,1000,<none>
47,openb_pod_list_cpu050,02-DotProd,1.3,43,2,4150,1,270,<none>
48,openb_pod_list_cpu050,02-DotProd,1.3,43,2,4000,1,330,<none>
49,openb_pod_list_cpu050,02-DotProd,1.3,43,1,30200,2,1000,<none>
50,openb_pod_list_cpu050,02-DotProd,1.3,43,1,32000,4,1000,<none>
51,openb_pod_list_cpu050,02-DotProd,1.3,43,1,4000,1,650,<none>
52,openb_pod_list_cpu050,02-DotProd,1.3,43,1,6000,2,1000,<none>
53,openb_pod_list_cpu050,02-DotProd,1.3,43,1,9400,1,1000,<none>
0,openb_pod_list_cpu050,03-GpuClustering,1.3,42,432,3150,1,810,<none>
1,openb_pod_list_cpu050,03-GpuClustering,1.3,42,322,11300,1,1000,<none>
2,openb_pod_list_cpu050,03-GpuClustering,1.3,42,215,11400,1,1000,<none>
3,openb_pod_list_cpu050,03-GpuClustering,1.3,42,196,3150,1,1000,<none>
4,openb_pod_list_cpu050,03-GpuClustering,1.3,42,172,11910,1,470,<none>
5,openb_pod_list_cpu050,03-GpuClustering,1.3,42,132,8000,1,470,<none>
6,openb_pod_list_cpu050,03-GpuClustering,1.3,42,126,12000,1,1000,<none>
