ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_ratio
889217.51,14.53,0.93,170725.1,2.79
890448.26,14.55,0.95,171600.5,2.8
890770.94,14.56,0.96,171346.88,2.8
890263.54,14.55,0.95,170781.46,2.79
890620.74,14.56,0.96,170587.96,2.79
894076.83,14.62,1.02,173612.79,2.84
894410.08,14.62,1.02,174493.09,2.85
895089.68,14.63,1.04,174896.0,2.86
895427.82,14.64,1.04,174703.76,2.86
896658.57,14.66,1.06,175579.16,2.87
896151.17,14.66,1.06,175025.83,2.86
896791.91,14.67,1.07,175090.26,2.86
897130.05,14.68,1.08,174910.12,2.86
897986.47,14.69,1.09,175256.45,2.87
898324.61,14.7,1.1,175076.31,2.86
898257.21,14.7,1.1,174950.89,2.86
899487.96,14.72,1.12,175826.28,2.88
899810.65,14.73,1.13,175572.67,2.87
899758.7,14.73,1.13,175520.72,2.87
899232.25,14.72,1.12,174968.65,2.86
899872.99,14.73,1.14,175033.08,2.87
900513.73,14.75,1.15,175097.52,2.87
900851.87,14.75,1.16,174917.38,2.86
900344.47,14.75,1.15,174351.95,2.86
900408.01,14.75,1.15,174389.88,2.86
899726.07,14.74,1.14,173707.93,2.85
899028.67,14.73,1.13,172964.61,2.83
898521.27,14.73,1.13,172399.18,2.83
898013.87,14.72,1.12,171833.76,2.82
898654.61,14.73,1.13,171898.19,2.82
898637.21,14.73,1.13,171822.77,2.82
898145.27,14.73,1.13,171330.82,2.81
897601.36,14.73,1.13,170355.65,2.8
897958.56,14.74,1.14,170162.15,2.79
898296.7,14.74,1.15,169982.01,2.79
898937.44,14.76,1.16,170046.45,2.79
897849.62,14.76,1.16,170046.14,2.8
898187.76,14.77,1.17,169866.0,2.79
897661.3,14.76,1.16,169313.93,2.78
897373.9,14.76,1.16,168968.5,2.78
896866.51,14.75,1.15,168403.08,2.77
897309.47,14.76,1.16,167991.42,2.76
896957.25,14.75,1.16,167917.51,2.76
897031.12,14.76,1.16,167997.49,2.76
897713.8,14.77,1.17,168001.07,2.76
897207.67,14.76,1.16,167501.05,2.76
896705.73,14.76,1.16,167101.91,2.75
896199.6,14.75,1.15,166601.89,2.74
896522.29,14.76,1.16,166348.28,2.74
896030.34,14.75,1.15,165856.33,2.73
895524.21,14.75,1.15,165356.31,2.72
895862.35,14.75,1.16,165164.07,2.72
896108.29,14.76,1.16,164809.89,2.71
896964.71,14.78,1.18,165156.22,2.72
896457.31,14.77,1.17,164602.89,2.71
895852.11,14.76,1.16,164021.51,2.7
895846.43,14.76,1.16,163949.62,2.7
895840.76,14.76,1.16,163877.72,2.7
896178.9,14.77,1.17,163685.49,2.7
896042.92,14.77,1.17,163605.3,2.7
896683.66,14.78,1.19,163669.74,2.7
897540.08,14.8,1.2,164016.06,2.7
897540.08,14.8,1.2,164016.06,2.7
898770.83,14.82,1.22,164891.46,2.72
899093.52,14.83,1.23,164637.84,2.72
898586.12,14.82,1.22,164084.51,2.71
897904.17,14.81,1.21,163402.57,2.7
898544.91,14.82,1.23,163467.0,2.7
898883.05,14.83,1.24,163274.77,2.69
900113.8,14.85,1.26,164150.16,2.71
899977.83,14.85,1.26,164144.0,2.71
899730.43,14.85,1.25,163850.68,2.7
900434.85,14.86,1.27,164037.0,2.71
899901.17,14.86,1.26,163445.11,2.7
899215.49,14.85,1.25,162693.22,2.69
899553.63,14.86,1.26,162500.98,2.68
899046.23,14.85,1.25,161947.65,2.67
899384.37,14.86,1.26,161755.42,2.67
899722.51,14.87,1.27,161575.28,2.67
900409.39,14.88,1.28,161679.73,2.67
899711.99,14.87,1.27,160936.4,2.66
900050.13,14.88,1.28,160756.26,2.66
900906.55,14.89,1.3,161102.59,2.66
901244.69,14.9,1.3,160922.45,2.66
901177.29,14.9,1.3,160797.03,2.66
904633.38,14.96,1.36,163821.85,2.71
903935.98,14.95,1.35,163066.43,2.7
903428.58,14.94,1.35,162501.0,2.69
903785.78,14.95,1.35,162281.89,2.68
904123.92,14.96,1.36,162089.66,2.68
904177.46,14.96,1.36,162143.2,2.68
903480.07,14.95,1.35,161399.87,2.67
903818.21,14.96,1.36,161207.64,2.67
904156.35,14.97,1.37,161027.5,2.67
904156.35,14.97,1.37,161072.38,2.67
904513.54,14.98,1.38,160878.89,2.66
904266.15,14.97,1.38,160585.56,2.66
904604.29,14.98,1.38,160393.32,2.66
904445.61,14.98,1.38,160234.64,2.65
904428.21,14.98,1.38,160159.22,2.65
903901.75,14.97,1.38,159607.14,2.64
904224.44,14.98,1.38,159353.53,2.64
903717.04,14.97,1.38,158800.2,2.63
