ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_ratio
827399.98,16.75,3.15,179023.52,3.62
827027.99,16.75,3.15,178802.58,3.62
827029.31,16.75,3.15,178807.09,3.62
827336.14,16.75,3.16,178743.45,3.62
827215.83,16.76,3.16,179387.4,3.63
827215.83,16.76,3.16,179384.21,3.63
827079.85,16.76,3.16,179383.9,3.63
826943.88,16.76,3.16,179383.9,3.63
826996.58,16.76,3.16,179383.9,3.64
826860.6,16.76,3.16,179429.58,3.64
826724.62,16.76,3.16,179388.52,3.64
826588.65,16.76,3.16,179383.9,3.64
826452.67,16.76,3.17,179747.58,3.65
826316.69,16.76,3.17,179568.05,3.64
826180.71,16.76,3.17,179567.74,3.64
826044.74,16.76,3.17,179567.74,3.64
826048.7,16.76,3.17,179616.82,3.65
825504.79,16.77,3.17,179894.21,3.65
825254.85,16.76,3.17,179621.34,3.65
825129.69,16.76,3.17,179537.05,3.65
825171.58,16.77,3.17,179513.88,3.65
825467.6,16.78,3.18,179513.57,3.65
825331.62,16.78,3.18,179513.57,3.65
825384.32,16.78,3.18,179513.57,3.65
825248.34,16.78,3.18,179528.62,3.65
825112.37,16.78,3.18,179529.17,3.65
824976.39,16.78,3.18,179515.48,3.65
824977.71,16.78,3.18,179535.54,3.65
824841.73,16.78,3.18,180033.26,3.66
824894.43,16.79,3.19,180304.89,3.67
824758.46,16.79,3.19,180304.58,3.67
824535.0,16.78,3.19,180038.99,3.66
824399.02,16.78,3.19,180038.99,3.67
824451.72,16.79,3.19,180134.77,3.67
824234.47,16.78,3.19,179947.43,3.66
824098.49,16.79,3.19,179888.71,3.66
824151.19,16.79,3.19,179851.66,3.66
823927.68,16.79,3.19,179633.28,3.66
823980.38,16.79,3.19,180155.17,3.67
823844.41,16.79,3.19,180134.64,3.67
823708.43,16.79,3.19,180143.09,3.67
823761.13,16.79,3.2,180143.16,3.67
823421.12,16.79,3.19,179807.33,3.67
823717.14,16.8,3.2,179806.96,3.67
823581.16,16.8,3.2,179806.96,3.67
823581.16,16.8,3.2,179806.96,3.67
823581.16,16.8,3.2,179890.18,3.67
823244.07,16.79,3.19,179521.51,3.66
822872.07,16.79,3.19,179635.46,3.66
823168.1,16.79,3.2,179585.06,3.66
823032.12,16.79,3.2,179551.53,3.66
822670.12,16.79,3.19,180486.47,3.68
822882.2,16.79,3.2,180790.65,3.69
822956.93,16.8,3.2,180500.81,3.68
822777.3,16.8,3.2,180262.58,3.68
822781.26,16.8,3.2,180322.77,3.68
822584.83,16.8,3.2,180220.56,3.68
822448.85,16.8,3.2,180220.25,3.68
822312.88,16.8,3.2,180220.25,3.68
822176.9,16.8,3.2,180236.86,3.68
822040.92,16.8,3.2,180220.52,3.68
822040.92,16.8,3.2,180220.52,3.68
822336.94,16.81,3.21,180220.25,3.68
821964.94,16.8,3.2,180408.03,3.69
821964.94,16.8,3.2,180381.12,3.69
822017.64,16.8,3.21,180280.79,3.69
821881.67,16.8,3.21,180193.35,3.68
821745.69,16.8,3.21,180439.14,3.69
820745.69,16.79,3.19,179439.14,3.67
820609.71,16.79,3.19,179438.83,3.67
820451.17,16.79,3.19,179280.29,3.67
820503.87,16.79,3.19,179280.29,3.67
820367.9,16.79,3.19,179285.46,3.67
820231.92,16.79,3.19,179282.99,3.67
820095.94,16.79,3.19,179280.29,3.67
820148.64,16.8,3.2,179280.29,3.67
820012.67,16.8,3.2,179730.81,3.68
819876.69,16.8,3.2,179605.98,3.68
819929.39,16.8,3.2,179606.04,3.68
819793.41,16.8,3.2,179605.66,3.68
820089.43,16.81,3.21,179605.66,3.68
819953.46,16.81,3.21,179641.57,3.68
819817.48,16.81,3.21,179625.91,3.68
819681.5,16.81,3.21,179608.04,3.68
819545.53,16.81,3.21,180191.09,3.7
819436.03,16.81,3.21,180211.35,3.7
819277.35,16.81,3.21,180061.2,3.69
819141.37,16.81,3.21,180060.89,3.7
819144.01,16.81,3.21,180115.2,3.7
818985.33,16.81,3.21,179963.2,3.69
818985.33,16.81,3.21,179963.2,3.69
819038.04,16.81,3.21,179963.2,3.69
819038.04,16.81,3.21,179927.93,3.69
818988.04,16.81,3.21,179877.93,3.69
818852.06,16.81,3.21,179877.93,3.69
818716.08,16.81,3.21,179877.93,3.69
818906.53,16.82,3.22,180049.07,3.7
818906.53,16.82,3.22,180081.75,3.7
818906.53,16.82,3.22,180059.56,3.7
819096.99,16.82,3.23,180015.52,3.7
818939.83,16.82,3.22,179899.84,3.7
818803.85,16.82,3.23,179772.74,3.69
818856.55,16.83,3.23,180814.45,3.72
818560.12,16.82,3.22,180437.45,3.71
818424.15,16.82,3.22,180437.15,3.71
818476.85,16.83,3.23,180437.14,3.71
818340.87,16.83,3.23,180437.14,3.71
818204.89,16.83,3.23,180467.33,3.71
818068.92,16.83,3.23,180437.14,3.71
817932.94,16.83,3.23,180798.05,3.72
817934.26,16.83,3.23,180824.45,3.72
817986.96,16.83,3.24,180884.82,3.72
817850.98,16.83,3.24,180842.32,3.72
817903.69,16.84,3.24,180842.38,3.72
817906.33,16.84,3.24,180896.69,3.72
818187.44,16.85,3.25,180896.32,3.72
818051.46,16.85,3.25,180901.52,3.73
817915.48,16.85,3.25,180896.32,3.73
817968.18,16.85,3.25,180896.32,3.73
817832.21,16.85,3.25,181468.06,3.74
817696.23,16.85,3.25,181441.67,3.74
817560.25,16.85,3.25,181583.75,3.74
817612.95,16.86,3.26,181583.81,3.74
817665.66,16.86,3.26,181583.44,3.74
817529.68,16.86,3.26,181583.44,3.75
817393.7,16.86,3.26,181607.05,3.75
817584.15,16.87,3.27,181590.65,3.75
817448.18,16.87,3.27,181584.71,3.75
817312.2,16.87,3.27,182283.6,3.76
817364.9,16.87,3.28,182449.08,3.77
817417.6,16.88,3.28,182449.14,3.77
817608.05,16.88,3.29,182448.76,3.77
817472.08,16.88,3.29,182480.33,3.77
817768.1,16.89,3.29,182466.82,3.77
817632.12,16.89,3.29,182448.76,3.77
817496.14,16.89,3.3,183506.96,3.79
817548.84,16.9,3.3,183308.65,3.79
817739.3,16.9,3.31,183646.83,3.8
817983.33,16.91,3.31,183646.52,3.8
817983.33,16.91,3.31,183646.52,3.8
817661.12,16.91,3.31,183588.45,3.8
817525.14,16.91,3.31,183619.04,3.8
817528.38,16.91,3.31,183619.97,3.8
817581.09,16.91,3.31,183605.56,3.8
817585.26,16.91,3.31,183730.49,3.8
817637.96,16.91,3.32,183721.42,3.8
817501.98,16.91,3.32,183985.28,3.81
817366.0,16.92,3.32,183774.84,3.8
817230.03,16.92,3.32,183714.31,3.8
817094.05,16.92,3.32,184471.89,3.82
816958.07,16.92,3.32,184471.57,3.82
817254.09,16.93,3.33,184471.57,3.82
817118.12,16.93,3.33,184508.6,3.82
816982.14,16.93,3.33,184479.72,3.82
817034.84,16.93,3.33,184471.57,3.82
816898.86,16.93,3.33,184880.22,3.83
816773.7,16.93,3.33,184835.19,3.83
816815.59,16.94,3.34,185123.55,3.84
816679.61,16.94,3.34,185123.71,3.84
816679.61,16.94,3.34,185079.54,3.84
816543.63,16.94,3.34,185079.07,3.84
816171.63,16.93,3.33,184865.96,3.83
816171.63,16.93,3.33,184904.86,3.84
816035.66,16.93,3.33,185089.45,3.84
816331.68,16.94,3.34,185086.3,3.84
816334.32,16.94,3.34,185087.52,3.84
816198.34,16.94,3.34,185037.91,3.84
816198.34,16.94,3.34,185037.91,3.84
815858.79,16.93,3.34,186346.44,3.87
816568.04,16.95,3.36,186421.96,3.87
816279.42,16.95,3.35,186119.61,3.86
816143.44,16.95,3.35,186119.3,3.87
815993.82,16.95,3.35,185663.42,3.86
815788.11,16.95,3.35,185486.85,3.85
815652.13,16.95,3.35,185486.85,3.85
815516.15,16.95,3.35,185749.07,3.86
815380.18,16.95,3.35,185725.46,3.86
816636.03,16.98,3.38,188114.51,3.91
816419.74,16.98,3.38,187449.47,3.9
816283.77,16.98,3.38,187449.16,3.9
816147.79,16.98,3.38,187449.16,3.9
816037.79,16.98,3.38,187339.16,3.9
815901.81,16.98,3.38,187365.61,3.9
815765.83,16.98,3.38,187356.56,3.9
815445.83,16.97,3.37,187036.56,3.89
815287.15,16.97,3.37,186877.68,3.89
815083.68,16.97,3.37,186295.06,3.88
815085.0,16.97,3.37,186300.91,3.88
814949.02,16.97,3.37,186283.5,3.88
814813.04,16.97,3.37,186283.5,3.88
814615.67,16.97,3.37,186130.1,3.88
814919.85,16.97,3.38,186557.03,3.89
814673.42,16.97,3.37,186379.24,3.88
814673.42,16.97,3.37,186367.23,3.88
814537.44,16.97,3.37,186348.6,3.88
814401.46,16.97,3.37,186348.28,3.88
814265.48,16.97,3.37,186373.14,3.88
813925.33,16.97,3.37,186064.84,3.88
813925.33,16.97,3.37,186064.84,3.88
813588.25,16.96,3.36,185696.18,3.87
813588.25,16.96,3.36,185696.18,3.87
813381.82,16.96,3.36,185568.83,3.87
813381.82,16.96,3.36,185568.83,3.87
813434.52,16.96,3.36,185552.29,3.87
813298.54,16.96,3.36,185553.62,3.87
813162.57,16.96,3.36,185833.9,3.88
813215.27,16.97,3.37,185700.68,3.87
813267.97,16.97,3.37,185755.19,3.88
813131.99,16.97,3.37,186111.94,3.88
813133.31,16.97,3.37,186117.79,3.88
812997.33,16.97,3.37,186119.72,3.89
812861.36,16.97,3.37,186117.59,3.89
812725.38,16.97,3.37,186117.47,3.89
813021.4,16.98,3.38,186284.01,3.89
812885.42,16.98,3.38,186251.56,3.89
812885.42,16.98,3.38,186251.56,3.89
812706.09,16.98,3.38,186531.94,3.9
812570.12,16.98,3.38,186465.83,3.9
812379.08,16.98,3.38,186215.72,3.89
812685.42,16.99,3.39,186868.91,3.91
812549.44,16.99,3.39,186869.07,3.91
812138.19,16.98,3.38,186346.03,3.9
812002.22,16.98,3.38,186345.56,3.9
811866.24,16.98,3.38,186437.17,3.9
811730.26,16.98,3.39,186730.72,3.91
811594.29,16.98,3.39,186566.22,3.9
811646.99,16.99,3.39,186476.4,3.9
811699.69,16.99,3.39,186875.11,3.91
811699.69,16.99,3.39,186852.97,3.91
811563.71,16.99,3.39,186673.82,3.91
811616.41,17.0,3.4,186673.88,3.91
811669.11,17.0,3.4,186673.51,3.91
811533.14,17.0,3.4,186673.51,3.91
811397.16,17.0,3.4,186695.99,3.91
811261.18,17.0,3.4,186678.58,3.91
811313.88,17.01,3.41,186673.51,3.91
811366.59,17.01,3.41,187431.11,3.93
811751.25,17.02,3.42,187760.5,3.94
811615.27,17.02,3.42,187760.19,3.94
811479.29,17.02,3.42,187760.19,3.94
811343.31,17.02,3.42,187856.02,3.94
811207.34,17.02,3.42,187801.26,3.94
810895.24,17.02,3.42,187545.62,3.94
810759.26,17.02,3.42,187504.55,3.94
810644.92,17.02,3.42,188127.49,3.95
810686.8,17.02,3.43,187853.44,3.94
810728.69,17.03,3.43,187844.43,3.95
811113.35,17.04,3.44,187844.12,3.95
810801.25,17.03,3.43,187844.12,3.95
810665.27,17.03,3.43,187871.72,3.95
810529.29,17.03,3.44,187851.38,3.95
810393.32,17.03,3.44,188553.22,3.96
810289.79,17.04,3.44,188494.11,3.96
810632.51,17.04,3.45,189395.81,3.98
811010.11,17.06,3.46,189147.92,3.98
810874.13,17.06,3.46,189147.61,3.98
810874.13,17.06,3.46,189147.61,3.98
810738.15,17.06,3.46,189147.61,3.98
810629.47,17.06,3.46,189039.21,3.98
810493.5,17.06,3.46,189126.5,3.98
810789.52,17.06,3.47,189093.53,3.98
810789.52,17.06,3.47,189132.54,3.98
810789.52,17.06,3.47,189132.54,3.98
810340.28,17.06,3.46,188748.74,3.97
810116.82,17.05,3.46,188694.42,3.97
810501.48,17.06,3.47,189270.66,3.98
810554.18,17.07,3.47,189054.64,3.98
810429.02,17.07,3.47,188794.59,3.98
810276.97,17.07,3.47,189663.11,3.99
810037.49,17.06,3.46,189280.07,3.99
809801.59,17.06,3.46,189133.29,3.98
809665.61,17.06,3.46,189132.98,3.99
809961.63,17.07,3.47,189132.98,3.99
809961.63,17.07,3.47,189158.15,3.99
809825.66,17.07,3.47,189158.15,3.99
809825.66,17.07,3.47,189154.29,3.99
809825.66,17.07,3.47,189285.88,3.99
809689.68,17.07,3.47,189357.37,3.99
809553.7,17.07,3.47,189307.57,3.99
809606.4,17.08,3.48,189285.88,3.99
809796.85,17.08,3.48,190141.66,4.01
809796.85,17.08,3.48,190114.08,4.01
809660.88,17.08,3.48,190075.82,4.01
809524.9,17.08,3.49,190075.98,4.01
809152.9,17.08,3.48,189838.38,4.01
809448.92,17.08,3.49,189837.91,4.01
809312.94,17.09,3.49,189905.74,4.01
809503.4,17.09,3.49,189861.17,4.01
809367.42,17.09,3.5,189837.91,4.01
809318.75,17.1,3.5,191523.52,4.05
809022.32,17.09,3.49,191214.98,4.04
809075.66,17.09,3.5,190786.84,4.03
808878.22,17.09,3.5,190546.69,4.03
808581.87,17.09,3.49,190188.72,4.02
808445.89,17.09,3.49,190188.41,4.02
808309.92,17.09,3.49,190188.41,4.02
808309.92,17.09,3.49,190216.3,4.02
808597.79,17.1,3.5,190279.3,4.02
808461.81,17.1,3.5,190259.16,4.02
808514.51,17.1,3.51,190216.3,4.02
808795.62,17.11,3.51,190864.46,4.04
808421.77,17.1,3.51,190597.82,4.03
808421.77,17.1,3.51,190597.82,4.03
808423.09,17.1,3.51,190603.66,4.03
808725.95,17.11,3.52,191571.51,4.05
808589.98,17.12,3.52,191571.2,4.06
808589.98,17.12,3.52,191571.2,4.06
808886.0,17.12,3.53,191571.2,4.06
808886.0,17.12,3.53,191571.2,4.06
808886.0,17.12,3.53,191571.2,4.06
808315.36,17.11,3.52,190867.76,4.04
808179.38,17.12,3.52,191090.92,4.05
808179.38,17.12,3.52,191090.92,4.05
807807.38,17.11,3.51,190940.94,4.04
807671.4,17.11,3.51,190867.76,4.04
807567.87,17.11,3.51,192284.57,4.07
807270.63,17.11,3.51,192005.22,4.07
807312.52,17.11,3.51,191371.84,4.06
807618.85,17.12,3.52,191338.32,4.06
807278.92,17.11,3.52,191012.39,4.05
806867.67,17.11,3.51,190701.37,4.04
806731.69,17.11,3.51,190701.53,4.04
806595.72,17.11,3.51,190701.06,4.05
806891.74,17.12,3.52,190701.06,4.05
806755.76,17.12,3.52,190845.73,4.05
806808.46,17.12,3.53,190721.31,4.05
806436.46,17.12,3.52,190701.06,4.05
806436.46,17.12,3.52,190701.06,4.05
806300.49,17.12,3.52,191309.7,4.06
806252.46,17.12,3.52,191238.43,4.06
806252.46,17.12,3.52,191238.43,4.06
806516.49,17.13,3.53,191419.19,4.07
806380.52,17.13,3.53,191418.88,4.07
806570.97,17.13,3.54,191418.88,4.07
806434.99,17.14,3.54,191435.48,4.07
806138.56,17.13,3.53,191425.89,4.07
806002.58,17.13,3.53,191733.08,4.08
806246.62,17.14,3.54,191521.79,4.07
806110.64,17.14,3.54,191509.99,4.07
806018.32,17.14,3.54,192070.1,4.08
806165.12,17.15,3.55,192186.21,4.09
805165.12,17.13,3.53,191186.21,4.07
805355.57,17.14,3.54,191185.89,4.07
805355.57,17.14,3.54,191185.89,4.07
805219.59,17.14,3.54,191185.89,4.07
805083.61,17.14,3.54,191225.99,4.07
804947.64,17.14,3.54,191232.79,4.07
804761.0,17.13,3.54,191064.66,4.07
804625.02,17.14,3.54,191017.76,4.07
804328.59,17.13,3.53,191364.16,4.08
804192.61,17.13,3.53,191151.41,4.07
804067.45,17.13,3.53,191067.37,4.07
803920.66,17.13,3.53,191047.76,4.07
803784.68,17.13,3.54,191047.45,4.07
803648.7,17.13,3.54,191047.45,4.07
803512.73,17.13,3.54,191059.29,4.07
803512.73,17.13,3.54,191059.29,4.07
803512.73,17.13,3.54,191059.29,4.07
803512.73,17.13,3.54,191059.29,4.07
803808.75,17.14,3.54,191054.45,4.07
803672.77,17.14,3.55,191047.45,4.08
803672.77,17.14,3.55,191047.45,4.08
803536.79,17.14,3.55,191282.86,4.08
803536.79,17.14,3.55,191282.86,4.08
803536.79,17.14,3.55,191282.86,4.08
803400.82,17.14,3.55,191366.52,4.08
803264.84,17.15,3.55,191427.17,4.09
803128.86,17.15,3.55,191426.86,4.09
803128.86,17.15,3.55,191426.86,4.09
803181.56,17.15,3.55,191426.86,4.09
802958.1,17.15,3.55,191254.95,4.08
803254.12,17.15,3.56,191254.95,4.08
803306.83,17.16,3.56,191322.49,4.09
803170.85,17.16,3.56,191263.15,4.09
803034.87,17.16,3.56,191254.95,4.09
803225.32,17.17,3.57,192269.59,4.11
803225.32,17.17,3.57,192265.33,4.11
803089.35,17.17,3.57,192315.53,4.11
802717.35,17.16,3.56,191909.55,4.1
802717.35,17.16,3.56,191909.55,4.1
802581.37,17.16,3.56,191909.25,4.1
802445.39,17.16,3.57,191942.26,4.11
802309.42,17.16,3.57,191946.53,4.11
802173.44,17.16,3.57,191939.69,4.11
802037.46,17.17,3.57,191913.85,4.11
801901.48,17.17,3.57,192376.87,4.12
801605.05,17.16,3.56,192186.74,4.11
801901.08,17.17,3.57,192186.42,4.11
801775.91,17.17,3.57,191873.59,4.11
801775.91,17.17,3.57,191873.59,4.11
802069.27,17.18,3.58,192179.43,4.12
801933.29,17.18,3.58,192179.43,4.12
801561.29,17.17,3.57,192234.18,4.12
801425.32,17.17,3.58,192233.58,4.12
801427.96,17.17,3.58,192234.84,4.12
801291.98,17.17,3.58,192325.76,4.12
801344.68,17.18,3.58,192181.19,4.12
801640.7,17.19,3.59,193174.63,4.14
801280.55,17.18,3.58,192793.99,4.13
801344.07,17.18,3.59,192573.53,4.13
801385.96,17.19,3.59,192631.15,4.13
801023.96,17.18,3.58,192498.71,4.13
800887.98,17.18,3.59,192498.4,4.13
801169.09,17.19,3.59,192498.4,4.13
800882.0,17.19,3.59,192525.22,4.13
800934.71,17.19,3.59,192513.01,4.13
801125.16,17.2,3.6,192498.4,4.13
801177.86,17.2,3.6,192498.4,4.13
801041.88,17.2,3.6,193145.27,4.15
800905.91,17.2,3.6,193225.13,4.15
800769.93,17.2,3.61,193215.66,4.15
800633.95,17.2,3.61,193215.35,4.15
800686.65,17.21,3.61,193215.35,4.15
800877.1,17.21,3.62,193274.49,4.15
801173.13,17.22,3.63,193254.4,4.15
801037.15,17.22,3.63,193215.35,4.15
800922.8,17.22,3.63,194697.29,4.19
801040.84,17.23,3.63,194664.84,4.19
800744.41,17.23,3.63,194486.3,4.18
800608.43,17.23,3.63,194485.99,4.18
800611.07,17.23,3.63,194487.27,4.18
800647.35,17.23,3.63,194309.78,4.18
800511.37,17.23,3.63,194309.78,4.18
800701.82,17.24,3.64,194428.66,4.19
799906.82,17.22,3.63,193756.65,4.17
799610.39,17.22,3.62,193651.12,4.17
799663.09,17.22,3.62,193637.78,4.17
799959.11,17.23,3.63,194185.79,4.18
799823.14,17.23,3.63,193849.44,4.18
799451.14,17.22,3.63,193722.92,4.17
799729.54,17.23,3.64,194584.49,4.19
799694.29,17.24,3.64,194426.59,4.19
799397.86,17.23,3.63,194134.3,4.18
799261.88,17.23,3.63,194134.46,4.19
799125.91,17.23,3.63,194133.99,4.19
799421.93,17.24,3.64,194133.99,4.19
799474.63,17.24,3.65,194169.9,4.19
799338.65,17.24,3.65,194166.06,4.19
799066.7,17.25,3.65,194652.88,4.2
799066.7,17.25,3.65,194652.88,4.2
797978.88,17.25,3.65,194652.57,4.21
797842.9,17.25,3.66,194726.63,4.21
798033.35,17.26,3.66,194726.32,4.21
797897.38,17.26,3.66,194726.32,4.21
797950.08,17.26,3.67,194773.55,4.21
798140.53,17.27,3.67,194739.92,4.21
798144.49,17.27,3.67,194741.27,4.21
798197.19,17.28,3.68,194727.66,4.21
797653.28,17.28,3.68,194749.91,4.22
797495.93,17.28,3.68,194591.02,4.22
797359.95,17.28,3.68,195267.33,4.23
797223.97,17.28,3.68,194679.94,4.22
797088.0,17.28,3.68,195637.19,4.24
796947.54,17.28,3.68,195524.67,4.24
796947.54,17.28,3.68,195524.67,4.24
796947.54,17.28,3.68,195524.67,4.24
796811.56,17.28,3.68,195506.87,4.24
797107.58,17.29,3.69,195502.15,4.24
796971.6,17.29,3.69,195898.32,4.25
796971.6,17.29,3.69,195880.81,4.25
797024.3,17.29,3.69,196090.28,4.25
796888.33,17.29,3.69,196090.44,4.25
796941.03,17.3,3.7,196089.96,4.26
796805.05,17.3,3.7,196089.96,4.26
796511.87,17.29,3.69,195777.18,4.25
796375.89,17.29,3.69,196127.63,4.26
796239.91,17.29,3.69,195793.21,4.25
795867.91,17.29,3.69,195411.14,4.24
795753.57,17.29,3.69,196231.27,4.26
796034.8,17.3,3.7,196200.42,4.26
795827.76,17.29,3.7,196014.55,4.26
796123.78,17.3,3.7,196014.24,4.26
795987.81,17.3,3.7,196014.24,4.26
795601.67,17.3,3.7,195586.29,4.25
795442.99,17.29,3.7,195434.9,4.25
795442.99,17.29,3.7,195434.9,4.25
795071.0,17.29,3.69,195434.9,4.25
795071.0,17.29,3.69,195434.9,4.25
794913.64,17.29,3.69,195276.02,4.25
794777.66,17.29,3.69,195467.32,4.25
794641.68,17.29,3.69,195296.8,4.25
794505.71,17.29,3.69,195276.02,4.25
794284.17,17.28,3.69,195028.13,4.24
794148.19,17.28,3.69,195301.69,4.25
794444.21,17.29,3.7,195338.25,4.25
794444.21,17.29,3.7,195362.91,4.25
794308.23,17.29,3.7,195482.71,4.26
793936.23,17.29,3.69,195172.79,4.25
793800.26,17.29,3.69,195172.48,4.25
793990.71,17.29,3.7,195172.48,4.25
794043.41,17.3,3.7,195192.97,4.25
793907.43,17.3,3.7,195173.36,4.25
793771.46,17.3,3.7,195439.79,4.26
794067.48,17.31,3.71,195454.55,4.26
794421.92,17.32,3.72,196744.59,4.29
794421.92,17.32,3.72,196744.59,4.29
794285.95,17.32,3.72,196744.75,4.29
794149.97,17.32,3.72,196744.28,4.29
794445.99,17.33,3.73,196794.36,4.29
794310.01,17.33,3.73,196800.7,4.29
793751.01,17.32,3.72,196230.25,4.28
793615.03,17.32,3.73,196293.47,4.28
793479.05,17.32,3.73,196173.83,4.28
793479.05,17.32,3.73,196173.83,4.28
793531.75,17.33,3.73,196732.52,4.3
793395.78,17.33,3.73,196689.67,4.3
793259.8,17.33,3.73,196689.36,4.3
792171.98,17.34,3.74,196689.05,4.3
792036.0,17.34,3.74,196689.05,4.31
791900.03,17.34,3.74,196701.82,4.31
791764.05,17.34,3.74,196698.5,4.31
791402.05,17.33,3.74,196440.8,4.3
791266.07,17.33,3.74,196431.71,4.3
791266.07,17.33,3.74,196431.71,4.3
791130.1,17.33,3.74,196600.62,4.31
791426.12,17.34,3.74,196691.15,4.31
791290.14,17.34,3.75,196791.28,4.31
791154.16,17.34,3.75,196790.97,4.31
790989.66,17.34,3.74,196639.31,4.31
790853.68,17.34,3.74,196639.31,4.31
790481.68,17.34,3.74,196339.38,4.31
790481.68,17.34,3.74,196339.38,4.31
790345.71,17.34,3.74,196376.76,4.31
790209.73,17.34,3.74,196361.72,4.31
790211.05,17.34,3.74,196363.57,4.31
790263.75,17.34,3.74,196557.13,4.31
790717.32,17.35,3.76,196446.33,4.31
790592.16,17.35,3.76,196448.73,4.31
790445.37,17.35,3.76,197188.54,4.33
790498.07,17.36,3.76,197188.61,4.33
790029.84,17.35,3.75,196651.29,4.32
790029.84,17.35,3.75,196651.29,4.32
789893.86,17.35,3.75,196650.92,4.32
789893.86,17.35,3.75,196650.92,4.32
789946.57,17.36,3.76,196650.92,4.32
789946.57,17.36,3.76,196650.92,4.32
790242.59,17.36,3.77,196669.71,4.32
790106.61,17.37,3.77,196656.89,4.32
789970.63,17.37,3.77,196650.92,4.32
789845.47,17.37,3.77,197550.64,4.34
789725.16,17.37,3.77,197416.44,4.34
789725.16,17.37,3.77,197416.44,4.34
789725.16,17.37,3.77,197416.44,4.34
789725.16,17.37,3.77,197416.44,4.34
790021.18,17.38,3.78,197416.13,4.34
789775.34,17.37,3.77,197240.61,4.34
789639.37,17.37,3.78,197252.4,4.34
789692.07,17.38,3.78,197250.69,4.34
789692.07,17.38,3.78,197250.69,4.34
789556.09,17.38,3.78,197241.35,4.34
789556.09,17.38,3.78,197241.35,4.34
789184.09,17.37,3.77,197241.22,4.34
789236.79,17.38,3.78,197395.79,4.35
789289.49,17.38,3.78,197348.78,4.35
789153.52,17.38,3.78,197335.36,4.35
789017.54,17.38,3.78,197863.95,4.36
789207.99,17.39,3.79,197863.63,4.36
789260.69,17.39,3.8,197863.63,4.36
788934.26,17.39,3.79,197872.57,4.36
789299.87,17.4,3.8,197863.63,4.36
789163.89,17.4,3.8,197863.63,4.36
789163.89,17.4,3.8,197803.78,4.36
789027.91,17.4,3.8,197879.92,4.36
788891.94,17.4,3.8,197956.12,4.37
788799.61,17.4,3.8,198731.17,4.38
788749.72,17.4,3.81,198623.78,4.38
788613.74,17.4,3.81,198623.46,4.38
788477.77,17.41,3.81,198623.46,4.38
788481.73,17.41,3.81,198689.99,4.39
788345.75,17.41,3.81,198725.77,4.39
788799.32,17.42,3.82,198696.64,4.39
788663.34,17.42,3.82,198689.99,4.39
788527.37,17.42,3.82,199121.19,4.4
788402.21,17.42,3.82,199072.62,4.4
788444.09,17.42,3.83,199330.31,4.41
788308.11,17.42,3.83,199330.0,4.41
788135.65,17.42,3.82,199307.04,4.41
787999.68,17.42,3.83,199307.04,4.41
787863.7,17.42,3.83,199307.04,4.41
787727.72,17.42,3.83,199358.94,4.41
787591.74,17.43,3.83,199314.79,4.41
787304.66,17.42,3.82,199007.57,4.4
787168.68,17.42,3.82,199308.46,4.41
787170.14,17.42,3.82,199314.92,4.41
787044.98,17.42,3.82,199218.84,4.41
786898.19,17.42,3.83,199006.29,4.41
787282.85,17.43,3.83,199005.98,4.41
787282.85,17.43,3.83,199005.98,4.41
787146.87,17.43,3.84,199005.98,4.41
787010.89,17.43,3.84,199005.98,4.41
786874.92,17.44,3.84,199085.57,4.41
786384.28,17.43,3.83,199049.79,4.41
786248.3,17.43,3.83,199012.47,4.41
786020.0,17.43,3.83,199316.8,4.42
785840.37,17.43,3.83,199035.98,4.41
785893.07,17.43,3.84,199036.04,4.42
785785.71,17.43,3.83,198928.68,4.41
785649.73,17.43,3.84,198928.31,4.41
785702.43,17.44,3.84,198928.31,4.41
785566.46,17.44,3.84,198928.31,4.42
785932.06,17.45,3.85,198979.88,4.42
785589.37,17.44,3.84,198933.24,4.42
785642.07,17.45,3.85,198928.31,4.42
785506.09,17.45,3.85,199709.68,4.44
785802.11,17.46,3.86,199988.27,4.44
785666.14,17.46,3.86,199987.95,4.44
785530.16,17.46,3.86,199987.95,4.44
785158.16,17.45,3.85,199634.58,4.44
785542.82,17.46,3.86,199677.13,4.44
785230.72,17.46,3.86,199648.49,4.44
785230.72,17.46,3.86,199648.49,4.44
785534.89,17.46,3.87,199634.58,4.44
785398.92,17.47,3.87,199901.78,4.45
785451.62,17.47,3.87,199825.68,4.44
785315.64,17.47,3.87,199955.14,4.45
784956.31,17.46,3.87,199705.38,4.44
784998.19,17.47,3.87,200292.5,4.46
785294.21,17.48,3.88,200292.19,4.46
