ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1605726.69,26.16,0.59,205832.27,3.35
1606084.79,26.17,0.59,205824.87,3.35
1606084.79,26.17,0.59,205820.41,3.35
1606084.79,26.17,0.59,205815.94,3.35
1606084.79,26.17,0.59,205893.12,3.35
1606084.79,26.17,0.59,205849.35,3.35
1605829.06,26.17,0.59,205841.95,3.35
1606187.15,26.17,0.6,205834.56,3.35
1605931.42,26.17,0.6,205842.48,3.35
1605931.42,26.17,0.6,205843.41,3.35
1605675.68,26.17,0.6,205836.01,3.36
1605893.21,26.18,0.61,205455.2,3.35
1605637.47,26.18,0.61,205447.81,3.35
1605381.73,26.18,0.61,205700.6,3.35
1605571.18,26.18,0.61,205786.53,3.36
1605571.18,26.18,0.61,205742.76,3.36
1605315.44,26.18,0.61,205742.62,3.36
1605315.44,26.18,0.61,205697.92,3.36
1605601.8,26.19,0.62,205690.52,3.36
1605534.91,26.19,0.62,205690.52,3.36
1605279.18,26.19,0.62,205646.75,3.36
1605279.18,26.19,0.62,205643.42,3.36
1605023.44,26.19,0.62,205638.54,3.36
1604767.7,26.19,0.62,205631.15,3.36
1604511.96,26.19,0.62,205623.75,3.36
1604511.96,26.19,0.62,205621.22,3.36
1604256.22,26.19,0.62,205616.4,3.36
