ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
1190647.49,19.44,0.85,207519.23,3.39
1190909.39,19.45,0.86,207298.42,3.38
1190813.73,19.45,0.86,207106.39,3.38
1190765.06,19.45,0.86,207072.18,3.38
1191298.3,19.46,0.87,207137.15,3.38
1191526.65,19.47,0.88,206882.77,3.38
1191004.76,19.46,0.88,206318.42,3.37
1191249.89,19.47,0.88,206137.74,3.37
1191249.89,19.47,0.88,206137.74,3.37
1191478.23,19.47,0.89,205883.37,3.36
1190956.34,19.47,0.88,205319.01,3.36
1191218.25,19.47,0.89,205098.2,3.35
1191218.25,19.47,0.89,205098.2,3.35
1191218.25,19.47,0.89,205098.2,3.35
1191482.59,19.48,0.9,205266.17,3.36
1191727.72,19.49,0.9,205074.36,3.35
1191727.72,19.49,0.9,205074.36,3.35
1191748.65,19.49,0.91,205171.69,3.36
1192277.63,19.5,0.92,205232.4,3.36
1192522.76,19.51,0.92,205051.73,3.35
1193282.44,19.52,0.94,205373.53,3.36
1193527.57,19.53,0.95,205192.86,3.36
1193445.68,19.53,0.95,205079.63,3.36
1194588.57,19.55,0.96,205950.64,3.37
1194816.92,19.56,0.97,205696.27,3.37
1194735.03,19.56,0.97,205571.91,3.36
1194213.14,19.55,0.97,205018.68,3.36
1194746.38,19.56,0.98,205083.66,3.36
1195279.62,19.57,0.99,205148.63,3.36
1195524.75,19.58,1.0,204967.96,3.36
1194986.08,19.57,0.99,204443.75,3.35
1195037.41,19.58,0.99,204509.53,3.35
1194342.3,19.57,0.98,203828.88,3.34
1194149.71,19.57,0.98,203798.93,3.34
1193627.82,19.56,0.98,203234.57,3.33
1193105.93,19.56,0.97,202681.35,3.32
1193639.17,19.57,0.98,202746.32,3.32
1193607.28,19.57,0.98,202671.96,3.32
1193085.4,19.56,0.98,202107.61,3.31
1192292.31,19.56,0.98,201155.39,3.3
1192125.28,19.56,0.98,201159.9,3.3
1192370.41,19.57,0.99,200979.23,3.3
1192899.39,19.58,1.0,201039.94,3.3
1191391.71,19.58,1.0,200981.11,3.3
1191636.83,19.59,1.01,200800.44,3.3
1191114.95,19.58,1.0,200236.09,3.29
1190828.67,19.58,1.0,199964.27,3.29
1190306.79,19.58,0.99,199399.92,3.28
1190060.4,19.57,0.99,199167.99,3.28
1190305.53,19.58,1.0,198987.32,3.27
1190363.64,19.58,1.0,199002.96,3.27
1190658.91,19.59,1.01,199063.81,3.27
1190679.85,19.59,1.01,199161.13,3.28
1190440.92,19.59,1.01,198685.09,3.27
1189919.03,19.58,1.0,198120.74,3.26
1190147.37,19.59,1.01,197866.36,3.26
1189642.27,19.59,1.0,197375.71,3.25
1189124.11,19.58,1.0,196878.75,3.24
1189369.23,19.59,1.0,196686.95,3.24
1189521.94,19.59,1.01,196330.08,3.23
1190281.62,19.61,1.02,196651.88,3.24
1189759.74,19.6,1.02,196098.65,3.23
1189140.27,19.59,1.01,195520.49,3.22
1189112.11,19.59,1.01,195513.54,3.22
1189083.95,19.59,1.01,195506.58,3.22
1189329.08,19.6,1.02,195314.78,3.22
1189136.49,19.6,1.02,195236.73,3.22
1189669.73,19.61,1.03,195301.7,3.22
1190429.41,19.63,1.05,195623.5,3.23
1190429.41,19.63,1.05,195623.5,3.23
1191572.31,19.65,1.06,196494.51,3.24
1191800.65,19.65,1.07,196240.13,3.24
1191278.77,19.65,1.07,195686.91,3.23
1191111.73,19.65,1.07,195669.41,3.23
1190944.7,19.65,1.07,195591.91,3.23
1191189.83,19.66,1.07,195400.11,3.22
1192332.72,19.68,1.09,196271.12,3.24
1192140.13,19.68,1.09,196260.52,3.24
1191878.24,19.67,1.09,195967.3,3.23
1191509.22,19.67,1.09,195673.6,3.23
1191661.93,19.67,1.09,195316.73,3.22
1191469.34,19.67,1.09,195339.76,3.23
1191714.46,19.68,1.1,195147.96,3.22
1191192.57,19.68,1.09,194594.73,3.21
1191437.7,19.68,1.1,194402.93,3.21
1191682.83,19.69,1.11,194222.26,3.21
1192274.22,19.7,1.12,194324.19,3.21
1191579.12,19.69,1.11,193643.54,3.2
1191824.24,19.7,1.12,193462.87,3.2
1192583.93,19.72,1.13,193784.67,3.2
1192829.06,19.72,1.14,193603.99,3.2
1192747.17,19.72,1.14,193490.77,3.2
1192747.17,19.72,1.14,193490.77,3.2
1192554.58,19.72,1.14,193467.94,3.2
1192032.69,19.72,1.13,192903.58,3.19
1192294.6,19.72,1.14,192682.77,3.19
1192539.72,19.73,1.15,192490.97,3.18
1192959.71,19.74,1.16,193095.58,3.19
1192247.82,19.73,1.15,192341.23,3.18
1192492.95,19.74,1.16,192149.43,3.18
1192738.07,19.75,1.16,191968.75,3.18
1192738.07,19.75,1.16,191968.75,3.18
1192999.98,19.75,1.17,191747.94,3.17
1192738.09,19.75,1.17,191454.71,3.17
1192983.22,19.76,1.18,191262.91,3.17
1192824.77,19.76,1.17,191104.46,3.17
1192792.88,19.76,1.17,191030.1,3.16
1192254.21,19.75,1.17,190505.89,3.16
1192482.55,19.76,1.17,190251.51,3.15
1191960.67,19.75,1.17,189698.29,3.14
1191167.58,19.75,1.17,188746.07,3.13
1191429.49,19.76,1.18,188525.25,3.13
1191962.73,19.77,1.19,188590.23,3.13
1191962.73,19.77,1.19,188568.22,3.13
1191962.73,19.77,1.19,188568.22,3.13
1192038.63,19.77,1.19,189485.74,3.14
1192798.32,19.79,1.21,189807.54,3.15
1192819.25,19.79,1.21,189904.86,3.15
1192819.25,19.79,1.21,189929.74,3.15
1193064.38,19.8,1.22,189737.94,3.15
1192871.79,19.8,1.22,189659.89,3.15
1192574.35,19.8,1.21,189298.86,3.14
1192819.48,19.8,1.22,189107.06,3.14
1192297.59,19.8,1.22,188542.7,3.13
1192105.0,19.8,1.22,188532.11,3.13
1192105.0,19.8,1.22,188532.11,3.13
1192165.53,19.8,1.22,188633.95,3.13
1191626.86,19.79,1.21,188109.74,3.12
1191626.86,19.79,1.21,188091.97,3.12
1191871.99,19.8,1.22,187900.16,3.12
1191160.1,19.79,1.21,187156.94,3.11
1190431.43,19.78,1.2,186442.73,3.1
1189909.55,19.78,1.2,185889.5,3.09
1190500.94,19.79,1.21,185991.43,3.09
1190746.07,19.8,1.22,185799.63,3.09
1191007.98,19.8,1.22,185578.82,3.09
1189438.34,19.8,1.22,185498.61,3.09
1189789.71,19.81,1.23,186021.09,3.1
1190051.62,19.82,1.24,185800.27,3.09
1190019.73,19.82,1.24,185737.05,3.09
1191142.23,19.84,1.26,185858.79,3.1
1192333.94,19.86,1.28,186443.41,3.11
1191812.05,19.86,1.28,185890.19,3.1
1191812.05,19.86,1.28,185927.09,3.1
1191642.05,19.86,1.28,185748.47,3.1
1192727.64,19.88,1.3,186437.62,3.11
1192748.57,19.88,1.3,186534.94,3.11
1192569.9,19.88,1.3,186602.2,3.11
1192399.9,19.88,1.3,186394.32,3.11
1192399.9,19.88,1.3,186394.32,3.11
1192207.31,19.88,1.3,186335.28,3.11
1192014.72,19.88,1.3,186305.67,3.11
1192794.25,19.9,1.32,187252.09,3.12
1193056.96,19.9,1.32,186974.22,3.12
1192328.29,19.89,1.31,186260.01,3.11
1192284.53,19.9,1.32,186009.56,3.1
1192335.87,19.9,1.32,186075.35,3.11
1191623.98,19.89,1.31,185332.12,3.09
1192491.94,19.91,1.33,186788.23,3.12
1192321.94,19.91,1.33,186580.34,3.12
1192710.9,19.91,1.34,186259.91,3.11
1192205.79,19.91,1.33,185769.26,3.1
1192717.99,19.92,1.34,186872.26,3.12
1192689.83,19.92,1.34,186865.3,3.12
1192522.8,19.92,1.34,186869.82,3.12
1192330.21,19.92,1.34,186785.49,3.12
1192137.61,19.92,1.34,186781.17,3.12
1192400.33,19.93,1.35,186503.3,3.12
1192356.57,19.93,1.35,186252.85,3.11
1192280.67,19.93,1.35,186356.95,3.12
1192281.16,19.93,1.35,186376.84,3.12
1191763.0,19.93,1.35,185879.88,3.11
1191763.0,19.93,1.35,185879.88,3.11
1191595.97,19.93,1.35,185802.39,3.11
1191595.97,19.93,1.35,185802.39,3.11
1191595.97,19.93,1.35,185802.39,3.11
1191077.81,19.92,1.34,185305.43,3.1
1191590.01,19.93,1.35,186408.45,3.12
1190893.56,19.93,1.35,185681.63,3.11
1191612.55,19.94,1.36,186020.17,3.11
1191612.55,19.94,1.36,186020.17,3.11
1191419.96,19.94,1.36,186012.95,3.11
1191419.96,19.94,1.36,186012.95,3.11
1191551.56,19.94,1.37,185855.64,3.11
1191503.3,19.94,1.37,185807.86,3.11
1191310.71,19.94,1.37,185726.43,3.11
1191310.71,19.94,1.37,185726.43,3.11
1191310.71,19.94,1.37,185705.38,3.11
1191234.81,19.95,1.37,185809.48,3.11
1190538.36,19.94,1.36,185082.65,3.1
1191821.18,19.96,1.38,186026.34,3.12
1191628.59,19.96,1.38,186012.51,3.12
1191122.14,19.96,1.38,185475.69,3.11
1190970.82,19.95,1.38,185349.89,3.11
1190464.38,19.95,1.37,184813.07,3.1
1190703.13,19.95,1.38,185091.95,3.1
