ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
1180340.82,19.27,0.67,217124.72,3.54
1180158.04,19.27,0.67,216421.55,3.53
1179991.01,19.27,0.67,216419.54,3.53
1180011.94,19.27,0.67,216516.86,3.54
1180011.94,19.27,0.67,216445.1,3.53
1180028.46,19.27,0.68,216438.5,3.53
1179861.43,19.27,0.68,216429.55,3.53
1179861.43,19.27,0.68,216360.61,3.53
1179861.43,19.27,0.68,216291.67,3.53
1179861.43,19.27,0.68,216222.73,3.53
1180018.28,19.28,0.68,216477.11,3.54
1180046.7,19.28,0.68,216487.75,3.54
1180063.22,19.28,0.68,216481.15,3.54
1179903.68,19.28,0.68,216487.32,3.54
1179736.65,19.28,0.68,216410.18,3.54
1179975.4,19.29,0.69,216501.26,3.54
1179815.86,19.29,0.69,216507.44,3.54
1179656.31,19.29,0.69,216503.87,3.54
1179684.73,19.29,0.69,216487.67,3.54
1179525.19,19.29,0.69,216493.85,3.54
1179365.64,19.29,0.69,216490.73,3.54
1179382.16,19.29,0.69,216476.71,3.54
1179539.02,19.3,0.7,216460.85,3.54
1179379.47,19.3,0.7,216464.11,3.54
1180522.36,19.31,0.72,217335.12,3.56
1180679.22,19.32,0.72,217576.1,3.56
1180941.93,19.32,0.73,217297.98,3.56
1180782.39,19.33,0.73,217295.04,3.56
1180803.32,19.33,0.73,217392.36,3.56
1180824.25,19.33,0.73,217489.68,3.56
1180657.22,19.33,0.73,217412.54,3.56
1180669.12,19.33,0.74,217404.32,3.56
1180466.46,19.33,0.74,217380.33,3.56
1180696.51,19.34,0.74,217629.97,3.56
1180536.97,19.34,0.74,217631.05,3.57
1180377.42,19.34,0.74,217627.49,3.57
1180398.35,19.34,0.75,217724.82,3.57
1180238.81,19.34,0.75,217711.16,3.57
1180603.9,19.35,0.75,217714.9,3.57
1180849.08,19.36,0.76,217710.49,3.57
1180689.54,19.36,0.76,217713.75,3.57
1180529.99,19.36,0.76,217717.01,3.57
1180811.33,19.36,0.77,217714.91,3.57
1180651.78,19.36,0.77,217716.0,3.57
1180670.13,19.37,0.77,217729.27,3.57
1180932.04,19.37,0.78,217508.45,3.57
1180765.01,19.38,0.78,217430.97,3.57
1180778.23,19.38,0.78,217509.27,3.57
1180611.2,19.38,0.78,217431.79,3.57
1180976.29,19.38,0.79,217428.65,3.57
1180783.7,19.38,0.79,217406.52,3.57
1180771.15,19.38,0.79,217295.59,3.57
1180771.15,19.38,0.79,217268.26,3.57
1180604.12,19.39,0.79,217246.76,3.57
1180637.17,19.39,0.79,217258.79,3.57
1180470.13,19.39,0.79,217181.29,3.57
1180310.59,19.39,0.79,217187.47,3.57
1180315.77,19.39,0.79,216748.33,3.56
1180560.9,19.4,0.8,216567.66,3.56
1180864.5,19.4,0.8,217464.67,3.57
1180704.95,19.4,0.8,217470.85,3.57
1180966.94,19.41,0.81,217566.19,3.58
1180995.36,19.41,0.81,217576.83,3.58
1180828.33,19.41,0.81,217499.33,3.58
1180985.18,19.42,0.82,217536.95,3.58
1181018.23,19.42,0.82,217548.98,3.58
1181018.23,19.42,0.82,217478.44,3.58
1181438.21,19.42,0.83,217537.3,3.58
1181789.59,19.43,0.83,217614.77,3.58
1182154.68,19.44,0.84,217618.51,3.58
1182183.1,19.44,0.84,217629.15,3.58
1182016.06,19.44,0.84,217633.66,3.58
1182036.99,19.44,0.85,217730.98,3.58
1182053.52,19.44,0.85,217724.39,3.58
1182053.52,19.44,0.85,217651.04,3.58
1181893.97,19.45,0.85,217657.22,3.58
1181922.39,19.45,0.85,217641.02,3.58
1181922.39,19.45,0.85,217571.13,3.58
1181922.39,19.45,0.85,217501.24,3.58
1181950.81,19.45,0.85,217511.88,3.58
1182315.9,19.46,0.86,217515.62,3.58
1182156.35,19.46,0.86,217516.71,3.58
1181996.81,19.46,0.86,217512.28,3.58
1181837.26,19.46,0.86,217508.72,3.58
1181994.12,19.47,0.87,217546.33,3.58
1181827.09,19.47,0.87,217468.84,3.58
1181848.02,19.47,0.87,217566.16,3.58
1181848.02,19.47,0.87,217543.22,3.58
1181680.98,19.47,0.87,217422.4,3.58
1181511.37,19.47,0.87,217431.58,3.58
1181344.34,19.47,0.87,217371.46,3.58
1181365.27,19.47,0.87,217468.78,3.58
1181854.02,19.48,0.88,217122.89,3.58
1182116.01,19.49,0.89,217118.13,3.58
1182344.36,19.49,0.89,216863.75,3.58
1182606.35,19.5,0.9,216959.09,3.58
1182439.31,19.5,0.9,217135.82,3.58
1182272.28,19.5,0.9,217133.82,3.58
1182534.27,19.51,0.91,217229.16,3.58
1182374.72,19.51,0.91,217232.42,3.58
1182403.14,19.51,0.91,217243.06,3.58
1182424.08,19.51,0.91,217340.38,3.59
1182257.04,19.51,0.91,217318.88,3.59
1182273.57,19.51,0.91,217303.12,3.59
1182518.69,19.52,0.92,217122.44,3.58
1182791.86,19.53,0.93,217127.83,3.58
1182624.83,19.53,0.93,217050.39,3.58
1182859.28,19.53,0.93,216973.52,3.58
1183203.52,19.54,0.94,216964.2,3.58
1183043.97,19.54,0.94,216967.46,3.58
1183072.39,19.54,0.94,216978.1,3.58
1183100.81,19.55,0.94,216988.74,3.59
1183370.89,19.55,0.95,216979.43,3.59
1183399.31,19.56,0.95,216990.07,3.59
1183564.24,19.56,0.96,216989.86,3.59
1183998.77,19.57,0.97,216990.32,3.59
1184015.29,19.57,0.97,216983.72,3.59
1184048.34,19.57,0.97,216995.75,3.59
1184048.34,19.57,0.97,216926.37,3.59
1183850.07,19.57,0.97,216836.61,3.58
1183839.76,19.57,0.97,216758.76,3.58
1183102.44,19.57,0.97,216759.52,3.59
1182942.9,19.57,0.97,216735.63,3.59
1182783.35,19.57,0.97,216727.37,3.59
1182590.76,19.57,0.97,216692.95,3.59
1182423.73,19.57,0.97,216615.63,3.59
1182264.18,19.58,0.97,216612.51,3.59
1182526.17,19.58,0.98,216707.85,3.59
1182359.14,19.58,0.98,216628.23,3.59
1182166.55,19.58,0.98,216905.48,3.59
1182428.54,19.59,0.98,217000.83,3.59
1182261.51,19.59,0.98,216991.88,3.6
1182101.96,19.59,0.98,216995.14,3.6
1182130.38,19.59,0.99,217005.78,3.6
1181937.79,19.59,0.99,216921.46,3.6
1182205.28,19.6,0.99,216926.79,3.6
1182038.25,19.6,0.99,216905.28,3.6
1182283.37,19.61,1.0,216713.48,3.59
1182123.83,19.61,1.0,216719.66,3.59
1181956.8,19.61,1.0,216712.05,3.59
1181811.84,19.61,1.0,216287.21,3.59
1182087.49,19.61,1.01,216285.11,3.59
1181920.46,19.61,1.01,216263.61,3.59
1181953.5,19.61,1.01,216275.64,3.59
1181793.96,19.62,1.01,216281.82,3.59
1182039.09,19.62,1.02,216101.15,3.59
1181879.54,19.62,1.02,216104.41,3.59
1182211.59,19.63,1.03,216063.32,3.59
1182232.52,19.63,1.03,216160.64,3.59
1182253.45,19.64,1.03,216257.96,3.59
1182508.7,19.64,1.04,216250.55,3.59
1182781.87,19.65,1.04,216255.87,3.59
1182781.87,19.65,1.04,216186.93,3.59
1183201.86,19.66,1.05,216245.79,3.59
1183475.03,19.66,1.06,216251.17,3.59
1183874.16,19.67,1.06,216282.85,3.59
1183714.61,19.67,1.06,216283.94,3.59
1183719.8,19.67,1.07,215844.79,3.59
1183552.76,19.67,1.07,215842.79,3.59
1183573.7,19.68,1.07,215986.74,3.59
1183606.74,19.68,1.07,215998.77,3.59
1183879.91,19.68,1.08,216004.1,3.59
1183710.3,19.68,1.08,216003.98,3.59
1183550.75,19.68,1.08,216000.15,3.59
1183571.68,19.69,1.08,216097.48,3.59
1183406.46,19.69,1.08,216093.91,3.59
1183246.91,19.69,1.08,216115.35,3.6
1183487.04,19.69,1.09,216090.77,3.6
1183327.49,19.69,1.09,216094.03,3.6
1183348.43,19.7,1.09,216191.35,3.6
1183181.39,19.7,1.09,216113.86,3.6
1183454.56,19.7,1.1,216119.18,3.6
1183471.09,19.7,1.1,216112.59,3.6
1183492.02,19.71,1.1,216209.91,3.6
1183497.2,19.71,1.1,215770.77,3.59
1183513.72,19.71,1.1,215756.74,3.59
1183354.18,19.71,1.1,215762.92,3.59
1183194.63,19.71,1.1,215766.18,3.59
1183629.16,19.72,1.11,215766.64,3.59
1183295.1,19.72,1.11,215685.01,3.59
1183311.62,19.72,1.11,215653.35,3.59
1183340.04,19.72,1.12,215663.99,3.59
1183373.08,19.72,1.12,215676.02,3.59
1183213.54,19.72,1.12,215677.11,3.6
1183046.5,19.73,1.12,215655.6,3.6
1183064.85,19.73,1.12,215668.87,3.6
1182872.26,19.73,1.12,215639.25,3.6
1182712.72,19.73,1.12,215634.58,3.6
1182553.17,19.73,1.12,215630.16,3.6
1182558.36,19.73,1.13,215191.01,3.59
1182890.4,19.74,1.13,215164.0,3.59
1182911.33,19.74,1.13,215261.32,3.59
1182744.3,19.74,1.13,215183.84,3.59
1182584.76,19.74,1.14,215182.94,3.59
1182584.76,19.74,1.14,215155.61,3.59
1182417.72,19.74,1.14,215146.66,3.59
1182549.16,19.75,1.14,215179.69,3.59
1182549.16,19.75,1.14,215139.8,3.59
1183082.39,19.76,1.15,215204.77,3.59
1182748.33,19.76,1.15,215123.14,3.59
1183168.31,19.77,1.16,215182.0,3.6
1183430.3,19.77,1.17,215277.35,3.6
1183270.76,19.78,1.17,215278.43,3.6
1183299.18,19.78,1.17,215289.07,3.6
1183132.14,19.78,1.17,215211.77,3.6
1182972.6,19.78,1.17,215208.21,3.6
1182813.05,19.78,1.17,215204.65,3.6
1182818.24,19.78,1.17,214765.51,3.59
1183590.41,19.8,1.19,215306.52,3.6
1183618.83,19.8,1.19,215317.16,3.6
1183829.03,19.8,1.2,215241.37,3.6
1184194.12,19.81,1.2,215245.11,3.6
1184034.58,19.81,1.2,215246.19,3.6
1184067.62,19.81,1.2,215258.22,3.6
1184067.62,19.81,1.2,215235.86,3.6
1184329.61,19.82,1.21,215331.2,3.6
1184324.99,19.82,1.21,215303.88,3.6
1184341.51,19.82,1.21,215297.28,3.6
1184174.48,19.82,1.21,215275.78,3.6
1184594.46,19.83,1.22,215334.64,3.6
1184434.92,19.83,1.22,215337.9,3.61
1184267.88,19.83,1.22,215333.77,3.61
1184108.34,19.83,1.22,215339.95,3.61
1184108.34,19.83,1.22,215312.62,3.61
1184440.38,19.84,1.23,215271.53,3.61
1184702.37,19.84,1.23,215257.77,3.61
1184535.34,19.85,1.23,215248.82,3.61
1184535.34,19.85,1.23,215228.56,3.61
1184690.2,19.85,1.24,215231.35,3.61
1184711.13,19.85,1.24,215328.68,3.61
1183158.01,19.85,1.24,215269.85,3.61
1182990.98,19.85,1.24,215251.11,3.61
1182798.39,19.85,1.24,215224.14,3.61
1182638.85,19.85,1.24,215221.02,3.61
1182770.73,19.86,1.25,215188.24,3.61
1182603.7,19.86,1.25,215110.76,3.61
1182866.8,19.87,1.25,215119.09,3.61
1182707.25,19.87,1.26,215120.17,3.61
1182547.71,19.87,1.26,215123.44,3.61
1182388.16,19.87,1.26,215120.32,3.61
1182228.62,19.87,1.26,215123.58,3.62
1182036.03,19.87,1.26,215093.96,3.62
1182470.55,19.88,1.27,215094.41,3.62
1182311.01,19.88,1.27,215091.29,3.62
1182118.42,19.88,1.27,215073.71,3.62
1182146.84,19.88,1.27,215084.35,3.62
1182167.77,19.88,1.27,215782.95,3.63
1182407.89,19.89,1.28,215755.27,3.63
1182209.62,19.89,1.28,215715.76,3.63
1182039.62,19.89,1.28,215721.09,3.63
1181880.08,19.89,1.28,215727.27,3.63
1181720.53,19.89,1.28,215722.84,3.63
1181753.58,19.89,1.28,215734.87,3.63
1182000.59,19.9,1.29,215659.24,3.63
1182262.58,19.9,1.29,215960.78,3.64
1182410.98,19.91,1.3,215942.55,3.64
1182410.98,19.91,1.3,215873.61,3.63
1182218.39,19.91,1.3,215929.59,3.64
1182058.85,19.91,1.3,215935.77,3.64
1182064.03,19.91,1.3,215496.63,3.63
1182304.16,19.92,1.31,215463.6,3.63
1182137.12,19.92,1.31,215468.11,3.63
1181971.9,19.92,1.31,215469.19,3.63
1181812.35,19.92,1.31,215475.37,3.63
1181833.28,19.92,1.31,215572.69,3.63
1181666.25,19.92,1.31,215568.21,3.63
1180158.57,19.92,1.31,215509.38,3.64
1179721.36,19.92,1.31,214975.81,3.63
1179561.82,19.92,1.31,214979.07,3.63
1179932.54,19.93,1.32,214568.12,3.62
1179765.5,19.93,1.32,214490.68,3.62
1179605.96,19.93,1.32,214496.86,3.62
1179879.13,19.94,1.32,214502.24,3.62
1179712.1,19.94,1.32,214865.6,3.63
1179740.52,19.94,1.33,214876.24,3.63
1179905.44,19.94,1.33,214876.03,3.63
1180150.57,19.95,1.34,214695.36,3.63
1179983.54,19.95,1.34,215042.74,3.64
1179816.51,19.95,1.34,215047.25,3.64
1179656.96,19.95,1.34,215048.34,3.64
1179464.37,19.95,1.34,214966.05,3.64
1179304.82,19.95,1.34,214965.16,3.64
1179145.28,19.96,1.34,214966.24,3.64
1178985.73,19.96,1.34,214969.51,3.64
1179247.72,19.96,1.35,215271.05,3.64
1179055.13,19.96,1.35,215230.83,3.64
1179055.13,19.96,1.35,215160.94,3.64
1178862.54,19.96,1.35,215137.31,3.64
1178862.54,19.96,1.35,215137.31,3.64
1178695.51,19.96,1.35,215059.87,3.64
1178528.48,19.96,1.35,214982.38,3.64
1178528.48,19.96,1.35,214955.18,3.64
1178368.93,19.96,1.35,214956.26,3.64
1178788.91,19.97,1.36,216102.89,3.66
1178629.37,19.97,1.36,216109.07,3.66
1178436.78,19.97,1.36,216356.13,3.67
1178453.3,19.97,1.36,216342.11,3.67
1178453.3,19.97,1.36,216273.17,3.67
1178723.38,19.98,1.37,216516.67,3.67
1178556.35,19.98,1.37,216439.18,3.67
1178568.25,19.98,1.37,216436.15,3.67
1178568.25,19.98,1.37,216365.61,3.67
1178408.7,19.98,1.37,216362.67,3.67
1178850.95,19.99,1.38,216354.42,3.67
1178691.4,19.99,1.38,216351.48,3.67
1178712.33,20.0,1.38,216345.31,3.67
1178545.3,20.0,1.38,216336.37,3.67
1178815.38,20.0,1.39,216708.27,3.68
1178843.8,20.01,1.39,216718.91,3.68
1178864.73,20.01,1.39,216898.24,3.68
1179029.66,20.01,1.4,216898.03,3.68
1178862.63,20.01,1.4,216820.54,3.68
1179287.09,20.02,1.41,216824.0,3.68
1179120.06,20.02,1.41,216746.56,3.68
1178921.79,20.02,1.41,216641.04,3.68
1178754.76,20.02,1.41,216639.04,3.68
1178587.72,20.02,1.41,216566.36,3.68
1178860.89,20.03,1.41,216571.68,3.68
1179134.06,20.04,1.42,216577.01,3.68
1178974.52,20.04,1.42,216562.53,3.68
1178807.49,20.04,1.42,216485.38,3.68
1178614.89,20.04,1.42,216461.36,3.68
1178422.3,20.04,1.42,216424.05,3.68
1178787.4,20.05,1.43,216420.92,3.68
1178620.36,20.05,1.43,216403.15,3.68
1178648.78,20.05,1.43,216413.79,3.68
1178669.71,20.05,1.43,216511.11,3.68
1178502.68,20.05,1.43,216433.62,3.68
1178304.41,20.05,1.44,216382.76,3.68
1178137.38,20.05,1.44,216380.75,3.68
1178158.31,20.06,1.44,216524.71,3.69
1177619.64,20.05,1.43,216000.49,3.68
1177460.1,20.05,1.43,215999.6,3.68
1177722.08,20.06,1.44,216094.94,3.68
1177562.54,20.06,1.44,216092.0,3.68
1177562.54,20.06,1.44,216022.61,3.68
1178705.43,20.08,1.46,216893.62,3.69
1178512.84,20.08,1.46,216873.27,3.69
1178545.89,20.08,1.46,216885.31,3.69
1178378.86,20.08,1.46,216876.36,3.7
1178411.9,20.08,1.46,216888.39,3.7
1178407.27,20.08,1.46,216868.8,3.7
1178240.24,20.08,1.46,216866.79,3.7
1178674.77,20.09,1.47,216850.79,3.7
1178507.74,20.09,1.47,216773.3,3.7
1178526.09,20.09,1.47,216786.56,3.7
1178547.02,20.1,1.48,216780.4,3.7
1178547.02,20.1,1.48,216711.01,3.7
1178265.07,20.1,1.48,216405.13,3.69
1178584.82,20.1,1.48,216424.52,3.69
1178425.27,20.1,1.48,216421.4,3.69
1178258.24,20.1,1.48,216666.37,3.7
1178274.76,20.1,1.48,216652.34,3.7
1178639.85,20.11,1.49,216637.34,3.7
1178480.31,20.11,1.49,216640.6,3.7
1178313.27,20.11,1.49,216563.11,3.7
1178329.8,20.11,1.49,216549.09,3.7
1178162.76,20.11,1.49,216540.14,3.7
1177995.73,20.11,1.49,216518.64,3.7
1178024.15,20.12,1.5,216529.28,3.7
1177825.88,20.12,1.5,216424.34,3.7
1177858.93,20.12,1.5,216436.37,3.7
1177691.89,20.12,1.5,216359.07,3.7
1177526.67,20.12,1.5,216365.25,3.7
1177367.12,20.12,1.5,216366.33,3.7
1177607.25,20.13,1.5,216339.47,3.7
1177447.7,20.13,1.51,216338.57,3.7
1177280.67,20.13,1.51,216451.29,3.7
1177301.6,20.13,1.51,216548.61,3.7
1177330.02,20.13,1.51,216559.25,3.7
1177170.48,20.13,1.51,216558.36,3.7
1177170.48,20.13,1.51,216603.51,3.7
1177203.52,20.13,1.51,216615.54,3.7
1177036.49,20.13,1.51,216613.53,3.71
1177471.02,20.14,1.52,216613.99,3.71
1177303.98,20.14,1.52,216536.55,3.7
1177144.44,20.14,1.52,216542.73,3.71
1177165.37,20.15,1.52,216527.73,3.71
1177297.25,20.15,1.53,216553.42,3.71
1177313.78,20.15,1.53,216539.4,3.71
1177146.74,20.15,1.53,216517.9,3.71
1176954.15,20.15,1.53,216494.99,3.71
1177196.76,20.16,1.54,217094.66,3.72
1177182.07,20.16,1.54,217073.11,3.72
1177427.2,20.17,1.55,216892.44,3.72
1177234.6,20.17,1.55,216865.18,3.72
1178047.69,20.19,1.56,217683.47,3.73
1177888.15,20.19,1.56,217673.56,3.73
1177893.33,20.19,1.57,217234.41,3.72
1177893.33,20.19,1.57,217207.08,3.72
1177717.26,20.19,1.57,217183.76,3.72
1177550.23,20.19,1.57,217166.27,3.72
1177357.64,20.19,1.57,217126.18,3.72
1177619.63,20.2,1.57,217112.41,3.72
1177460.08,20.2,1.58,217107.98,3.72
1177267.49,20.2,1.58,217079.99,3.72
1177267.49,20.2,1.58,217052.24,3.72
1177100.46,20.2,1.58,217034.74,3.72
1177095.83,20.2,1.58,217014.83,3.72
1177530.36,20.21,1.59,217015.29,3.72
1177363.33,20.21,1.59,217013.28,3.73
1177196.3,20.21,1.59,216965.27,3.73
1177036.75,20.21,1.59,216966.36,3.73
1176869.72,20.21,1.59,216893.68,3.73
1177108.48,20.22,1.59,217318.65,3.73
1176948.93,20.22,1.59,217317.76,3.73
1176781.9,20.22,1.59,217240.26,3.73
1177027.03,20.23,1.6,217048.46,3.73
1176859.99,20.23,1.6,216971.16,3.73
1176845.3,20.23,1.61,216948.29,3.73
1176652.71,20.23,1.61,216921.02,3.73
1176493.16,20.23,1.61,216924.29,3.73
1176300.18,20.23,1.61,216145.58,3.72
1176734.71,20.24,1.61,216146.03,3.72
1176734.71,20.24,1.61,216073.73,3.72
1176567.68,20.24,1.62,215996.59,3.72
1176596.1,20.24,1.62,216007.23,3.72
1176403.51,20.24,1.62,215972.1,3.72
1176236.48,20.24,1.62,215954.6,3.72
1176587.85,20.25,1.63,216032.08,3.72
1176422.62,20.25,1.63,216038.25,3.72
1176422.62,20.25,1.63,215968.87,3.72
1176230.03,20.25,1.63,215945.14,3.72
1176219.73,20.26,1.63,215804.48,3.72
1176466.74,20.26,1.64,215728.85,3.72
1179673.66,20.32,1.69,218776.38,3.77
1180035.0,20.32,1.7,218702.37,3.77
1180386.37,20.33,1.7,218627.68,3.77
1180391.56,20.33,1.71,218188.54,3.76
1180631.68,20.34,1.71,218158.34,3.76
1180464.65,20.34,1.71,218156.33,3.76
1180485.58,20.34,1.72,218141.34,3.76
1180725.71,20.35,1.72,218113.56,3.76
1181007.04,20.36,1.73,218111.47,3.76
1180847.49,20.36,1.73,218114.73,3.76
1180687.95,20.36,1.73,218104.81,3.76
1180495.36,20.36,1.73,218073.49,3.76
1180937.6,20.37,1.74,218056.92,3.76
1182080.5,20.39,1.76,218927.93,3.78
1181920.95,20.39,1.76,218923.5,3.78
1180413.27,20.39,1.76,218864.67,3.78
1180253.72,20.39,1.76,218861.73,3.78
1180282.14,20.39,1.77,218872.37,3.78
1180298.67,20.39,1.77,218862.15,3.78
1180139.12,20.39,1.77,218879.17,3.78
1180384.25,20.4,1.78,218698.5,3.78
1180811.85,20.41,1.78,218624.27,3.78
1180976.78,20.41,1.79,218624.07,3.78
1180809.75,20.41,1.79,218544.45,3.78
1181038.1,20.42,1.8,218290.07,3.77
1180845.51,20.42,1.8,218354.07,3.78
1181002.36,20.43,1.8,218391.68,3.78
