ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
168,906,197990,6212,197990
169,908,198990,6212,198990
170,916,199990,6212,199990
171,924,200460,6212,200460
172,932,201460,6212,201460
173,934,201930,6212,201930
174,936,202090,6212,202090
175,940,203090,6212,203090
176,948,203090,6212,203090
177,956,211090,6212,211090
178,958,212090,6212,212090
178,958,213090,6212,213090
179,966,213640,6212,213640
179,966,214640,6212,214640
180,968,215640,6212,215640
181,970,216640,6212,216640
182,974,217230,6212,217230
183,976,218230,6212,218230
184,978,219230,6212,219230
185,980,220230,6212,220230
186,982,221230,6212,221230
187,984,221550,6212,221550
188,986,222550,6212,222550
189,988,223550,6212,223550
189,988,224550,6212,224550
190,996,225550,6212,225550
191,998,227550,6212,227550
192,1000,228200,6212,228200
193,1008,229010,6212,229010
194,1016,229240,6212,229240
194,1016,229890,6212,229890
195,1024,230890,6212,230890
196,1032,231890,6212,231890
197,1040,232350,6212,232350
198,1048,232350,6212,232350
198,1048,233350,6212,233350
199,1056,234350,6212,234350
200,1058,235160,6212,235160
201,1060,236160,6212,236160
201,1060,237160,6212,237160
202,1062,237480,6212,237480
203,1070,237800,6212,237800
203,1070,239800,6212,239800
204,1072,239800,6212,239800
205,1080,240800,6212,240800
205,1080,241800,6212,241800
206,1082,242800,6212,242800
207,1084,243800,6212,243800
207,1084,244450,6212,244450
208,1092,252450,6212,252450
209,1100,253450,6212,253450
210,1102,254450,6212,254450
211,1110,255450,6212,255450
212,1118,255450,6212,255450
212,1118,256260,6212,256260
213,1126,257260,6212,257260
214,1134,257260,6212,257260
214,1134,258070,6212,258070
215,1142,259070,6212,259070
216,1144,259660,6212,259660
217,1146,260660,6212,260660
218,1148,261660,6212,261660
218,1148,262660,6212,262660
219,1156,263130,6212,263130
219,1156,263780,6212,263780
219,1156,264590,6212,264590
220,1158,265590,6212,265590
221,1160,266590,6212,266590
222,1168,267590,6212,267590
223,1176,275590,6212,275590
224,1184,276590,6212,276590
225,1192,277590,6212,277590
225,1192,278590,6212,278590
226,1200,279400,6212,279400
227,1208,280400,6212,280400
228,1210,280870,6212,280870
229,1218,281870,6212,281870
230,1226,281870,6212,281870
231,1228,282870,6212,282870
232,1230,283870,6212,283870
233,1238,284870,6212,284870
234,1246,284870,6212,284870
235,1248,284870,6212,284870
236,1249,284920,6212,284920
237,1253,285920,6212,285920
238,1261,286920,6212,286920
238,1261,287240,6212,287240
239,1263,288240,6212,288240
240,1271,289240,6212,289240
241,1279,290240,6212,290240
242,1281,290240,6212,290240
242,1281,291050,6212,291050
243,1289,291050,6212,291050
244,1291,291210,6212,291210
245,1299,292210,6212,292210
245,1299,292210,6212,292210
246,1301,293020,6212,293020
247,1303,293020,6212,293020
248,1311,301020,6212,301020
249,1319,305020,6212,305020
250,1327,306020,6212,306020
250,1327,306020,6212,306020
251,1335,306670,6212,306670
251,1335,308670,6212,308670
252,1343,308670,6212,308670
252,1343,309480,6212,309480
253,1345,310480,6212,310480
254,1347,310480,6212,310480
255,1355,311480,6212,311480
256,1357,311480,6212,311480
257,1359,312480,6212,312480
257,1359,313130,6212,313130
258,1361,314130,6212,314130
259,1363,315130,6212,315130
260,1365,316130,6212,316130
261,1367,316450,6212,316450
262,1369,316920,6212,316920
263,1371,317570,6212,317570
264,1379,317800,6212,317800
265,1387,318270,6212,318270
266,1395,319270,6212,319270
267,1403,323270,6212,323270
268,1411,324080,6212,324080
269,1413,324550,6212,324550
270,1421,326550,6212,326550
270,1421,327550,6212,327550
271,1429,329550,6212,329550
272,1431,330200,6212,330200
273,1439,330850,6212,330850
274,1441,331660,6212,331660
275,1443,332660,6212,332660
275,1443,333130,6212,333130
276,1451,334130,6212,334130
277,1459,334600,6212,334600
278,1467,335600,6212,335600
279,1475,339600,6212,339600
280,1477,339920,6212,339920
281,1479,340920,6212,340920
282,1481,341140,6212,341140
283,1489,342140,6212,342140
283,1489,342140,6212,342140
284,1497,343140,6212,343140
285,1505,343140,6212,343140
286,1513,344140,6212,344140
287,1515,344610,6212,344610
288,1523,345610,6212,345610
289,1527,346080,6212,346080
289,1527,347080,6212,347080
290,1535,347080,6212,347080
291,1543,348080,6212,348080
292,1551,349080,6212,349080
293,1553,349560,6212,349560
293,1553,349880,6212,349880
