name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0936-openb-node-0614,,T4,104,2,549755813888,15109,4,54848,549755813888,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0937-openb-node-0900,,G2,96,8,412316860416,20000,10,6996,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0938-openb-node-1059,,P100,16,2,128849018880,16280,2,3038,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0939-openb-node-0247,,V100M32,48,4,395136991232,32510,7,1296,395136991232,0,0,0,0,80,2600,190,6176,0,0,0,0,0,0,0,0,270,8776
0940-openb-node-1120,,T4,104,2,549755813888,15109,5,12948,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0941-openb-node-0151,,G2,96,8,412316860416,20000,9,880,412316860416,0,0,70,1400,0,0,0,0,410,8200,0,0,1000,20000,890,17800,2370,47400
0942-openb-node-0453,,T4,104,2,549755813888,15109,2,97696,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0943-openb-node-1032,,A10,128,1,1099511627776,22731,3,92200,1099511627776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0944-openb-node-0999,,G2,96,8,412316860416,20000,10,2078,412316860416,190,3800,0,0,0,0,70,1400,0,0,350,7000,0,0,190,3800,800,16000
0945-openb-node-0528,,T4,104,2,549755813888,15109,5,51940,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0946-openb-node-0642,,T4,104,2,549755813888,15109,5,28292,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0947-openb-node-0637,,T4,104,2,549755813888,15109,7,23292,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0948-openb-node-1197,,T4,104,2,549755813888,15109,3,93696,549755813888,190,2870,30,453,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0949-openb-node-0687,,G2,96,8,412316860416,20000,6,1148,412316860416,0,0,680,13600,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,5870,117400
0950-openb-node-1025,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0951-openb-node-0022,,G3,128,8,824633720832,30000,12,18430,824633720832,0,0,0,0,0,0,0,0,190,5700,0,0,80,2400,30,900,300,9000
0952-openb-node-0051,,P100,16,2,128849018880,16280,2,700,128849018880,0,0,680,11070,0,0,0,0,0,0,0,0,0,0,0,0,680,11070
0953-openb-node-0972,,G2,96,8,412316860416,20000,8,592,412316860416,0,0,0,0,0,0,350,7000,0,0,0,0,540,10800,0,0,890,17800
0954-openb-node-0676,,G2,96,8,412316860416,20000,11,34,412316860416,0,0,0,0,540,10800,0,0,220,4400,780,15600,190,3800,190,3800,1920,38400
0955-openb-node-1044,,G3,128,8,824633720832,30000,11,4370,824633720832,0,0,0,0,0,0,0,0,30,900,0,0,0,0,160,4800,190,5700
0956-openb-node-1088,,T4,104,2,549755813888,15109,7,2400,549755813888,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0957-openb-node-0124,,T4,104,2,549755813888,15109,6,28184,549755813888,30,453,60,906,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0958-openb-node-0672,,T4,104,2,549755813888,15109,6,29648,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0959-openb-node-0052,,G2,96,8,412316860416,20000,9,3030,412316860416,0,0,0,0,0,0,0,0,680,13600,0,0,0,0,530,10600,1210,24200
0960-openb-node-0313,,G3,128,8,824633720832,30000,9,19732,824633720832,0,0,0,0,0,0,0,0,0,0,60,1800,0,0,0,0,60,1800
0961-openb-node-1104,,G2,96,8,412316860416,20000,10,2428,412316860416,0,0,0,0,190,3800,0,0,190,3800,190,3800,1000,20000,530,10600,2100,42000
0962-openb-node-0874,,T4,104,2,549755813888,15109,8,23696,549755813888,30,453,10,151,0,0,0,0,0,0,0,0,0,0,0,0,40,604
0963-openb-node-0933,,G2,96,8,412316860416,20000,11,728,412316860416,0,0,0,0,0,0,90,1800,520,10400,0,0,0,0,190,3800,800,16000
0964-openb-node-1160,,T4,104,2,549755813888,15109,4,47400,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0965-openb-node-0388,,T4,104,2,549755813888,15109,5,24792,549755813888,0,0,210,3172,0,0,0,0,0,0,0,0,0,0,0,0,210,3172
0966-openb-node-0006,,P100,64,2,274877906944,16280,5,5648,274877906944,0,0,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,80,1302
