ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
859664.09,14.13,0.79,336751.21,5.54
859515.62,14.13,0.79,336638.1,5.53
859367.14,14.13,0.79,336623.07,5.54
859367.14,14.13,0.79,336623.07,5.54
860049.6,14.14,0.8,336791.89,5.54
860334.96,14.15,0.81,336879.18,5.54
860186.49,14.15,0.8,336767.31,5.54
860186.49,14.15,0.8,336767.31,5.54
860364.89,14.15,0.81,337154.78,5.55
860216.42,14.15,0.81,337138.5,5.55
860009.55,14.15,0.81,337009.35,5.54
858942.07,14.15,0.81,336791.57,5.55
857874.6,14.15,0.81,336573.79,5.55
857577.73,14.15,0.8,336433.44,5.55
856855.97,14.14,0.79,335686.55,5.54
856707.5,14.14,0.79,335573.44,5.54
856559.03,14.14,0.79,335558.4,5.54
856333.76,14.14,0.79,335302.19,5.53
856185.29,14.13,0.79,335259.53,5.53
856470.65,14.14,0.8,335346.81,5.54
856083.74,14.14,0.79,334891.82,5.53
855786.8,14.14,0.79,334763.68,5.53
855412.97,14.13,0.79,334564.18,5.53
855264.49,14.13,0.79,334478.7,5.53
855116.02,14.13,0.79,334366.84,5.53
855156.26,14.13,0.79,334594.51,5.53
855205.21,14.14,0.79,334158.84,5.52
855056.74,14.14,0.79,334142.56,5.52
854908.27,14.14,0.79,334030.7,5.52
854846.78,14.14,0.79,333873.85,5.52
854262.75,14.13,0.78,333289.82,5.51
854114.28,14.13,0.78,333273.54,5.51
854114.28,14.13,0.78,333273.54,5.51
854154.51,14.13,0.79,333353.65,5.51
854448.06,14.14,0.79,333645.53,5.52
854308.3,14.14,0.79,333017.15,5.51
854348.54,14.14,0.8,333093.02,5.51
854526.94,14.14,0.8,333315.43,5.52
854081.45,14.14,0.79,332880.55,5.51
853932.98,14.14,0.79,332768.14,5.51
853726.11,14.13,0.79,332640.02,5.51
853577.64,14.13,0.79,332624.29,5.51
853429.17,14.13,0.79,332511.18,5.51
853178.98,14.13,0.79,332178.51,5.5
853219.21,14.13,0.79,332258.62,5.5
853070.74,14.13,0.79,332243.59,5.51
853110.97,14.14,0.79,332362.03,5.51
852952.27,14.14,0.79,332208.41,5.51
852992.5,14.14,0.79,332288.53,5.51
852620.48,14.13,0.79,332041.75,5.5
852472.01,14.13,0.79,331929.89,5.5
852323.54,14.13,0.79,331913.61,5.5
852636.66,14.14,0.8,331700.7,5.5
852488.19,14.14,0.8,331674.16,5.5
852488.19,14.14,0.8,331674.16,5.5
851785.13,14.13,0.79,330926.03,5.49
851785.13,14.13,0.79,330926.03,5.49
851785.13,14.13,0.79,330926.03,5.49
852017.23,14.14,0.79,331280.35,5.5
851868.76,14.14,0.79,331178.74,5.5
852154.12,14.14,0.8,331250.9,5.5
852467.24,14.15,0.81,331049.86,5.49
851399.76,14.15,0.81,330832.08,5.5
851109.19,14.15,0.8,330510.23,5.49
850960.72,14.15,0.8,330479.58,5.49
851000.95,14.15,0.81,330772.56,5.5
851000.95,14.15,0.81,330772.56,5.5
850852.48,14.15,0.8,330669.22,5.5
850555.53,14.15,0.8,330541.07,5.5
850181.7,14.14,0.8,330291.41,5.49
850230.65,14.15,0.8,329855.74,5.49
850634.2,14.15,0.81,330122.97,5.49
850486.62,14.15,0.81,330043.05,5.49
850799.74,14.16,0.82,329842.01,5.49
850096.68,14.15,0.81,329082.01,5.48
850928.29,14.16,0.82,329387.47,5.48
850426.74,14.16,0.81,328840.97,5.47
850278.27,14.16,0.81,328727.87,5.47
850327.22,14.16,0.82,328292.19,5.47
850178.75,14.16,0.82,328277.16,5.47
850030.28,14.16,0.82,328164.05,5.47
849327.22,14.15,0.81,327404.05,5.45
849573.81,14.16,0.81,327553.56,5.46
849694.1,14.16,0.81,327591.88,5.46
849979.46,14.16,0.82,327679.17,5.46
849830.99,14.16,0.82,327664.13,5.46
849871.23,14.17,0.82,328060.39,5.47
849911.46,14.17,0.83,328140.5,5.47
849762.99,14.17,0.83,328113.97,5.47
849318.13,14.16,0.82,327651.28,5.46
849092.86,14.16,0.82,327431.17,5.46
848944.39,14.16,0.82,327329.56,5.46
848795.92,14.16,0.82,327216.45,5.46
848647.45,14.16,0.82,327201.41,5.46
848498.98,14.16,0.82,327174.88,5.46
848350.51,14.16,0.82,327073.27,5.46
848202.04,14.16,0.82,326960.16,5.46
848202.04,14.16,0.82,326960.16,5.46
848053.57,14.16,0.82,326945.12,5.46
848231.96,14.16,0.82,327169.12,5.46
847164.49,14.16,0.82,326951.34,5.47
847204.72,14.17,0.82,327031.46,5.47
847490.08,14.17,0.83,327316.48,5.47
847490.08,14.17,0.83,327277.98,5.47
847341.61,14.17,0.83,327205.53,5.47
847193.14,14.17,0.83,327149.84,5.47
847233.37,14.18,0.83,327229.95,5.47
846859.54,14.17,0.83,326980.29,5.47
846711.07,14.17,0.83,326937.63,5.47
846562.6,14.17,0.83,326852.14,5.47
846414.13,14.17,0.83,326733.19,5.47
846454.36,14.17,0.83,326851.63,5.47
846305.89,14.17,0.83,326836.59,5.47
846157.42,14.17,0.83,326793.93,5.47
846008.95,14.17,0.83,326708.45,5.47
846008.95,14.17,0.83,326708.45,5.47
846294.31,14.18,0.83,326795.73,5.47
846472.71,14.18,0.84,327183.2,5.48
846265.84,14.18,0.84,327054.05,5.48
846306.07,14.18,0.84,327134.16,5.48
845238.59,14.18,0.84,326916.39,5.49
844864.76,14.18,0.83,326694.21,5.48
844904.99,14.18,0.84,326812.65,5.49
845190.36,14.19,0.84,326896.74,5.49
844826.52,14.18,0.84,326882.2,5.49
851638.76,14.3,0.95,334664.59,5.62
851341.89,14.29,0.95,334373.86,5.61
851382.12,14.29,0.95,334413.88,5.61
851422.35,14.3,0.95,334493.99,5.62
851462.58,14.3,0.96,334612.43,5.62
851502.82,14.3,0.96,334692.55,5.62
851815.93,14.31,0.97,334491.51,5.62
851667.46,14.31,0.97,334464.97,5.62
851667.46,14.31,0.97,334464.97,5.62
851518.99,14.31,0.97,334363.36,5.62
851559.22,14.31,0.97,334481.8,5.62
851599.45,14.31,0.97,334561.92,5.62
851450.98,14.31,0.97,334535.38,5.62
851165.5,14.31,0.97,334260.51,5.62
851343.9,14.32,0.97,334484.51,5.62
851147.03,14.31,0.97,334365.17,5.62
850988.46,14.31,0.97,334238.83,5.62
850988.46,14.31,0.97,334238.83,5.62
850988.46,14.31,0.97,334238.83,5.62
851028.69,14.31,0.97,334318.94,5.62
851068.92,14.32,0.97,334437.38,5.63
850910.22,14.31,0.97,334282.24,5.62
850950.45,14.32,0.97,334358.11,5.63
851235.81,14.32,0.98,334641.53,5.63
851087.34,14.32,0.98,334539.92,5.63
851087.34,14.32,0.98,334539.92,5.63
850384.28,14.31,0.97,333779.92,5.62
850424.52,14.31,0.97,333860.04,5.62
850276.04,14.31,0.97,333817.38,5.62
849979.1,14.31,0.97,333689.23,5.62
849830.63,14.31,0.97,333603.74,5.62
849682.16,14.31,0.97,333490.81,5.62
849540.03,14.31,0.97,333474.26,5.62
849391.56,14.31,0.97,333459.04,5.62
849094.61,14.31,0.97,333330.9,5.62
849214.91,14.31,0.97,333369.22,5.62
849066.44,14.31,0.97,333256.11,5.62
848917.97,14.31,0.97,333241.07,5.62
849231.08,14.32,0.98,333028.16,5.62
849231.08,14.32,0.98,333028.16,5.62
849516.44,14.33,0.98,333313.19,5.62
849367.97,14.33,0.98,333270.53,5.62
849408.2,14.33,0.99,333350.64,5.62
848814.32,14.33,0.99,333206.76,5.63
848665.85,14.33,0.99,333121.28,5.62
848897.95,14.34,0.99,333475.6,5.63
848607.38,14.33,0.99,333153.75,5.63
848458.91,14.33,0.99,333127.21,5.63
848310.43,14.33,0.99,333025.6,5.63
848098.74,14.33,0.98,332814.36,5.62
847801.79,14.33,0.98,332686.21,5.62
847980.19,14.33,0.99,332904.59,5.63
847754.93,14.33,0.99,332802.5,5.63
847933.33,14.33,0.99,333016.31,5.63
847726.46,14.33,0.99,332895.86,5.63
847766.69,14.33,0.99,332975.97,5.63
847766.69,14.33,0.99,332937.48,5.63
847618.22,14.33,0.99,332825.61,5.63
847903.58,14.34,1.0,333110.64,5.63
847903.58,14.34,1.0,333110.64,5.63
847943.81,14.34,1.0,333190.75,5.64
847569.98,14.34,0.99,332941.08,5.63
846866.92,14.33,0.98,332192.95,5.62
846907.16,14.33,0.99,332311.4,5.62
846758.68,14.33,0.99,332295.11,5.62
847420.56,14.34,1.0,332379.89,5.63
846908.74,14.34,0.99,331874.07,5.62
846948.98,14.34,1.0,331954.19,5.62
846800.5,14.34,1.0,331841.08,5.62
846978.9,14.34,1.0,332065.08,5.62
847157.3,14.35,1.0,332104.03,5.62
847008.83,14.35,1.0,332088.99,5.63
846860.36,14.35,1.0,332046.33,5.63
847038.76,14.35,1.01,332539.97,5.63
846890.29,14.35,1.01,332454.49,5.63
847573.63,14.36,1.02,338791.28,5.74
847622.59,14.37,1.02,338355.61,5.73
847482.83,14.37,1.02,337727.24,5.73
