ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
105,248,213610,6212,213610
106,250,214610,6212,214610
106,250,215090,6212,215090
106,250,215410,6212,215410
106,250,216410,6212,216410
107,252,217410,6212,217410
107,252,218410,6212,218410
108,254,219410,6212,219410
108,254,220410,6212,220410
109,256,221410,6212,221410
109,256,221410,6212,221410
109,256,222410,6212,222410
109,256,223060,6212,223060
110,264,231060,6212,231060
111,266,231870,6212,231870
111,266,232340,6212,232340
111,266,232340,6212,232340
112,268,233340,6212,233340
112,268,234340,6212,234340
113,270,235150,6212,235150
113,270,235620,6212,235620
114,272,236620,6212,236620
114,272,237620,6212,237620
115,274,238620,6212,238620
115,274,239430,6212,239430
115,274,240430,6212,240430
116,276,241430,6212,241430
116,276,242430,6212,242430
116,276,242430,6212,242430
117,278,242900,6212,242900
117,278,243550,6212,243550
117,278,243780,6212,243780
118,280,244590,6212,244590
119,288,252590,6212,252590
119,288,253060,6212,253060
119,288,253870,6212,253870
120,290,254340,6212,254340
120,290,254800,6212,254800
120,290,254800,6212,254800
120,290,255120,6212,255120
120,290,255930,6212,255930
121,292,256740,6212,256740
121,292,257550,6212,257550
122,294,258360,6212,258360
123,296,259360,6212,259360
124,298,260360,6212,260360
124,298,260360,6212,260360
124,298,261360,6212,261360
124,298,262170,6212,262170
125,300,262980,6212,262980
126,302,263980,6212,263980
126,302,264300,6212,264300
126,302,264950,6212,264950
126,302,265170,6212,265170
126,302,265330,6212,265330
126,302,265330,6212,265330
126,302,265330,6212,265330
127,304,266140,6212,266140
127,304,266950,6212,266950
127,304,267110,6212,267110
128,306,267920,6212,267920
128,306,268390,6212,268390
128,306,269390,6212,269390
128,306,269390,6212,269390
128,306,270390,6212,270390
129,308,271200,6212,271200
130,310,272200,6212,272200
131,312,274200,6212,274200
131,312,275200,6212,275200
132,314,276200,6212,276200
132,314,276430,6212,276430
132,314,277430,6212,277430
133,316,279430,6212,279430
134,324,279430,6212,279430
135,326,280430,6212,280430
135,326,281430,6212,281430
136,328,282430,6212,282430
136,328,282430,6212,282430
136,328,282900,6212,282900
137,330,283900,6212,283900
138,332,284710,6212,284710
139,336,288710,6212,288710
139,336,289710,6212,289710
139,336,290300,6212,290300
139,336,290620,6212,290620
140,338,291620,6212,291620
140,338,292620,6212,292620
140,338,292840,6212,292840
141,340,294840,6212,294840
142,342,295490,6212,295490
142,342,295810,6212,295810
142,342,296460,6212,296460
142,342,296690,6212,296690
143,344,297500,6212,297500
143,344,297500,6212,297500
144,346,298500,6212,298500
144,346,298970,6212,298970
144,346,298970,6212,298970
145,348,299780,6212,299780
145,348,300250,6212,300250
145,348,301250,6212,301250
145,348,302060,6212,302060
145,348,303060,6212,303060
146,350,303710,6212,303710
146,350,304520,6212,304520
147,352,305330,6212,305330
148,354,306330,6212,306330
148,354,306980,6212,306980
149,356,307630,6212,307630
149,356,308630,6212,308630
150,358,309630,6212,309630
150,358,310280,6212,310280
150,358,311280,6212,311280
150,358,311280,6212,311280
151,360,312090,6212,312090
152,362,313090,6212,313090
152,362,314090,6212,314090
153,370,314090,6212,314090
154,372,315090,6212,315090
154,372,315410,6212,315410
154,372,316410,6212,316410
154,372,316410,6212,316410
154,372,317220,6212,317220
154,372,317220,6212,317220
155,374,318220,6212,318220
155,374,319220,6212,319220
156,376,319690,6212,319690
157,378,320690,6212,320690
157,378,320920,6212,320920
157,378,320920,6212,320920
157,378,321240,6212,321240
157,378,321710,6212,321710
157,378,322030,6212,322030
157,378,323030,6212,323030
157,378,323840,6212,323840
158,380,324840,6212,324840
158,380,325840,6212,325840
158,380,325840,6212,325840
159,382,326840,6212,326840
160,384,327310,6212,327310
160,384,327680,6212,327680
160,384,328150,6212,328150
160,384,328380,6212,328380
161,386,329380,6212,329380
161,386,330380,6212,330380
161,386,330600,6212,330600
161,386,330600,6212,330600
161,386,331600,6212,331600
162,388,332600,6212,332600
162,388,333600,6212,333600
163,390,333920,6212,333920
163,390,333920,6212,333920
164,392,334920,6212,334920
164,392,334920,6212,334920
165,394,335920,6212,335920
165,394,336390,6212,336390
165,394,336710,6212,336710
166,396,337030,6212,337030
166,396,338030,6212,338030
167,398,338500,6212,338500
168,400,338970,6212,338970
169,402,339970,6212,339970
169,402,340970,6212,340970
169,402,340970,6212,340970
169,402,341440,6212,341440
170,410,349440,6212,349440
170,410,350250,6212,350250
171,418,358250,6212,358250
171,418,359060,6212,359060
172,420,360060,6212,360060
172,420,360870,6212,360870
173,424,364870,6212,364870
173,424,365870,6212,365870
174,426,366870,6212,366870
175,428,367420,6212,367420
175,428,367420,6212,367420
176,436,375420,6212,375420
176,436,376420,6212,376420
176,436,376420,6212,376420
176,436,376740,6212,376740
176,436,376740,6212,376740
176,436,377740,6212,377740
176,436,377970,6212,377970
176,436,377970,6212,377970
177,438,378970,6212,378970
178,440,379970,6212,379970
178,440,380970,6212,380970
179,442,381970,6212,381970
179,442,381970,6212,381970
179,442,381970,6212,381970
179,442,381970,6212,381970
179,442,382410,6212,382410
180,444,382880,6212,382880
181,446,383880,6212,383880
181,446,384880,6212,384880
181,446,384880,6212,384880
182,454,392880,6212,392880
182,454,393690,6212,393690
183,456,394690,6212,394690
184,464,402690,6212,402690
184,464,403690,6212,403690
185,466,404240,6212,404240
185,466,404710,6212,404710
186,468,405520,6212,405520
187,470,406520,6212,406520
187,470,406980,6212,406980
187,470,407980,6212,407980
188,472,408980,6212,408980
188,472,409980,6212,409980
189,474,410980,6212,410980
190,476,411790,6212,411790
190,476,411790,6212,411790
191,478,412790,6212,412790
192,486,420790,6212,420790
192,486,421790,6212,421790
192,486,422600,6212,422600
193,488,423150,6212,423150
193,488,423620,6212,423620
194,490,424620,6212,424620
194,490,425620,6212,425620
195,492,426620,6212,426620
196,494,427620,6212,427620
196,494,428620,6212,428620
