ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
194,997,105120,6212,105120
195,1005,105120,6212,105120
196,1013,105590,6212,105590
197,1021,106060,6212,106060
198,1029,106710,6212,106710
199,1037,107180,6212,107180
200,1039,107650,6212,107650
201,1047,108120,6212,108120
202,1049,108440,6212,108440
203,1057,108910,6212,108910
204,1059,109720,6212,109720
205,1067,109950,6212,109950
206,1069,110410,6212,110410
206,1069,110730,6212,110730
206,1069,111540,6212,111540
207,1071,112090,6212,112090
208,1073,112740,6212,112740
208,1073,113390,6212,113390
208,1073,113620,6212,113620
209,1075,113620,6212,113620
210,1077,113780,6212,113780
211,1079,114590,6212,114590
212,1087,114820,6212,114820
213,1088,115630,6212,115630
214,1090,116220,6212,116220
215,1092,116680,6212,116680
216,1100,117490,6212,117490
217,1108,117960,6212,117960
218,1110,118420,6212,118420
219,1112,118890,6212,118890
220,1116,119700,6212,119700
221,1124,120510,6212,120510
222,1126,121320,6212,121320
223,1134,121320,6212,121320
224,1136,121370,6212,121370
225,1138,121370,6212,121370
226,1140,121370,6212,121370
227,1148,121830,6212,121830
228,1156,122640,6212,122640
228,1156,123450,6212,123450
229,1164,124260,6212,124260
230,1172,125070,6212,125070
231,1180,125880,6212,125880
232,1182,126690,6212,126690
233,1186,127340,6212,127340
234,1194,127810,6212,127810
234,1194,128460,6212,128460
235,1196,128930,6212,128930
236,1204,129160,6212,129160
