ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
118,239,101740,6212,101740
118,239,101970,6212,101970
119,241,102440,6212,102440
120,242,103250,6212,103250
120,242,103250,6212,103250
120,242,103480,6212,103480
121,244,103950,6212,103950
121,244,104180,6212,104180
121,244,104500,6212,104500
122,248,104500,6212,104500
122,248,105090,6212,105090
122,248,105560,6212,105560
122,248,106030,6212,106030
123,250,106840,6212,106840
124,252,107310,6212,107310
125,254,107960,6212,107960
125,254,108770,6212,108770
125,254,109230,6212,109230
126,258,109230,6212,109230
126,258,110040,6212,110040
126,258,110850,6212,110850
127,260,111660,6212,111660
127,260,112130,6212,112130
128,262,112940,6212,112940
129,264,113590,6212,113590
129,264,114400,6212,114400
129,264,114870,6212,114870
129,264,115680,6212,115680
130,266,116150,6212,116150
131,268,116960,6212,116960
131,268,117770,6212,117770
131,268,118580,6212,118580
132,270,119050,6212,119050
132,270,119860,6212,119860
132,270,120320,6212,120320
132,270,120640,6212,120640
132,270,120960,6212,120960
133,272,121430,6212,121430
133,272,121750,6212,121750
134,274,122070,6212,122070
134,274,122300,6212,122300
135,276,123110,6212,123110
135,276,123920,6212,123920
136,280,123920,6212,123920
136,280,124240,6212,124240
137,282,124710,6212,124710
138,284,125180,6212,125180
139,286,125830,6212,125830
139,286,126640,6212,126640
140,288,127450,6212,127450
140,288,127680,6212,127680
140,288,128490,6212,128490
141,290,128960,6212,128960
141,290,129770,6212,129770
141,290,130000,6212,130000
141,290,130460,6212,130460
142,292,131270,6212,131270
142,292,132080,6212,132080
142,292,132890,6212,132890
142,292,133360,6212,133360
143,294,134170,6212,134170
143,294,134330,6212,134330
143,294,134980,6212,134980
144,296,134980,6212,134980
144,296,135210,6212,135210
145,298,135680,6212,135680
146,300,135680,6212,135680
146,300,136230,6212,136230
147,302,137040,6212,137040
147,302,137510,6212,137510
148,304,137980,6212,137980
149,306,138450,6212,138450
149,306,139260,6212,139260
150,308,139580,6212,139580
150,308,139900,6212,139900
150,308,140710,6212,140710
151,312,140710,6212,140710
151,312,141180,6212,141180
152,314,141990,6212,141990
152,314,142460,6212,142460
152,314,142680,6212,142680
152,314,143490,6212,143490
152,314,144300,6212,144300
153,316,144520,6212,144520
153,316,145330,6212,145330
154,318,146140,6212,146140
154,318,146950,6212,146950
155,320,147760,6212,147760
155,320,148350,6212,148350
155,320,149160,6212,149160
156,322,149530,6212,149530
157,324,150180,6212,150180
157,324,150340,6212,150340
158,328,150340,6212,150340
158,328,151150,6212,151150
159,330,151150,6212,151150
159,330,151470,6212,151470
159,330,151630,6212,151630
159,330,152440,6212,152440
160,334,152440,6212,152440
161,336,152910,6212,152910
161,336,153140,6212,153140
161,336,153140,6212,153140
162,338,153790,6212,153790
163,340,154440,6212,154440
163,340,155250,6212,155250
163,340,155800,6212,155800
164,342,156270,6212,156270
164,342,156590,6212,156590
164,342,157400,6212,157400
164,342,157990,6212,157990
164,342,158800,6212,158800
165,344,159450,6212,159450
166,346,159920,6212,159920
167,348,160390,6212,160390
167,348,161200,6212,161200
167,348,162010,6212,162010
167,348,162820,6212,162820
168,350,163630,6212,163630
169,354,163740,6212,163740
169,354,164290,6212,164290
169,354,164510,6212,164510
170,356,164980,6212,164980
170,356,165790,6212,165790
171,358,166260,6212,166260
172,360,166260,6212,166260
172,360,166490,6212,166490
172,360,167300,6212,167300
173,362,168110,6212,168110
173,362,168920,6212,168920
174,364,169730,6212,169730
174,364,170050,6212,170050
174,364,170520,6212,170520
175,366,170990,6212,170990
176,370,171450,6212,171450
176,370,172100,6212,172100
176,370,172420,6212,172420
176,370,173230,6212,173230
176,370,173450,6212,173450
176,370,174260,6212,174260
177,372,174810,6212,174810
177,372,174920,6212,174920
177,372,175390,6212,175390
177,372,175860,6212,175860
177,372,176670,6212,176670
177,372,176670,6212,176670
177,372,177480,6212,177480
177,372,177710,6212,177710
178,374,178520,6212,178520
178,374,179330,6212,179330
179,378,179800,6212,179800
179,378,179800,6212,179800
180,380,180610,6212,180610
181,384,181080,6212,181080
181,384,181890,6212,181890
182,386,182700,6212,182700
182,386,183250,6212,183250
183,388,184060,6212,184060
183,388,184530,6212,184530
183,388,184640,6212,184640
184,392,184640,6212,184640
