ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
879672.8,14.41,1.07,344007.18,5.64
879524.33,14.41,1.07,343921.69,5.64
879496.15,14.42,1.07,343905.79,5.64
879347.68,14.42,1.07,343820.54,5.64
879319.51,14.42,1.07,343807.26,5.64
879291.33,14.42,1.08,343800.0,5.64
878867.45,14.41,1.07,343263.12,5.63
878839.27,14.42,1.07,343249.84,5.63
879291.42,14.42,1.08,343148.46,5.63
879590.11,14.43,1.09,343151.79,5.63
879441.64,14.43,1.09,343109.13,5.63
879293.17,14.43,1.09,343077.71,5.63
880128.4,14.44,1.1,343614.94,5.64
880100.22,14.45,1.1,343599.03,5.64
879951.75,14.45,1.1,343584.0,5.64
879951.75,14.45,1.1,343537.71,5.64
879951.75,14.45,1.1,343502.32,5.64
880447.19,14.46,1.11,343517.87,5.64
880487.42,14.46,1.11,343597.99,5.64
880893.08,14.47,1.12,343621.33,5.64
880864.9,14.47,1.12,343636.29,5.64
880836.72,14.47,1.13,343611.65,5.64
880688.25,14.47,1.13,343558.36,5.64
880511.6,14.47,1.13,343586.24,5.65
880363.13,14.47,1.13,343543.58,5.65
880214.66,14.47,1.13,343430.47,5.65
879741.07,14.47,1.13,343274.24,5.65
880026.43,14.48,1.14,343342.44,5.65
880311.79,14.48,1.14,343287.02,5.65
880283.61,14.49,1.14,343257.88,5.65
880283.61,14.49,1.14,343174.15,5.65
879216.13,14.49,1.14,342966.42,5.65
879187.96,14.49,1.15,342973.95,5.65
879159.78,14.49,1.15,342999.51,5.65
879131.6,14.49,1.15,342974.88,5.65
879103.42,14.5,1.15,342982.41,5.66
878954.95,14.5,1.15,342955.87,5.66
878995.18,14.5,1.15,342860.31,5.66
878846.71,14.5,1.15,342817.65,5.66
878698.24,14.5,1.15,342688.26,5.65
879082.17,14.5,1.16,342588.45,5.65
879471.7,14.51,1.17,342570.33,5.65
879443.52,14.51,1.17,342577.86,5.65
879295.05,14.51,1.17,342465.44,5.65
879266.87,14.52,1.17,342448.46,5.65
879238.69,14.52,1.17,342396.4,5.65
879210.52,14.52,1.18,342379.42,5.65
879182.34,14.52,1.18,342404.98,5.66
879495.45,14.53,1.19,342203.94,5.65
879495.45,14.53,1.19,342120.21,5.65
879467.28,14.53,1.19,342145.78,5.65
879439.1,14.53,1.19,342153.31,5.65
879599.62,14.54,1.19,342098.91,5.65
879571.45,14.54,1.2,342085.63,5.65
879543.27,14.54,1.2,342111.2,5.66
879948.92,14.55,1.21,342133.43,5.66
880234.28,14.56,1.21,342220.72,5.66
880085.81,14.56,1.21,342194.18,5.66
879018.33,14.56,1.21,341976.4,5.66
878990.16,14.56,1.22,341939.74,5.66
878961.98,14.56,1.22,341947.27,5.66
878813.51,14.56,1.22,341904.61,5.66
879266.68,14.57,1.23,341534.93,5.66
879427.2,14.57,1.23,341572.74,5.66
879278.73,14.57,1.23,341464.69,5.66
880113.96,14.59,1.24,342001.91,5.67
879965.49,14.59,1.24,341959.25,5.67
879965.49,14.59,1.24,341921.85,5.67
879817.02,14.59,1.24,341879.19,5.67
879788.84,14.59,1.25,341904.75,5.67
879760.66,14.59,1.25,341912.28,5.67
879732.48,14.59,1.25,341937.85,5.67
879790.1,14.59,1.25,341877.37,5.67
879641.63,14.59,1.25,341783.86,5.67
879493.16,14.59,1.25,341767.58,5.67
879533.39,14.6,1.25,341751.97,5.67
879591.01,14.6,1.25,341724.16,5.67
879442.54,14.6,1.25,341611.05,5.67
879294.07,14.6,1.25,341500.9,5.67
879145.6,14.6,1.25,341458.24,5.67
879551.25,14.61,1.26,341480.47,5.67
880758.99,14.63,1.28,342333.93,5.68
880730.81,14.63,1.28,342309.3,5.69
879663.33,14.63,1.29,342091.52,5.69
879635.16,14.63,1.29,342062.38,5.69
