ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
196,1114,201700,6212,201700
197,1116,201700,6212,201700
197,1116,202020,6212,202020
198,1118,203020,6212,203020
198,1118,204020,6212,204020
199,1120,205020,6212,205020
199,1120,206020,6212,206020
200,1122,206180,6212,206180
201,1130,207180,6212,207180
202,1132,207770,6212,207770
203,1134,208770,6212,208770
204,1142,216770,6212,216770
205,1150,217770,6212,217770
206,1158,217770,6212,217770
207,1160,218770,6212,218770
208,1162,219580,6212,219580
209,1164,220390,6212,220390
210,1172,220390,6212,220390
211,1180,221390,6212,221390
212,1188,222390,6212,222390
213,1196,222390,6212,222390
214,1204,222940,6212,222940
215,1206,223940,6212,223940
216,1208,224940,6212,224940
217,1216,225940,6212,225940
218,1224,225940,6212,225940
219,1226,226940,6212,226940
219,1226,227940,6212,227940
219,1226,228940,6212,228940
220,1228,229940,6212,229940
221,1236,230940,6212,230940
222,1244,231940,6212,231940
222,1244,232400,6212,232400
223,1252,233400,6212,233400
224,1260,233400,6212,233400
225,1268,233870,6212,233870
226,1276,233870,6212,233870
227,1278,234680,6212,234680
228,1282,234680,6212,234680
228,1282,235000,6212,235000
228,1282,235470,6212,235470
229,1290,236470,6212,236470
229,1290,236470,6212,236470
230,1292,236790,6212,236790
231,1294,237600,6212,237600
231,1294,238600,6212,238600
231,1294,239250,6212,239250
232,1302,240250,6212,240250
233,1310,241250,6212,241250
233,1310,241900,6212,241900
233,1310,241900,6212,241900
234,1312,242900,6212,242900
235,1314,243370,6212,243370
236,1316,243370,6212,243370
237,1318,243530,6212,243530
238,1320,244530,6212,244530
239,1322,245000,6212,245000
240,1324,246000,6212,246000
241,1326,246810,6212,246810
242,1328,247810,6212,247810
243,1336,247810,6212,247810
243,1336,247810,6212,247810
244,1344,248810,6212,248810
245,1346,249810,6212,249810
246,1348,250810,6212,250810
247,1356,250810,6212,250810
248,1364,251280,6212,251280
249,1372,251280,6212,251280
250,1380,251830,6212,251830
251,1388,259830,6212,259830
252,1396,260150,6212,260150
253,1404,261150,6212,261150
254,1412,261310,6212,261310
255,1420,262310,6212,262310
255,1420,262780,6212,262780
256,1422,263590,6212,263590
257,1430,264590,6212,264590
258,1432,264910,6212,264910
259,1440,265500,6212,265500
259,1440,266310,6212,266310
260,1442,266960,6212,266960
260,1442,267960,6212,267960
261,1450,268420,6212,268420
262,1458,269420,6212,269420
263,1466,269880,6212,269880
264,1474,270530,6212,270530
265,1476,271530,6212,271530
266,1478,272000,6212,272000
267,1486,272590,6212,272590
268,1488,273240,6212,273240
269,1490,273560,6212,273560
270,1492,273560,6212,273560
271,1500,274030,6212,274030
272,1502,275030,6212,275030
273,1510,276030,6212,276030
274,1518,276840,6212,276840
275,1520,277490,6212,277490
276,1528,278490,6212,278490
277,1536,279490,6212,279490
277,1536,280490,6212,280490
278,1544,280650,6212,280650
279,1546,281650,6212,281650
280,1548,282650,6212,282650
281,1556,283650,6212,283650
282,1564,283650,6212,283650
283,1572,284650,6212,284650
283,1572,285650,6212,285650
283,1572,285980,6212,285980
283,1572,286980,6212,286980
284,1580,287790,6212,287790
