ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
175,909,182940,6212,182940
176,917,183940,6212,183940
177,925,184940,6212,184940
178,933,184940,6212,184940
179,941,185940,6212,185940
180,949,186940,6212,186940
181,957,187940,6212,187940
182,959,188940,6212,188940
183,961,189940,6212,189940
183,961,190940,6212,190940
184,969,191940,6212,191940
185,977,192940,6212,192940
186,979,193940,6212,193940
187,987,194590,6212,194590
187,987,195590,6212,195590
188,995,195750,6212,195750
189,1003,196040,6212,196040
190,1005,197040,6212,197040
190,1005,197200,6212,197200
191,1007,198200,6212,198200
192,1015,199200,6212,199200
192,1015,200200,6212,200200
193,1017,201200,6212,201200
194,1025,201850,6212,201850
194,1025,202320,6212,202320
195,1027,203320,6212,203320
196,1035,203320,6212,203320
197,1043,204320,6212,204320
198,1051,205320,6212,205320
199,1053,205790,6212,205790
200,1055,206600,6212,206600
201,1057,207410,6212,207410
202,1065,208060,6212,208060
203,1067,208060,6212,208060
204,1075,216060,6212,216060
205,1077,217060,6212,217060
206,1079,218060,6212,218060
207,1087,218060,6212,218060
208,1095,218530,6212,218530
209,1097,219340,6212,219340
210,1099,220340,6212,220340
211,1107,221150,6212,221150
212,1115,222150,6212,222150
212,1115,222620,6212,222620
213,1123,223620,6212,223620
214,1131,223730,6212,223730
215,1133,224380,6212,224380
216,1141,225380,6212,225380
217,1143,225380,6212,225380
218,1145,226030,6212,226030
218,1145,227030,6212,227030
219,1153,227840,6212,227840
220,1157,228840,6212,228840
221,1165,229840,6212,229840
222,1167,230650,6212,230650
223,1175,231120,6212,231120
224,1183,231120,6212,231120
225,1191,231440,6212,231440
226,1193,232440,6212,232440
227,1197,233440,6212,233440
228,1199,234250,6212,234250
229,1201,235250,6212,235250
230,1209,235900,6212,235900
231,1217,236370,6212,236370
232,1225,236370,6212,236370
233,1233,237370,6212,237370
233,1233,237690,6212,237690
234,1235,238690,6212,238690
235,1237,239690,6212,239690
236,1241,240160,6212,240160
237,1243,240970,6212,240970
238,1245,241780,6212,241780
239,1249,241940,6212,241940
240,1257,242940,6212,242940
240,1257,243940,6212,243940
241,1259,243940,6212,243940
242,1261,243940,6212,243940
243,1263,244410,6212,244410
244,1265,244410,6212,244410
245,1273,245220,6212,245220
246,1281,253220,6212,253220
247,1283,254220,6212,254220
247,1283,255220,6212,255220
248,1285,256220,6212,256220
249,1293,257220,6212,257220
250,1295,258030,6212,258030
251,1303,259030,6212,259030
251,1303,260030,6212,260030
252,1311,260680,6212,260680
252,1311,261490,6212,261490
253,1319,262490,6212,262490
254,1321,262810,6212,262810
255,1323,262810,6212,262810
256,1325,263810,6212,263810
257,1333,264810,6212,264810
257,1333,265810,6212,265810
258,1341,266810,6212,266810
259,1349,267280,6212,267280
260,1357,268280,6212,268280
260,1357,269090,6212,269090
261,1365,270090,6212,270090
262,1367,271090,6212,271090
262,1367,271560,6212,271560
263,1369,272560,6212,272560
264,1377,273370,6212,273370
265,1385,274370,6212,274370
265,1385,275370,6212,275370
266,1387,275840,6212,275840
267,1395,276840,6212,276840
267,1395,277160,6212,277160
268,1403,278160,6212,278160
269,1405,279160,6212,279160
270,1407,280160,6212,280160
271,1409,280970,6212,280970
272,1417,281440,6212,281440
273,1419,282250,6212,282250
273,1419,283250,6212,283250
274,1427,284060,6212,284060
275,1429,285060,6212,285060
276,1437,286060,6212,286060
277,1445,287060,6212,287060
278,1453,288060,6212,288060
279,1454,288220,6212,288220
280,1462,289220,6212,289220
281,1470,290220,6212,290220
282,1478,290220,6212,290220
283,1486,290220,6212,290220
284,1494,290220,6212,290220
284,1494,291030,6212,291030
284,1494,291500,6212,291500
285,1496,291970,6212,291970
286,1498,292620,6212,292620
286,1498,292940,6212,292940
287,1506,293940,6212,293940
288,1508,294410,6212,294410
289,1516,295410,6212,295410
290,1518,295410,6212,295410
291,1526,296410,6212,296410
292,1534,297000,6212,297000
293,1535,298000,6212,298000
294,1537,299000,6212,299000
294,1537,300000,6212,300000
295,1545,300000,6212,300000
296,1553,308000,6212,308000
297,1555,308650,6212,308650
298,1563,309460,6212,309460
299,1565,310460,6212,310460
300,1573,311050,6212,311050
301,1581,315050,6212,315050
302,1583,315860,6212,315860
302,1583,316860,6212,316860
302,1583,316860,6212,316860
303,1591,324860,6212,324860
304,1593,324860,6212,324860
305,1601,325330,6212,325330
306,1603,326330,6212,326330
307,1605,326330,6212,326330
308,1613,326550,6212,326550
309,1621,326550,6212,326550
309,1621,327010,6212,327010
310,1623,328010,6212,328010
