ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
1176650.58,19.21,0.61,223770.28,3.65
1179604.89,19.26,0.66,224458.83,3.67
1179235.86,19.26,0.66,224169.5,3.66
1179207.71,19.26,0.66,224162.54,3.66
1179005.05,19.26,0.66,224125.2,3.66
1178802.39,19.26,0.66,224150.19,3.66
1178284.23,19.25,0.65,223653.24,3.65
1178081.57,19.25,0.65,223632.65,3.65
1178081.57,19.25,0.65,223632.65,3.65
1177878.91,19.25,0.65,223612.97,3.65
1177441.71,19.25,0.65,223079.39,3.65
1177239.05,19.25,0.65,223161.93,3.65
1177239.05,19.25,0.65,223161.93,3.65
1177239.05,19.25,0.65,223161.93,3.65
1177131.08,19.25,0.64,223060.88,3.65
1176928.42,19.24,0.64,223044.94,3.65
1176928.42,19.24,0.64,223044.94,3.65
1176949.35,19.25,0.65,223142.26,3.65
1176746.7,19.25,0.65,223063.27,3.65
1176579.66,19.25,0.65,223061.27,3.65
1176841.65,19.25,0.65,223362.81,3.65
1176674.62,19.25,0.65,223283.2,3.65
1176403.88,19.25,0.65,223141.63,3.65
1176420.41,19.25,0.65,223135.03,3.65
1176648.75,19.26,0.66,222880.66,3.65
1176837.33,19.26,0.66,222858.31,3.65
1176229.82,19.25,0.65,222224.62,3.64
1176062.79,19.26,0.65,222147.12,3.64
1175895.76,19.26,0.65,222142.99,3.64
1176140.88,19.26,0.66,221962.32,3.64
1176161.82,19.27,0.66,222059.64,3.64
1176589.42,19.27,0.67,222674.15,3.65
1175894.32,19.27,0.66,221993.5,3.64
1176050.64,19.27,0.67,221533.27,3.63
1176071.57,19.27,0.67,221630.59,3.63
1176076.75,19.28,0.67,221191.45,3.63
1175909.72,19.28,0.67,221113.96,3.62
1175731.79,19.28,0.67,220817.8,3.62
1175752.72,19.28,0.67,220961.76,3.62
1175084.59,19.28,0.67,220922.32,3.62
1174917.56,19.28,0.67,220918.19,3.63
1174750.53,19.28,0.67,220916.18,3.63
1174583.5,19.28,0.67,220836.57,3.63
1173075.82,19.28,0.68,220777.74,3.63
1173320.94,19.29,0.68,220597.07,3.63
1173224.93,19.29,0.68,220468.04,3.62
1173435.13,19.3,0.69,220392.25,3.62
1173456.07,19.3,0.69,220941.37,3.63
1173703.08,19.3,0.7,220865.74,3.63
1173948.21,19.31,0.7,220685.07,3.63
1173749.04,19.31,0.7,220444.51,3.63
1173332.32,19.3,0.7,220130.67,3.62
1173353.26,19.31,0.7,220718.54,3.63
1173505.96,19.31,0.7,220361.67,3.63
1173511.14,19.31,0.71,219922.53,3.62
1173344.11,19.31,0.71,219845.23,3.62
1173248.09,19.32,0.71,219716.2,3.62
1173269.03,19.32,0.71,219813.52,3.62
1173101.99,19.32,0.71,219809.2,3.62
1172482.53,19.31,0.7,219231.04,3.61
1172744.52,19.32,0.71,219532.59,3.62
1172749.7,19.32,0.71,219093.44,3.61
1172037.81,19.31,0.7,218339.09,3.6
1171753.5,19.31,0.7,218017.15,3.59
1171532.23,19.31,0.7,217924.12,3.59
1171365.2,19.31,0.7,217915.18,3.59
1171198.16,19.31,0.7,217842.5,3.59
1171731.4,19.32,0.71,217907.47,3.59
1171979.46,19.32,0.72,218131.59,3.6
1171979.46,19.32,0.72,218100.64,3.6
1171995.98,19.32,0.72,218112.73,3.6
1171828.95,19.32,0.72,218035.43,3.6
1171849.88,19.33,0.72,218132.75,3.6
1171682.85,19.33,0.72,218128.42,3.6
1171515.82,19.33,0.72,218050.93,3.6
1171348.78,19.33,0.72,218046.8,3.6
1171348.78,19.33,0.72,218545.69,3.61
1171156.19,19.33,0.72,218486.65,3.61
1171403.2,19.33,0.72,218901.56,3.61
1171665.19,19.34,0.73,218996.9,3.61
1171472.6,19.34,0.73,218967.29,3.62
1171280.01,19.34,0.73,218617.22,3.61
1171087.42,19.34,0.73,218516.22,3.61
1171108.35,19.34,0.73,218819.74,3.61
1170941.32,19.34,0.73,218810.8,3.61
1170774.29,19.34,0.73,218738.12,3.61
1171365.68,19.36,0.74,218840.05,3.62
1170653.8,19.35,0.74,218085.69,3.6
1170461.21,19.35,0.74,218212.33,3.61
1170092.18,19.34,0.73,217973.23,3.6
1170270.83,19.35,0.74,220882.09,3.65
1169936.79,19.35,0.73,220517.67,3.65
1169936.79,19.35,0.73,220517.67,3.65
1170582.33,19.36,0.75,219805.27,3.64
1170064.17,19.35,0.74,219308.32,3.63
1169897.14,19.35,0.74,219230.82,3.63
1169730.11,19.35,0.74,219226.69,3.63
1170150.09,19.36,0.75,219285.55,3.63
1169438.2,19.35,0.74,218531.2,3.62
1169683.33,19.36,0.75,218339.39,3.61
1169516.3,19.36,0.75,218337.39,3.61
1169516.3,19.36,0.75,218337.39,3.61
1169349.27,19.36,0.75,218257.77,3.61
1168978.22,19.36,0.74,218388.32,3.62
1168811.18,19.36,0.74,218379.37,3.62
1168653.22,19.36,0.74,218226.95,3.61
1169004.59,19.36,0.75,218539.16,3.62
1169009.78,19.36,0.75,218100.02,3.61
1168842.74,19.37,0.75,218027.34,3.61
1168746.73,19.37,0.75,217898.31,3.61
1167953.65,19.37,0.75,216946.09,3.6
1167786.61,19.37,0.75,216868.59,3.6
1167619.58,19.37,0.75,216864.46,3.6
1167652.63,19.37,0.75,216876.5,3.6
1167652.63,19.37,0.75,216876.5,3.6
1167485.59,19.37,0.75,216799.35,3.6
1167174.94,19.36,0.75,216629.88,3.59
1167195.87,19.37,0.75,216727.2,3.6
1167195.87,19.37,0.75,216729.66,3.6
1167028.84,19.37,0.75,216725.18,3.6
1166861.81,19.37,0.75,216648.03,3.6
1167123.8,19.37,0.76,216949.58,3.6
1166956.76,19.37,0.76,216945.1,3.6
1166961.95,19.38,0.76,216505.96,3.59
1166794.91,19.38,0.76,216428.81,3.59
1167413.48,19.39,0.77,223070.31,3.7
1167192.2,19.38,0.77,222977.28,3.7
1167096.19,19.39,0.77,222848.25,3.7
1167096.19,19.39,0.77,222848.25,3.7
