ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
893217.5,14.52,0.95,220820.02,3.59
893080.16,14.52,0.95,220287.3,3.58
896537.51,14.57,1.01,223467.67,3.63
897593.53,14.59,1.02,224255.77,3.65
897994.96,14.6,1.03,224311.05,3.65
897956.6,14.6,1.03,223928.66,3.64
898430.52,14.61,1.04,223908.49,3.64
898293.18,14.61,1.04,223375.76,3.63
898155.85,14.61,1.04,222843.04,3.62
898714.38,14.62,1.05,222958.96,3.63
899427.29,14.63,1.06,223254.87,3.63
899137.43,14.63,1.06,222744.32,3.62
899752.18,14.64,1.07,223189.88,3.63
899487.94,14.64,1.07,222679.35,3.62
899350.61,14.64,1.07,222146.63,3.62
900063.51,14.65,1.08,222442.53,3.62
900622.04,14.66,1.09,222558.45,3.62
900477.65,14.66,1.09,222440.93,3.62
900187.79,14.66,1.09,221930.38,3.61
899923.56,14.65,1.09,221419.85,3.61
900331.71,14.66,1.09,221348.24,3.6
901387.72,14.68,1.11,222136.34,3.62
901250.38,14.68,1.11,221603.62,3.61
902306.39,14.69,1.13,222391.72,3.62
902294.47,14.7,1.13,222081.65,3.62
903350.49,14.71,1.15,222869.75,3.63
903092.93,14.71,1.14,222726.8,3.63
906550.28,14.77,1.2,225907.17,3.68
906951.71,14.77,1.21,225962.46,3.68
907089.97,14.78,1.21,225661.13,3.68
906768.95,14.77,1.21,225462.55,3.67
907327.48,14.78,1.22,225578.46,3.68
907037.63,14.78,1.22,225067.92,3.67
906900.29,14.78,1.21,224535.2,3.66
906900.29,14.78,1.21,224356.08,3.66
907301.72,14.79,1.22,224411.37,3.66
907263.36,14.79,1.22,224028.98,3.65
907126.02,14.79,1.22,223496.26,3.64
907684.55,14.8,1.23,223612.18,3.65
908085.99,14.81,1.24,223667.46,3.65
907796.13,14.81,1.24,223156.92,3.64
908333.37,14.82,1.25,223377.01,3.64
909389.38,14.83,1.27,224165.11,3.66
909472.04,14.84,1.27,223852.39,3.65
910528.06,14.85,1.29,224640.48,3.66
910390.72,14.85,1.29,224107.76,3.66
911103.63,14.86,1.3,224403.67,3.66
911466.17,14.87,1.3,224597.28,3.66
912359.44,14.89,1.32,224996.18,3.67
912095.21,14.88,1.32,224485.65,3.66
912496.64,14.89,1.33,224540.94,3.66
913209.55,14.9,1.34,224836.85,3.67
912945.32,14.9,1.34,224326.32,3.66
912906.95,14.9,1.34,223943.93,3.66
912989.61,14.91,1.34,223631.21,3.65
913702.52,14.92,1.35,223927.11,3.66
914103.96,14.93,1.36,223982.4,3.66
913839.73,14.92,1.36,223471.87,3.65
914552.63,14.94,1.37,223767.78,3.65
914268.24,14.93,1.37,223510.25,3.65
914004.0,14.93,1.36,222999.72,3.64
914392.89,14.94,1.37,223070.88,3.64
914255.55,14.94,1.37,222538.15,3.64
914098.36,14.94,1.37,222380.96,3.63
913863.96,14.93,1.37,222173.44,3.63
914576.87,14.95,1.38,222469.34,3.64
914312.63,14.94,1.38,221958.81,3.63
914312.63,14.94,1.38,222950.15,3.64
914947.78,14.95,1.39,223220.72,3.65
916003.8,14.97,1.4,224008.82,3.66
916506.75,14.98,1.41,223921.61,3.66
916057.32,14.97,1.41,223706.91,3.66
917113.33,14.99,1.43,224495.01,3.67
917514.77,15.0,1.43,224550.3,3.67
917902.01,15.01,1.44,224620.39,3.67
917902.01,15.01,1.44,225431.3,3.69
918237.54,15.01,1.45,225381.43,3.69
918118.05,15.01,1.45,224996.03,3.68
917980.72,15.01,1.45,224463.31,3.67
917843.38,15.01,1.45,223930.59,3.66
917998.11,15.02,1.45,223812.57,3.66
918151.73,15.02,1.45,223731.31,3.66
918032.05,15.02,1.45,223455.96,3.66
918433.49,15.03,1.46,223511.25,3.66
918970.73,15.04,1.47,223731.34,3.66
919683.64,15.05,1.48,224027.24,3.67
919416.26,15.05,1.48,223747.89,3.66
919778.8,15.05,1.49,223941.5,3.67
919778.8,15.05,1.49,223917.25,3.66
920094.57,15.06,1.49,223986.72,3.67
920807.48,15.07,1.51,224282.63,3.67
920543.24,15.07,1.5,223772.1,3.66
921599.25,15.09,1.52,224560.19,3.68
922137.66,15.1,1.53,224369.48,3.67
922850.56,15.11,1.54,224665.39,3.68
923166.33,15.11,1.55,224734.86,3.68
923444.06,15.12,1.55,225247.33,3.69
923444.06,15.12,1.55,226083.8,3.7
923526.73,15.12,1.56,225771.08,3.7
924136.71,15.13,1.57,225860.24,3.7
924538.14,15.14,1.58,225915.53,3.7
924291.23,15.14,1.57,225442.56,3.69
925004.14,15.15,1.59,225738.46,3.7
925562.67,15.16,1.6,225854.38,3.7
925272.82,15.16,1.59,225343.84,3.69
925661.7,15.17,1.6,225414.99,3.69
925661.7,15.17,1.6,225390.74,3.69
925397.47,15.17,1.6,224880.21,3.69
925260.13,15.17,1.6,224347.49,3.68
925311.66,15.17,1.6,223998.31,3.67
925623.2,15.17,1.61,224020.39,3.67
925674.73,15.18,1.61,223671.21,3.67
925891.88,15.18,1.62,223625.76,3.67
925943.41,15.19,1.62,223276.58,3.66
926254.95,15.19,1.63,223298.66,3.66
926306.48,15.19,1.63,222949.48,3.66
926703.62,15.2,1.64,223084.04,3.66
926936.42,15.21,1.64,222498.28,3.65
926806.68,15.21,1.64,222527.0,3.65
926858.21,15.21,1.64,222177.82,3.65
927169.75,15.22,1.65,222199.9,3.65
927221.28,15.22,1.65,221850.72,3.64
927521.77,15.23,1.66,221854.88,3.64
927287.37,15.22,1.66,221647.36,3.64
927052.98,15.22,1.65,221439.84,3.64
927454.41,15.23,1.66,221495.13,3.64
927220.01,15.22,1.66,221287.6,3.63
926904.52,15.22,1.65,220972.11,3.63
926760.13,15.22,1.65,220854.59,3.63
926721.76,15.22,1.65,220472.2,3.62
926773.29,15.22,1.66,220123.02,3.62
926778.91,15.22,1.66,220125.43,3.62
926544.51,15.22,1.65,219917.91,3.61
926941.65,15.23,1.66,220052.46,3.61
927654.56,15.24,1.67,220348.37,3.62
928213.09,15.25,1.68,220464.29,3.62
927923.23,15.25,1.68,219953.75,3.61
928156.03,15.25,1.69,219367.99,3.61
928032.69,15.25,1.69,219278.38,3.6
927768.46,15.25,1.68,218767.85,3.6
928481.37,15.26,1.7,219063.76,3.6
928217.13,15.26,1.69,218553.23,3.59
928490.16,15.27,1.7,219078.24,3.6
928213.01,15.26,1.7,218704.36,3.6
928264.54,15.27,1.7,218355.18,3.59
928316.07,15.27,1.7,218135.09,3.59
928367.6,15.27,1.71,217785.91,3.58
928764.74,15.28,1.71,217920.47,3.59
928816.27,15.28,1.72,217571.29,3.58
928659.08,15.28,1.71,217414.1,3.58
928876.22,15.29,1.72,217368.65,3.58
929932.24,15.3,1.74,218156.75,3.59
930142.0,15.31,1.74,218067.82,3.59
930075.8,15.31,1.74,218581.24,3.6
930395.49,15.31,1.75,218863.15,3.6
930407.15,15.31,1.75,218749.21,3.6
930269.81,15.31,1.75,218216.49,3.59
931514.95,15.33,1.77,218591.63,3.6
931675.26,15.34,1.77,218947.2,3.6
931983.09,15.34,1.78,219654.32,3.62
932198.16,15.35,1.78,219308.33,3.61
932367.56,15.35,1.79,218939.42,3.61
932360.71,15.35,1.79,218654.89,3.6
932566.49,15.36,1.79,218546.53,3.6
936023.84,15.42,1.85,221726.89,3.65
936287.06,15.42,1.86,221752.03,3.65
936486.06,15.43,1.86,221971.2,3.66
937068.76,15.44,1.87,224119.27,3.69
937434.77,15.45,1.88,223955.05,3.69
937640.86,15.45,1.88,223665.02,3.69
937692.39,15.45,1.89,223427.65,3.68
937906.64,15.46,1.89,222984.05,3.68
937958.17,15.46,1.89,222928.21,3.67
938009.7,15.46,1.9,223900.7,3.69
938061.23,15.47,1.9,224014.56,3.69
938112.76,15.47,1.9,224072.15,3.69
937950.04,15.47,1.9,223747.54,3.69
938001.57,15.47,1.91,223861.39,3.69
938191.59,15.48,1.91,223881.09,3.69
938345.85,15.48,1.91,223972.89,3.69
938188.66,15.48,1.91,223815.7,3.69
938188.66,15.48,1.91,223802.12,3.69
938240.19,15.48,1.91,223459.27,3.69
938240.19,15.48,1.91,223499.65,3.69
937994.21,15.48,1.91,223218.46,3.68
937837.02,15.47,1.91,223069.86,3.68
937888.55,15.48,1.91,222839.17,3.68
937888.55,15.48,1.91,223062.89,3.68
938341.22,15.49,1.92,223982.31,3.7
938341.33,15.49,1.92,223960.52,3.7
938346.95,15.49,1.92,223963.14,3.7
938501.21,15.49,1.93,224271.8,3.7
938655.48,15.5,1.93,224687.12,3.71
938888.28,15.5,1.94,224267.82,3.7
938971.55,15.5,1.94,224439.49,3.71
939131.87,15.51,1.94,224404.33,3.71
938984.61,15.51,1.94,224128.34,3.7
939036.14,15.51,1.94,223831.86,3.7
939234.42,15.51,1.95,223423.23,3.69
939285.95,15.52,1.95,224430.88,3.71
939440.22,15.52,1.96,224518.13,3.71
939282.49,15.52,1.95,224274.02,3.71
939442.8,15.52,1.96,224379.71,3.71
939494.33,15.53,1.96,224142.34,3.7
939545.86,15.53,1.96,224027.1,3.7
939597.39,15.53,1.97,224103.47,3.7
939648.92,15.54,1.97,224234.06,3.71
939541.73,15.53,1.97,224127.31,3.71
939772.59,15.54,1.97,224208.88,3.71
939624.13,15.54,1.97,224022.43,3.7
939388.15,15.53,1.97,223998.54,3.7
939439.68,15.54,1.97,224291.02,3.71
939600.0,15.54,1.98,224257.79,3.71
939600.0,15.54,1.98,224297.25,3.71
939430.07,15.54,1.97,224129.09,3.71
939481.6,15.54,1.98,224301.93,3.71
939533.13,15.55,1.98,224415.78,3.71
939584.66,15.55,1.98,224473.37,3.71
939636.19,15.55,1.98,224236.0,3.71
939547.11,15.55,1.98,224307.14,3.71
939707.43,15.55,1.99,224582.32,3.72
940178.79,15.56,2.0,225261.21,3.73
940344.7,15.57,2.0,225407.52,3.73
940498.96,15.57,2.01,225612.0,3.74
941189.07,15.58,2.02,226003.0,3.74
941240.6,15.59,2.02,225765.63,3.74
941080.67,15.58,2.02,225685.22,3.74
941132.2,15.59,2.02,225569.98,3.74
941363.06,15.59,2.03,225171.14,3.73
