ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
114,214,101740,6212,101740
115,216,101740,6212,101740
115,216,101970,6212,101970
116,218,102440,6212,102440
116,218,103250,6212,103250
117,220,103250,6212,103250
117,220,103480,6212,103480
118,222,103950,6212,103950
118,222,104180,6212,104180
118,222,104500,6212,104500
118,222,104500,6212,104500
118,222,105090,6212,105090
118,222,105560,6212,105560
119,224,106030,6212,106030
119,224,106840,6212,106840
120,226,107310,6212,107310
121,228,107960,6212,107960
121,228,108770,6212,108770
121,228,109230,6212,109230
122,230,109230,6212,109230
122,230,110040,6212,110040
122,230,110850,6212,110850
123,232,111660,6212,111660
123,232,112130,6212,112130
124,234,112940,6212,112940
124,234,113590,6212,113590
125,236,114400,6212,114400
125,236,114870,6212,114870
126,238,115680,6212,115680
126,238,116150,6212,116150
127,240,116960,6212,116960
127,240,117770,6212,117770
128,242,118580,6212,118580
128,242,119050,6212,119050
129,244,119860,6212,119860
129,244,120320,6212,120320
129,244,120640,6212,120640
129,244,120960,6212,120960
130,246,121430,6212,121430
130,246,121750,6212,121750
130,246,122070,6212,122070
130,246,122300,6212,122300
130,246,123110,6212,123110
131,248,123920,6212,123920
131,248,123920,6212,123920
131,248,124240,6212,124240
131,248,124710,6212,124710
132,250,125180,6212,125180
133,252,125830,6212,125830
133,252,126640,6212,126640
134,254,127450,6212,127450
134,254,127680,6212,127680
134,254,128490,6212,128490
135,256,128960,6212,128960
135,256,129770,6212,129770
135,256,130000,6212,130000
135,256,130460,6212,130460
136,258,131270,6212,131270
136,258,132080,6212,132080
137,260,132890,6212,132890
137,260,133360,6212,133360
138,262,134170,6212,134170
138,262,134330,6212,134330
138,262,134980,6212,134980
139,264,134980,6212,134980
139,264,135210,6212,135210
139,264,135680,6212,135680
139,264,135680,6212,135680
139,264,136230,6212,136230
139,264,137040,6212,137040
139,264,137510,6212,137510
140,268,137980,6212,137980
140,268,138450,6212,138450
140,268,139260,6212,139260
141,272,139580,6212,139580
141,272,139900,6212,139900
141,272,140710,6212,140710
142,276,140710,6212,140710
142,276,141180,6212,141180
142,276,141990,6212,141990
142,276,142460,6212,142460
142,276,142680,6212,142680
142,276,143490,6212,143490
143,280,144300,6212,144300
143,280,144520,6212,144520
143,280,145330,6212,145330
143,280,146140,6212,146140
144,282,146950,6212,146950
144,282,147760,6212,147760
144,282,148350,6212,148350
145,284,149160,6212,149160
145,284,149530,6212,149530
146,288,150180,6212,150180
146,288,150340,6212,150340
146,288,150340,6212,150340
146,288,151150,6212,151150
146,288,151150,6212,151150
146,288,151470,6212,151470
146,288,151630,6212,151630
146,288,152440,6212,152440
146,288,152440,6212,152440
146,288,152910,6212,152910
146,288,153140,6212,153140
146,288,153140,6212,153140
147,292,153790,6212,153790
147,292,154440,6212,154440
147,292,155250,6212,155250
147,292,155800,6212,155800
148,296,156270,6212,156270
148,296,156590,6212,156590
148,296,157400,6212,157400
148,296,157990,6212,157990
148,296,158800,6212,158800
149,298,159450,6212,159450
149,298,159920,6212,159920
149,298,160390,6212,160390
150,302,161200,6212,161200
150,302,162010,6212,162010
150,302,162820,6212,162820
150,302,163630,6212,163630
150,302,163740,6212,163740
151,304,164290,6212,164290
151,304,164510,6212,164510
151,304,164980,6212,164980
151,304,165790,6212,165790
152,306,166260,6212,166260
152,306,166260,6212,166260
152,306,166490,6212,166490
152,306,167300,6212,167300
153,308,168110,6212,168110
153,308,168920,6212,168920
154,312,169730,6212,169730
154,312,170050,6212,170050
154,312,170520,6212,170520
154,312,170990,6212,170990
155,314,171450,6212,171450
155,314,172100,6212,172100
155,314,172420,6212,172420
156,318,173230,6212,173230
156,318,173450,6212,173450
156,318,174260,6212,174260
156,318,174810,6212,174810
156,318,174920,6212,174920
156,318,175390,6212,175390
156,318,175860,6212,175860
157,320,176670,6212,176670
157,320,176670,6212,176670
157,320,177480,6212,177480
157,320,177710,6212,177710
158,322,178520,6212,178520
158,322,179330,6212,179330
159,326,179800,6212,179800
159,326,179800,6212,179800
159,326,180610,6212,180610
159,326,181080,6212,181080
159,326,181890,6212,181890
159,326,182700,6212,182700
160,330,183250,6212,183250
160,330,184060,6212,184060
160,330,184530,6212,184530
160,330,184640,6212,184640
160,330,184640,6212,184640
160,330,185450,6212,185450
160,330,185910,6212,185910
160,330,185910,6212,185910
161,334,186720,6212,186720
161,334,187190,6212,187190
161,334,187410,6212,187410
161,334,187730,6212,187730
161,334,188540,6212,188540
161,334,188540,6212,188540
161,334,189350,6212,189350
162,336,190160,6212,190160
162,336,190970,6212,190970
163,340,191780,6212,191780
163,340,192100,6212,192100
163,340,192560,6212,192560
163,340,193370,6212,193370
163,340,194180,6212,194180
163,340,194650,6212,194650
164,344,195460,6212,195460
164,344,195460,6212,195460
164,344,195930,6212,195930
164,344,195930,6212,195930
164,344,196740,6212,196740
164,344,197550,6212,197550
164,344,198020,6212,198020
165,348,198830,6212,198830
165,348,199300,6212,199300
165,348,199890,6212,199890
165,348,200360,6212,200360
165,348,200910,6212,200910
166,352,201140,6212,201140
166,352,201790,6212,201790
166,352,202600,6212,202600
166,352,203250,6212,203250
167,354,203710,6212,203710
167,354,204180,6212,204180
167,354,204180,6212,204180
167,354,204180,6212,204180
167,354,204830,6212,204830
168,358,205300,6212,205300
168,358,205670,6212,205670
168,358,206220,6212,206220
168,358,206450,6212,206450
168,358,207260,6212,207260
168,358,207260,6212,207260
168,358,207730,6212,207730
168,358,207730,6212,207730
169,360,208540,6212,208540
169,360,209000,6212,209000
169,360,209000,6212,209000
169,360,209470,6212,209470
170,364,210280,6212,210280
170,364,211090,6212,211090
170,364,211410,6212,211410
170,364,212220,6212,212220
170,364,213030,6212,213030
171,366,213680,6212,213680
171,366,214000,6212,214000
171,366,214470,6212,214470
171,366,214690,6212,214690
172,370,215340,6212,215340
172,370,215810,6212,215810
172,370,216620,6212,216620
172,370,217270,6212,217270
173,374,217740,6212,217740
173,374,217740,6212,217740
173,374,218550,6212,218550
173,374,219020,6212,219020
173,374,219830,6212,219830
173,374,220150,6212,220150
174,376,220470,6212,220470
174,376,221280,6212,221280
175,378,222090,6212,222090
175,378,222900,6212,222900
176,380,223710,6212,223710
176,380,223710,6212,223710
176,380,224180,6212,224180
176,380,224180,6212,224180
176,380,224830,6212,224830
177,384,225640,6212,225640
177,384,226290,6212,226290
177,384,226760,6212,226760
177,384,227080,6212,227080
178,388,227550,6212,227550
178,388,228360,6212,228360
178,388,229170,6212,229170
178,388,229170,6212,229170
178,388,229640,6212,229640
179,390,230290,6212,230290
179,390,230880,6212,230880
179,390,231200,6212,231200
180,394,232010,6212,232010
180,394,232820,6212,232820
180,394,233630,6212,233630
180,394,234440,6212,234440
181,396,235030,6212,235030
181,396,235840,6212,235840
182,400,236430,6212,236430
182,400,236430,6212,236430
182,400,237240,6212,237240
182,400,238050,6212,238050
182,400,238860,6212,238860
183,404,239670,6212,239670
183,404,239990,6212,239990
183,404,240640,6212,240640
183,404,241450,6212,241450
183,404,241450,6212,241450
183,404,241770,6212,241770
183,404,242580,6212,242580
184,408,243050,6212,243050
184,408,243520,6212,243520
184,408,244330,6212,244330
184,408,245140,6212,245140
184,408,245600,6212,245600
184,408,246070,6212,246070
185,412,246880,6212,246880
185,412,247200,6212,247200
185,412,248010,6212,248010
185,412,248820,6212,248820
185,412,249630,6212,249630
186,416,250100,6212,250100
186,416,250910,6212,250910
186,416,251370,6212,251370
186,416,251840,6212,251840
186,416,252650,6212,252650
187,420,253460,6212,253460
187,420,253460,6212,253460
187,420,254270,6212,254270
187,420,254500,6212,254500
187,420,255150,6212,255150
187,420,255310,6212,255310
187,420,255310,6212,255310
187,420,255780,6212,255780
187,420,256250,6212,256250
188,424,256800,6212,256800
188,424,257030,6212,257030
188,424,257840,6212,257840
188,424,258160,6212,258160
188,424,258710,6212,258710
188,424,258870,6212,258870
188,424,259340,6212,259340
188,424,259660,6212,259660
188,424,260130,6212,260130
188,424,260360,6212,260360
189,428,261170,6212,261170
189,428,261760,6212,261760
189,428,262230,6212,262230
189,428,262880,6212,262880
189,428,262880,6212,262880
190,432,263690,6212,263690
190,432,264150,6212,264150
190,432,264960,6212,264960
190,432,265430,6212,265430
190,432,265590,6212,265590
190,432,266060,6212,266060
190,432,266710,6212,266710
190,432,266820,6212,266820
190,432,266820,6212,266820
191,434,267290,6212,267290
191,434,267940,6212,267940
192,436,268750,6212,268750
192,436,269300,6212,269300
193,438,270110,6212,270110
193,438,270920,6212,270920
194,440,271470,6212,271470
194,440,271470,6212,271470
194,440,271940,6212,271940
194,440,272750,6212,272750
195,442,273220,6212,273220
195,442,273220,6212,273220
195,442,273440,6212,273440
195,442,274250,6212,274250
196,444,275060,6212,275060
196,444,275530,6212,275530
196,444,276000,6212,276000
196,444,276320,6212,276320
196,444,276790,6212,276790
196,444,276790,6212,276790
196,444,277110,6212,277110
197,446,277580,6212,277580
197,446,277930,6212,277930
197,446,278160,6212,278160
197,446,278270,6212,278270
197,446,278590,6212,278590
197,446,278910,6212,278910
197,446,279380,6212,279380
197,446,279380,6212,279380
197,446,279700,6212,279700
197,446,280510,6212,280510
197,446,280830,6212,280830
198,448,281640,6212,281640
198,448,282110,6212,282110
199,450,282920,6212,282920
199,450,282920,6212,282920
199,450,283240,6212,283240
199,450,283710,6212,283710
199,450,284030,6212,284030
199,450,284030,6212,284030
200,452,284500,6212,284500
200,452,285310,6212,285310
201,454,286120,6212,286120
201,454,286580,6212,286580
201,454,287040,6212,287040
201,454,287270,6212,287270
202,456,287920,6212,287920
202,456,288730,6212,288730
203,458,289540,6212,289540
203,458,289700,6212,289700
203,458,289920,6212,289920
203,458,290240,6212,290240
203,458,290790,6212,290790
204,460,291440,6212,291440
204,460,291440,6212,291440
204,460,291810,6212,291810
204,460,292280,6212,292280
204,460,292280,6212,292280
204,460,292280,6212,292280
205,462,293090,6212,293090
205,462,293410,6212,293410
205,462,294220,6212,294220
205,462,294690,6212,294690
206,464,295160,6212,295160
206,464,295160,6212,295160
206,464,295480,6212,295480
206,464,295800,6212,295800
206,464,296170,6212,296170
207,466,296980,6212,296980
207,466,296980,6212,296980
207,466,297790,6212,297790
207,466,298380,6212,298380
208,468,298820,6212,298820
208,468,299630,6212,299630
208,468,299630,6212,299630
208,468,299630,6212,299630
209,470,300440,6212,300440
209,470,301250,6212,301250
209,470,301250,6212,301250
209,470,301620,6212,301620
209,470,301620,6212,301620
210,472,301940,6212,301940
210,472,301940,6212,301940
210,472,302410,6212,302410
210,472,303220,6212,303220
211,474,303690,6212,303690
211,474,304010,6212,304010
211,474,304820,6212,304820
212,476,305140,6212,305140
212,476,305790,6212,305790
212,476,306260,6212,306260
213,478,307070,6212,307070
213,478,307880,6212,307880
214,480,308690,6212,308690
214,480,309010,6212,309010
214,480,309330,6212,309330
214,480,309490,6212,309490
214,480,309960,6212,309960
215,482,310770,6212,310770
215,482,311580,6212,311580
216,484,312050,6212,312050
216,484,312860,6212,312860
216,484,312860,6212,312860
216,484,313330,6212,313330
217,486,314140,6212,314140
217,486,314950,6212,314950
218,488,315760,6212,315760
218,488,316310,6212,316310
219,490,317120,6212,317120
219,490,317670,6212,317670
220,492,318140,6212,318140
220,492,318610,6212,318610
220,492,319420,6212,319420
220,492,319650,6212,319650
221,494,320120,6212,320120
221,494,320670,6212,320670
222,496,321480,6212,321480
222,496,321940,6212,321940
222,496,322160,6212,322160
222,496,322160,6212,322160
222,496,322160,6212,322160
