ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
132,322,213610,6212,213610
133,324,214610,6212,214610
133,324,215090,6212,215090
133,324,215410,6212,215410
134,326,216410,6212,216410
135,328,217410,6212,217410
136,330,218410,6212,218410
137,332,219410,6212,219410
138,334,220410,6212,220410
138,334,221410,6212,221410
139,336,221410,6212,221410
140,338,222410,6212,222410
141,340,223060,6212,223060
142,348,231060,6212,231060
142,348,231870,6212,231870
143,350,232340,6212,232340
143,350,232340,6212,232340
144,352,233340,6212,233340
144,352,234340,6212,234340
144,352,235150,6212,235150
144,352,235620,6212,235620
145,354,236620,6212,236620
146,356,237620,6212,237620
147,360,238620,6212,238620
147,360,239430,6212,239430
148,364,240430,6212,240430
148,364,241430,6212,241430
149,366,242430,6212,242430
150,368,242430,6212,242430
151,370,242900,6212,242900
152,372,243550,6212,243550
152,372,243780,6212,243780
152,372,244590,6212,244590
153,380,252590,6212,252590
154,382,253060,6212,253060
154,382,253870,6212,253870
155,384,254340,6212,254340
156,386,254800,6212,254800
157,390,254800,6212,254800
158,392,255120,6212,255120
158,392,255930,6212,255930
158,392,256740,6212,256740
158,392,257550,6212,257550
158,392,258360,6212,258360
159,394,259360,6212,259360
160,396,260360,6212,260360
161,398,260360,6212,260360
162,400,261360,6212,261360
162,400,262170,6212,262170
162,400,262980,6212,262980
163,402,263980,6212,263980
163,402,264300,6212,264300
164,404,264950,6212,264950
164,404,265170,6212,265170
164,404,265330,6212,265330
164,404,265330,6212,265330
164,404,265330,6212,265330
164,404,266140,6212,266140
164,404,266950,6212,266950
164,404,267110,6212,267110
164,404,267920,6212,267920
165,406,268390,6212,268390
165,406,269390,6212,269390
165,406,269390,6212,269390
165,406,270390,6212,270390
166,408,271200,6212,271200
166,408,272200,6212,272200
167,410,274200,6212,274200
168,412,275200,6212,275200
168,412,276200,6212,276200
169,416,276430,6212,276430
169,416,277430,6212,277430
170,418,279430,6212,279430
170,418,279430,6212,279430
171,420,280430,6212,280430
171,420,281430,6212,281430
172,422,282430,6212,282430
172,422,282430,6212,282430
172,422,282900,6212,282900
172,422,283900,6212,283900
173,424,284710,6212,284710
174,428,288710,6212,288710
174,428,289710,6212,289710
174,428,290300,6212,290300
174,428,290620,6212,290620
175,430,291620,6212,291620
175,430,292620,6212,292620
176,434,292840,6212,292840
177,436,294840,6212,294840
177,436,295490,6212,295490
177,436,295810,6212,295810
177,436,296460,6212,296460
177,436,296690,6212,296690
177,436,297500,6212,297500
177,436,297500,6212,297500
178,440,298500,6212,298500
178,440,298970,6212,298970
178,440,298970,6212,298970
178,440,299780,6212,299780
179,444,300250,6212,300250
179,444,301250,6212,301250
180,445,302060,6212,302060
180,445,303060,6212,303060
180,445,303710,6212,303710
180,445,304520,6212,304520
181,447,305330,6212,305330
181,447,306330,6212,306330
182,451,306980,6212,306980
182,451,307630,6212,307630
182,451,308630,6212,308630
183,453,309630,6212,309630
183,453,310280,6212,310280
184,457,311280,6212,311280
184,457,311280,6212,311280
