ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_ratio
893716.87,14.69,1.35,339335.79,5.58
894326.92,14.7,1.36,339370.0,5.58
894658.74,14.71,1.37,339125.96,5.58
895866.47,14.73,1.39,339974.66,5.59
895886.57,14.73,1.39,340089.05,5.59
896718.18,14.75,1.4,340389.74,5.6
896874.87,14.75,1.41,341237.18,5.61
899124.3,14.79,1.45,342319.13,5.63
899786.17,14.8,1.46,342399.15,5.63
899173.58,14.79,1.45,341809.94,5.62
899252.03,14.8,1.45,341843.44,5.62
898184.55,14.8,1.45,341625.67,5.63
897117.08,14.8,1.46,341407.89,5.63
897917.04,14.81,1.47,341537.71,5.63
897213.98,14.8,1.46,340756.18,5.62
897824.04,14.82,1.47,340790.39,5.62
897120.98,14.81,1.46,340008.86,5.61
897099.17,14.81,1.46,339993.04,5.61
897412.29,14.82,1.47,339775.38,5.61
898243.9,14.83,1.49,340076.08,5.61
897712.14,14.82,1.48,339519.18,5.61
897415.2,14.82,1.48,339385.19,5.61
898246.81,14.84,1.5,339685.89,5.61
898578.63,14.85,1.5,339466.99,5.61
898735.31,14.85,1.51,340314.43,5.62
898203.56,14.84,1.5,339782.67,5.62
897691.74,14.84,1.49,339276.85,5.61
898941.17,14.86,1.52,339358.8,5.61
899097.86,14.87,1.52,340206.24,5.63
898584.8,14.86,1.52,339648.11,5.62
898397.13,14.86,1.51,339243.61,5.61
899646.56,14.88,1.54,339325.55,5.61
901256.61,14.91,1.56,340359.76,5.63
900724.86,14.9,1.56,339802.86,5.62
900754.95,14.9,1.56,339927.25,5.62
900142.36,14.9,1.55,339201.66,5.61
899718.48,14.89,1.55,338664.77,5.6
900380.35,14.9,1.56,338744.79,5.61
900208.8,14.9,1.56,338528.3,5.6
900818.86,14.91,1.57,338562.51,5.61
900897.3,14.92,1.57,338596.01,5.61
901507.36,14.93,1.58,338630.22,5.61
902117.42,14.94,1.6,338664.43,5.61
901504.83,14.93,1.59,338075.22,5.6
900993.02,14.93,1.58,337569.4,5.59
901603.08,14.94,1.6,337603.61,5.59
901179.2,14.93,1.59,337066.72,5.59
901020.49,14.93,1.59,336908.02,5.58
900596.61,14.93,1.58,336371.13,5.58
901428.22,14.94,1.6,336671.83,5.58
901584.91,14.95,1.6,337519.27,5.6
900987.23,14.94,1.6,336704.77,5.58
902236.66,14.96,1.62,336786.71,5.59
902549.78,14.97,1.63,336602.45,5.58
902549.78,14.97,1.63,336602.45,5.58
901846.72,14.96,1.62,335820.92,5.57
901846.72,14.96,1.62,335820.92,5.57
903054.46,14.98,1.64,336669.62,5.59
902866.78,14.98,1.64,336265.13,5.58
903179.9,14.99,1.64,336080.86,5.58
903484.73,14.99,1.65,336112.6,5.58
903797.84,15.0,1.66,335928.33,5.58
902730.37,15.0,1.66,335710.56,5.58
903530.33,15.02,1.67,335840.38,5.58
903843.45,15.03,1.68,335656.12,5.58
903330.39,15.02,1.68,335064.59,5.57
906736.5,15.08,1.73,337993.97,5.62
906893.19,15.08,1.74,338841.4,5.63
906596.25,15.08,1.74,338707.41,5.63
908375.68,15.11,1.77,339319.36,5.64
907862.62,15.1,1.76,338727.83,5.64
907941.07,15.11,1.76,338761.34,5.64
908019.51,15.11,1.76,338794.84,5.64
908332.63,15.12,1.77,338610.58,5.64
907629.57,15.11,1.76,337829.05,5.62
908461.18,15.12,1.78,338129.75,5.63
907948.12,15.12,1.77,337538.22,5.62
909417.92,15.14,1.8,338818.49,5.64
909458.16,15.15,1.8,338894.36,5.64
909756.11,15.15,1.81,338616.46,5.64
910087.93,15.16,1.82,338372.42,5.64
909400.03,15.15,1.81,337684.53,5.63
909420.13,15.15,1.81,337798.91,5.63
909420.13,15.15,1.81,337798.91,5.63
910251.74,15.17,1.82,338099.61,5.63
910564.85,15.18,1.83,337915.34,5.63
910051.8,15.17,1.83,337323.81,5.62
909520.04,15.16,1.82,336792.05,5.61
909833.15,15.17,1.83,336607.79,5.61
909661.6,15.17,1.83,336391.3,5.61
910277.91,15.18,1.84,336720.41,5.62
910591.03,15.19,1.84,336536.15,5.61
911201.09,15.2,1.86,336570.35,5.61
911811.15,15.21,1.87,336604.56,5.62
912124.26,15.22,1.88,336420.29,5.61
912437.38,15.23,1.89,336202.63,5.61
912288.91,15.23,1.89,336179.52,5.61
913898.97,15.26,1.91,337213.73,5.63
914121.61,15.26,1.92,336837.14,5.62
914783.48,15.27,1.93,336917.16,5.63
913716.0,15.28,1.93,336699.38,5.63
913202.95,15.27,1.93,336107.85,5.62
914034.56,15.29,1.94,336408.55,5.63
914034.56,15.29,1.94,336410.5,5.63
914366.38,15.29,1.95,336191.61,5.62
913663.32,15.28,1.94,335410.08,5.61
913150.26,15.28,1.93,334818.55,5.6
913067.68,15.28,1.93,334759.34,5.6
913380.79,15.29,1.94,334541.67,5.6
913712.61,15.29,1.95,334297.64,5.6
915182.41,15.32,1.98,335577.91,5.62
914669.35,15.31,1.97,335019.78,5.61
914826.04,15.32,1.98,335867.21,5.62
916075.47,15.34,2.0,335949.16,5.63
916388.58,15.35,2.01,335731.49,5.62
917596.32,15.37,2.03,336580.2,5.64
918427.93,15.39,2.04,336880.89,5.64
919089.8,15.4,2.06,336960.91,5.65
919386.49,15.4,2.06,337207.88,5.65
918874.68,15.4,2.05,336702.07,5.64
917807.21,15.4,2.06,336484.29,5.65
918638.82,15.42,2.07,336784.99,5.65
918107.06,15.41,2.07,336228.09,5.64
918938.67,15.42,2.08,336528.79,5.65
919232.22,15.43,2.09,336485.2,5.65
922638.34,15.49,2.14,339414.58,5.7
923438.3,15.5,2.16,339544.4,5.7
922925.24,15.5,2.15,338986.27,5.69
922393.48,15.49,2.15,338454.52,5.68
921880.43,15.48,2.14,337896.39,5.67
921368.61,15.48,2.13,337390.57,5.67
921681.73,15.48,2.14,337206.31,5.66
921994.84,15.49,2.15,337022.04,5.66
923604.9,15.52,2.18,338056.25,5.68
