ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
358677.33,5.87,0.7,172464.6,2.82
358625.6,5.87,0.7,172464.6,2.82
358625.6,5.87,0.7,172464.6,2.82
358996.32,5.88,0.71,172464.6,2.82
358996.32,5.88,0.71,172464.6,2.82
359133.15,5.88,0.71,172587.21,2.83
359081.42,5.88,0.71,172587.21,2.83
358703.27,5.88,0.7,172083.2,2.82
359073.99,5.88,0.71,172212.37,2.82
359022.26,5.88,0.71,172212.37,2.82
358970.54,5.88,0.71,172212.37,2.82
358918.82,5.88,0.71,172099.27,2.82
358902.7,5.88,0.71,172276.32,2.82
358850.98,5.88,0.71,172168.0,2.82
358850.98,5.88,0.71,172054.89,2.82
359295.23,5.89,0.72,172054.89,2.82
359295.23,5.89,0.72,172054.89,2.82
358958.42,5.89,0.71,171644.66,2.82
358958.42,5.89,0.71,171534.03,2.81
358906.7,5.89,0.72,171534.03,2.81
358906.7,5.89,0.72,171534.03,2.81
358854.97,5.89,0.72,171504.53,2.81
358803.25,5.89,0.72,171504.53,2.81
359330.9,5.9,0.72,171391.43,2.81
359293.03,5.9,0.72,170826.94,2.8
360643.79,5.92,0.75,171803.86,2.82
361095.46,5.93,0.76,171639.19,2.82
361232.29,5.93,0.76,171639.19,2.82
361180.56,5.93,0.76,171639.19,2.82
361128.84,5.93,0.76,171619.43,2.82
361490.99,5.94,0.76,171619.43,2.82
361439.27,5.94,0.76,171554.43,2.82
361387.54,5.94,0.77,171524.94,2.82
361749.7,5.94,0.77,171411.28,2.82
362735.46,5.96,0.79,171853.38,2.82
363106.18,5.97,0.79,171853.38,2.82
363054.45,5.97,0.79,171853.38,2.82
363433.14,5.97,0.8,172727.34,2.84
363381.42,5.97,0.8,172727.34,2.84
362967.62,5.98,0.8,172727.34,2.84
363487.85,5.98,0.81,172727.34,2.84
363436.13,5.98,0.81,172727.34,2.84
363384.4,5.98,0.81,172727.34,2.84
363384.4,5.98,0.81,172727.34,2.84
363904.63,5.99,0.82,172727.34,2.84
363852.9,5.99,0.82,172727.34,2.85
363852.9,5.99,0.82,172727.34,2.85
363801.18,5.99,0.82,172727.34,2.85
363749.46,5.99,0.82,172614.24,2.84
363697.73,5.99,0.82,172614.24,2.84
363646.01,5.99,0.82,172614.24,2.85
363594.28,5.99,0.82,172614.24,2.85
363542.56,5.99,0.82,172614.24,2.85
364070.21,6.0,0.83,172501.13,2.84
364018.49,6.0,0.83,172528.57,2.85
363966.77,6.0,0.83,172528.57,2.85
363966.77,6.0,0.83,172528.57,2.85
364343.36,6.01,0.84,172484.38,2.85
364480.19,6.01,0.84,172484.38,2.85
364948.81,6.02,0.85,172400.34,2.84
365085.64,6.02,0.85,172400.34,2.84
365033.92,6.02,0.85,172287.24,2.84
365033.92,6.02,0.85,172174.14,2.84
365834.65,6.04,0.87,172358.53,2.85
366303.28,6.05,0.88,172274.5,2.84
366303.28,6.05,0.88,172274.5,2.84
366747.53,6.06,0.88,172484.42,2.85
367118.25,6.06,0.89,172613.6,2.85
367066.52,6.06,0.89,172610.35,2.85
367203.35,6.07,0.89,172732.97,2.85
367151.62,6.07,0.89,172732.97,2.85
367595.87,6.07,0.9,172620.63,2.85
367966.59,6.08,0.91,172620.63,2.85
367914.87,6.08,0.91,172617.39,2.85
368285.59,6.09,0.91,172746.57,2.85
368233.86,6.09,0.91,172633.47,2.85
368559.23,6.09,0.92,172633.47,2.85
368955.82,6.1,0.93,172892.67,2.86
368904.09,6.1,0.93,172892.67,2.86
369040.92,6.1,0.93,172892.67,2.86
368989.2,6.1,0.93,172892.67,2.86
368937.47,6.1,0.93,172779.57,2.86
368885.75,6.1,0.93,172779.57,2.86
368834.02,6.1,0.93,172779.57,2.86
368970.85,6.11,0.93,172779.57,2.86
369121.52,6.11,0.94,172420.2,2.85
369069.8,6.11,0.94,172420.2,2.85
369206.63,6.11,0.94,172420.2,2.85
369154.9,6.11,0.94,172420.2,2.86
369103.18,6.11,0.94,172416.96,2.86
369570.4,6.12,0.95,172338.84,2.85
369518.68,6.12,0.95,172335.59,2.85
369466.95,6.12,0.95,172335.59,2.86
369415.23,6.12,0.95,172335.59,2.86
369552.06,6.12,0.95,172335.59,2.86
369500.33,6.12,0.95,172335.59,2.86
370301.07,6.14,0.97,172519.99,2.86
370249.34,6.14,0.97,172516.74,2.86
370197.62,6.14,0.97,172513.5,2.86
370145.89,6.14,0.97,172513.5,2.86
370666.12,6.15,0.98,172609.34,2.86
370628.25,6.15,0.98,171952.43,2.85
370628.25,6.15,0.98,171839.33,2.85
370576.52,6.15,0.98,171839.33,2.85
370560.41,6.15,0.98,172068.7,2.86
370508.69,6.15,0.98,172068.7,2.86
370645.51,6.15,0.98,172191.31,2.86
371114.14,6.16,0.99,172107.28,2.86
371567.51,6.17,1.0,172233.83,2.86
371515.79,6.17,1.0,172233.83,2.86
371464.07,6.17,1.0,172233.83,2.86
371600.89,6.17,1.0,172233.83,2.86
371549.17,6.17,1.0,172233.83,2.86
372349.9,6.19,1.02,172418.22,2.87
372298.18,6.19,1.02,172418.22,2.87
372570.59,6.19,1.02,172482.12,2.87
373556.35,6.21,1.04,172924.21,2.87
373504.62,6.21,1.04,172924.21,2.88
373875.34,6.22,1.04,173365.58,2.88
373875.34,6.22,1.04,173254.95,2.88
373823.62,6.22,1.04,173254.95,2.88
373771.89,6.22,1.04,173251.71,2.88
373720.17,6.22,1.04,173251.71,2.88
373668.44,6.22,1.04,173251.71,2.88
373805.27,6.22,1.05,173374.32,2.89
374258.64,6.23,1.06,173374.32,2.89
373691.94,6.22,1.05,172681.75,2.87
373691.94,6.22,1.05,172681.75,2.87
373640.22,6.22,1.05,172568.65,2.87
373588.49,6.22,1.05,172565.41,2.87
373536.77,6.22,1.05,172565.41,2.87
373990.14,6.23,1.06,172565.56,2.87
373938.42,6.23,1.06,172565.56,2.87
373886.69,6.23,1.06,172565.56,2.87
374257.41,6.24,1.06,172680.5,2.88
374257.41,6.24,1.06,172680.5,2.88
374710.79,6.24,1.07,172663.05,2.88
374659.06,6.24,1.07,172663.05,2.88
374607.34,6.24,1.07,172663.06,2.88
374744.16,6.25,1.07,172663.06,2.88
374880.99,6.25,1.08,172785.68,2.88
374829.27,6.25,1.08,172785.68,2.88
374829.27,6.25,1.08,172675.05,2.88
375199.98,6.26,1.08,172675.05,2.88
375472.39,6.26,1.09,172675.05,2.88
375420.67,6.26,1.09,172675.09,2.88
375948.32,6.27,1.1,172675.09,2.88
375896.6,6.27,1.1,172675.09,2.88
375844.87,6.27,1.1,172671.84,2.88
375793.15,6.27,1.1,172671.84,2.88
376163.87,6.28,1.11,172786.79,2.88
376300.69,6.28,1.11,172786.79,2.88
376774.47,6.29,1.12,173030.56,2.89
376722.74,6.29,1.12,173030.56,2.89
376859.57,6.29,1.12,173153.17,2.89
376807.84,6.29,1.12,173153.17,2.89
376807.84,6.29,1.12,173040.07,2.89
376756.12,6.29,1.12,173040.07,2.89
377126.84,6.3,1.13,173040.07,2.89
377075.11,6.3,1.13,173040.07,2.89
377211.94,6.3,1.13,173040.07,2.89
377108.49,6.3,1.13,172926.97,2.89
377056.77,6.3,1.13,172926.97,2.89
377005.04,6.3,1.13,172926.97,2.89
376953.32,6.3,1.13,172923.73,2.89
376901.59,6.3,1.13,172923.73,2.89
377429.25,6.31,1.14,173804.23,2.91
377799.97,6.32,1.15,173804.23,2.91
377748.24,6.32,1.15,173800.99,2.91
377748.24,6.32,1.15,173691.13,2.91
378201.62,6.33,1.16,173691.13,2.91
378149.89,6.33,1.16,173858.11,2.91
378098.17,6.33,1.16,173858.11,2.91
