ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
198,1053,172040,6212,172040
199,1061,173040,6212,173040
200,1063,174040,6212,174040
201,1065,174360,6212,174360
202,1067,175360,6212,175360
202,1067,176360,6212,176360
203,1075,177360,6212,177360
204,1083,178170,6212,178170
205,1091,179170,6212,179170
206,1093,180170,6212,180170
207,1095,181170,6212,181170
208,1097,182170,6212,182170
209,1105,183170,6212,183170
210,1107,183400,6212,183400
211,1109,184400,6212,184400
212,1111,184400,6212,184400
213,1119,185400,6212,185400
214,1123,186400,6212,186400
215,1131,187400,6212,187400
216,1133,188210,6212,188210
217,1135,189210,6212,189210
218,1137,189530,6212,189530
219,1145,190530,6212,190530
220,1153,191530,6212,191530
221,1161,192340,6212,192340
222,1169,193340,6212,193340
223,1171,194340,6212,194340
224,1179,195340,6212,195340
225,1181,195990,6212,195990
226,1183,196460,6212,196460
227,1191,197460,6212,197460
227,1191,197930,6212,197930
228,1193,197930,6212,197930
229,1201,198930,6212,198930
230,1203,199930,6212,199930
230,1203,200930,6212,200930
231,1211,201930,6212,201930
232,1213,202740,6212,202740
233,1221,203060,6212,203060
234,1222,204060,6212,204060
235,1230,204060,6212,204060
236,1232,205060,6212,205060
237,1234,206060,6212,206060
238,1242,207060,6212,207060
238,1242,207380,6212,207380
239,1250,208380,6212,208380
240,1258,209380,6212,209380
241,1260,209850,6212,209850
242,1268,209850,6212,209850
243,1276,210170,6212,210170
244,1284,211170,6212,211170
245,1292,212170,6212,212170
246,1300,212980,6212,212980
247,1302,213790,6212,213790
248,1310,214790,6212,214790
249,1312,214790,6212,214790
250,1320,215260,6212,215260
250,1320,215910,6212,215910
251,1328,216910,6212,216910
252,1336,217130,6212,217130
253,1344,218130,6212,218130
254,1346,219130,6212,219130
255,1354,220130,6212,220130
256,1356,220600,6212,220600
257,1364,221410,6212,221410
258,1366,221520,6212,221520
259,1374,222520,6212,222520
260,1376,223330,6212,223330
261,1384,224330,6212,224330
262,1386,224330,6212,224330
263,1394,225330,6212,225330
264,1402,225800,6212,225800
265,1410,226800,6212,226800
266,1418,227610,6212,227610
267,1420,229610,6212,229610
267,1420,230610,6212,230610
268,1428,231610,6212,231610
269,1430,232610,6212,232610
270,1434,233610,6212,233610
270,1434,233830,6212,233830
270,1434,234300,6212,234300
271,1436,235300,6212,235300
271,1436,235300,6212,235300
272,1444,235620,6212,235620
272,1444,236620,6212,236620
272,1444,237620,6212,237620
272,1444,238090,6212,238090
273,1448,238090,6212,238090
274,1450,239090,6212,239090
275,1458,239740,6212,239740
276,1466,240740,6212,240740
277,1468,241210,6212,241210
277,1468,241680,6212,241680
277,1468,242680,6212,242680
278,1470,243680,6212,243680
279,1472,244680,6212,244680
280,1474,245680,6212,245680
281,1482,246680,6212,246680
282,1484,247680,6212,247680
283,1492,248680,6212,248680
284,1500,249680,6212,249680
285,1502,250680,6212,250680
286,1504,250910,6212,250910
287,1506,250910,6212,250910
287,1506,251910,6212,251910
288,1508,252230,6212,252230
289,1516,253230,6212,253230
289,1516,253880,6212,253880
289,1516,253880,6212,253880
290,1524,254880,6212,254880
290,1524,255200,6212,255200
290,1524,256200,6212,256200
291,1532,256850,6212,256850
292,1540,257850,6212,257850
293,1548,258850,6212,258850
294,1550,259320,6212,259320
295,1552,260320,6212,260320
295,1552,261320,6212,261320
296,1560,262320,6212,262320
297,1562,262790,6212,262790
298,1564,263440,6212,263440
299,1566,264440,6212,264440
299,1566,265440,6212,265440
300,1574,266440,6212,266440
301,1582,267440,6212,267440
302,1584,268440,6212,268440
303,1586,268910,6212,268910
304,1594,269720,6212,269720
305,1602,270190,6212,270190
306,1606,271190,6212,271190
306,1606,271660,6212,271660
307,1608,272660,6212,272660
308,1610,273660,6212,273660
309,1612,274660,6212,274660
310,1614,275660,6212,275660
311,1622,276470,6212,276470
312,1624,277470,6212,277470
313,1632,278280,6212,278280
314,1634,279280,6212,279280
315,1636,281280,6212,281280
316,1638,281750,6212,281750
316,1638,282560,6212,282560
317,1640,283370,6212,283370
318,1648,284370,6212,284370
319,1656,284690,6212,284690
320,1658,285160,6212,285160
321,1662,285710,6212,285710
321,1662,286710,6212,286710
322,1664,287710,6212,287710
323,1672,288520,6212,288520
324,1680,289330,6212,289330
325,1688,289330,6212,289330
326,1690,290330,6212,290330
327,1692,290790,6212,290790
328,1694,291260,6212,291260
329,1696,291260,6212,291260
330,1704,291910,6212,291910
331,1712,292380,6212,292380
332,1714,292750,6212,292750
333,1716,293750,6212,293750
334,1724,293750,6212,293750
334,1724,294750,6212,294750
334,1724,295750,6212,295750
335,1726,296750,6212,296750
336,1730,297400,6212,297400
337,1738,298400,6212,298400
338,1740,298870,6212,298870
339,1748,299680,6212,299680
340,1756,300490,6212,300490
341,1764,301300,6212,301300
342,1766,302110,6212,302110
342,1766,303110,6212,303110
343,1768,304110,6212,304110
344,1776,305110,6212,305110
345,1780,305580,6212,305580
345,1780,306580,6212,306580
346,1782,307580,6212,307580
347,1784,308390,6212,308390
348,1792,308710,6212,308710
349,1794,309710,6212,309710
350,1796,310030,6212,310030
351,1804,311030,6212,311030
352,1812,311840,6212,311840
353,1820,312310,6212,312310
354,1822,312780,6212,312780
355,1830,313780,6212,313780
356,1838,314590,6212,314590
357,1840,315590,6212,315590
358,1842,316060,6212,316060
358,1842,317060,6212,317060
358,1842,317280,6212,317280
359,1850,317280,6212,317280
360,1858,317510,6212,317510
361,1866,318100,6212,318100
362,1874,319100,6212,319100
363,1882,319100,6212,319100
364,1884,320100,6212,320100
364,1884,320910,6212,320910
365,1886,321720,6212,321720
366,1888,322720,6212,322720
367,1896,323530,6212,323530
368,1904,324340,6212,324340
368,1904,324340,6212,324340
369,1906,325150,6212,325150
370,1908,326150,6212,326150
371,1916,327150,6212,327150
372,1920,327470,6212,327470
