ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
858123.67,14.11,0.76,335949.41,5.52
858733.73,14.12,0.77,335988.37,5.52
858585.26,14.12,0.77,335875.26,5.52
858585.26,14.12,0.77,335875.26,5.52
858870.62,14.12,0.78,336293.54,5.53
858496.78,14.12,0.77,335920.22,5.52
858348.31,14.12,0.77,335808.36,5.52
858348.31,14.12,0.77,335808.36,5.52
858526.71,14.12,0.78,336112.59,5.53
858749.36,14.13,0.79,335740.76,5.52
858542.49,14.13,0.78,335540.25,5.52
857475.01,14.13,0.78,335322.47,5.52
856407.53,14.13,0.78,335104.69,5.53
856474.95,14.13,0.79,335195.48,5.53
855771.89,14.12,0.78,334435.48,5.52
855623.42,14.12,0.78,334322.37,5.52
855474.95,14.12,0.78,334307.34,5.52
855850.1,14.13,0.78,334389.01,5.52
855701.63,14.13,0.78,334612.07,5.52
855386.57,14.12,0.78,334383.83,5.52
855426.81,14.13,0.78,334463.94,5.52
855129.86,14.13,0.78,334335.8,5.52
855415.22,14.13,0.79,334620.82,5.53
855747.04,14.14,0.8,334406.68,5.53
855598.57,14.14,0.8,334294.81,5.52
855066.81,14.13,0.79,333737.92,5.52
855107.04,14.13,0.79,333906.78,5.52
854958.57,14.13,0.79,333864.12,5.52
854810.1,14.13,0.79,333778.64,5.52
854850.33,14.14,0.79,333858.75,5.52
854266.31,14.13,0.78,333274.72,5.51
854117.83,14.13,0.78,333229.81,5.51
854117.83,14.13,0.78,333229.81,5.51
854158.07,14.13,0.79,333309.93,5.51
853794.24,14.13,0.78,333070.0,5.51
853645.76,14.13,0.78,333025.09,5.51
853694.72,14.13,0.78,332589.42,5.5
853795.82,14.13,0.79,332604.05,5.51
854073.0,14.14,0.79,332821.09,5.51
853924.53,14.14,0.79,332826.33,5.51
853780.86,14.14,0.79,332747.76,5.51
853632.38,14.14,0.79,332634.65,5.51
853483.91,14.14,0.79,332619.61,5.51
853335.44,14.14,0.79,332576.72,5.51
853375.67,14.14,0.79,332654.82,5.51
853227.2,14.14,0.79,332541.71,5.51
853267.44,14.14,0.8,332711.82,5.51
853108.73,14.14,0.79,332578.47,5.51
853148.97,14.14,0.8,332658.58,5.51
853434.33,14.15,0.8,332943.6,5.52
853285.85,14.15,0.8,332831.74,5.52
853137.38,14.15,0.8,332815.46,5.52
853450.5,14.15,0.81,332602.55,5.52
853302.03,14.15,0.81,332576.01,5.52
853302.03,14.15,0.81,332576.01,5.52
852598.97,14.14,0.8,331827.88,5.5
852598.97,14.14,0.8,331827.88,5.5
852598.97,14.14,0.8,331827.88,5.5
852831.07,14.15,0.81,332102.96,5.51
852682.6,14.15,0.81,332076.43,5.51
852308.77,14.14,0.8,331826.76,5.51
852160.3,14.14,0.8,331725.15,5.51
851092.82,14.15,0.8,331507.37,5.51
850802.25,14.14,0.8,331220.68,5.51
851115.37,14.15,0.81,331019.64,5.5
850602.31,14.14,0.8,330449.64,5.49
850602.31,14.14,0.8,330449.64,5.49
850453.84,14.14,0.8,330338.0,5.49
850156.9,14.14,0.8,330209.86,5.49
850442.26,14.15,0.8,330629.62,5.5
850491.21,14.15,0.81,330193.95,5.49
850269.23,14.15,0.8,329976.26,5.49
850127.1,14.15,0.8,329796.81,5.49
849878.21,14.14,0.8,329461.44,5.48
849738.45,14.14,0.8,328744.67,5.47
850018.26,14.15,0.81,329030.4,5.48
850067.22,14.15,0.81,328594.73,5.47
849918.74,14.15,0.81,328481.62,5.47
849857.26,14.15,0.81,328324.78,5.47
849708.79,14.15,0.81,328309.74,5.47
850040.6,14.16,0.82,328070.46,5.47
849318.85,14.15,0.81,327348.7,5.45
849604.21,14.16,0.81,327420.86,5.46
849724.5,14.16,0.82,327459.18,5.46
849350.67,14.15,0.81,327274.82,5.45
849202.2,14.15,0.81,327318.88,5.46
849242.43,14.16,0.81,327208.63,5.45
849282.66,14.16,0.82,327562.32,5.46
849134.19,14.16,0.81,327535.78,5.46
849411.36,14.16,0.82,327857.19,5.47
849184.35,14.16,0.82,327629.07,5.46
849035.88,14.16,0.82,327602.53,5.46
848887.41,14.16,0.82,327500.92,5.46
848738.94,14.16,0.82,327387.81,5.46
848590.47,14.16,0.82,327372.77,5.46
848442.0,14.16,0.82,327330.11,5.46
848293.53,14.16,0.82,327244.63,5.46
848293.53,14.16,0.82,327244.63,5.46
848145.06,14.16,0.82,327131.7,5.46
848323.46,14.16,0.82,327437.0,5.47
