ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
104,246,213610,6212,213610
105,248,214610,6212,214610
105,248,215090,6212,215090
105,248,215410,6212,215410
106,250,216410,6212,216410
106,250,217410,6212,217410
107,252,218410,6212,218410
107,252,219410,6212,219410
108,254,220410,6212,220410
108,254,221410,6212,221410
108,254,221410,6212,221410
109,256,222410,6212,222410
109,256,223060,6212,223060
110,264,231060,6212,231060
111,266,231870,6212,231870
111,266,232340,6212,232340
111,266,232340,6212,232340
112,268,233340,6212,233340
112,268,234340,6212,234340
113,270,235150,6212,235150
113,270,235620,6212,235620
113,270,236620,6212,236620
114,272,237620,6212,237620
114,272,238620,6212,238620
115,274,239430,6212,239430
115,274,240430,6212,240430
116,276,241430,6212,241430
116,276,242430,6212,242430
116,276,242430,6212,242430
117,278,242900,6212,242900
117,278,243550,6212,243550
117,278,243780,6212,243780
118,280,244590,6212,244590
119,288,252590,6212,252590
119,288,253060,6212,253060
119,288,253870,6212,253870
120,290,254340,6212,254340
120,290,254800,6212,254800
120,290,254800,6212,254800
120,290,255120,6212,255120
120,290,255930,6212,255930
121,292,256740,6212,256740
121,292,257550,6212,257550
122,294,258360,6212,258360
122,294,259360,6212,259360
123,296,260360,6212,260360
123,296,260360,6212,260360
124,298,261360,6212,261360
124,298,262170,6212,262170
124,298,262980,6212,262980
125,300,263980,6212,263980
125,300,264300,6212,264300
125,300,264950,6212,264950
125,300,265170,6212,265170
125,300,265330,6212,265330
125,300,265330,6212,265330
125,300,265330,6212,265330
126,302,266140,6212,266140
126,302,266950,6212,266950
126,302,267110,6212,267110
127,304,267920,6212,267920
127,304,268390,6212,268390
128,306,269390,6212,269390
128,306,269390,6212,269390
128,306,270390,6212,270390
129,308,271200,6212,271200
129,308,272200,6212,272200
130,310,274200,6212,274200
131,312,275200,6212,275200
