ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
875193.5,14.39,1.04,326112.3,5.36
875803.55,14.4,1.05,326146.51,5.36
876135.37,14.41,1.06,325902.47,5.36
876135.37,14.41,1.06,325902.47,5.36
876440.2,14.41,1.07,325934.21,5.36
877271.81,14.43,1.08,326234.9,5.37
877123.34,14.43,1.08,326212.55,5.37
877123.34,14.43,1.08,326212.55,5.37
877785.21,14.44,1.1,326292.58,5.37
877560.04,14.44,1.09,325794.31,5.36
877608.29,14.44,1.1,325817.42,5.36
876540.81,14.44,1.1,325599.64,5.36
875473.33,14.44,1.1,325381.86,5.37
876273.3,14.46,1.11,325511.68,5.37
875570.24,14.45,1.1,324730.15,5.36
876180.3,14.46,1.12,324764.36,5.36
875477.24,14.45,1.11,323982.83,5.35
875435.48,14.45,1.11,323941.07,5.35
875748.6,14.46,1.11,323723.41,5.34
876580.21,14.47,1.13,324024.1,5.35
876067.15,14.47,1.12,323465.98,5.34
875770.21,14.47,1.12,323331.99,5.34
876601.83,14.48,1.14,323632.68,5.35
876933.64,14.49,1.15,323413.79,5.34
877090.33,14.49,1.15,324261.22,5.36
876558.57,14.49,1.14,323704.33,5.35
876046.76,14.48,1.14,323198.51,5.34
876359.87,14.49,1.14,322980.85,5.34
876211.4,14.49,1.14,322869.21,5.34
875698.34,14.48,1.14,322311.08,5.33
875114.31,14.47,1.13,321727.05,5.32
875427.43,14.48,1.14,321509.38,5.32
875427.43,14.48,1.14,321509.38,5.32
874914.37,14.47,1.13,320951.25,5.31
874944.46,14.48,1.13,321075.64,5.31
874252.91,14.47,1.12,320339.14,5.3
873751.35,14.46,1.12,319792.65,5.29
874413.22,14.47,1.13,319872.67,5.29
874231.41,14.47,1.13,319696.86,5.29
874841.47,14.48,1.14,319731.06,5.29
874919.91,14.49,1.14,319764.57,5.29
875529.97,14.5,1.15,319798.78,5.3
876140.03,14.51,1.17,319832.98,5.3
876000.28,14.51,1.17,319199.86,5.29
875938.79,14.51,1.17,319051.45,5.29
876548.85,14.52,1.18,319085.66,5.29
876597.8,14.53,1.18,318645.23,5.28
876439.1,14.52,1.18,318486.53,5.28
876377.61,14.53,1.18,318329.68,5.28
877209.23,14.54,1.2,318630.38,5.28
877060.75,14.54,1.2,318608.03,5.28
876369.2,14.53,1.19,317871.54,5.27
876682.31,14.54,1.2,317653.88,5.27
