ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
126,290,213610,6212,213610
127,292,214610,6212,214610
127,292,215090,6212,215090
127,292,215410,6212,215410
128,294,216410,6212,216410
129,296,217410,6212,217410
130,298,218410,6212,218410
131,300,219410,6212,219410
132,302,220410,6212,220410
133,306,221410,6212,221410
133,306,221410,6212,221410
134,308,222410,6212,222410
135,310,223060,6212,223060
136,318,231060,6212,231060
136,318,231870,6212,231870
137,320,232340,6212,232340
138,322,232340,6212,232340
139,324,233340,6212,233340
139,324,234340,6212,234340
139,324,235150,6212,235150
139,324,235620,6212,235620
140,326,236620,6212,236620
141,328,237620,6212,237620
141,328,238620,6212,238620
141,328,239430,6212,239430
142,332,240430,6212,240430
143,334,241430,6212,241430
144,336,242430,6212,242430
144,336,242430,6212,242430
145,338,242900,6212,242900
146,340,243550,6212,243550
146,340,243780,6212,243780
146,340,244590,6212,244590
147,348,252590,6212,252590
148,350,253060,6212,253060
148,350,253870,6212,253870
149,352,254340,6212,254340
149,352,254800,6212,254800
150,354,254800,6212,254800
151,356,255120,6212,255120
151,356,255930,6212,255930
151,356,256740,6212,256740
151,356,257550,6212,257550
151,356,258360,6212,258360
152,358,259360,6212,259360
153,360,260360,6212,260360
153,360,260360,6212,260360
154,362,261360,6212,261360
154,362,262170,6212,262170
154,362,262980,6212,262980
155,364,263980,6212,263980
155,364,264300,6212,264300
156,366,264950,6212,264950
156,366,265170,6212,265170
156,366,265330,6212,265330
156,366,265330,6212,265330
156,366,265330,6212,265330
156,366,266140,6212,266140
156,366,266950,6212,266950
156,366,267110,6212,267110
156,366,267920,6212,267920
157,368,268390,6212,268390
158,370,269390,6212,269390
158,370,269390,6212,269390
158,370,270390,6212,270390
158,370,271200,6212,271200
159,372,272200,6212,272200
159,372,274200,6212,274200
159,372,275200,6212,275200
159,372,276200,6212,276200
159,372,276430,6212,276430
159,372,277430,6212,277430
160,376,279430,6212,279430
161,380,279430,6212,279430
161,380,280430,6212,280430
161,380,281430,6212,281430
162,382,282430,6212,282430
162,382,282430,6212,282430
162,382,282900,6212,282900
162,382,283900,6212,283900
162,382,284710,6212,284710
163,386,288710,6212,288710
164,390,289710,6212,289710
164,390,290300,6212,290300
164,390,290620,6212,290620
