ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
199,1039,101740,6212,101740
199,1039,101970,6212,101970
200,1047,102440,6212,102440
201,1051,103250,6212,103250
202,1059,103250,6212,103250
203,1061,103480,6212,103480
204,1069,103950,6212,103950
205,1071,104180,6212,104180
206,1079,104500,6212,104500
207,1081,104500,6212,104500
208,1089,105090,6212,105090
208,1089,105560,6212,105560
208,1089,106030,6212,106030
209,1097,106840,6212,106840
210,1099,107310,6212,107310
210,1099,107960,6212,107960
211,1103,108770,6212,108770
212,1111,109230,6212,109230
213,1113,109230,6212,109230
214,1121,110040,6212,110040
215,1129,110850,6212,110850
215,1129,111660,6212,111660
216,1137,112130,6212,112130
217,1139,112940,6212,112940
218,1141,113590,6212,113590
219,1143,114400,6212,114400
220,1151,114870,6212,114870
220,1151,115680,6212,115680
221,1159,116150,6212,116150
222,1161,116960,6212,116960
223,1169,117770,6212,117770
224,1171,118580,6212,118580
225,1173,119050,6212,119050
226,1181,119860,6212,119860
227,1189,120320,6212,120320
228,1197,120640,6212,120640
229,1205,120960,6212,120960
230,1207,121430,6212,121430
230,1207,121750,6212,121750
230,1207,122070,6212,122070
231,1209,122300,6212,122300
232,1217,123110,6212,123110
233,1225,123920,6212,123920
234,1233,123920,6212,123920
234,1233,124240,6212,124240
235,1235,124710,6212,124710
236,1237,125180,6212,125180
236,1237,125830,6212,125830
236,1237,126640,6212,126640
237,1245,127450,6212,127450
238,1253,127680,6212,127680
239,1261,128490,6212,128490
240,1269,128960,6212,128960
241,1277,129770,6212,129770
242,1279,130000,6212,130000
243,1287,130460,6212,130460
244,1289,131270,6212,131270
245,1297,132080,6212,132080
246,1299,132890,6212,132890
247,1301,133360,6212,133360
248,1303,134170,6212,134170
249,1305,134330,6212,134330
249,1305,134980,6212,134980
250,1307,134980,6212,134980
251,1315,135210,6212,135210
252,1323,135680,6212,135680
253,1331,135680,6212,135680
254,1333,136230,6212,136230
255,1341,137040,6212,137040
255,1341,137510,6212,137510
255,1341,137980,6212,137980
256,1343,138450,6212,138450
257,1347,139260,6212,139260
258,1349,139580,6212,139580
259,1351,139900,6212,139900
260,1353,140710,6212,140710
261,1361,140710,6212,140710
261,1361,141180,6212,141180
261,1361,141990,6212,141990
262,1363,142460,6212,142460
262,1363,142680,6212,142680
263,1365,143490,6212,143490
263,1365,144300,6212,144300
264,1373,144520,6212,144520
265,1375,145330,6212,145330
266,1379,146140,6212,146140
267,1387,146950,6212,146950
268,1395,147760,6212,147760
269,1397,148350,6212,148350
269,1397,149160,6212,149160
270,1399,149530,6212,149530
271,1407,150180,6212,150180
272,1409,150340,6212,150340
273,1413,150340,6212,150340
274,1415,151150,6212,151150
275,1423,151150,6212,151150
276,1431,151470,6212,151470
277,1439,151630,6212,151630
278,1447,152440,6212,152440
279,1449,152440,6212,152440
280,1457,152910,6212,152910
280,1457,153140,6212,153140
281,1465,153140,6212,153140
282,1473,153790,6212,153790
283,1481,154440,6212,154440
283,1481,155250,6212,155250
284,1483,155800,6212,155800
284,1483,156270,6212,156270
285,1485,156590,6212,156590
286,1493,157400,6212,157400
287,1495,157990,6212,157990
288,1499,158800,6212,158800
289,1507,159450,6212,159450
290,1515,159920,6212,159920
291,1523,160390,6212,160390
292,1525,161200,6212,161200
293,1533,162010,6212,162010
294,1541,162820,6212,162820
295,1549,163630,6212,163630
295,1549,163740,6212,163740
296,1557,164290,6212,164290
296,1557,164510,6212,164510
297,1565,164980,6212,164980
298,1573,165790,6212,165790
298,1573,166260,6212,166260
299,1577,166260,6212,166260
299,1577,166490,6212,166490
300,1585,167300,6212,167300
300,1585,168110,6212,168110
301,1593,168920,6212,168920
302,1601,169730,6212,169730
303,1603,170050,6212,170050
304,1611,170520,6212,170520
305,1619,170990,6212,170990
305,1619,171450,6212,171450
305,1619,172100,6212,172100
305,1619,172420,6212,172420
305,1619,173230,6212,173230
306,1621,173450,6212,173450
306,1621,174260,6212,174260
306,1621,174810,6212,174810
307,1629,174920,6212,174920
308,1637,175390,6212,175390
308,1637,175860,6212,175860
309,1645,176670,6212,176670
310,1647,176670,6212,176670
310,1647,177480,6212,177480
311,1655,177710,6212,177710
312,1657,178520,6212,178520
313,1659,179330,6212,179330
313,1659,179800,6212,179800
314,1661,179800,6212,179800
314,1661,180610,6212,180610
315,1669,181080,6212,181080
315,1669,181890,6212,181890
316,1677,182700,6212,182700
317,1685,183250,6212,183250
318,1693,184060,6212,184060
319,1695,184530,6212,184530
320,1703,184640,6212,184640
320,1703,184640,6212,184640
321,1711,185450,6212,185450
321,1711,185910,6212,185910
322,1713,185910,6212,185910
323,1721,186720,6212,186720
324,1725,187190,6212,187190
325,1733,187410,6212,187410
326,1741,187730,6212,187730
327,1749,188540,6212,188540
328,1753,188540,6212,188540
329,1761,189350,6212,189350
330,1763,190160,6212,190160
331,1771,190970,6212,190970
332,1773,191780,6212,191780
333,1775,192100,6212,192100
334,1777,192560,6212,192560
334,1777,193370,6212,193370
334,1777,194180,6212,194180
335,1779,194650,6212,194650
335,1779,195460,6212,195460
336,1781,195460,6212,195460
337,1789,195930,6212,195930
338,1797,195930,6212,195930
339,1799,196740,6212,196740
340,1807,197550,6212,197550
340,1807,198020,6212,198020
341,1809,198830,6212,198830
342,1817,199300,6212,199300
343,1819,199890,6212,199890
344,1823,200360,6212,200360
344,1823,200910,6212,200910
344,1823,201140,6212,201140
345,1831,201790,6212,201790
346,1839,202600,6212,202600
346,1839,203250,6212,203250
347,1841,203710,6212,203710
348,1843,204180,6212,204180
348,1843,204180,6212,204180
349,1851,204180,6212,204180
350,1859,204830,6212,204830
351,1861,205300,6212,205300
352,1869,205670,6212,205670
353,1871,206220,6212,206220
354,1873,206450,6212,206450
355,1881,207260,6212,207260
356,1889,207260,6212,207260
356,1889,207730,6212,207730
357,1891,207730,6212,207730
358,1893,208540,6212,208540
359,1895,209000,6212,209000
360,1903,209000,6212,209000
361,1911,209470,6212,209470
362,1913,210280,6212,210280
363,1915,211090,6212,211090
363,1915,211410,6212,211410
364,1923,212220,6212,212220
365,1925,213030,6212,213030
366,1933,213680,6212,213680
367,1935,214000,6212,214000
367,1935,214470,6212,214470
368,1937,214690,6212,214690
369,1939,215340,6212,215340
370,1941,215810,6212,215810
371,1949,216620,6212,216620
371,1949,217270,6212,217270
372,1957,217740,6212,217740
373,1965,217740,6212,217740
373,1965,218550,6212,218550
374,1967,219020,6212,219020
374,1967,219830,6212,219830
375,1969,220150,6212,220150
375,1969,220470,6212,220470
376,1971,221280,6212,221280
377,1979,222090,6212,222090
378,1987,222900,6212,222900
379,1989,223710,6212,223710
380,1997,223710,6212,223710
380,1997,224180,6212,224180
381,2005,224180,6212,224180
382,2013,224830,6212,224830
383,2021,225640,6212,225640
384,2029,226290,6212,226290
384,2029,226760,6212,226760
385,2031,227080,6212,227080
386,2035,227550,6212,227550
386,2035,228360,6212,228360
387,2043,229170,6212,229170
387,2043,229170,6212,229170
388,2045,229640,6212,229640
388,2045,230290,6212,230290
389,2047,230880,6212,230880
389,2047,231200,6212,231200
390,2055,232010,6212,232010
390,2055,232820,6212,232820
390,2055,233630,6212,233630
390,2055,234440,6212,234440
390,2055,235030,6212,235030
390,2055,235840,6212,235840
390,2055,236430,6212,236430
391,2063,236430,6212,236430
392,2071,237240,6212,237240
393,2073,238050,6212,238050
394,2075,238860,6212,238860
395,2077,239670,6212,239670
395,2077,239990,6212,239990
396,2085,240640,6212,240640
396,2085,241450,6212,241450
396,2085,241450,6212,241450
396,2085,241770,6212,241770
397,2087,242580,6212,242580
398,2095,243050,6212,243050
399,2103,243520,6212,243520
400,2111,244330,6212,244330
401,2113,245140,6212,245140
402,2121,245600,6212,245600
402,2121,246070,6212,246070
403,2123,246880,6212,246880
404,2125,247200,6212,247200
404,2125,248010,6212,248010
405,2127,248820,6212,248820
406,2135,249630,6212,249630
407,2137,250100,6212,250100
407,2137,250910,6212,250910
408,2139,251370,6212,251370
408,2139,251840,6212,251840
409,2143,252650,6212,252650
410,2145,253460,6212,253460
411,2147,253460,6212,253460
411,2147,254270,6212,254270
412,2155,254500,6212,254500
413,2163,255150,6212,255150
414,2171,255310,6212,255310
415,2173,255310,6212,255310
415,2173,255780,6212,255780
416,2181,256250,6212,256250
417,2189,256800,6212,256800
418,2191,257030,6212,257030
419,2193,257840,6212,257840
420,2195,258160,6212,258160
421,2197,258710,6212,258710
421,2197,258870,6212,258870
421,2197,259340,6212,259340
422,2205,259660,6212,259660
422,2205,260130,6212,260130
423,2207,260360,6212,260360
423,2207,261170,6212,261170
424,2209,261760,6212,261760
425,2217,262230,6212,262230
426,2219,262880,6212,262880
427,2227,262880,6212,262880
427,2227,263690,6212,263690
428,2229,264150,6212,264150
429,2231,264960,6212,264960
430,2233,265430,6212,265430
430,2233,265590,6212,265590
431,2235,266060,6212,266060
431,2235,266710,6212,266710
431,2235,266820,6212,266820
432,2237,266820,6212,266820
433,2241,267290,6212,267290
434,2243,267940,6212,267940
435,2251,268750,6212,268750
435,2251,269300,6212,269300
436,2253,270110,6212,270110
